DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (Tonelada)
1997-01-01,1997,1,1,ABATE12_ABPENO12,1997-01-01T00:00:00-02:00,48.270399
1997-02-01,1997,1,2,ABATE12_ABPENO12,1997-02-01T00:00:00-02:00,44.498206
1997-03-01,1997,1,3,ABATE12_ABPENO12,1997-03-01T00:00:00-03:00,47.983213
1997-04-01,1997,1,4,ABATE12_ABPENO12,1997-04-01T00:00:00-03:00,46.287245
1997-05-01,1997,1,5,ABATE12_ABPENO12,1997-05-01T00:00:00-03:00,45.823392
1997-06-01,1997,1,6,ABATE12_ABPENO12,1997-06-01T00:00:00-03:00,44.30419
1997-07-01,1997,1,7,ABATE12_ABPENO12,1997-07-01T00:00:00-03:00,46.517621
1997-08-01,1997,1,8,ABATE12_ABPENO12,1997-08-01T00:00:00-03:00,49.402939
1997-09-01,1997,1,9,ABATE12_ABPENO12,1997-09-01T00:00:00-03:00,55.074417
1997-10-01,1997,1,10,ABATE12_ABPENO12,1997-10-01T00:00:00-03:00,58.791775
1997-11-01,1997,1,11,ABATE12_ABPENO12,1997-11-01T00:00:00-03:00,48.816463
1997-12-01,1997,1,12,ABATE12_ABPENO12,1997-12-01T00:00:00-02:00,55.848915
1998-01-01,1998,1,1,ABATE12_ABPENO12,1998-01-01T00:00:00-02:00,41.817906
1998-02-01,1998,1,2,ABATE12_ABPENO12,1998-02-01T00:00:00-02:00,35.702519
1998-03-01,1998,1,3,ABATE12_ABPENO12,1998-03-01T00:00:00-03:00,43.23775
1998-04-01,1998,1,4,ABATE12_ABPENO12,1998-04-01T00:00:00-03:00,42.926358
1998-05-01,1998,1,5,ABATE12_ABPENO12,1998-05-01T00:00:00-03:00,44.093686
1998-06-01,1998,1,6,ABATE12_ABPENO12,1998-06-01T00:00:00-03:00,44.414167
1998-07-01,1998,1,7,ABATE12_ABPENO12,1998-07-01T00:00:00-03:00,42.657375
1998-08-01,1998,1,8,ABATE12_ABPENO12,1998-08-01T00:00:00-03:00,45.278315
1998-09-01,1998,1,9,ABATE12_ABPENO12,1998-09-01T00:00:00-03:00,48.818688
1998-10-01,1998,1,10,ABATE12_ABPENO12,1998-10-01T00:00:00-03:00,54.724386
1998-11-01,1998,1,11,ABATE12_ABPENO12,1998-11-01T00:00:00-03:00,50.029892
1998-12-01,1998,1,12,ABATE12_ABPENO12,1998-12-01T00:00:00-02:00,52.27003
1999-01-01,1999,1,1,ABATE12_ABPENO12,1999-01-01T00:00:00-02:00,49.684173
1999-02-01,1999,1,2,ABATE12_ABPENO12,1999-02-01T00:00:00-02:00,47.80465
1999-03-01,1999,1,3,ABATE12_ABPENO12,1999-03-01T00:00:00-03:00,54.241401
1999-04-01,1999,1,4,ABATE12_ABPENO12,1999-04-01T00:00:00-03:00,54.857082
1999-05-01,1999,1,5,ABATE12_ABPENO12,1999-05-01T00:00:00-03:00,55.195155
1999-06-01,1999,1,6,ABATE12_ABPENO12,1999-06-01T00:00:00-03:00,50.709334
1999-07-01,1999,1,7,ABATE12_ABPENO12,1999-07-01T00:00:00-03:00,52.864968
1999-08-01,1999,1,8,ABATE12_ABPENO12,1999-08-01T00:00:00-03:00,55.762926
1999-09-01,1999,1,9,ABATE12_ABPENO12,1999-09-01T00:00:00-03:00,56.00973
1999-10-01,1999,1,10,ABATE12_ABPENO12,1999-10-01T00:00:00-03:00,62.192735
1999-11-01,1999,1,11,ABATE12_ABPENO12,1999-11-01T00:00:00-03:00,56.623993
1999-12-01,1999,1,12,ABATE12_ABPENO12,1999-12-01T00:00:00-02:00,62.534478
2000-01-01,2000,1,1,ABATE12_ABPENO12,2000-01-01T00:00:00-02:00,48.659433
2000-02-01,2000,1,2,ABATE12_ABPENO12,2000-02-01T00:00:00-02:00,50.988103
2000-03-01,2000,1,3,ABATE12_ABPENO12,2000-03-01T00:00:00-03:00,55.204234
2000-04-01,2000,1,4,ABATE12_ABPENO12,2000-04-01T00:00:00-03:00,50.033826
2000-05-01,2000,1,5,ABATE12_ABPENO12,2000-05-01T00:00:00-03:00,58.121184
2000-06-01,2000,1,6,ABATE12_ABPENO12,2000-06-01T00:00:00-03:00,57.044235
2000-07-01,2000,1,7,ABATE12_ABPENO12,2000-07-01T00:00:00-03:00,55.116485
2000-08-01,2000,1,8,ABATE12_ABPENO12,2000-08-01T00:00:00-03:00,60.72339
2000-09-01,2000,1,9,ABATE12_ABPENO12,2000-09-01T00:00:00-03:00,58.106165
2000-10-01,2000,1,10,ABATE12_ABPENO12,2000-10-01T00:00:00-03:00,72.83129
2000-11-01,2000,1,11,ABATE12_ABPENO12,2000-11-01T00:00:00-03:00,70.633293
2000-12-01,2000,1,12,ABATE12_ABPENO12,2000-12-01T00:00:00-02:00,73.538485
2001-01-01,2001,1,1,ABATE12_ABPENO12,2001-01-01T00:00:00-02:00,67.293374
2001-02-01,2001,1,2,ABATE12_ABPENO12,2001-02-01T00:00:00-02:00,59.199483
2001-03-01,2001,1,3,ABATE12_ABPENO12,2001-03-01T00:00:00-03:00,75.832968
2001-04-01,2001,1,4,ABATE12_ABPENO12,2001-04-01T00:00:00-03:00,72.400724
2001-05-01,2001,1,5,ABATE12_ABPENO12,2001-05-01T00:00:00-03:00,79.892308
2001-06-01,2001,1,6,ABATE12_ABPENO12,2001-06-01T00:00:00-03:00,74.219436
2001-07-01,2001,1,7,ABATE12_ABPENO12,2001-07-01T00:00:00-03:00,69.447036
2001-08-01,2001,1,8,ABATE12_ABPENO12,2001-08-01T00:00:00-03:00,81.122255
2001-09-01,2001,1,9,ABATE12_ABPENO12,2001-09-01T00:00:00-03:00,75.086076
2001-10-01,2001,1,10,ABATE12_ABPENO12,2001-10-01T00:00:00-03:00,79.828321
2001-11-01,2001,1,11,ABATE12_ABPENO12,2001-11-01T00:00:00-03:00,73.957574
2001-12-01,2001,1,12,ABATE12_ABPENO12,2001-12-01T00:00:00-02:00,73.819444
2002-01-01,2002,1,1,ABATE12_ABPENO12,2002-01-01T00:00:00-02:00,67.369236
2002-02-01,2002,1,2,ABATE12_ABPENO12,2002-02-01T00:00:00-02:00,61.467607
2002-03-01,2002,1,3,ABATE12_ABPENO12,2002-03-01T00:00:00-03:00,64.510264
2002-04-01,2002,1,4,ABATE12_ABPENO12,2002-04-01T00:00:00-03:00,61.997111
2002-05-01,2002,1,5,ABATE12_ABPENO12,2002-05-01T00:00:00-03:00,67.099253
2002-06-01,2002,1,6,ABATE12_ABPENO12,2002-06-01T00:00:00-03:00,62.29643
2002-07-01,2002,1,7,ABATE12_ABPENO12,2002-07-01T00:00:00-03:00,68.317033
2002-08-01,2002,1,8,ABATE12_ABPENO12,2002-08-01T00:00:00-03:00,67.353357
2002-09-01,2002,1,9,ABATE12_ABPENO12,2002-09-01T00:00:00-03:00,68.638693
2002-10-01,2002,1,10,ABATE12_ABPENO12,2002-10-01T00:00:00-03:00,79.211424
2002-11-01,2002,1,11,ABATE12_ABPENO12,2002-11-01T00:00:00-03:00,67.311164
2002-12-01,2002,1,12,ABATE12_ABPENO12,2002-12-01T00:00:00-02:00,63.939278
2003-01-01,2003,1,1,ABATE12_ABPENO12,2003-01-01T00:00:00-02:00,55.640524
2003-02-01,2003,1,2,ABATE12_ABPENO12,2003-02-01T00:00:00-02:00,53.673573
2003-03-01,2003,1,3,ABATE12_ABPENO12,2003-03-01T00:00:00-03:00,56.485769
2003-04-01,2003,1,4,ABATE12_ABPENO12,2003-04-01T00:00:00-03:00,54.102739
2003-05-01,2003,1,5,ABATE12_ABPENO12,2003-05-01T00:00:00-03:00,54.759581
2003-06-01,2003,1,6,ABATE12_ABPENO12,2003-06-01T00:00:00-03:00,49.284225
2003-07-01,2003,1,7,ABATE12_ABPENO12,2003-07-01T00:00:00-03:00,57.257877
2003-08-01,2003,1,8,ABATE12_ABPENO12,2003-08-01T00:00:00-03:00,61.234331
2003-09-01,2003,1,9,ABATE12_ABPENO12,2003-09-01T00:00:00-03:00,64.112498
2003-10-01,2003,1,10,ABATE12_ABPENO12,2003-10-01T00:00:00-03:00,73.758644
2003-11-01,2003,1,11,ABATE12_ABPENO12,2003-11-01T00:00:00-03:00,64.487162
2003-12-01,2003,1,12,ABATE12_ABPENO12,2003-12-01T00:00:00-02:00,70.329481
2004-01-01,2004,1,1,ABATE12_ABPENO12,2004-01-01T00:00:00-02:00,64.014753
2004-02-01,2004,1,2,ABATE12_ABPENO12,2004-02-01T00:00:00-02:00,58.253881
2004-03-01,2004,1,3,ABATE12_ABPENO12,2004-03-01T00:00:00-03:00,70.284019
2004-04-01,2004,1,4,ABATE12_ABPENO12,2004-04-01T00:00:00-03:00,67.567887
2004-05-01,2004,1,5,ABATE12_ABPENO12,2004-05-01T00:00:00-03:00,72.92368
2004-06-01,2004,1,6,ABATE12_ABPENO12,2004-06-01T00:00:00-03:00,74.343336
2004-07-01,2004,1,7,ABATE12_ABPENO12,2004-07-01T00:00:00-03:00,79.285608
2004-08-01,2004,1,8,ABATE12_ABPENO12,2004-08-01T00:00:00-03:00,82.001899
2004-09-01,2004,1,9,ABATE12_ABPENO12,2004-09-01T00:00:00-03:00,86.180619
2004-10-01,2004,1,10,ABATE12_ABPENO12,2004-10-01T00:00:00-03:00,82.821449
2004-11-01,2004,1,11,ABATE12_ABPENO12,2004-11-01T00:00:00-03:00,82.357551
2004-12-01,2004,1,12,ABATE12_ABPENO12,2004-12-01T00:00:00-02:00,81.076968
2005-01-01,2005,1,1,ABATE12_ABPENO12,2005-01-01T00:00:00-02:00,71.519478
2005-02-01,2005,1,2,ABATE12_ABPENO12,2005-02-01T00:00:00-02:00,63.904108
2005-03-01,2005,1,3,ABATE12_ABPENO12,2005-03-01T00:00:00-03:00,77.477091
2005-04-01,2005,1,4,ABATE12_ABPENO12,2005-04-01T00:00:00-03:00,81.995683
2005-05-01,2005,1,5,ABATE12_ABPENO12,2005-05-01T00:00:00-03:00,85.344545
2005-06-01,2005,1,6,ABATE12_ABPENO12,2005-06-01T00:00:00-03:00,88.005854
2005-07-01,2005,1,7,ABATE12_ABPENO12,2005-07-01T00:00:00-03:00,87.901959
2005-08-01,2005,1,8,ABATE12_ABPENO12,2005-08-01T00:00:00-03:00,94.411058
2005-09-01,2005,1,9,ABATE12_ABPENO12,2005-09-01T00:00:00-03:00,92.417085
2005-10-01,2005,1,10,ABATE12_ABPENO12,2005-10-01T00:00:00-03:00,75.24865
2005-11-01,2005,1,11,ABATE12_ABPENO12,2005-11-01T00:00:00-02:00,82.474901
2005-12-01,2005,1,12,ABATE12_ABPENO12,2005-12-01T00:00:00-02:00,86.060767
2006-01-01,2006,1,1,ABATE12_ABPENO12,2006-01-01T00:00:00-02:00,73.83732
2006-02-01,2006,1,2,ABATE12_ABPENO12,2006-02-01T00:00:00-02:00,67.15984
2006-03-01,2006,1,3,ABATE12_ABPENO12,2006-03-01T00:00:00-03:00,84.674885
2006-04-01,2006,1,4,ABATE12_ABPENO12,2006-04-01T00:00:00-03:00,73.351899
2006-05-01,2006,1,5,ABATE12_ABPENO12,2006-05-01T00:00:00-03:00,92.86195
2006-06-01,2006,1,6,ABATE12_ABPENO12,2006-06-01T00:00:00-03:00,90.396809
2006-07-01,2006,1,7,ABATE12_ABPENO12,2006-07-01T00:00:00-03:00,83.51683
2006-08-01,2006,1,8,ABATE12_ABPENO12,2006-08-01T00:00:00-03:00,89.872156
2006-09-01,2006,1,9,ABATE12_ABPENO12,2006-09-01T00:00:00-03:00,88.292772
2006-10-01,2006,1,10,ABATE12_ABPENO12,2006-10-01T00:00:00-03:00,93.108635
2006-11-01,2006,1,11,ABATE12_ABPENO12,2006-11-01T00:00:00-03:00,88.055031
2006-12-01,2006,1,12,ABATE12_ABPENO12,2006-12-01T00:00:00-02:00,89.612401
2007-01-01,2007,1,1,ABATE12_ABPENO12,2007-01-01T00:00:00-02:00,84.423536
2007-02-01,2007,1,2,ABATE12_ABPENO12,2007-02-01T00:00:00-02:00,76.04392
2007-03-01,2007,1,3,ABATE12_ABPENO12,2007-03-01T00:00:00-03:00,88.186802
2007-04-01,2007,1,4,ABATE12_ABPENO12,2007-04-01T00:00:00-03:00,82.835261
2007-05-01,2007,1,5,ABATE12_ABPENO12,2007-05-01T00:00:00-03:00,90.735759
2007-06-01,2007,1,6,ABATE12_ABPENO12,2007-06-01T00:00:00-03:00,68.809657
2007-07-01,2007,1,7,ABATE12_ABPENO12,2007-07-01T00:00:00-03:00,75.976406
2007-08-01,2007,1,8,ABATE12_ABPENO12,2007-08-01T00:00:00-03:00,77.320976
