DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (Cabeça)
1975-01-01,1975,1,1,ABATE12_ABQUBV12,1975-01-01T00:00:00-02:00,664.191
1975-02-01,1975,1,2,ABATE12_ABQUBV12,1975-02-01T00:00:00-02:00,674.982
1975-03-01,1975,1,3,ABATE12_ABQUBV12,1975-03-01T00:00:00-03:00,782.736
1975-04-01,1975,1,4,ABATE12_ABQUBV12,1975-04-01T00:00:00-03:00,910.174
1975-05-01,1975,1,5,ABATE12_ABQUBV12,1975-05-01T00:00:00-03:00,968.651
1975-06-01,1975,1,6,ABATE12_ABQUBV12,1975-06-01T00:00:00-03:00,862.479
1975-07-01,1975,1,7,ABATE12_ABQUBV12,1975-07-01T00:00:00-03:00,768.289
1975-08-01,1975,1,8,ABATE12_ABQUBV12,1975-08-01T00:00:00-03:00,567.279
1975-09-01,1975,1,9,ABATE12_ABQUBV12,1975-09-01T00:00:00-03:00,433.662
1975-10-01,1975,1,10,ABATE12_ABQUBV12,1975-10-01T00:00:00-03:00,487.311
1975-11-01,1975,1,11,ABATE12_ABQUBV12,1975-11-01T00:00:00-03:00,649.681
1975-12-01,1975,1,12,ABATE12_ABQUBV12,1975-12-01T00:00:00-02:00,772.024
1976-01-01,1976,1,1,ABATE12_ABQUBV12,1976-01-01T00:00:00-02:00,871.727
1976-02-01,1976,1,2,ABATE12_ABQUBV12,1976-02-01T00:00:00-02:00,887.56
1976-03-01,1976,1,3,ABATE12_ABQUBV12,1976-03-01T00:00:00-03:00,1073.068
1976-04-01,1976,1,4,ABATE12_ABQUBV12,1976-04-01T00:00:00-03:00,1040.088
1976-05-01,1976,1,5,ABATE12_ABQUBV12,1976-05-01T00:00:00-03:00,1139.381
1976-06-01,1976,1,6,ABATE12_ABQUBV12,1976-06-01T00:00:00-03:00,1099.209
1976-07-01,1976,1,7,ABATE12_ABQUBV12,1976-07-01T00:00:00-03:00,1042.204
1976-08-01,1976,1,8,ABATE12_ABQUBV12,1976-08-01T00:00:00-03:00,778.595
1976-09-01,1976,1,9,ABATE12_ABQUBV12,1976-09-01T00:00:00-03:00,624.353
1976-10-01,1976,1,10,ABATE12_ABQUBV12,1976-10-01T00:00:00-03:00,637.656
1976-11-01,1976,1,11,ABATE12_ABQUBV12,1976-11-01T00:00:00-03:00,658.213
1976-12-01,1976,1,12,ABATE12_ABQUBV12,1976-12-01T00:00:00-02:00,774.36
1977-01-01,1977,1,1,ABATE12_ABQUBV12,1977-01-01T00:00:00-02:00,944.165
1977-02-01,1977,1,2,ABATE12_ABQUBV12,1977-02-01T00:00:00-02:00,952.4
1977-03-01,1977,1,3,ABATE12_ABQUBV12,1977-03-01T00:00:00-03:00,1239.054
1977-04-01,1977,1,4,ABATE12_ABQUBV12,1977-04-01T00:00:00-03:00,1234.473
1977-05-01,1977,1,5,ABATE12_ABQUBV12,1977-05-01T00:00:00-03:00,1356.522
1977-06-01,1977,1,6,ABATE12_ABQUBV12,1977-06-01T00:00:00-03:00,1229.741
1977-07-01,1977,1,7,ABATE12_ABQUBV12,1977-07-01T00:00:00-03:00,1112.217
1977-08-01,1977,1,8,ABATE12_ABQUBV12,1977-08-01T00:00:00-03:00,930.63
1977-09-01,1977,1,9,ABATE12_ABQUBV12,1977-09-01T00:00:00-03:00,791.809
1977-10-01,1977,1,10,ABATE12_ABQUBV12,1977-10-01T00:00:00-03:00,704.108
1977-11-01,1977,1,11,ABATE12_ABQUBV12,1977-11-01T00:00:00-03:00,814.093
1977-12-01,1977,1,12,ABATE12_ABQUBV12,1977-12-01T00:00:00-02:00,964.923
1978-01-01,1978,1,1,ABATE12_ABQUBV12,1978-01-01T00:00:00-02:00,1036.189
1978-02-01,1978,1,2,ABATE12_ABQUBV12,1978-02-01T00:00:00-02:00,1076.57
1978-03-01,1978,1,3,ABATE12_ABQUBV12,1978-03-01T00:00:00-03:00,1106.421
1978-04-01,1978,1,4,ABATE12_ABQUBV12,1978-04-01T00:00:00-03:00,1192.052
1978-05-01,1978,1,5,ABATE12_ABQUBV12,1978-05-01T00:00:00-03:00,1315.981
1978-06-01,1978,1,6,ABATE12_ABQUBV12,1978-06-01T00:00:00-03:00,1101.199
1978-07-01,1978,1,7,ABATE12_ABQUBV12,1978-07-01T00:00:00-03:00,942.468
1978-08-01,1978,1,8,ABATE12_ABQUBV12,1978-08-01T00:00:00-03:00,727.302
1978-09-01,1978,1,9,ABATE12_ABQUBV12,1978-09-01T00:00:00-03:00,670.964
1978-10-01,1978,1,10,ABATE12_ABQUBV12,1978-10-01T00:00:00-03:00,689.788
1978-11-01,1978,1,11,ABATE12_ABQUBV12,1978-11-01T00:00:00-03:00,744.815
1978-12-01,1978,1,12,ABATE12_ABQUBV12,1978-12-01T00:00:00-02:00,823.576
1979-01-01,1979,1,1,ABATE12_ABQUBV12,1979-01-01T00:00:00-02:00,925.345
1979-02-01,1979,1,2,ABATE12_ABQUBV12,1979-02-01T00:00:00-02:00,904.064
1979-03-01,1979,1,3,ABATE12_ABQUBV12,1979-03-01T00:00:00-03:00,1057.071
1979-04-01,1979,1,4,ABATE12_ABQUBV12,1979-04-01T00:00:00-03:00,1023.993
1979-05-01,1979,1,5,ABATE12_ABQUBV12,1979-05-01T00:00:00-03:00,1172.082
1979-06-01,1979,1,6,ABATE12_ABQUBV12,1979-06-01T00:00:00-03:00,955.2
1979-07-01,1979,1,7,ABATE12_ABQUBV12,1979-07-01T00:00:00-03:00,795.193
1979-08-01,1979,1,8,ABATE12_ABQUBV12,1979-08-01T00:00:00-03:00,713.177
1979-09-01,1979,1,9,ABATE12_ABQUBV12,1979-09-01T00:00:00-03:00,592.02
1979-10-01,1979,1,10,ABATE12_ABQUBV12,1979-10-01T00:00:00-03:00,580.091
1979-11-01,1979,1,11,ABATE12_ABQUBV12,1979-11-01T00:00:00-03:00,647.437
1979-12-01,1979,1,12,ABATE12_ABQUBV12,1979-12-01T00:00:00-02:00,682.196
1980-01-01,1980,1,1,ABATE12_ABQUBV12,1980-01-01T00:00:00-02:00,795.668
1980-02-01,1980,1,2,ABATE12_ABQUBV12,1980-02-01T00:00:00-02:00,781.433
1980-03-01,1980,1,3,ABATE12_ABQUBV12,1980-03-01T00:00:00-03:00,963.987
1980-04-01,1980,1,4,ABATE12_ABQUBV12,1980-04-01T00:00:00-03:00,988.686
1980-05-01,1980,1,5,ABATE12_ABQUBV12,1980-05-01T00:00:00-03:00,1131.648
1980-06-01,1980,1,6,ABATE12_ABQUBV12,1980-06-01T00:00:00-03:00,934.605
1980-07-01,1980,1,7,ABATE12_ABQUBV12,1980-07-01T00:00:00-03:00,856.202
1980-08-01,1980,1,8,ABATE12_ABQUBV12,1980-08-01T00:00:00-03:00,691.465
1980-09-01,1980,1,9,ABATE12_ABQUBV12,1980-09-01T00:00:00-03:00,626.516
1980-10-01,1980,1,10,ABATE12_ABQUBV12,1980-10-01T00:00:00-03:00,567.951
1980-11-01,1980,1,11,ABATE12_ABQUBV12,1980-11-01T00:00:00-03:00,554.162
1980-12-01,1980,1,12,ABATE12_ABQUBV12,1980-12-01T00:00:00-02:00,680.211
1981-01-01,1981,1,1,ABATE12_ABQUBV12,1981-01-01T00:00:00-02:00,667.431
1981-02-01,1981,1,2,ABATE12_ABQUBV12,1981-02-01T00:00:00-02:00,748.145
1981-03-01,1981,1,3,ABATE12_ABQUBV12,1981-03-01T00:00:00-03:00,1028.259
1981-04-01,1981,1,4,ABATE12_ABQUBV12,1981-04-01T00:00:00-03:00,1098.055
1981-05-01,1981,1,5,ABATE12_ABQUBV12,1981-05-01T00:00:00-03:00,1143.64
1981-06-01,1981,1,6,ABATE12_ABQUBV12,1981-06-01T00:00:00-03:00,928.495
1981-07-01,1981,1,7,ABATE12_ABQUBV12,1981-07-01T00:00:00-03:00,926.156
1981-08-01,1981,1,8,ABATE12_ABQUBV12,1981-08-01T00:00:00-03:00,778.522
1981-09-01,1981,1,9,ABATE12_ABQUBV12,1981-09-01T00:00:00-03:00,660.703
1981-10-01,1981,1,10,ABATE12_ABQUBV12,1981-10-01T00:00:00-03:00,631.426
1981-11-01,1981,1,11,ABATE12_ABQUBV12,1981-11-01T00:00:00-03:00,606.294
1981-12-01,1981,1,12,ABATE12_ABQUBV12,1981-12-01T00:00:00-02:00,738.844
1982-01-01,1982,1,1,ABATE12_ABQUBV12,1982-01-01T00:00:00-02:00,823.55
1982-02-01,1982,1,2,ABATE12_ABQUBV12,1982-02-01T00:00:00-02:00,843.571
1982-03-01,1982,1,3,ABATE12_ABQUBV12,1982-03-01T00:00:00-03:00,1084.373
1982-04-01,1982,1,4,ABATE12_ABQUBV12,1982-04-01T00:00:00-03:00,1080.541
1982-05-01,1982,1,5,ABATE12_ABQUBV12,1982-05-01T00:00:00-03:00,1220.115
1982-06-01,1982,1,6,ABATE12_ABQUBV12,1982-06-01T00:00:00-03:00,1135.701
1982-07-01,1982,1,7,ABATE12_ABQUBV12,1982-07-01T00:00:00-03:00,1041.012
1982-08-01,1982,1,8,ABATE12_ABQUBV12,1982-08-01T00:00:00-03:00,905.073
1982-09-01,1982,1,9,ABATE12_ABQUBV12,1982-09-01T00:00:00-03:00,829.268
