DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (Cabeça)
1975-01-01,1975,1,1,ABATE12_ABQUFR12,1975-01-01T00:00:00-02:00,20236.393
1975-02-01,1975,1,2,ABATE12_ABQUFR12,1975-02-01T00:00:00-02:00,18880.395
1975-03-01,1975,1,3,ABATE12_ABQUFR12,1975-03-01T00:00:00-03:00,18293.132
1975-04-01,1975,1,4,ABATE12_ABQUFR12,1975-04-01T00:00:00-03:00,19393.08
1975-05-01,1975,1,5,ABATE12_ABQUFR12,1975-05-01T00:00:00-03:00,18764.539
1975-06-01,1975,1,6,ABATE12_ABQUFR12,1975-06-01T00:00:00-03:00,18699.208
1975-07-01,1975,1,7,ABATE12_ABQUFR12,1975-07-01T00:00:00-03:00,20098.784
1975-08-01,1975,1,8,ABATE12_ABQUFR12,1975-08-01T00:00:00-03:00,20520.975
1975-09-01,1975,1,9,ABATE12_ABQUFR12,1975-09-01T00:00:00-03:00,20835.422
1975-10-01,1975,1,10,ABATE12_ABQUFR12,1975-10-01T00:00:00-03:00,22384.728
1975-11-01,1975,1,11,ABATE12_ABQUFR12,1975-11-01T00:00:00-03:00,21012.725
1975-12-01,1975,1,12,ABATE12_ABQUFR12,1975-12-01T00:00:00-02:00,26081.53
1976-01-01,1976,1,1,ABATE12_ABQUFR12,1976-01-01T00:00:00-02:00,21678.656
1976-02-01,1976,1,2,ABATE12_ABQUFR12,1976-02-01T00:00:00-02:00,19942.768
1976-03-01,1976,1,3,ABATE12_ABQUFR12,1976-03-01T00:00:00-03:00,20847.413
1976-04-01,1976,1,4,ABATE12_ABQUFR12,1976-04-01T00:00:00-03:00,20307.615
1976-05-01,1976,1,5,ABATE12_ABQUFR12,1976-05-01T00:00:00-03:00,21405.813
1976-06-01,1976,1,6,ABATE12_ABQUFR12,1976-06-01T00:00:00-03:00,21866.281
1976-07-01,1976,1,7,ABATE12_ABQUFR12,1976-07-01T00:00:00-03:00,22964.488
1976-08-01,1976,1,8,ABATE12_ABQUFR12,1976-08-01T00:00:00-03:00,22640.364
