DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (Cabeça)
1997-01-01,1997,1,1,ABATE12_ABQUNO12,1997-01-01T00:00:00-02:00,210.406
1997-02-01,1997,1,2,ABATE12_ABQUNO12,1997-02-01T00:00:00-02:00,192.845
1997-03-01,1997,1,3,ABATE12_ABQUNO12,1997-03-01T00:00:00-03:00,207.666
1997-04-01,1997,1,4,ABATE12_ABQUNO12,1997-04-01T00:00:00-03:00,204.066
1997-05-01,1997,1,5,ABATE12_ABQUNO12,1997-05-01T00:00:00-03:00,202.379
1997-06-01,1997,1,6,ABATE12_ABQUNO12,1997-06-01T00:00:00-03:00,198.087
1997-07-01,1997,1,7,ABATE12_ABQUNO12,1997-07-01T00:00:00-03:00,212.645
1997-08-01,1997,1,8,ABATE12_ABQUNO12,1997-08-01T00:00:00-03:00,224.473
1997-09-01,1997,1,9,ABATE12_ABQUNO12,1997-09-01T00:00:00-03:00,246.272
1997-10-01,1997,1,10,ABATE12_ABQUNO12,1997-10-01T00:00:00-03:00,264.042
1997-11-01,1997,1,11,ABATE12_ABQUNO12,1997-11-01T00:00:00-03:00,219.418
1997-12-01,1997,1,12,ABATE12_ABQUNO12,1997-12-01T00:00:00-02:00,250.77
1998-01-01,1998,1,1,ABATE12_ABQUNO12,1998-01-01T00:00:00-02:00,190.147
1998-02-01,1998,1,2,ABATE12_ABQUNO12,1998-02-01T00:00:00-02:00,162.412
1998-03-01,1998,1,3,ABATE12_ABQUNO12,1998-03-01T00:00:00-03:00,195.671
1998-04-01,1998,1,4,ABATE12_ABQUNO12,1998-04-01T00:00:00-03:00,192.54
1998-05-01,1998,1,5,ABATE12_ABQUNO12,1998-05-01T00:00:00-03:00,198.372
1998-06-01,1998,1,6,ABATE12_ABQUNO12,1998-06-01T00:00:00-03:00,199.985
1998-07-01,1998,1,7,ABATE12_ABQUNO12,1998-07-01T00:00:00-03:00,192.721
1998-08-01,1998,1,8,ABATE12_ABQUNO12,1998-08-01T00:00:00-03:00,204.374
1998-09-01,1998,1,9,ABATE12_ABQUNO12,1998-09-01T00:00:00-03:00,217.698
1998-10-01,1998,1,10,ABATE12_ABQUNO12,1998-10-01T00:00:00-03:00,243.098
1998-11-01,1998,1,11,ABATE12_ABQUNO12,1998-11-01T00:00:00-03:00,226.252
1998-12-01,1998,1,12,ABATE12_ABQUNO12,1998-12-01T00:00:00-02:00,236.867
1999-01-01,1999,1,1,ABATE12_ABQUNO12,1999-01-01T00:00:00-02:00,224.626
1999-02-01,1999,1,2,ABATE12_ABQUNO12,1999-02-01T00:00:00-02:00,215.028
1999-03-01,1999,1,3,ABATE12_ABQUNO12,1999-03-01T00:00:00-03:00,242.122
1999-04-01,1999,1,4,ABATE12_ABQUNO12,1999-04-01T00:00:00-03:00,242.886
1999-05-01,1999,1,5,ABATE12_ABQUNO12,1999-05-01T00:00:00-03:00,245.526
1999-06-01,1999,1,6,ABATE12_ABQUNO12,1999-06-01T00:00:00-03:00,227.226
1999-07-01,1999,1,7,ABATE12_ABQUNO12,1999-07-01T00:00:00-03:00,236.34
1999-08-01,1999,1,8,ABATE12_ABQUNO12,1999-08-01T00:00:00-03:00,250.218
1999-09-01,1999,1,9,ABATE12_ABQUNO12,1999-09-01T00:00:00-03:00,251.935
1999-10-01,1999,1,10,ABATE12_ABQUNO12,1999-10-01T00:00:00-03:00,281.507
1999-11-01,1999,1,11,ABATE12_ABQUNO12,1999-11-01T00:00:00-03:00,259.247
1999-12-01,1999,1,12,ABATE12_ABQUNO12,1999-12-01T00:00:00-02:00,288.732
2000-01-01,2000,1,1,ABATE12_ABQUNO12,2000-01-01T00:00:00-02:00,222.933
2000-02-01,2000,1,2,ABATE12_ABQUNO12,2000-02-01T00:00:00-02:00,233.096
2000-03-01,2000,1,3,ABATE12_ABQUNO12,2000-03-01T00:00:00-03:00,249.062
2000-04-01,2000,1,4,ABATE12_ABQUNO12,2000-04-01T00:00:00-03:00,225.257
2000-05-01,2000,1,5,ABATE12_ABQUNO12,2000-05-01T00:00:00-03:00,261.228
2000-06-01,2000,1,6,ABATE12_ABQUNO12,2000-06-01T00:00:00-03:00,259.098
2000-07-01,2000,1,7,ABATE12_ABQUNO12,2000-07-01T00:00:00-03:00,252.597
2000-08-01,2000,1,8,ABATE12_ABQUNO12,2000-08-01T00:00:00-03:00,276.391
2000-09-01,2000,1,9,ABATE12_ABQUNO12,2000-09-01T00:00:00-03:00,264.015
2000-10-01,2000,1,10,ABATE12_ABQUNO12,2000-10-01T00:00:00-03:00,329.978
2000-11-01,2000,1,11,ABATE12_ABQUNO12,2000-11-01T00:00:00-03:00,317.707
2000-12-01,2000,1,12,ABATE12_ABQUNO12,2000-12-01T00:00:00-02:00,328.722
2001-01-01,2001,1,1,ABATE12_ABQUNO12,2001-01-01T00:00:00-02:00,299.404
2001-02-01,2001,1,2,ABATE12_ABQUNO12,2001-02-01T00:00:00-02:00,261.479
2001-03-01,2001,1,3,ABATE12_ABQUNO12,2001-03-01T00:00:00-03:00,331.044
2001-04-01,2001,1,4,ABATE12_ABQUNO12,2001-04-01T00:00:00-03:00,314.196
2001-05-01,2001,1,5,ABATE12_ABQUNO12,2001-05-01T00:00:00-03:00,346.196
2001-06-01,2001,1,6,ABATE12_ABQUNO12,2001-06-01T00:00:00-03:00,322.001
