DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (Cabeça)
1975-01-01,1975,1,1,ABATE12_ABQUVA12,1975-01-01T00:00:00-02:00,177.084
1975-02-01,1975,1,2,ABATE12_ABQUVA12,1975-02-01T00:00:00-02:00,170.787
1975-03-01,1975,1,3,ABATE12_ABQUVA12,1975-03-01T00:00:00-03:00,177.973
1975-04-01,1975,1,4,ABATE12_ABQUVA12,1975-04-01T00:00:00-03:00,220.003
1975-05-01,1975,1,5,ABATE12_ABQUVA12,1975-05-01T00:00:00-03:00,237.1
1975-06-01,1975,1,6,ABATE12_ABQUVA12,1975-06-01T00:00:00-03:00,205.948
1975-07-01,1975,1,7,ABATE12_ABQUVA12,1975-07-01T00:00:00-03:00,192.589
1975-08-01,1975,1,8,ABATE12_ABQUVA12,1975-08-01T00:00:00-03:00,169.17
1975-09-01,1975,1,9,ABATE12_ABQUVA12,1975-09-01T00:00:00-03:00,140.103
1975-10-01,1975,1,10,ABATE12_ABQUVA12,1975-10-01T00:00:00-03:00,146.766
1975-11-01,1975,1,11,ABATE12_ABQUVA12,1975-11-01T00:00:00-03:00,157.748
1975-12-01,1975,1,12,ABATE12_ABQUVA12,1975-12-01T00:00:00-02:00,185.979
1976-01-01,1976,1,1,ABATE12_ABQUVA12,1976-01-01T00:00:00-02:00,240.991
1976-02-01,1976,1,2,ABATE12_ABQUVA12,1976-02-01T00:00:00-02:00,265.243
1976-03-01,1976,1,3,ABATE12_ABQUVA12,1976-03-01T00:00:00-03:00,318.84
1976-04-01,1976,1,4,ABATE12_ABQUVA12,1976-04-01T00:00:00-03:00,307.056
1976-05-01,1976,1,5,ABATE12_ABQUVA12,1976-05-01T00:00:00-03:00,342.939
1976-06-01,1976,1,6,ABATE12_ABQUVA12,1976-06-01T00:00:00-03:00,362.59
1976-07-01,1976,1,7,ABATE12_ABQUVA12,1976-07-01T00:00:00-03:00,384.427
1976-08-01,1976,1,8,ABATE12_ABQUVA12,1976-08-01T00:00:00-03:00,309.581
1976-09-01,1976,1,9,ABATE12_ABQUVA12,1976-09-01T00:00:00-03:00,242.261
1976-10-01,1976,1,10,ABATE12_ABQUVA12,1976-10-01T00:00:00-03:00,252.079
1976-11-01,1976,1,11,ABATE12_ABQUVA12,1976-11-01T00:00:00-03:00,244.892
1976-12-01,1976,1,12,ABATE12_ABQUVA12,1976-12-01T00:00:00-02:00,307.447
1977-01-01,1977,1,1,ABATE12_ABQUVA12,1977-01-01T00:00:00-02:00,372.159
1977-02-01,1977,1,2,ABATE12_ABQUVA12,1977-02-01T00:00:00-02:00,400.593
1977-03-01,1977,1,3,ABATE12_ABQUVA12,1977-03-01T00:00:00-03:00,456.202
1977-04-01,1977,1,4,ABATE12_ABQUVA12,1977-04-01T00:00:00-03:00,456.583
1977-05-01,1977,1,5,ABATE12_ABQUVA12,1977-05-01T00:00:00-03:00,503.891
1977-06-01,1977,1,6,ABATE12_ABQUVA12,1977-06-01T00:00:00-03:00,434.154
1977-07-01,1977,1,7,ABATE12_ABQUVA12,1977-07-01T00:00:00-03:00,411.69
1977-08-01,1977,1,8,ABATE12_ABQUVA12,1977-08-01T00:00:00-03:00,379.899
