DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (Tonelada)
1980-01-01,1980,1,1,ABPO12_PAPEL12,1980-01-01T00:00:00-02:00,89659.6297422872
1980-02-01,1980,1,2,ABPO12_PAPEL12,1980-02-01T00:00:00-02:00,83332.3904410854
1980-03-01,1980,1,3,ABPO12_PAPEL12,1980-03-01T00:00:00-03:00,89123.6136166522
1980-04-01,1980,1,4,ABPO12_PAPEL12,1980-04-01T00:00:00-03:00,85477.7043984636
1980-05-01,1980,1,5,ABPO12_PAPEL12,1980-05-01T00:00:00-03:00,91161.4744579358
1980-06-01,1980,1,6,ABPO12_PAPEL12,1980-06-01T00:00:00-03:00,89123.6136166522
1980-07-01,1980,1,7,ABPO12_PAPEL12,1980-07-01T00:00:00-03:00,94486.2737826787
1980-08-01,1980,1,8,ABPO12_PAPEL12,1980-08-01T00:00:00-03:00,90518.0052162062
1980-09-01,1980,1,9,ABPO12_PAPEL12,1980-09-01T00:00:00-03:00,90625.4583323008
1980-10-01,1980,1,10,ABPO12_PAPEL12,1980-10-01T00:00:00-03:00,95450.852917854
1980-11-01,1980,1,11,ABPO12_PAPEL12,1980-11-01T00:00:00-03:00,88480.1443749226
1980-12-01,1980,1,12,ABPO12_PAPEL12,1980-12-01T00:00:00-02:00,85047.891934085
1981-01-01,1981,1,1,ABPO12_PAPEL12,1981-01-01T00:00:00-02:00,83939.625492504
1981-02-01,1981,1,2,ABPO12_PAPEL12,1981-02-01T00:00:00-02:00,80347.4428323628
1981-03-01,1981,1,3,ABPO12_PAPEL12,1981-03-01T00:00:00-03:00,82332.8265704374
1981-04-01,1981,1,4,ABPO12_PAPEL12,1981-04-01T00:00:00-03:00,74013.9562569694
1981-05-01,1981,1,5,ABPO12_PAPEL12,1981-05-01T00:00:00-03:00,73541.6623280882
1981-06-01,1981,1,6,ABPO12_PAPEL12,1981-06-01T00:00:00-03:00,71367.6109094288
1981-07-01,1981,1,7,ABPO12_PAPEL12,1981-07-01T00:00:00-03:00,76094.2985627555
