DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE ((% a.a.))
2000-04-01,2000,1,4,ANBIMA12_TJTLN112,2000-04-01T00:00:00-03:00,18.70925
2000-05-01,2000,1,5,ANBIMA12_TJTLN112,2000-05-01T00:00:00-03:00,18.8381
2000-06-01,2000,1,6,ANBIMA12_TJTLN112,2000-06-01T00:00:00-03:00,18.0709238095238
2000-07-01,2000,1,7,ANBIMA12_TJTLN112,2000-07-01T00:00:00-03:00,16.9200619047619
2000-08-01,2000,1,8,ANBIMA12_TJTLN112,2000-08-01T00:00:00-03:00,16.4265695652174
2000-09-01,2000,1,9,ANBIMA12_TJTLN112,2000-09-01T00:00:00-03:00,16.55729
2000-10-01,2000,1,10,ANBIMA12_TJTLN112,2000-10-01T00:00:00-03:00,16.6169285714286
2000-11-01,2000,1,11,ANBIMA12_TJTLN112,2000-11-01T00:00:00-03:00,16.757715
2000-12-01,2000,1,12,ANBIMA12_TJTLN112,2000-12-01T00:00:00-02:00,16.200755
2001-01-01,2001,1,1,ANBIMA12_TJTLN112,2001-01-01T00:00:00-02:00,15.3673772727273
2001-02-01,2001,1,2,ANBIMA12_TJTLN112,2001-02-01T00:00:00-02:00,15.2020611111111
2001-03-01,2001,1,3,ANBIMA12_TJTLN112,2001-03-01T00:00:00-03:00,16.2724954545455
2001-04-01,2001,1,4,ANBIMA12_TJTLN112,2001-04-01T00:00:00-03:00,17.755695
2001-05-01,2001,1,5,ANBIMA12_TJTLN112,2001-05-01T00:00:00-03:00,17.59285
2001-06-01,2001,1,6,ANBIMA12_TJTLN112,2001-06-01T00:00:00-03:00,18.19824
2001-07-01,2001,1,7,ANBIMA12_TJTLN112,2001-07-01T00:00:00-03:00,21.5352181818182
2001-08-01,2001,1,8,ANBIMA12_TJTLN112,2001-08-01T00:00:00-03:00,20.2728
2001-09-01,2001,1,9,ANBIMA12_TJTLN112,2001-09-01T00:00:00-03:00,20.3099894736842
2001-10-01,2001,1,10,ANBIMA12_TJTLN112,2001-10-01T00:00:00-03:00,20.2107181818182
2001-11-01,2001,1,11,ANBIMA12_TJTLN112,2001-11-01T00:00:00-03:00,19.381135
2001-12-01,2001,1,12,ANBIMA12_TJTLN112,2001-12-01T00:00:00-02:00,19.34239
2002-01-01,2002,1,1,ANBIMA12_TJTLN112,2002-01-01T00:00:00-02:00,19.1149227272727
2002-02-01,2002,1,2,ANBIMA12_TJTLN112,2002-02-01T00:00:00-02:00,19.0285944444444
2002-03-01,2002,1,3,ANBIMA12_TJTLN112,2002-03-01T00:00:00-03:00,18.647105
2002-04-01,2002,1,4,ANBIMA12_TJTLN112,2002-04-01T00:00:00-03:00,18.5400909090909
2002-05-01,2002,1,5,ANBIMA12_TJTLN112,2002-05-01T00:00:00-03:00,18.3718619047619
2002-06-01,2002,1,6,ANBIMA12_TJTLN112,2002-06-01T00:00:00-03:00,18.848645
2002-07-01,2002,1,7,ANBIMA12_TJTLN112,2002-07-01T00:00:00-03:00,19.0384260869565
2002-08-01,2002,1,8,ANBIMA12_TJTLN112,2002-08-01T00:00:00-03:00,18.80455
2002-09-01,2002,1,9,ANBIMA12_TJTLN112,2002-09-01T00:00:00-03:00,18.7148571428571
2002-10-01,2002,1,10,ANBIMA12_TJTLN112,2002-10-01T00:00:00-03:00,21.3235043478261
2002-11-01,2002,1,11,ANBIMA12_TJTLN112,2002-11-01T00:00:00-03:00,23.03146
2002-12-01,2002,1,12,ANBIMA12_TJTLN112,2002-12-01T00:00:00-02:00,25.4250476190476
2003-01-01,2003,1,1,ANBIMA12_TJTLN112,2003-01-01T00:00:00-02:00,25.8300363636364
2003-02-01,2003,1,2,ANBIMA12_TJTLN112,2003-02-01T00:00:00-02:00,26.489915
2003-03-01,2003,1,3,ANBIMA12_TJTLN112,2003-03-01T00:00:00-03:00,26.7377052631579
2003-04-01,2003,1,4,ANBIMA12_TJTLN112,2003-04-01T00:00:00-03:00,26.123785
2003-05-01,2003,1,5,ANBIMA12_TJTLN112,2003-05-01T00:00:00-03:00,26.0411142857143
2003-06-01,2003,1,6,ANBIMA12_TJTLN112,2003-06-01T00:00:00-03:00,25.76628
2003-07-01,2003,1,7,ANBIMA12_TJTLN112,2003-07-01T00:00:00-03:00,24.673147826087
2003-08-01,2003,1,8,ANBIMA12_TJTLN112,2003-08-01T00:00:00-03:00,22.7599619047619
2003-09-01,2003,1,9,ANBIMA12_TJTLN112,2003-09-01T00:00:00-03:00,19.8762272727273
2003-10-01,2003,1,10,ANBIMA12_TJTLN112,2003-10-01T00:00:00-03:00,19.1107086956522
2003-11-01,2003,1,11,ANBIMA12_TJTLN112,2003-11-01T00:00:00-03:00,17.917455
2003-12-01,2003,1,12,ANBIMA12_TJTLN112,2003-12-01T00:00:00-02:00,16.2447454545455
2004-01-01,2004,1,1,ANBIMA12_TJTLN112,2004-01-01T00:00:00-02:00,16.0085904761905
2004-02-01,2004,1,2,ANBIMA12_TJTLN112,2004-02-01T00:00:00-02:00,16.2109722222222
2004-03-01,2004,1,3,ANBIMA12_TJTLN112,2004-03-01T00:00:00-03:00,16.0744869565217
2004-04-01,2004,1,4,ANBIMA12_TJTLN112,2004-04-01T00:00:00-03:00,15.85527
2004-05-01,2004,1,5,ANBIMA12_TJTLN112,2004-05-01T00:00:00-03:00,15.7949857142857
2004-06-01,2004,1,6,ANBIMA12_TJTLN112,2004-06-01T00:00:00-03:00,15.7972380952381
2004-07-01,2004,1,7,ANBIMA12_TJTLN112,2004-07-01T00:00:00-03:00,15.8550590909091
2004-08-01,2004,1,8,ANBIMA12_TJTLN112,2004-08-01T00:00:00-03:00,15.9725409090909
2004-09-01,2004,1,9,ANBIMA12_TJTLN112,2004-09-01T00:00:00-03:00,16.3646285714286
2004-10-01,2004,1,10,ANBIMA12_TJTLN112,2004-10-01T00:00:00-03:00,16.654
2004-11-01,2004,1,11,ANBIMA12_TJTLN112,2004-11-01T00:00:00-03:00,17.274335
2004-12-01,2004,1,12,ANBIMA12_TJTLN112,2004-12-01T00:00:00-02:00,17.7116173913043
