DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (Barril)
1979-01-01,1979,1,1,ANP12_CDEPET12,1979-01-01T00:00:00-02:00,1121.0
1979-02-01,1979,1,2,ANP12_CDEPET12,1979-02-01T00:00:00-02:00,1044.0
1979-03-01,1979,1,3,ANP12_CDEPET12,1979-03-01T00:00:00-03:00,1034.0
1979-04-01,1979,1,4,ANP12_CDEPET12,1979-04-01T00:00:00-03:00,1073.0
1979-05-01,1979,1,5,ANP12_CDEPET12,1979-05-01T00:00:00-03:00,1098.0
1979-06-01,1979,1,6,ANP12_CDEPET12,1979-06-01T00:00:00-03:00,1089.0
1979-07-01,1979,1,7,ANP12_CDEPET12,1979-07-01T00:00:00-03:00,1115.0
1979-08-01,1979,1,8,ANP12_CDEPET12,1979-08-01T00:00:00-03:00,1161.0
1979-09-01,1979,1,9,ANP12_CDEPET12,1979-09-01T00:00:00-03:00,1071.0
1979-10-01,1979,1,10,ANP12_CDEPET12,1979-10-01T00:00:00-03:00,1147.0
1979-11-01,1979,1,11,ANP12_CDEPET12,1979-11-01T00:00:00-03:00,1143.0
1979-12-01,1979,1,12,ANP12_CDEPET12,1979-12-01T00:00:00-02:00,1086.0
1980-01-01,1980,1,1,ANP12_CDEPET12,1980-01-01T00:00:00-02:00,1075.0
1980-02-01,1980,1,2,ANP12_CDEPET12,1980-02-01T00:00:00-02:00,1042.0
1980-03-01,1980,1,3,ANP12_CDEPET12,1980-03-01T00:00:00-03:00,1090.0
1980-04-01,1980,1,4,ANP12_CDEPET12,1980-04-01T00:00:00-03:00,1046.0
1980-05-01,1980,1,5,ANP12_CDEPET12,1980-05-01T00:00:00-03:00,1123.0
1980-06-01,1980,1,6,ANP12_CDEPET12,1980-06-01T00:00:00-03:00,1122.0
1980-07-01,1980,1,7,ANP12_CDEPET12,1980-07-01T00:00:00-03:00,1151.0
1980-08-01,1980,1,8,ANP12_CDEPET12,1980-08-01T00:00:00-03:00,1083.0
1980-09-01,1980,1,9,ANP12_CDEPET12,1980-09-01T00:00:00-03:00,1136.0
1980-10-01,1980,1,10,ANP12_CDEPET12,1980-10-01T00:00:00-03:00,1139.0
1980-11-01,1980,1,11,ANP12_CDEPET12,1980-11-01T00:00:00-03:00,1139.0
1980-12-01,1980,1,12,ANP12_CDEPET12,1980-12-01T00:00:00-02:00,1173.0
1981-01-01,1981,1,1,ANP12_CDEPET12,1981-01-01T00:00:00-02:00,1028.0
1981-02-01,1981,1,2,ANP12_CDEPET12,1981-02-01T00:00:00-02:00,1032.0
1981-03-01,1981,1,3,ANP12_CDEPET12,1981-03-01T00:00:00-03:00,983.0
1981-04-01,1981,1,4,ANP12_CDEPET12,1981-04-01T00:00:00-03:00,973.0
1981-05-01,1981,1,5,ANP12_CDEPET12,1981-05-01T00:00:00-03:00,987.0
1981-06-01,1981,1,6,ANP12_CDEPET12,1981-06-01T00:00:00-03:00,1025.0
1981-07-01,1981,1,7,ANP12_CDEPET12,1981-07-01T00:00:00-03:00,1070.0
1981-08-01,1981,1,8,ANP12_CDEPET12,1981-08-01T00:00:00-03:00,1005.0
1981-09-01,1981,1,9,ANP12_CDEPET12,1981-09-01T00:00:00-03:00,1042.0
1981-10-01,1981,1,10,ANP12_CDEPET12,1981-10-01T00:00:00-03:00,1056.0
1981-11-01,1981,1,11,ANP12_CDEPET12,1981-11-01T00:00:00-03:00,984.0
1981-12-01,1981,1,12,ANP12_CDEPET12,1981-12-01T00:00:00-02:00,1090.0
1982-01-01,1982,1,1,ANP12_CDEPET12,1982-01-01T00:00:00-02:00,995.0
1982-02-01,1982,1,2,ANP12_CDEPET12,1982-02-01T00:00:00-02:00,981.0
1982-03-01,1982,1,3,ANP12_CDEPET12,1982-03-01T00:00:00-03:00,996.0
1982-04-01,1982,1,4,ANP12_CDEPET12,1982-04-01T00:00:00-03:00,1063.0
1982-05-01,1982,1,5,ANP12_CDEPET12,1982-05-01T00:00:00-03:00,1017.0
1982-06-01,1982,1,6,ANP12_CDEPET12,1982-06-01T00:00:00-03:00,995.0
1982-07-01,1982,1,7,ANP12_CDEPET12,1982-07-01T00:00:00-03:00,990.0
1982-08-01,1982,1,8,ANP12_CDEPET12,1982-08-01T00:00:00-03:00,1063.0
1982-09-01,1982,1,9,ANP12_CDEPET12,1982-09-01T00:00:00-03:00,1016.0
1982-10-01,1982,1,10,ANP12_CDEPET12,1982-10-01T00:00:00-03:00,1036.0
1982-11-01,1982,1,11,ANP12_CDEPET12,1982-11-01T00:00:00-03:00,1065.0
1982-12-01,1982,1,12,ANP12_CDEPET12,1982-12-01T00:00:00-02:00,1100.0
1983-01-01,1983,1,1,ANP12_CDEPET12,1983-01-01T00:00:00-02:00,952.0
1983-02-01,1983,1,2,ANP12_CDEPET12,1983-02-01T00:00:00-02:00,981.0
1983-03-01,1983,1,3,ANP12_CDEPET12,1983-03-01T00:00:00-03:00,903.0
1983-04-01,1983,1,4,ANP12_CDEPET12,1983-04-01T00:00:00-03:00,963.0
1983-05-01,1983,1,5,ANP12_CDEPET12,1983-05-01T00:00:00-03:00,1034.0
1983-06-01,1983,1,6,ANP12_CDEPET12,1983-06-01T00:00:00-03:00,855.0
1983-07-01,1983,1,7,ANP12_CDEPET12,1983-07-01T00:00:00-03:00,934.0
1983-08-01,1983,1,8,ANP12_CDEPET12,1983-08-01T00:00:00-03:00,1045.0
1983-09-01,1983,1,9,ANP12_CDEPET12,1983-09-01T00:00:00-03:00,984.0
1983-10-01,1983,1,10,ANP12_CDEPET12,1983-10-01T00:00:00-03:00,1037.0
1983-11-01,1983,1,11,ANP12_CDEPET12,1983-11-01T00:00:00-03:00,908.0
1983-12-01,1983,1,12,ANP12_CDEPET12,1983-12-01T00:00:00-02:00,1033.0
1984-01-01,1984,1,1,ANP12_CDEPET12,1984-01-01T00:00:00-02:00,911.0
1984-02-01,1984,1,2,ANP12_CDEPET12,1984-02-01T00:00:00-02:00,867.0
1984-03-01,1984,1,3,ANP12_CDEPET12,1984-03-01T00:00:00-03:00,1023.0
1984-04-01,1984,1,4,ANP12_CDEPET12,1984-04-01T00:00:00-03:00,853.0
1984-05-01,1984,1,5,ANP12_CDEPET12,1984-05-01T00:00:00-03:00,880.0
1984-06-01,1984,1,6,ANP12_CDEPET12,1984-06-01T00:00:00-03:00,924.0
1984-07-01,1984,1,7,ANP12_CDEPET12,1984-07-01T00:00:00-03:00,940.0
1984-08-01,1984,1,8,ANP12_CDEPET12,1984-08-01T00:00:00-03:00,1033.0
1984-09-01,1984,1,9,ANP12_CDEPET12,1984-09-01T00:00:00-03:00,930.0
1984-10-01,1984,1,10,ANP12_CDEPET12,1984-10-01T00:00:00-03:00,1119.0
1984-11-01,1984,1,11,ANP12_CDEPET12,1984-11-01T00:00:00-03:00,928.0
1984-12-01,1984,1,12,ANP12_CDEPET12,1984-12-01T00:00:00-02:00,1066.0
1985-01-01,1985,1,1,ANP12_CDEPET12,1985-01-01T00:00:00-02:00,869.0
1985-02-01,1985,1,2,ANP12_CDEPET12,1985-02-01T00:00:00-02:00,983.0
1985-03-01,1985,1,3,ANP12_CDEPET12,1985-03-01T00:00:00-03:00,811.0
1985-04-01,1985,1,4,ANP12_CDEPET12,1985-04-01T00:00:00-03:00,901.0
1985-05-01,1985,1,5,ANP12_CDEPET12,1985-05-01T00:00:00-03:00,940.0
1985-06-01,1985,1,6,ANP12_CDEPET12,1985-06-01T00:00:00-03:00,943.0
1985-07-01,1985,1,7,ANP12_CDEPET12,1985-07-01T00:00:00-03:00,978.0
1985-08-01,1985,1,8,ANP12_CDEPET12,1985-08-01T00:00:00-03:00,1021.0
1985-09-01,1985,1,9,ANP12_CDEPET12,1985-09-01T00:00:00-03:00,999.0
1985-10-01,1985,1,10,ANP12_CDEPET12,1985-10-01T00:00:00-03:00,1058.0
1985-11-01,1985,1,11,ANP12_CDEPET12,1985-11-01T00:00:00-03:00,1029.0
1985-12-01,1985,1,12,ANP12_CDEPET12,1985-12-01T00:00:00-02:00,1107.0
1986-01-01,1986,1,1,ANP12_CDEPET12,1986-01-01T00:00:00-02:00,993.0
1986-02-01,1986,1,2,ANP12_CDEPET12,1986-02-01T00:00:00-02:00,976.0
1986-03-01,1986,1,3,ANP12_CDEPET12,1986-03-01T00:00:00-03:00,919.0
1986-04-01,1986,1,4,ANP12_CDEPET12,1986-04-01T00:00:00-03:00,986.0
1986-05-01,1986,1,5,ANP12_CDEPET12,1986-05-01T00:00:00-03:00,1051.0
1986-06-01,1986,1,6,ANP12_CDEPET12,1986-06-01T00:00:00-03:00,1047.0
1986-07-01,1986,1,7,ANP12_CDEPET12,1986-07-01T00:00:00-03:00,1098.0
1986-08-01,1986,1,8,ANP12_CDEPET12,1986-08-01T00:00:00-03:00,1128.0
1986-09-01,1986,1,9,ANP12_CDEPET12,1986-09-01T00:00:00-03:00,1169.0
1986-10-01,1986,1,10,ANP12_CDEPET12,1986-10-01T00:00:00-03:00,1220.0
1986-11-01,1986,1,11,ANP12_CDEPET12,1986-11-01T00:00:00-03:00,1207.0
1986-12-01,1986,1,12,ANP12_CDEPET12,1986-12-01T00:00:00-02:00,1290.0
1987-01-01,1987,1,1,ANP12_CDEPET12,1987-01-01T00:00:00-02:00,1129.0
1987-02-01,1987,1,2,ANP12_CDEPET12,1987-02-01T00:00:00-02:00,1139.0
1987-03-01,1987,1,3,ANP12_CDEPET12,1987-03-01T00:00:00-03:00,1008.0
1987-04-01,1987,1,4,ANP12_CDEPET12,1987-04-01T00:00:00-03:00,1113.0
