DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE ((%))
2011-03-01,2011,1,3,BM12_CINPJ12,2011-03-01T00:00:00-03:00,1.96
2011-04-01,2011,1,4,BM12_CINPJ12,2011-04-01T00:00:00-03:00,2.04
2011-05-01,2011,1,5,BM12_CINPJ12,2011-05-01T00:00:00-03:00,2.15
2011-06-01,2011,1,6,BM12_CINPJ12,2011-06-01T00:00:00-03:00,2.09
2011-07-01,2011,1,7,BM12_CINPJ12,2011-07-01T00:00:00-03:00,2.18
2011-08-01,2011,1,8,BM12_CINPJ12,2011-08-01T00:00:00-03:00,2.15
2011-09-01,2011,1,9,BM12_CINPJ12,2011-09-01T00:00:00-03:00,2.14
2011-10-01,2011,1,10,BM12_CINPJ12,2011-10-01T00:00:00-03:00,2.23
2011-11-01,2011,1,11,BM12_CINPJ12,2011-11-01T00:00:00-02:00,2.2
2011-12-01,2011,1,12,BM12_CINPJ12,2011-12-01T00:00:00-02:00,2.15
2012-01-01,2012,1,1,BM12_CINPJ12,2012-01-01T00:00:00-02:00,2.22
2012-02-01,2012,1,2,BM12_CINPJ12,2012-02-01T00:00:00-02:00,2.27
2012-03-01,2012,1,3,BM12_CINPJ12,2012-03-01T00:00:00-03:00,2.24
2012-04-01,2012,1,4,BM12_CINPJ12,2012-04-01T00:00:00-03:00,2.37
2012-05-01,2012,1,5,BM12_CINPJ12,2012-05-01T00:00:00-03:00,2.29
2012-06-01,2012,1,6,BM12_CINPJ12,2012-06-01T00:00:00-03:00,2.27
2012-07-01,2012,1,7,BM12_CINPJ12,2012-07-01T00:00:00-03:00,2.28
2012-08-01,2012,1,8,BM12_CINPJ12,2012-08-01T00:00:00-03:00,2.35
2012-09-01,2012,1,9,BM12_CINPJ12,2012-09-01T00:00:00-03:00,2.31
2012-10-01,2012,1,10,BM12_CINPJ12,2012-10-01T00:00:00-03:00,2.43
2012-11-01,2012,1,11,BM12_CINPJ12,2012-11-01T00:00:00-02:00,2.38
2012-12-01,2012,1,12,BM12_CINPJ12,2012-12-01T00:00:00-02:00,2.26
2013-01-01,2013,1,1,BM12_CINPJ12,2013-01-01T00:00:00-02:00,2.27
2013-02-01,2013,1,2,BM12_CINPJ12,2013-02-01T00:00:00-02:00,2.27
2013-03-01,2013,1,3,BM12_CINPJ12,2013-03-01T00:00:00-03:00,2.2
2013-04-01,2013,1,4,BM12_CINPJ12,2013-04-01T00:00:00-03:00,2.3
2013-05-01,2013,1,5,BM12_CINPJ12,2013-05-01T00:00:00-03:00,2.27
2013-06-01,2013,1,6,BM12_CINPJ12,2013-06-01T00:00:00-03:00,2.1
2013-07-01,2013,1,7,BM12_CINPJ12,2013-07-01T00:00:00-03:00,2.06
2013-08-01,2013,1,8,BM12_CINPJ12,2013-08-01T00:00:00-03:00,2.01
2013-09-01,2013,1,9,BM12_CINPJ12,2013-09-01T00:00:00-03:00,2.02
2013-10-01,2013,1,10,BM12_CINPJ12,2013-10-01T00:00:00-03:00,2.02
2013-11-01,2013,1,11,BM12_CINPJ12,2013-11-01T00:00:00-02:00,1.94
2013-12-01,2013,1,12,BM12_CINPJ12,2013-12-01T00:00:00-02:00,1.83
2014-01-01,2014,1,1,BM12_CINPJ12,2014-01-01T00:00:00-02:00,1.82
2014-02-01,2014,1,2,BM12_CINPJ12,2014-02-01T00:00:00-02:00,1.86
2014-03-01,2014,1,3,BM12_CINPJ12,2014-03-01T00:00:00-03:00,1.87
2014-04-01,2014,1,4,BM12_CINPJ12,2014-04-01T00:00:00-03:00,1.89
2014-05-01,2014,1,5,BM12_CINPJ12,2014-05-01T00:00:00-03:00,1.97
2014-06-01,2014,1,6,BM12_CINPJ12,2014-06-01T00:00:00-03:00,1.95
2014-07-01,2014,1,7,BM12_CINPJ12,2014-07-01T00:00:00-03:00,1.98
2014-08-01,2014,1,8,BM12_CINPJ12,2014-08-01T00:00:00-03:00,2.03
2014-09-01,2014,1,9,BM12_CINPJ12,2014-09-01T00:00:00-03:00,2.0
2014-10-01,2014,1,10,BM12_CINPJ12,2014-10-01T00:00:00-03:00,2.05
2014-11-01,2014,1,11,BM12_CINPJ12,2014-11-01T00:00:00-02:00,1.97
2014-12-01,2014,1,12,BM12_CINPJ12,2014-12-01T00:00:00-02:00,1.89
2015-01-01,2015,1,1,BM12_CINPJ12,2015-01-01T00:00:00-02:00,1.98
2015-02-01,2015,1,2,BM12_CINPJ12,2015-02-01T00:00:00-02:00,1.99
2015-03-01,2015,1,3,BM12_CINPJ12,2015-03-01T00:00:00-03:00,2.06
2015-04-01,2015,1,4,BM12_CINPJ12,2015-04-01T00:00:00-03:00,2.24
2015-05-01,2015,1,5,BM12_CINPJ12,2015-05-01T00:00:00-03:00,2.27
2015-06-01,2015,1,6,BM12_CINPJ12,2015-06-01T00:00:00-03:00,2.25
2015-07-01,2015,1,7,BM12_CINPJ12,2015-07-01T00:00:00-03:00,2.37
2015-08-01,2015,1,8,BM12_CINPJ12,2015-08-01T00:00:00-03:00,2.43
2015-09-01,2015,1,9,BM12_CINPJ12,2015-09-01T00:00:00-03:00,2.38
2015-10-01,2015,1,10,BM12_CINPJ12,2015-10-01T00:00:00-03:00,2.48
2015-11-01,2015,1,11,BM12_CINPJ12,2015-11-01T00:00:00-02:00,2.63
2015-12-01,2015,1,12,BM12_CINPJ12,2015-12-01T00:00:00-02:00,2.61
2016-01-01,2016,1,1,BM12_CINPJ12,2016-01-01T00:00:00-02:00,2.72
2016-02-01,2016,1,2,BM12_CINPJ12,2016-02-01T00:00:00-02:00,2.78
2016-03-01,2016,1,3,BM12_CINPJ12,2016-03-01T00:00:00-03:00,2.85
2016-04-01,2016,1,4,BM12_CINPJ12,2016-04-01T00:00:00-03:00,3.04
2016-05-01,2016,1,5,BM12_CINPJ12,2016-05-01T00:00:00-03:00,3.17
2016-06-01,2016,1,6,BM12_CINPJ12,2016-06-01T00:00:00-03:00,3.0
2016-07-01,2016,1,7,BM12_CINPJ12,2016-07-01T00:00:00-03:00,3.03
2016-08-01,2016,1,8,BM12_CINPJ12,2016-08-01T00:00:00-03:00,3.17
2016-09-01,2016,1,9,BM12_CINPJ12,2016-09-01T00:00:00-03:00,3.18
2016-10-01,2016,1,10,BM12_CINPJ12,2016-10-01T00:00:00-03:00,3.51
2016-11-01,2016,1,11,BM12_CINPJ12,2016-11-01T00:00:00-02:00,3.5
2016-12-01,2016,1,12,BM12_CINPJ12,2016-12-01T00:00:00-02:00,3.44
2017-01-01,2017,1,1,BM12_CINPJ12,2017-01-01T00:00:00-02:00,3.47
2017-02-01,2017,1,2,BM12_CINPJ12,2017-02-01T00:00:00-02:00,3.49
2017-03-01,2017,1,3,BM12_CINPJ12,2017-03-01T00:00:00-03:00,3.69
2017-04-01,2017,1,4,BM12_CINPJ12,2017-04-01T00:00:00-03:00,3.82
2017-05-01,2017,1,5,BM12_CINPJ12,2017-05-01T00:00:00-03:00,3.98
2017-06-01,2017,1,6,BM12_CINPJ12,2017-06-01T00:00:00-03:00,3.6
2017-07-01,2017,1,7,BM12_CINPJ12,2017-07-01T00:00:00-03:00,3.4
2017-08-01,2017,1,8,BM12_CINPJ12,2017-08-01T00:00:00-03:00,3.44
2017-09-01,2017,1,9,BM12_CINPJ12,2017-09-01T00:00:00-03:00,3.29
2017-10-01,2017,1,10,BM12_CINPJ12,2017-10-01T00:00:00-03:00,3.35
2017-11-01,2017,1,11,BM12_CINPJ12,2017-11-01T00:00:00-02:00,3.27
2017-12-01,2017,1,12,BM12_CINPJ12,2017-12-01T00:00:00-02:00,2.9
2018-01-01,2018,1,1,BM12_CINPJ12,2018-01-01T00:00:00-02:00,3.06
2018-02-01,2018,1,2,BM12_CINPJ12,2018-02-01T00:00:00-02:00,3.1
2018-03-01,2018,1,3,BM12_CINPJ12,2018-03-01T00:00:00-03:00,2.86
2018-04-01,2018,1,4,BM12_CINPJ12,2018-04-01T00:00:00-03:00,2.95
2018-05-01,2018,1,5,BM12_CINPJ12,2018-05-01T00:00:00-03:00,2.96
