DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (Meses)
2011-03-01,2011,1,3,BM12_CPCAPJ12,2011-03-01T00:00:00-03:00,28.97
2011-04-01,2011,1,4,BM12_CPCAPJ12,2011-04-01T00:00:00-03:00,28.57
2011-05-01,2011,1,5,BM12_CPCAPJ12,2011-05-01T00:00:00-03:00,28.34
2011-06-01,2011,1,6,BM12_CPCAPJ12,2011-06-01T00:00:00-03:00,28.3
2011-07-01,2011,1,7,BM12_CPCAPJ12,2011-07-01T00:00:00-03:00,28.47
2011-08-01,2011,1,8,BM12_CPCAPJ12,2011-08-01T00:00:00-03:00,28.4
2011-09-01,2011,1,9,BM12_CPCAPJ12,2011-09-01T00:00:00-03:00,28.65
2011-10-01,2011,1,10,BM12_CPCAPJ12,2011-10-01T00:00:00-03:00,28.38
2011-11-01,2011,1,11,BM12_CPCAPJ12,2011-11-01T00:00:00-02:00,28.86
2011-12-01,2011,1,12,BM12_CPCAPJ12,2011-12-01T00:00:00-02:00,29.0
2012-01-01,2012,1,1,BM12_CPCAPJ12,2012-01-01T00:00:00-02:00,28.72
2012-02-01,2012,1,2,BM12_CPCAPJ12,2012-02-01T00:00:00-02:00,28.58
2012-03-01,2012,1,3,BM12_CPCAPJ12,2012-03-01T00:00:00-03:00,28.59
2012-04-01,2012,1,4,BM12_CPCAPJ12,2012-04-01T00:00:00-03:00,28.48
2012-05-01,2012,1,5,BM12_CPCAPJ12,2012-05-01T00:00:00-03:00,28.81
2012-06-01,2012,1,6,BM12_CPCAPJ12,2012-06-01T00:00:00-03:00,28.86
2012-07-01,2012,1,7,BM12_CPCAPJ12,2012-07-01T00:00:00-03:00,29.11
2012-08-01,2012,1,8,BM12_CPCAPJ12,2012-08-01T00:00:00-03:00,29.01
2012-09-01,2012,1,9,BM12_CPCAPJ12,2012-09-01T00:00:00-03:00,28.87
2012-10-01,2012,1,10,BM12_CPCAPJ12,2012-10-01T00:00:00-03:00,29.29
2012-11-01,2012,1,11,BM12_CPCAPJ12,2012-11-01T00:00:00-02:00,29.5
2012-12-01,2012,1,12,BM12_CPCAPJ12,2012-12-01T00:00:00-02:00,30.18
2013-01-01,2013,1,1,BM12_CPCAPJ12,2013-01-01T00:00:00-02:00,31.36
2013-02-01,2013,1,2,BM12_CPCAPJ12,2013-02-01T00:00:00-02:00,31.24
2013-03-01,2013,1,3,BM12_CPCAPJ12,2013-03-01T00:00:00-03:00,31.35
2013-04-01,2013,1,4,BM12_CPCAPJ12,2013-04-01T00:00:00-03:00,31.84
2013-05-01,2013,1,5,BM12_CPCAPJ12,2013-05-01T00:00:00-03:00,32.21
2013-06-01,2013,1,6,BM12_CPCAPJ12,2013-06-01T00:00:00-03:00,32.5
2013-07-01,2013,1,7,BM12_CPCAPJ12,2013-07-01T00:00:00-03:00,32.89
2013-08-01,2013,1,8,BM12_CPCAPJ12,2013-08-01T00:00:00-03:00,33.15
2013-09-01,2013,1,9,BM12_CPCAPJ12,2013-09-01T00:00:00-03:00,32.64
2013-10-01,2013,1,10,BM12_CPCAPJ12,2013-10-01T00:00:00-03:00,32.47
2013-11-01,2013,1,11,BM12_CPCAPJ12,2013-11-01T00:00:00-02:00,32.53
2013-12-01,2013,1,12,BM12_CPCAPJ12,2013-12-01T00:00:00-02:00,32.98
2014-01-01,2014,1,1,BM12_CPCAPJ12,2014-01-01T00:00:00-02:00,33.89
2014-02-01,2014,1,2,BM12_CPCAPJ12,2014-02-01T00:00:00-02:00,33.87
2014-03-01,2014,1,3,BM12_CPCAPJ12,2014-03-01T00:00:00-03:00,33.93
2014-04-01,2014,1,4,BM12_CPCAPJ12,2014-04-01T00:00:00-03:00,34.33
2014-05-01,2014,1,5,BM12_CPCAPJ12,2014-05-01T00:00:00-03:00,34.16
2014-06-01,2014,1,6,BM12_CPCAPJ12,2014-06-01T00:00:00-03:00,34.2
2014-07-01,2014,1,7,BM12_CPCAPJ12,2014-07-01T00:00:00-03:00,34.61
2014-08-01,2014,1,8,BM12_CPCAPJ12,2014-08-01T00:00:00-03:00,34.52
2014-09-01,2014,1,9,BM12_CPCAPJ12,2014-09-01T00:00:00-03:00,34.91
2014-10-01,2014,1,10,BM12_CPCAPJ12,2014-10-01T00:00:00-03:00,35.07
2014-11-01,2014,1,11,BM12_CPCAPJ12,2014-11-01T00:00:00-02:00,34.96
2014-12-01,2014,1,12,BM12_CPCAPJ12,2014-12-01T00:00:00-02:00,35.17
2015-01-01,2015,1,1,BM12_CPCAPJ12,2015-01-01T00:00:00-02:00,35.52
2015-02-01,2015,1,2,BM12_CPCAPJ12,2015-02-01T00:00:00-02:00,35.82
2015-03-01,2015,1,3,BM12_CPCAPJ12,2015-03-01T00:00:00-03:00,36.23
2015-04-01,2015,1,4,BM12_CPCAPJ12,2015-04-01T00:00:00-03:00,36.11
2015-05-01,2015,1,5,BM12_CPCAPJ12,2015-05-01T00:00:00-03:00,36.64
2015-06-01,2015,1,6,BM12_CPCAPJ12,2015-06-01T00:00:00-03:00,36.61
2015-07-01,2015,1,7,BM12_CPCAPJ12,2015-07-01T00:00:00-03:00,36.74
2015-08-01,2015,1,8,BM12_CPCAPJ12,2015-08-01T00:00:00-03:00,36.85
2015-09-01,2015,1,9,BM12_CPCAPJ12,2015-09-01T00:00:00-03:00,37.31
2015-10-01,2015,1,10,BM12_CPCAPJ12,2015-10-01T00:00:00-03:00,37.39
2015-11-01,2015,1,11,BM12_CPCAPJ12,2015-11-01T00:00:00-02:00,37.44
2015-12-01,2015,1,12,BM12_CPCAPJ12,2015-12-01T00:00:00-02:00,37.78
2016-01-01,2016,1,1,BM12_CPCAPJ12,2016-01-01T00:00:00-02:00,38.44
2016-02-01,2016,1,2,BM12_CPCAPJ12,2016-02-01T00:00:00-02:00,38.11
2016-03-01,2016,1,3,BM12_CPCAPJ12,2016-03-01T00:00:00-03:00,37.83
2016-04-01,2016,1,4,BM12_CPCAPJ12,2016-04-01T00:00:00-03:00,37.93
2016-05-01,2016,1,5,BM12_CPCAPJ12,2016-05-01T00:00:00-03:00,38.03
2016-06-01,2016,1,6,BM12_CPCAPJ12,2016-06-01T00:00:00-03:00,37.85
2016-07-01,2016,1,7,BM12_CPCAPJ12,2016-07-01T00:00:00-03:00,38.14
2016-08-01,2016,1,8,BM12_CPCAPJ12,2016-08-01T00:00:00-03:00,37.82
2016-09-01,2016,1,9,BM12_CPCAPJ12,2016-09-01T00:00:00-03:00,38.24
2016-10-01,2016,1,10,BM12_CPCAPJ12,2016-10-01T00:00:00-03:00,38.01
2016-11-01,2016,1,11,BM12_CPCAPJ12,2016-11-01T00:00:00-02:00,38.1
2016-12-01,2016,1,12,BM12_CPCAPJ12,2016-12-01T00:00:00-02:00,37.44
2017-01-01,2017,1,1,BM12_CPCAPJ12,2017-01-01T00:00:00-02:00,37.83
2017-02-01,2017,1,2,BM12_CPCAPJ12,2017-02-01T00:00:00-02:00,37.64
2017-03-01,2017,1,3,BM12_CPCAPJ12,2017-03-01T00:00:00-03:00,37.55
2017-04-01,2017,1,4,BM12_CPCAPJ12,2017-04-01T00:00:00-03:00,37.62
2017-05-01,2017,1,5,BM12_CPCAPJ12,2017-05-01T00:00:00-03:00,37.8
2017-06-01,2017,1,6,BM12_CPCAPJ12,2017-06-01T00:00:00-03:00,37.81
2017-07-01,2017,1,7,BM12_CPCAPJ12,2017-07-01T00:00:00-03:00,38.12
2017-08-01,2017,1,8,BM12_CPCAPJ12,2017-08-01T00:00:00-03:00,38.16
2017-09-01,2017,1,9,BM12_CPCAPJ12,2017-09-01T00:00:00-03:00,38.1
2017-10-01,2017,1,10,BM12_CPCAPJ12,2017-10-01T00:00:00-03:00,38.12
2017-11-01,2017,1,11,BM12_CPCAPJ12,2017-11-01T00:00:00-02:00,37.85
2017-12-01,2017,1,12,BM12_CPCAPJ12,2017-12-01T00:00:00-02:00,37.94
2018-01-01,2018,1,1,BM12_CPCAPJ12,2018-01-01T00:00:00-02:00,38.98
2018-02-01,2018,1,2,BM12_CPCAPJ12,2018-02-01T00:00:00-02:00,39.24
2018-03-01,2018,1,3,BM12_CPCAPJ12,2018-03-01T00:00:00-03:00,38.78
2018-04-01,2018,1,4,BM12_CPCAPJ12,2018-04-01T00:00:00-03:00,38.84
2018-05-01,2018,1,5,BM12_CPCAPJ12,2018-05-01T00:00:00-03:00,38.96
2018-06-01,2018,1,6,BM12_CPCAPJ12,2018-06-01T00:00:00-03:00,38.37
2018-07-01,2018,1,7,BM12_CPCAPJ12,2018-07-01T00:00:00-03:00,38.8
2018-08-01,2018,1,8,BM12_CPCAPJ12,2018-08-01T00:00:00-03:00,38.9
2018-09-01,2018,1,9,BM12_CPCAPJ12,2018-09-01T00:00:00-03:00,38.75
2018-10-01,2018,1,10,BM12_CPCAPJ12,2018-10-01T00:00:00-03:00,38.83
2018-11-01,2018,1,11,BM12_CPCAPJ12,2018-11-01T00:00:00-03:00,38.48
2018-12-01,2018,1,12,BM12_CPCAPJ12,2018-12-01T00:00:00-02:00,38.4
2019-01-01,2019,1,1,BM12_CPCAPJ12,2019-01-01T00:00:00-02:00,39.25
2019-02-01,2019,1,2,BM12_CPCAPJ12,2019-02-01T00:00:00-02:00,39.19
2019-03-01,2019,1,3,BM12_CPCAPJ12,2019-03-01T00:00:00-03:00,38.66
2019-04-01,2019,1,4,BM12_CPCAPJ12,2019-04-01T00:00:00-03:00,38.67
2019-05-01,2019,1,5,BM12_CPCAPJ12,2019-05-01T00:00:00-03:00,38.64
2019-06-01,2019,1,6,BM12_CPCAPJ12,2019-06-01T00:00:00-03:00,38.02
2019-07-01,2019,1,7,BM12_CPCAPJ12,2019-07-01T00:00:00-03:00,38.52
2019-08-01,2019,1,8,BM12_CPCAPJ12,2019-08-01T00:00:00-03:00,38.5
2019-09-01,2019,1,9,BM12_CPCAPJ12,2019-09-01T00:00:00-03:00,38.17
2019-10-01,2019,1,10,BM12_CPCAPJ12,2019-10-01T00:00:00-03:00,38.34
2019-11-01,2019,1,11,BM12_CPCAPJ12,2019-11-01T00:00:00-03:00,38.19
2019-12-01,2019,1,12,BM12_CPCAPJ12,2019-12-01T00:00:00-03:00,37.51
2020-01-01,2020,1,1,BM12_CPCAPJ12,2020-01-01T00:00:00-03:00,38.09
2020-02-01,2020,1,2,BM12_CPCAPJ12,2020-02-01T00:00:00-03:00,37.92
2020-03-01,2020,1,3,BM12_CPCAPJ12,2020-03-01T00:00:00-03:00,36.42
2020-04-01,2020,1,4,BM12_CPCAPJ12,2020-04-01T00:00:00-03:00,36.63
2020-05-01,2020,1,5,BM12_CPCAPJ12,2020-05-01T00:00:00-03:00,36.76
2020-06-01,2020,1,6,BM12_CPCAPJ12,2020-06-01T00:00:00-03:00,36.84
2020-07-01,2020,1,7,BM12_CPCAPJ12,2020-07-01T00:00:00-03:00,36.78
2020-08-01,2020,1,8,BM12_CPCAPJ12,2020-08-01T00:00:00-03:00,36.53
2020-09-01,2020,1,9,BM12_CPCAPJ12,2020-09-01T00:00:00-03:00,36.03
2020-10-01,2020,1,10,BM12_CPCAPJ12,2020-10-01T00:00:00-03:00,36.11
2020-11-01,2020,1,11,BM12_CPCAPJ12,2020-11-01T00:00:00-03:00,35.79
2020-12-01,2020,1,12,BM12_CPCAPJ12,2020-12-01T00:00:00-03:00,35.14
2021-01-01,2021,1,1,BM12_CPCAPJ12,2021-01-01T00:00:00-03:00,35.62
