DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (Meses)
2011-03-01,2011,1,3,BM12_CPCO12,2011-03-01T00:00:00-03:00,64.32
2011-04-01,2011,1,4,BM12_CPCO12,2011-04-01T00:00:00-03:00,65.29
2011-05-01,2011,1,5,BM12_CPCO12,2011-05-01T00:00:00-03:00,62.35
2011-06-01,2011,1,6,BM12_CPCO12,2011-06-01T00:00:00-03:00,67.13
2011-07-01,2011,1,7,BM12_CPCO12,2011-07-01T00:00:00-03:00,65.89
2011-08-01,2011,1,8,BM12_CPCO12,2011-08-01T00:00:00-03:00,68.91
2011-09-01,2011,1,9,BM12_CPCO12,2011-09-01T00:00:00-03:00,71.44
2011-10-01,2011,1,10,BM12_CPCO12,2011-10-01T00:00:00-03:00,72.85
2011-11-01,2011,1,11,BM12_CPCO12,2011-11-01T00:00:00-02:00,73.7
2011-12-01,2011,1,12,BM12_CPCO12,2011-12-01T00:00:00-02:00,74.37
2012-01-01,2012,1,1,BM12_CPCO12,2012-01-01T00:00:00-02:00,71.43
2012-02-01,2012,1,2,BM12_CPCO12,2012-02-01T00:00:00-02:00,76.07
2012-03-01,2012,1,3,BM12_CPCO12,2012-03-01T00:00:00-03:00,74.51
2012-04-01,2012,1,4,BM12_CPCO12,2012-04-01T00:00:00-03:00,73.2
2012-05-01,2012,1,5,BM12_CPCO12,2012-05-01T00:00:00-03:00,78.85
2012-06-01,2012,1,6,BM12_CPCO12,2012-06-01T00:00:00-03:00,79.87
2012-07-01,2012,1,7,BM12_CPCO12,2012-07-01T00:00:00-03:00,78.96
2012-08-01,2012,1,8,BM12_CPCO12,2012-08-01T00:00:00-03:00,81.83
2012-09-01,2012,1,9,BM12_CPCO12,2012-09-01T00:00:00-03:00,78.81
2012-10-01,2012,1,10,BM12_CPCO12,2012-10-01T00:00:00-03:00,85.15
2012-11-01,2012,1,11,BM12_CPCO12,2012-11-01T00:00:00-02:00,84.94
2012-12-01,2012,1,12,BM12_CPCO12,2012-12-01T00:00:00-02:00,85.75
2013-01-01,2013,1,1,BM12_CPCO12,2013-01-01T00:00:00-02:00,90.93
2013-02-01,2013,1,2,BM12_CPCO12,2013-02-01T00:00:00-02:00,84.64
2013-03-01,2013,1,3,BM12_CPCO12,2013-03-01T00:00:00-03:00,84.12
2013-04-01,2013,1,4,BM12_CPCO12,2013-04-01T00:00:00-03:00,89.24
2013-05-01,2013,1,5,BM12_CPCO12,2013-05-01T00:00:00-03:00,96.62
2013-06-01,2013,1,6,BM12_CPCO12,2013-06-01T00:00:00-03:00,91.51
2013-07-01,2013,1,7,BM12_CPCO12,2013-07-01T00:00:00-03:00,91.81
2013-08-01,2013,1,8,BM12_CPCO12,2013-08-01T00:00:00-03:00,96.23
2013-09-01,2013,1,9,BM12_CPCO12,2013-09-01T00:00:00-03:00,94.98
2013-10-01,2013,1,10,BM12_CPCO12,2013-10-01T00:00:00-03:00,93.73
2013-11-01,2013,1,11,BM12_CPCO12,2013-11-01T00:00:00-02:00,92.55
2013-12-01,2013,1,12,BM12_CPCO12,2013-12-01T00:00:00-02:00,99.15
2014-01-01,2014,1,1,BM12_CPCO12,2014-01-01T00:00:00-02:00,94.91
2014-02-01,2014,1,2,BM12_CPCO12,2014-02-01T00:00:00-02:00,98.63
2014-03-01,2014,1,3,BM12_CPCO12,2014-03-01T00:00:00-03:00,105.14
2014-04-01,2014,1,4,BM12_CPCO12,2014-04-01T00:00:00-03:00,97.2
2014-05-01,2014,1,5,BM12_CPCO12,2014-05-01T00:00:00-03:00,95.93
2014-06-01,2014,1,6,BM12_CPCO12,2014-06-01T00:00:00-03:00,104.13
2014-07-01,2014,1,7,BM12_CPCO12,2014-07-01T00:00:00-03:00,102.54
2014-08-01,2014,1,8,BM12_CPCO12,2014-08-01T00:00:00-03:00,99.19
2014-09-01,2014,1,9,BM12_CPCO12,2014-09-01T00:00:00-03:00,106.48
2014-10-01,2014,1,10,BM12_CPCO12,2014-10-01T00:00:00-03:00,102.06
2014-11-01,2014,1,11,BM12_CPCO12,2014-11-01T00:00:00-02:00,105.18
2014-12-01,2014,1,12,BM12_CPCO12,2014-12-01T00:00:00-02:00,106.49
2015-01-01,2015,1,1,BM12_CPCO12,2015-01-01T00:00:00-02:00,104.31
2015-02-01,2015,1,2,BM12_CPCO12,2015-02-01T00:00:00-02:00,104.99
2015-03-01,2015,1,3,BM12_CPCO12,2015-03-01T00:00:00-03:00,104.08
2015-04-01,2015,1,4,BM12_CPCO12,2015-04-01T00:00:00-03:00,112.71
2015-05-01,2015,1,5,BM12_CPCO12,2015-05-01T00:00:00-03:00,112.93
2015-06-01,2015,1,6,BM12_CPCO12,2015-06-01T00:00:00-03:00,115.35
2015-07-01,2015,1,7,BM12_CPCO12,2015-07-01T00:00:00-03:00,111.71
2015-08-01,2015,1,8,BM12_CPCO12,2015-08-01T00:00:00-03:00,109.64
2015-09-01,2015,1,9,BM12_CPCO12,2015-09-01T00:00:00-03:00,114.86
2015-10-01,2015,1,10,BM12_CPCO12,2015-10-01T00:00:00-03:00,113.01
2015-11-01,2015,1,11,BM12_CPCO12,2015-11-01T00:00:00-02:00,112.76
2015-12-01,2015,1,12,BM12_CPCO12,2015-12-01T00:00:00-02:00,118.48
2016-01-01,2016,1,1,BM12_CPCO12,2016-01-01T00:00:00-02:00,111.91
2016-02-01,2016,1,2,BM12_CPCO12,2016-02-01T00:00:00-02:00,108.08
2016-03-01,2016,1,3,BM12_CPCO12,2016-03-01T00:00:00-03:00,110.19
2016-04-01,2016,1,4,BM12_CPCO12,2016-04-01T00:00:00-03:00,115.18
2016-05-01,2016,1,5,BM12_CPCO12,2016-05-01T00:00:00-03:00,108.46
2016-06-01,2016,1,6,BM12_CPCO12,2016-06-01T00:00:00-03:00,109.61
2016-07-01,2016,1,7,BM12_CPCO12,2016-07-01T00:00:00-03:00,112.61
2016-08-01,2016,1,8,BM12_CPCO12,2016-08-01T00:00:00-03:00,108.09
2016-09-01,2016,1,9,BM12_CPCO12,2016-09-01T00:00:00-03:00,121.8
2016-10-01,2016,1,10,BM12_CPCO12,2016-10-01T00:00:00-03:00,115.44
2016-11-01,2016,1,11,BM12_CPCO12,2016-11-01T00:00:00-02:00,115.36
2016-12-01,2016,1,12,BM12_CPCO12,2016-12-01T00:00:00-02:00,115.13
2017-01-01,2017,1,1,BM12_CPCO12,2017-01-01T00:00:00-02:00,115.82
2017-02-01,2017,1,2,BM12_CPCO12,2017-02-01T00:00:00-02:00,116.87
2017-03-01,2017,1,3,BM12_CPCO12,2017-03-01T00:00:00-03:00,112.4
2017-04-01,2017,1,4,BM12_CPCO12,2017-04-01T00:00:00-03:00,118.95
2017-05-01,2017,1,5,BM12_CPCO12,2017-05-01T00:00:00-03:00,115.67
2017-06-01,2017,1,6,BM12_CPCO12,2017-06-01T00:00:00-03:00,116.51
2017-07-01,2017,1,7,BM12_CPCO12,2017-07-01T00:00:00-03:00,117.31
2017-08-01,2017,1,8,BM12_CPCO12,2017-08-01T00:00:00-03:00,112.1
2017-09-01,2017,1,9,BM12_CPCO12,2017-09-01T00:00:00-03:00,121.72
2017-10-01,2017,1,10,BM12_CPCO12,2017-10-01T00:00:00-03:00,113.06
2017-11-01,2017,1,11,BM12_CPCO12,2017-11-01T00:00:00-02:00,118.59
2017-12-01,2017,1,12,BM12_CPCO12,2017-12-01T00:00:00-02:00,120.2
2018-01-01,2018,1,1,BM12_CPCO12,2018-01-01T00:00:00-02:00,119.93
2018-02-01,2018,1,2,BM12_CPCO12,2018-02-01T00:00:00-02:00,118.51
2018-03-01,2018,1,3,BM12_CPCO12,2018-03-01T00:00:00-03:00,119.17
2018-04-01,2018,1,4,BM12_CPCO12,2018-04-01T00:00:00-03:00,121.0
2018-05-01,2018,1,5,BM12_CPCO12,2018-05-01T00:00:00-03:00,125.18
2018-06-01,2018,1,6,BM12_CPCO12,2018-06-01T00:00:00-03:00,118.14
