DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (Meses)
2011-03-01,2011,1,3,BM12_CPCOPJ12,2011-03-01T00:00:00-03:00,49.5
2011-04-01,2011,1,4,BM12_CPCOPJ12,2011-04-01T00:00:00-03:00,50.17
2011-05-01,2011,1,5,BM12_CPCOPJ12,2011-05-01T00:00:00-03:00,44.45
2011-06-01,2011,1,6,BM12_CPCOPJ12,2011-06-01T00:00:00-03:00,50.6
2011-07-01,2011,1,7,BM12_CPCOPJ12,2011-07-01T00:00:00-03:00,46.96
2011-08-01,2011,1,8,BM12_CPCOPJ12,2011-08-01T00:00:00-03:00,51.39
2011-09-01,2011,1,9,BM12_CPCOPJ12,2011-09-01T00:00:00-03:00,50.56
2011-10-01,2011,1,10,BM12_CPCOPJ12,2011-10-01T00:00:00-03:00,51.9
2011-11-01,2011,1,11,BM12_CPCOPJ12,2011-11-01T00:00:00-02:00,52.03
2011-12-01,2011,1,12,BM12_CPCOPJ12,2011-12-01T00:00:00-02:00,53.48
2012-01-01,2012,1,1,BM12_CPCOPJ12,2012-01-01T00:00:00-02:00,46.85
2012-02-01,2012,1,2,BM12_CPCOPJ12,2012-02-01T00:00:00-02:00,54.13
2012-03-01,2012,1,3,BM12_CPCOPJ12,2012-03-01T00:00:00-03:00,50.17
2012-04-01,2012,1,4,BM12_CPCOPJ12,2012-04-01T00:00:00-03:00,47.41
2012-05-01,2012,1,5,BM12_CPCOPJ12,2012-05-01T00:00:00-03:00,56.07
2012-06-01,2012,1,6,BM12_CPCOPJ12,2012-06-01T00:00:00-03:00,56.42
2012-07-01,2012,1,7,BM12_CPCOPJ12,2012-07-01T00:00:00-03:00,53.89
2012-08-01,2012,1,8,BM12_CPCOPJ12,2012-08-01T00:00:00-03:00,58.96
2012-09-01,2012,1,9,BM12_CPCOPJ12,2012-09-01T00:00:00-03:00,52.94
2012-10-01,2012,1,10,BM12_CPCOPJ12,2012-10-01T00:00:00-03:00,62.94
2012-11-01,2012,1,11,BM12_CPCOPJ12,2012-11-01T00:00:00-02:00,61.23
2012-12-01,2012,1,12,BM12_CPCOPJ12,2012-12-01T00:00:00-02:00,61.38
2013-01-01,2013,1,1,BM12_CPCOPJ12,2013-01-01T00:00:00-02:00,68.76
2013-02-01,2013,1,2,BM12_CPCOPJ12,2013-02-01T00:00:00-02:00,57.06
2013-03-01,2013,1,3,BM12_CPCOPJ12,2013-03-01T00:00:00-03:00,54.93
2013-04-01,2013,1,4,BM12_CPCOPJ12,2013-04-01T00:00:00-03:00,62.4
2013-05-01,2013,1,5,BM12_CPCOPJ12,2013-05-01T00:00:00-03:00,74.01
2013-06-01,2013,1,6,BM12_CPCOPJ12,2013-06-01T00:00:00-03:00,63.54
2013-07-01,2013,1,7,BM12_CPCOPJ12,2013-07-01T00:00:00-03:00,62.89
2013-08-01,2013,1,8,BM12_CPCOPJ12,2013-08-01T00:00:00-03:00,70.12
2013-09-01,2013,1,9,BM12_CPCOPJ12,2013-09-01T00:00:00-03:00,67.06
2013-10-01,2013,1,10,BM12_CPCOPJ12,2013-10-01T00:00:00-03:00,64.4
2013-11-01,2013,1,11,BM12_CPCOPJ12,2013-11-01T00:00:00-02:00,60.99
2013-12-01,2013,1,12,BM12_CPCOPJ12,2013-12-01T00:00:00-02:00,72.66
2014-01-01,2014,1,1,BM12_CPCOPJ12,2014-01-01T00:00:00-02:00,63.35
2014-02-01,2014,1,2,BM12_CPCOPJ12,2014-02-01T00:00:00-02:00,67.73
2014-03-01,2014,1,3,BM12_CPCOPJ12,2014-03-01T00:00:00-03:00,79.57
2014-04-01,2014,1,4,BM12_CPCOPJ12,2014-04-01T00:00:00-03:00,64.13
2014-05-01,2014,1,5,BM12_CPCOPJ12,2014-05-01T00:00:00-03:00,56.24
2014-06-01,2014,1,6,BM12_CPCOPJ12,2014-06-01T00:00:00-03:00,69.82
2014-07-01,2014,1,7,BM12_CPCOPJ12,2014-07-01T00:00:00-03:00,65.92
2014-08-01,2014,1,8,BM12_CPCOPJ12,2014-08-01T00:00:00-03:00,58.82
2014-09-01,2014,1,9,BM12_CPCOPJ12,2014-09-01T00:00:00-03:00,71.16
2014-10-01,2014,1,10,BM12_CPCOPJ12,2014-10-01T00:00:00-03:00,60.1
2014-11-01,2014,1,11,BM12_CPCOPJ12,2014-11-01T00:00:00-02:00,65.15
2014-12-01,2014,1,12,BM12_CPCOPJ12,2014-12-01T00:00:00-02:00,66.37
2015-01-01,2015,1,1,BM12_CPCOPJ12,2015-01-01T00:00:00-02:00,60.4
2015-02-01,2015,1,2,BM12_CPCOPJ12,2015-02-01T00:00:00-02:00,63.01
2015-03-01,2015,1,3,BM12_CPCOPJ12,2015-03-01T00:00:00-03:00,59.88
2015-04-01,2015,1,4,BM12_CPCOPJ12,2015-04-01T00:00:00-03:00,74.45
2015-05-01,2015,1,5,BM12_CPCOPJ12,2015-05-01T00:00:00-03:00,75.18
2015-06-01,2015,1,6,BM12_CPCOPJ12,2015-06-01T00:00:00-03:00,75.51
2015-07-01,2015,1,7,BM12_CPCOPJ12,2015-07-01T00:00:00-03:00,71.84
2015-08-01,2015,1,8,BM12_CPCOPJ12,2015-08-01T00:00:00-03:00,68.59
2015-09-01,2015,1,9,BM12_CPCOPJ12,2015-09-01T00:00:00-03:00,77.74
2015-10-01,2015,1,10,BM12_CPCOPJ12,2015-10-01T00:00:00-03:00,73.53
2015-11-01,2015,1,11,BM12_CPCOPJ12,2015-11-01T00:00:00-02:00,71.66
2015-12-01,2015,1,12,BM12_CPCOPJ12,2015-12-01T00:00:00-02:00,81.44
2016-01-01,2016,1,1,BM12_CPCOPJ12,2016-01-01T00:00:00-02:00,68.97
2016-02-01,2016,1,2,BM12_CPCOPJ12,2016-02-01T00:00:00-02:00,60.61
2016-03-01,2016,1,3,BM12_CPCOPJ12,2016-03-01T00:00:00-03:00,63.61
2016-04-01,2016,1,4,BM12_CPCOPJ12,2016-04-01T00:00:00-03:00,72.07
2016-05-01,2016,1,5,BM12_CPCOPJ12,2016-05-01T00:00:00-03:00,59.07
2016-06-01,2016,1,6,BM12_CPCOPJ12,2016-06-01T00:00:00-03:00,59.61
2016-07-01,2016,1,7,BM12_CPCOPJ12,2016-07-01T00:00:00-03:00,63.31
2016-08-01,2016,1,8,BM12_CPCOPJ12,2016-08-01T00:00:00-03:00,54.82
2016-09-01,2016,1,9,BM12_CPCOPJ12,2016-09-01T00:00:00-03:00,79.3
2016-10-01,2016,1,10,BM12_CPCOPJ12,2016-10-01T00:00:00-03:00,67.63
2016-11-01,2016,1,11,BM12_CPCOPJ12,2016-11-01T00:00:00-02:00,66.64
2016-12-01,2016,1,12,BM12_CPCOPJ12,2016-12-01T00:00:00-02:00,64.3
2017-01-01,2017,1,1,BM12_CPCOPJ12,2017-01-01T00:00:00-02:00,65.35
2017-02-01,2017,1,2,BM12_CPCOPJ12,2017-02-01T00:00:00-02:00,66.58
2017-03-01,2017,1,3,BM12_CPCOPJ12,2017-03-01T00:00:00-03:00,57.66
2017-04-01,2017,1,4,BM12_CPCOPJ12,2017-04-01T00:00:00-03:00,68.9
2017-05-01,2017,1,5,BM12_CPCOPJ12,2017-05-01T00:00:00-03:00,61.97
2017-06-01,2017,1,6,BM12_CPCOPJ12,2017-06-01T00:00:00-03:00,61.91
2017-07-01,2017,1,7,BM12_CPCOPJ12,2017-07-01T00:00:00-03:00,61.36
2017-08-01,2017,1,8,BM12_CPCOPJ12,2017-08-01T00:00:00-03:00,51.1
2017-09-01,2017,1,9,BM12_CPCOPJ12,2017-09-01T00:00:00-03:00,70.35
2017-10-01,2017,1,10,BM12_CPCOPJ12,2017-10-01T00:00:00-03:00,52.72
2017-11-01,2017,1,11,BM12_CPCOPJ12,2017-11-01T00:00:00-02:00,62.94
2017-12-01,2017,1,12,BM12_CPCOPJ12,2017-12-01T00:00:00-02:00,66.39
2018-01-01,2018,1,1,BM12_CPCOPJ12,2018-01-01T00:00:00-02:00,64.82
2018-02-01,2018,1,2,BM12_CPCOPJ12,2018-02-01T00:00:00-02:00,61.23
2018-03-01,2018,1,3,BM12_CPCOPJ12,2018-03-01T00:00:00-03:00,62.74
2018-04-01,2018,1,4,BM12_CPCOPJ12,2018-04-01T00:00:00-03:00,66.29
2018-05-01,2018,1,5,BM12_CPCOPJ12,2018-05-01T00:00:00-03:00,73.83
2018-06-01,2018,1,6,BM12_CPCOPJ12,2018-06-01T00:00:00-03:00,59.89
2018-07-01,2018,1,7,BM12_CPCOPJ12,2018-07-01T00:00:00-03:00,68.8
2018-08-01,2018,1,8,BM12_CPCOPJ12,2018-08-01T00:00:00-03:00,68.09
2018-09-01,2018,1,9,BM12_CPCOPJ12,2018-09-01T00:00:00-03:00,64.31
2018-10-01,2018,1,10,BM12_CPCOPJ12,2018-10-01T00:00:00-03:00,61.66
2018-11-01,2018,1,11,BM12_CPCOPJ12,2018-11-01T00:00:00-03:00,65.35
2018-12-01,2018,1,12,BM12_CPCOPJ12,2018-12-01T00:00:00-02:00,71.38
2019-01-01,2019,1,1,BM12_CPCOPJ12,2019-01-01T00:00:00-02:00,71.72
2019-02-01,2019,1,2,BM12_CPCOPJ12,2019-02-01T00:00:00-02:00,69.04
2019-03-01,2019,1,3,BM12_CPCOPJ12,2019-03-01T00:00:00-03:00,73.06
2019-04-01,2019,1,4,BM12_CPCOPJ12,2019-04-01T00:00:00-03:00,64.68
2019-05-01,2019,1,5,BM12_CPCOPJ12,2019-05-01T00:00:00-03:00,58.97
2019-06-01,2019,1,6,BM12_CPCOPJ12,2019-06-01T00:00:00-03:00,65.53
2019-07-01,2019,1,7,BM12_CPCOPJ12,2019-07-01T00:00:00-03:00,55.45
2019-08-01,2019,1,8,BM12_CPCOPJ12,2019-08-01T00:00:00-03:00,59.73
2019-09-01,2019,1,9,BM12_CPCOPJ12,2019-09-01T00:00:00-03:00,61.54
2019-10-01,2019,1,10,BM12_CPCOPJ12,2019-10-01T00:00:00-03:00,62.99
2019-11-01,2019,1,11,BM12_CPCOPJ12,2019-11-01T00:00:00-03:00,59.95
2019-12-01,2019,1,12,BM12_CPCOPJ12,2019-12-01T00:00:00-03:00,56.95
2020-01-01,2020,1,1,BM12_CPCOPJ12,2020-01-01T00:00:00-03:00,50.66
2020-02-01,2020,1,2,BM12_CPCOPJ12,2020-02-01T00:00:00-03:00,53.7
2020-03-01,2020,1,3,BM12_CPCOPJ12,2020-03-01T00:00:00-03:00,52.0
2020-04-01,2020,1,4,BM12_CPCOPJ12,2020-04-01T00:00:00-03:00,54.37
2020-05-01,2020,1,5,BM12_CPCOPJ12,2020-05-01T00:00:00-03:00,46.21
2020-06-01,2020,1,6,BM12_CPCOPJ12,2020-06-01T00:00:00-03:00,52.39
2020-07-01,2020,1,7,BM12_CPCOPJ12,2020-07-01T00:00:00-03:00,48.39
2020-08-01,2020,1,8,BM12_CPCOPJ12,2020-08-01T00:00:00-03:00,51.92
2020-09-01,2020,1,9,BM12_CPCOPJ12,2020-09-01T00:00:00-03:00,55.1
2020-10-01,2020,1,10,BM12_CPCOPJ12,2020-10-01T00:00:00-03:00,52.65
2020-11-01,2020,1,11,BM12_CPCOPJ12,2020-11-01T00:00:00-03:00,52.01
2020-12-01,2020,1,12,BM12_CPCOPJ12,2020-12-01T00:00:00-03:00,55.48
2021-01-01,2021,1,1,BM12_CPCOPJ12,2021-01-01T00:00:00-03:00,49.44
