DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
2007-03-01,2007,1,3,BM12_CRDS12,2007-03-01T00:00:00-03:00,271893.0
2007-04-01,2007,1,4,BM12_CRDS12,2007-04-01T00:00:00-03:00,276135.0
2007-05-01,2007,1,5,BM12_CRDS12,2007-05-01T00:00:00-03:00,278486.0
2007-06-01,2007,1,6,BM12_CRDS12,2007-06-01T00:00:00-03:00,280442.0
2007-07-01,2007,1,7,BM12_CRDS12,2007-07-01T00:00:00-03:00,283093.0
2007-08-01,2007,1,8,BM12_CRDS12,2007-08-01T00:00:00-03:00,290477.0
2007-09-01,2007,1,9,BM12_CRDS12,2007-09-01T00:00:00-03:00,294138.0
2007-10-01,2007,1,10,BM12_CRDS12,2007-10-01T00:00:00-03:00,302134.0
2007-11-01,2007,1,11,BM12_CRDS12,2007-11-01T00:00:00-02:00,311599.0
2007-12-01,2007,1,12,BM12_CRDS12,2007-12-01T00:00:00-02:00,316407.0
2008-01-01,2008,1,1,BM12_CRDS12,2008-01-01T00:00:00-02:00,316383.0
2008-02-01,2008,1,2,BM12_CRDS12,2008-02-01T00:00:00-02:00,317237.0
2008-03-01,2008,1,3,BM12_CRDS12,2008-03-01T00:00:00-03:00,325853.0
2008-04-01,2008,1,4,BM12_CRDS12,2008-04-01T00:00:00-03:00,332314.0
2008-05-01,2008,1,5,BM12_CRDS12,2008-05-01T00:00:00-03:00,339420.0
2008-06-01,2008,1,6,BM12_CRDS12,2008-06-01T00:00:00-03:00,346095.0
2008-07-01,2008,1,7,BM12_CRDS12,2008-07-01T00:00:00-03:00,347158.0
2008-08-01,2008,1,8,BM12_CRDS12,2008-08-01T00:00:00-03:00,353481.0
2008-09-01,2008,1,9,BM12_CRDS12,2008-09-01T00:00:00-03:00,366386.0
2008-10-01,2008,1,10,BM12_CRDS12,2008-10-01T00:00:00-03:00,378327.0
2008-11-01,2008,1,11,BM12_CRDS12,2008-11-01T00:00:00-02:00,390127.0
2008-12-01,2008,1,12,BM12_CRDS12,2008-12-01T00:00:00-02:00,400798.0
2009-01-01,2009,1,1,BM12_CRDS12,2009-01-01T00:00:00-02:00,406883.0
2009-02-01,2009,1,2,BM12_CRDS12,2009-02-01T00:00:00-02:00,408301.0
2009-03-01,2009,1,3,BM12_CRDS12,2009-03-01T00:00:00-03:00,413828.0
2009-04-01,2009,1,4,BM12_CRDS12,2009-04-01T00:00:00-03:00,415885.0
2009-05-01,2009,1,5,BM12_CRDS12,2009-05-01T00:00:00-03:00,419172.0
2009-06-01,2009,1,6,BM12_CRDS12,2009-06-01T00:00:00-03:00,428691.0
2009-07-01,2009,1,7,BM12_CRDS12,2009-07-01T00:00:00-03:00,461154.0
2009-08-01,2009,1,8,BM12_CRDS12,2009-08-01T00:00:00-03:00,471987.0
2009-09-01,2009,1,9,BM12_CRDS12,2009-09-01T00:00:00-03:00,482255.0
2009-10-01,2009,1,10,BM12_CRDS12,2009-10-01T00:00:00-03:00,492264.0
2009-11-01,2009,1,11,BM12_CRDS12,2009-11-01T00:00:00-02:00,500596.0
2009-12-01,2009,1,12,BM12_CRDS12,2009-12-01T00:00:00-02:00,517557.0
2010-01-01,2010,1,1,BM12_CRDS12,2010-01-01T00:00:00-02:00,526393.0
2010-02-01,2010,1,2,BM12_CRDS12,2010-02-01T00:00:00-02:00,529483.0
2010-03-01,2010,1,3,BM12_CRDS12,2010-03-01T00:00:00-03:00,535100.0
2010-04-01,2010,1,4,BM12_CRDS12,2010-04-01T00:00:00-03:00,543183.0
2010-05-01,2010,1,5,BM12_CRDS12,2010-05-01T00:00:00-03:00,558562.0
2010-06-01,2010,1,6,BM12_CRDS12,2010-06-01T00:00:00-03:00,574855.0
2010-07-01,2010,1,7,BM12_CRDS12,2010-07-01T00:00:00-03:00,586899.0
2010-08-01,2010,1,8,BM12_CRDS12,2010-08-01T00:00:00-03:00,607428.0
2010-09-01,2010,1,9,BM12_CRDS12,2010-09-01T00:00:00-03:00,619166.0
2010-10-01,2010,1,10,BM12_CRDS12,2010-10-01T00:00:00-03:00,633176.0
2010-11-01,2010,1,11,BM12_CRDS12,2010-11-01T00:00:00-02:00,645830.0
2010-12-01,2010,1,12,BM12_CRDS12,2010-12-01T00:00:00-02:00,657044.0
2011-01-01,2011,1,1,BM12_CRDS12,2011-01-01T00:00:00-02:00,662040.0
2011-02-01,2011,1,2,BM12_CRDS12,2011-02-01T00:00:00-02:00,670209.0
2011-03-01,2011,1,3,BM12_CRDS12,2011-03-01T00:00:00-03:00,673815.0
2011-04-01,2011,1,4,BM12_CRDS12,2011-04-01T00:00:00-03:00,680796.0
2011-05-01,2011,1,5,BM12_CRDS12,2011-05-01T00:00:00-03:00,692755.0
2011-06-01,2011,1,6,BM12_CRDS12,2011-06-01T00:00:00-03:00,704342.0
2011-07-01,2011,1,7,BM12_CRDS12,2011-07-01T00:00:00-03:00,717204.0
2011-08-01,2011,1,8,BM12_CRDS12,2011-08-01T00:00:00-03:00,734785.0
2011-09-01,2011,1,9,BM12_CRDS12,2011-09-01T00:00:00-03:00,753770.0
2011-10-01,2011,1,10,BM12_CRDS12,2011-10-01T00:00:00-03:00,760601.0
2011-11-01,2011,1,11,BM12_CRDS12,2011-11-01T00:00:00-02:00,780163.0
2011-12-01,2011,1,12,BM12_CRDS12,2011-12-01T00:00:00-02:00,802312.0
2012-01-01,2012,1,1,BM12_CRDS12,2012-01-01T00:00:00-02:00,805081.0
2012-02-01,2012,1,2,BM12_CRDS12,2012-02-01T00:00:00-02:00,805745.0
2012-03-01,2012,1,3,BM12_CRDS12,2012-03-01T00:00:00-03:00,819998.0
2012-04-01,2012,1,4,BM12_CRDS12,2012-04-01T00:00:00-03:00,831971.0
2012-05-01,2012,1,5,BM12_CRDS12,2012-05-01T00:00:00-03:00,847491.0
2012-06-01,2012,1,6,BM12_CRDS12,2012-06-01T00:00:00-03:00,859084.0
2012-07-01,2012,1,7,BM12_CRDS12,2012-07-01T00:00:00-03:00,871829.0
2012-08-01,2012,1,8,BM12_CRDS12,2012-08-01T00:00:00-03:00,887260.0
2012-09-01,2012,1,9,BM12_CRDS12,2012-09-01T00:00:00-03:00,899444.0
2012-10-01,2012,1,10,BM12_CRDS12,2012-10-01T00:00:00-03:00,920340.0
2012-11-01,2012,1,11,BM12_CRDS12,2012-11-01T00:00:00-02:00,940273.0
2012-12-01,2012,1,12,BM12_CRDS12,2012-12-01T00:00:00-02:00,971919.0
2013-01-01,2013,1,1,BM12_CRDS12,2013-01-01T00:00:00-02:00,980835.0
2013-02-01,2013,1,2,BM12_CRDS12,2013-02-01T00:00:00-02:00,994945.0
2013-03-01,2013,1,3,BM12_CRDS12,2013-03-01T00:00:00-03:00,1019413.0
2013-04-01,2013,1,4,BM12_CRDS12,2013-04-01T00:00:00-03:00,1037667.0
2013-05-01,2013,1,5,BM12_CRDS12,2013-05-01T00:00:00-03:00,1059781.0
2013-06-01,2013,1,6,BM12_CRDS12,2013-06-01T00:00:00-03:00,1090424.0
2013-07-01,2013,1,7,BM12_CRDS12,2013-07-01T00:00:00-03:00,1104833.0
2013-08-01,2013,1,8,BM12_CRDS12,2013-08-01T00:00:00-03:00,1130478.0
2013-09-01,2013,1,9,BM12_CRDS12,2013-09-01T00:00:00-03:00,1136365.0
2013-10-01,2013,1,10,BM12_CRDS12,2013-10-01T00:00:00-03:00,1142356.0
2013-11-01,2013,1,11,BM12_CRDS12,2013-11-01T00:00:00-02:00,1167551.0
2013-12-01,2013,1,12,BM12_CRDS12,2013-12-01T00:00:00-02:00,1206067.0
2014-01-01,2014,1,1,BM12_CRDS12,2014-01-01T00:00:00-02:00,1224999.0
2014-02-01,2014,1,2,BM12_CRDS12,2014-02-01T00:00:00-02:00,1236564.0
2014-03-01,2014,1,3,BM12_CRDS12,2014-03-01T00:00:00-03:00,1252635.0
2014-04-01,2014,1,4,BM12_CRDS12,2014-04-01T00:00:00-03:00,1270144.0
2014-05-01,2014,1,5,BM12_CRDS12,2014-05-01T00:00:00-03:00,1286752.0
2014-06-01,2014,1,6,BM12_CRDS12,2014-06-01T00:00:00-03:00,1302239.0
2014-07-01,2014,1,7,BM12_CRDS12,2014-07-01T00:00:00-03:00,1316219.0
2014-08-01,2014,1,8,BM12_CRDS12,2014-08-01T00:00:00-03:00,1337236.0
2014-09-01,2014,1,9,BM12_CRDS12,2014-09-01T00:00:00-03:00,1365008.0
2014-10-01,2014,1,10,BM12_CRDS12,2014-10-01T00:00:00-03:00,1383892.0
2014-11-01,2014,1,11,BM12_CRDS12,2014-11-01T00:00:00-02:00,1407571.0
2014-12-01,2014,1,12,BM12_CRDS12,2014-12-01T00:00:00-02:00,1442198.0
2015-01-01,2015,1,1,BM12_CRDS12,2015-01-01T00:00:00-02:00,1453979.0
