DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
2007-03-01,2007,1,3,BM12_CRDSPF12,2007-03-01T00:00:00-03:00,102577.0
2007-04-01,2007,1,4,BM12_CRDSPF12,2007-04-01T00:00:00-03:00,104113.0
2007-05-01,2007,1,5,BM12_CRDSPF12,2007-05-01T00:00:00-03:00,105844.0
2007-06-01,2007,1,6,BM12_CRDSPF12,2007-06-01T00:00:00-03:00,107014.0
2007-07-01,2007,1,7,BM12_CRDSPF12,2007-07-01T00:00:00-03:00,107422.0
2007-08-01,2007,1,8,BM12_CRDSPF12,2007-08-01T00:00:00-03:00,108522.0
2007-09-01,2007,1,9,BM12_CRDSPF12,2007-09-01T00:00:00-03:00,110725.0
2007-10-01,2007,1,10,BM12_CRDSPF12,2007-10-01T00:00:00-03:00,113365.0
2007-11-01,2007,1,11,BM12_CRDSPF12,2007-11-01T00:00:00-02:00,116000.0
2007-12-01,2007,1,12,BM12_CRDSPF12,2007-12-01T00:00:00-02:00,117092.0
2008-01-01,2008,1,1,BM12_CRDSPF12,2008-01-01T00:00:00-02:00,117789.0
2008-02-01,2008,1,2,BM12_CRDSPF12,2008-02-01T00:00:00-02:00,118235.0
2008-03-01,2008,1,3,BM12_CRDSPF12,2008-03-01T00:00:00-03:00,119639.0
2008-04-01,2008,1,4,BM12_CRDSPF12,2008-04-01T00:00:00-03:00,121924.0
2008-05-01,2008,1,5,BM12_CRDSPF12,2008-05-01T00:00:00-03:00,124706.0
2008-06-01,2008,1,6,BM12_CRDSPF12,2008-06-01T00:00:00-03:00,127566.0
2008-07-01,2008,1,7,BM12_CRDSPF12,2008-07-01T00:00:00-03:00,125287.0
2008-08-01,2008,1,8,BM12_CRDSPF12,2008-08-01T00:00:00-03:00,126451.0
2008-09-01,2008,1,9,BM12_CRDSPF12,2008-09-01T00:00:00-03:00,130744.0
2008-10-01,2008,1,10,BM12_CRDSPF12,2008-10-01T00:00:00-03:00,132879.0
2008-11-01,2008,1,11,BM12_CRDSPF12,2008-11-01T00:00:00-02:00,135637.0
2008-12-01,2008,1,12,BM12_CRDSPF12,2008-12-01T00:00:00-02:00,138296.0
2009-01-01,2009,1,1,BM12_CRDSPF12,2009-01-01T00:00:00-02:00,140026.0
2009-02-01,2009,1,2,BM12_CRDSPF12,2009-02-01T00:00:00-02:00,141548.0
2009-03-01,2009,1,3,BM12_CRDSPF12,2009-03-01T00:00:00-03:00,143509.0
2009-04-01,2009,1,4,BM12_CRDSPF12,2009-04-01T00:00:00-03:00,145619.0
2009-05-01,2009,1,5,BM12_CRDSPF12,2009-05-01T00:00:00-03:00,147967.0
2009-06-01,2009,1,6,BM12_CRDSPF12,2009-06-01T00:00:00-03:00,150973.0
2009-07-01,2009,1,7,BM12_CRDSPF12,2009-07-01T00:00:00-03:00,153262.0
2009-08-01,2009,1,8,BM12_CRDSPF12,2009-08-01T00:00:00-03:00,156763.0
2009-09-01,2009,1,9,BM12_CRDSPF12,2009-09-01T00:00:00-03:00,161075.0
2009-10-01,2009,1,10,BM12_CRDSPF12,2009-10-01T00:00:00-03:00,164319.0
2009-11-01,2009,1,11,BM12_CRDSPF12,2009-11-01T00:00:00-02:00,165419.0
2009-12-01,2009,1,12,BM12_CRDSPF12,2009-12-01T00:00:00-02:00,167868.0
2010-01-01,2010,1,1,BM12_CRDSPF12,2010-01-01T00:00:00-02:00,173456.0
2010-02-01,2010,1,2,BM12_CRDSPF12,2010-02-01T00:00:00-02:00,176629.0
2010-03-01,2010,1,3,BM12_CRDSPF12,2010-03-01T00:00:00-03:00,180591.0
2010-04-01,2010,1,4,BM12_CRDSPF12,2010-04-01T00:00:00-03:00,184622.0
2010-05-01,2010,1,5,BM12_CRDSPF12,2010-05-01T00:00:00-03:00,188760.0
2010-06-01,2010,1,6,BM12_CRDSPF12,2010-06-01T00:00:00-03:00,191995.0
2010-07-01,2010,1,7,BM12_CRDSPF12,2010-07-01T00:00:00-03:00,194923.0
2010-08-01,2010,1,8,BM12_CRDSPF12,2010-08-01T00:00:00-03:00,200339.0
2010-09-01,2010,1,9,BM12_CRDSPF12,2010-09-01T00:00:00-03:00,206731.0
2010-10-01,2010,1,10,BM12_CRDSPF12,2010-10-01T00:00:00-03:00,211810.0
2010-11-01,2010,1,11,BM12_CRDSPF12,2010-11-01T00:00:00-02:00,216912.0
2010-12-01,2010,1,12,BM12_CRDSPF12,2010-12-01T00:00:00-02:00,222934.0
2011-01-01,2011,1,1,BM12_CRDSPF12,2011-01-01T00:00:00-02:00,227272.0
2011-02-01,2011,1,2,BM12_CRDSPF12,2011-02-01T00:00:00-02:00,232078.0
2011-03-01,2011,1,3,BM12_CRDSPF12,2011-03-01T00:00:00-03:00,236919.0
2011-04-01,2011,1,4,BM12_CRDSPF12,2011-04-01T00:00:00-03:00,241207.0
2011-05-01,2011,1,5,BM12_CRDSPF12,2011-05-01T00:00:00-03:00,247273.0
2011-06-01,2011,1,6,BM12_CRDSPF12,2011-06-01T00:00:00-03:00,252869.0
2011-07-01,2011,1,7,BM12_CRDSPF12,2011-07-01T00:00:00-03:00,257987.0
2011-08-01,2011,1,8,BM12_CRDSPF12,2011-08-01T00:00:00-03:00,269115.0
2011-09-01,2011,1,9,BM12_CRDSPF12,2011-09-01T00:00:00-03:00,274954.0
2011-10-01,2011,1,10,BM12_CRDSPF12,2011-10-01T00:00:00-03:00,281504.0
2011-11-01,2011,1,11,BM12_CRDSPF12,2011-11-01T00:00:00-02:00,288498.0
2011-12-01,2011,1,12,BM12_CRDSPF12,2011-12-01T00:00:00-02:00,295315.0
2012-01-01,2012,1,1,BM12_CRDSPF12,2012-01-01T00:00:00-02:00,301681.0
2012-02-01,2012,1,2,BM12_CRDSPF12,2012-02-01T00:00:00-02:00,306739.0
2012-03-01,2012,1,3,BM12_CRDSPF12,2012-03-01T00:00:00-03:00,314172.0
2012-04-01,2012,1,4,BM12_CRDSPF12,2012-04-01T00:00:00-03:00,319915.0
2012-05-01,2012,1,5,BM12_CRDSPF12,2012-05-01T00:00:00-03:00,326463.0
2012-06-01,2012,1,6,BM12_CRDSPF12,2012-06-01T00:00:00-03:00,334088.0
2012-07-01,2012,1,7,BM12_CRDSPF12,2012-07-01T00:00:00-03:00,338277.0
2012-08-01,2012,1,8,BM12_CRDSPF12,2012-08-01T00:00:00-03:00,349678.0
2012-09-01,2012,1,9,BM12_CRDSPF12,2012-09-01T00:00:00-03:00,355396.0
2012-10-01,2012,1,10,BM12_CRDSPF12,2012-10-01T00:00:00-03:00,364820.0
2012-11-01,2012,1,11,BM12_CRDSPF12,2012-11-01T00:00:00-02:00,374575.0
2012-12-01,2012,1,12,BM12_CRDSPF12,2012-12-01T00:00:00-02:00,386914.0
2013-01-01,2013,1,1,BM12_CRDSPF12,2013-01-01T00:00:00-02:00,393697.0
2013-02-01,2013,1,2,BM12_CRDSPF12,2013-02-01T00:00:00-02:00,400116.0
2013-03-01,2013,1,3,BM12_CRDSPF12,2013-03-01T00:00:00-03:00,410766.0
2013-04-01,2013,1,4,BM12_CRDSPF12,2013-04-01T00:00:00-03:00,420967.0
2013-05-01,2013,1,5,BM12_CRDSPF12,2013-05-01T00:00:00-03:00,432381.0
2013-06-01,2013,1,6,BM12_CRDSPF12,2013-06-01T00:00:00-03:00,446357.0
2013-07-01,2013,1,7,BM12_CRDSPF12,2013-07-01T00:00:00-03:00,453472.0
2013-08-01,2013,1,8,BM12_CRDSPF12,2013-08-01T00:00:00-03:00,466107.0
2013-09-01,2013,1,9,BM12_CRDSPF12,2013-09-01T00:00:00-03:00,475301.0
2013-10-01,2013,1,10,BM12_CRDSPF12,2013-10-01T00:00:00-03:00,481102.0
2013-11-01,2013,1,11,BM12_CRDSPF12,2013-11-01T00:00:00-02:00,492878.0
2013-12-01,2013,1,12,BM12_CRDSPF12,2013-12-01T00:00:00-02:00,507188.0
2014-01-01,2014,1,1,BM12_CRDSPF12,2014-01-01T00:00:00-02:00,516669.0
2014-02-01,2014,1,2,BM12_CRDSPF12,2014-02-01T00:00:00-02:00,525987.0
2014-03-01,2014,1,3,BM12_CRDSPF12,2014-03-01T00:00:00-03:00,534721.0
2014-04-01,2014,1,4,BM12_CRDSPF12,2014-04-01T00:00:00-03:00,545422.0
2014-05-01,2014,1,5,BM12_CRDSPF12,2014-05-01T00:00:00-03:00,557838.0
2014-06-01,2014,1,6,BM12_CRDSPF12,2014-06-01T00:00:00-03:00,569522.0
2014-07-01,2014,1,7,BM12_CRDSPF12,2014-07-01T00:00:00-03:00,576483.0
2014-08-01,2014,1,8,BM12_CRDSPF12,2014-08-01T00:00:00-03:00,589152.0
2014-09-01,2014,1,9,BM12_CRDSPF12,2014-09-01T00:00:00-03:00,597780.0
2014-10-01,2014,1,10,BM12_CRDSPF12,2014-10-01T00:00:00-03:00,609203.0
2014-11-01,2014,1,11,BM12_CRDSPF12,2014-11-01T00:00:00-02:00,620606.0
2014-12-01,2014,1,12,BM12_CRDSPF12,2014-12-01T00:00:00-02:00,634898.0
2015-01-01,2015,1,1,BM12_CRDSPF12,2015-01-01T00:00:00-02:00,644255.0
2015-02-01,2015,1,2,BM12_CRDSPF12,2015-02-01T00:00:00-02:00,650452.0
2015-03-01,2015,1,3,BM12_CRDSPF12,2015-03-01T00:00:00-03:00,658338.0
2015-04-01,2015,1,4,BM12_CRDSPF12,2015-04-01T00:00:00-03:00,666858.0
2015-05-01,2015,1,5,BM12_CRDSPF12,2015-05-01T00:00:00-03:00,672049.0
2015-06-01,2015,1,6,BM12_CRDSPF12,2015-06-01T00:00:00-03:00,678049.0
2015-07-01,2015,1,7,BM12_CRDSPF12,2015-07-01T00:00:00-03:00,680915.0
2015-08-01,2015,1,8,BM12_CRDSPF12,2015-08-01T00:00:00-03:00,689663.0
2015-09-01,2015,1,9,BM12_CRDSPF12,2015-09-01T00:00:00-03:00,695597.0
2015-10-01,2015,1,10,BM12_CRDSPF12,2015-10-01T00:00:00-03:00,699557.0
2015-11-01,2015,1,11,BM12_CRDSPF12,2015-11-01T00:00:00-02:00,705328.0
2015-12-01,2015,1,12,BM12_CRDSPF12,2015-12-01T00:00:00-02:00,713085.0
2016-01-01,2016,1,1,BM12_CRDSPF12,2016-01-01T00:00:00-02:00,717370.0
2016-02-01,2016,1,2,BM12_CRDSPF12,2016-02-01T00:00:00-02:00,720517.0
2016-03-01,2016,1,3,BM12_CRDSPF12,2016-03-01T00:00:00-03:00,726601.0
2016-04-01,2016,1,4,BM12_CRDSPF12,2016-04-01T00:00:00-03:00,729063.0
2016-05-01,2016,1,5,BM12_CRDSPF12,2016-05-01T00:00:00-03:00,731565.0
2016-06-01,2016,1,6,BM12_CRDSPF12,2016-06-01T00:00:00-03:00,736457.0
2016-07-01,2016,1,7,BM12_CRDSPF12,2016-07-01T00:00:00-03:00,738341.0
2016-08-01,2016,1,8,BM12_CRDSPF12,2016-08-01T00:00:00-03:00,742741.0
2016-09-01,2016,1,9,BM12_CRDSPF12,2016-09-01T00:00:00-03:00,747471.0
2016-10-01,2016,1,10,BM12_CRDSPF12,2016-10-01T00:00:00-03:00,743665.0
2016-11-01,2016,1,11,BM12_CRDSPF12,2016-11-01T00:00:00-02:00,748139.0
2016-12-01,2016,1,12,BM12_CRDSPF12,2016-12-01T00:00:00-02:00,758511.0
2017-01-01,2017,1,1,BM12_CRDSPF12,2017-01-01T00:00:00-02:00,763351.0
2017-02-01,2017,1,2,BM12_CRDSPF12,2017-02-01T00:00:00-02:00,768106.0
2017-03-01,2017,1,3,BM12_CRDSPF12,2017-03-01T00:00:00-03:00,772692.0
2017-04-01,2017,1,4,BM12_CRDSPF12,2017-04-01T00:00:00-03:00,777910.0
2017-05-01,2017,1,5,BM12_CRDSPF12,2017-05-01T00:00:00-03:00,780096.0
2017-06-01,2017,1,6,BM12_CRDSPF12,2017-06-01T00:00:00-03:00,784040.0
2017-07-01,2017,1,7,BM12_CRDSPF12,2017-07-01T00:00:00-03:00,783590.0
2017-08-01,2017,1,8,BM12_CRDSPF12,2017-08-01T00:00:00-03:00,790104.0
2017-09-01,2017,1,9,BM12_CRDSPF12,2017-09-01T00:00:00-03:00,793847.0
2017-10-01,2017,1,10,BM12_CRDSPF12,2017-10-01T00:00:00-03:00,796464.0
2017-11-01,2017,1,11,BM12_CRDSPF12,2017-11-01T00:00:00-02:00,799890.0
2017-12-01,2017,1,12,BM12_CRDSPF12,2017-12-01T00:00:00-02:00,804857.0
2018-01-01,2018,1,1,BM12_CRDSPF12,2018-01-01T00:00:00-02:00,806274.0
2018-02-01,2018,1,2,BM12_CRDSPF12,2018-02-01T00:00:00-02:00,808317.0
2018-03-01,2018,1,3,BM12_CRDSPF12,2018-03-01T00:00:00-03:00,812173.0
2018-04-01,2018,1,4,BM12_CRDSPF12,2018-04-01T00:00:00-03:00,814755.0
2018-05-01,2018,1,5,BM12_CRDSPF12,2018-05-01T00:00:00-03:00,815383.0
2018-06-01,2018,1,6,BM12_CRDSPF12,2018-06-01T00:00:00-03:00,818764.0
2018-07-01,2018,1,7,BM12_CRDSPF12,2018-07-01T00:00:00-03:00,817710.0
2018-08-01,2018,1,8,BM12_CRDSPF12,2018-08-01T00:00:00-03:00,823718.0
2018-09-01,2018,1,9,BM12_CRDSPF12,2018-09-01T00:00:00-03:00,832033.0
2018-10-01,2018,1,10,BM12_CRDSPF12,2018-10-01T00:00:00-03:00,836983.0
2018-11-01,2018,1,11,BM12_CRDSPF12,2018-11-01T00:00:00-03:00,842391.0
2018-12-01,2018,1,12,BM12_CRDSPF12,2018-12-01T00:00:00-02:00,848554.0
2019-01-01,2019,1,1,BM12_CRDSPF12,2019-01-01T00:00:00-02:00,849054.0
2019-02-01,2019,1,2,BM12_CRDSPF12,2019-02-01T00:00:00-02:00,853928.0
2019-03-01,2019,1,3,BM12_CRDSPF12,2019-03-01T00:00:00-03:00,857518.0
2019-04-01,2019,1,4,BM12_CRDSPF12,2019-04-01T00:00:00-03:00,859529.0
2019-05-01,2019,1,5,BM12_CRDSPF12,2019-05-01T00:00:00-03:00,861037.0
2019-06-01,2019,1,6,BM12_CRDSPF12,2019-06-01T00:00:00-03:00,865453.0
2019-07-01,2019,1,7,BM12_CRDSPF12,2019-07-01T00:00:00-03:00,865605.0
