DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE ((%))
2011-03-01,2011,1,3,BM12_CRLIN12,2011-03-01T00:00:00-03:00,4.41
2011-04-01,2011,1,4,BM12_CRLIN12,2011-04-01T00:00:00-03:00,4.55
2011-05-01,2011,1,5,BM12_CRLIN12,2011-05-01T00:00:00-03:00,4.72
2011-06-01,2011,1,6,BM12_CRLIN12,2011-06-01T00:00:00-03:00,4.71
2011-07-01,2011,1,7,BM12_CRLIN12,2011-07-01T00:00:00-03:00,4.89
2011-08-01,2011,1,8,BM12_CRLIN12,2011-08-01T00:00:00-03:00,4.96
2011-09-01,2011,1,9,BM12_CRLIN12,2011-09-01T00:00:00-03:00,4.97
2011-10-01,2011,1,10,BM12_CRLIN12,2011-10-01T00:00:00-03:00,5.12
2011-11-01,2011,1,11,BM12_CRLIN12,2011-11-01T00:00:00-02:00,5.16
2011-12-01,2011,1,12,BM12_CRLIN12,2011-12-01T00:00:00-02:00,5.14
2012-01-01,2012,1,1,BM12_CRLIN12,2012-01-01T00:00:00-02:00,5.33
2012-02-01,2012,1,2,BM12_CRLIN12,2012-02-01T00:00:00-02:00,5.42
2012-03-01,2012,1,3,BM12_CRLIN12,2012-03-01T00:00:00-03:00,5.32
2012-04-01,2012,1,4,BM12_CRLIN12,2012-04-01T00:00:00-03:00,5.41
2012-05-01,2012,1,5,BM12_CRLIN12,2012-05-01T00:00:00-03:00,5.49
2012-06-01,2012,1,6,BM12_CRLIN12,2012-06-01T00:00:00-03:00,5.4
2012-07-01,2012,1,7,BM12_CRLIN12,2012-07-01T00:00:00-03:00,5.43
2012-08-01,2012,1,8,BM12_CRLIN12,2012-08-01T00:00:00-03:00,5.5
2012-09-01,2012,1,9,BM12_CRLIN12,2012-09-01T00:00:00-03:00,5.45
2012-10-01,2012,1,10,BM12_CRLIN12,2012-10-01T00:00:00-03:00,5.47
2012-11-01,2012,1,11,BM12_CRLIN12,2012-11-01T00:00:00-02:00,5.36
2012-12-01,2012,1,12,BM12_CRLIN12,2012-12-01T00:00:00-02:00,5.28
2013-01-01,2013,1,1,BM12_CRLIN12,2013-01-01T00:00:00-02:00,5.29
2013-02-01,2013,1,2,BM12_CRLIN12,2013-02-01T00:00:00-02:00,5.24
2013-03-01,2013,1,3,BM12_CRLIN12,2013-03-01T00:00:00-03:00,5.12
2013-04-01,2013,1,4,BM12_CRLIN12,2013-04-01T00:00:00-03:00,5.12
2013-05-01,2013,1,5,BM12_CRLIN12,2013-05-01T00:00:00-03:00,5.15
2013-06-01,2013,1,6,BM12_CRLIN12,2013-06-01T00:00:00-03:00,4.87
2013-07-01,2013,1,7,BM12_CRLIN12,2013-07-01T00:00:00-03:00,4.87
2013-08-01,2013,1,8,BM12_CRLIN12,2013-08-01T00:00:00-03:00,4.77
2013-09-01,2013,1,9,BM12_CRLIN12,2013-09-01T00:00:00-03:00,4.73
2013-10-01,2013,1,10,BM12_CRLIN12,2013-10-01T00:00:00-03:00,4.63
2013-11-01,2013,1,11,BM12_CRLIN12,2013-11-01T00:00:00-02:00,4.5
2013-12-01,2013,1,12,BM12_CRLIN12,2013-12-01T00:00:00-02:00,4.4
2014-01-01,2014,1,1,BM12_CRLIN12,2014-01-01T00:00:00-02:00,4.4
2014-02-01,2014,1,2,BM12_CRLIN12,2014-02-01T00:00:00-02:00,4.38
2014-03-01,2014,1,3,BM12_CRLIN12,2014-03-01T00:00:00-03:00,4.39
2014-04-01,2014,1,4,BM12_CRLIN12,2014-04-01T00:00:00-03:00,4.43
2014-05-01,2014,1,5,BM12_CRLIN12,2014-05-01T00:00:00-03:00,4.58
2014-06-01,2014,1,6,BM12_CRLIN12,2014-06-01T00:00:00-03:00,4.46
2014-07-01,2014,1,7,BM12_CRLIN12,2014-07-01T00:00:00-03:00,4.56
2014-08-01,2014,1,8,BM12_CRLIN12,2014-08-01T00:00:00-03:00,4.6
2014-09-01,2014,1,9,BM12_CRLIN12,2014-09-01T00:00:00-03:00,4.58
