DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE ((%))
2011-03-01,2011,1,3,BM12_CRLINPF12,2011-03-01T00:00:00-03:00,5.54
2011-04-01,2011,1,4,BM12_CRLINPF12,2011-04-01T00:00:00-03:00,5.68
2011-05-01,2011,1,5,BM12_CRLINPF12,2011-05-01T00:00:00-03:00,5.88
2011-06-01,2011,1,6,BM12_CRLINPF12,2011-06-01T00:00:00-03:00,5.93
2011-07-01,2011,1,7,BM12_CRLINPF12,2011-07-01T00:00:00-03:00,6.13
2011-08-01,2011,1,8,BM12_CRLINPF12,2011-08-01T00:00:00-03:00,6.31
2011-09-01,2011,1,9,BM12_CRLINPF12,2011-09-01T00:00:00-03:00,6.39
2011-10-01,2011,1,10,BM12_CRLINPF12,2011-10-01T00:00:00-03:00,6.53
2011-11-01,2011,1,11,BM12_CRLINPF12,2011-11-01T00:00:00-02:00,6.65
2011-12-01,2011,1,12,BM12_CRLINPF12,2011-12-01T00:00:00-02:00,6.72
2012-01-01,2012,1,1,BM12_CRLINPF12,2012-01-01T00:00:00-02:00,6.94
2012-02-01,2012,1,2,BM12_CRLINPF12,2012-02-01T00:00:00-02:00,7.0
2012-03-01,2012,1,3,BM12_CRLINPF12,2012-03-01T00:00:00-03:00,6.96
2012-04-01,2012,1,4,BM12_CRLINPF12,2012-04-01T00:00:00-03:00,7.06
2012-05-01,2012,1,5,BM12_CRLINPF12,2012-05-01T00:00:00-03:00,7.2
2012-06-01,2012,1,6,BM12_CRLINPF12,2012-06-01T00:00:00-03:00,7.15
2012-07-01,2012,1,7,BM12_CRLINPF12,2012-07-01T00:00:00-03:00,7.17
2012-08-01,2012,1,8,BM12_CRLINPF12,2012-08-01T00:00:00-03:00,7.18
2012-09-01,2012,1,9,BM12_CRLINPF12,2012-09-01T00:00:00-03:00,7.2
2012-10-01,2012,1,10,BM12_CRLINPF12,2012-10-01T00:00:00-03:00,7.13
2012-11-01,2012,1,11,BM12_CRLINPF12,2012-11-01T00:00:00-02:00,6.97
2012-12-01,2012,1,12,BM12_CRLINPF12,2012-12-01T00:00:00-02:00,6.9
