DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (Meses)
2011-03-01,2011,1,3,BM12_CRLPCA12,2011-03-01T00:00:00-03:00,15.6
2011-04-01,2011,1,4,BM12_CRLPCA12,2011-04-01T00:00:00-03:00,15.53
2011-05-01,2011,1,5,BM12_CRLPCA12,2011-05-01T00:00:00-03:00,15.44
2011-06-01,2011,1,6,BM12_CRLPCA12,2011-06-01T00:00:00-03:00,15.59
2011-07-01,2011,1,7,BM12_CRLPCA12,2011-07-01T00:00:00-03:00,15.71
2011-08-01,2011,1,8,BM12_CRLPCA12,2011-08-01T00:00:00-03:00,15.79
2011-09-01,2011,1,9,BM12_CRLPCA12,2011-09-01T00:00:00-03:00,15.66
2011-10-01,2011,1,10,BM12_CRLPCA12,2011-10-01T00:00:00-03:00,15.69
2011-11-01,2011,1,11,BM12_CRLPCA12,2011-11-01T00:00:00-02:00,15.82
2011-12-01,2011,1,12,BM12_CRLPCA12,2011-12-01T00:00:00-02:00,15.92
2012-01-01,2012,1,1,BM12_CRLPCA12,2012-01-01T00:00:00-02:00,16.0
2012-02-01,2012,1,2,BM12_CRLPCA12,2012-02-01T00:00:00-02:00,15.78
2012-03-01,2012,1,3,BM12_CRLPCA12,2012-03-01T00:00:00-03:00,15.72
2012-04-01,2012,1,4,BM12_CRLPCA12,2012-04-01T00:00:00-03:00,15.62
2012-05-01,2012,1,5,BM12_CRLPCA12,2012-05-01T00:00:00-03:00,15.72
2012-06-01,2012,1,6,BM12_CRLPCA12,2012-06-01T00:00:00-03:00,15.75
2012-07-01,2012,1,7,BM12_CRLPCA12,2012-07-01T00:00:00-03:00,15.82
2012-08-01,2012,1,8,BM12_CRLPCA12,2012-08-01T00:00:00-03:00,15.82
2012-09-01,2012,1,9,BM12_CRLPCA12,2012-09-01T00:00:00-03:00,15.77
2012-10-01,2012,1,10,BM12_CRLPCA12,2012-10-01T00:00:00-03:00,15.94
2012-11-01,2012,1,11,BM12_CRLPCA12,2012-11-01T00:00:00-02:00,15.98
2012-12-01,2012,1,12,BM12_CRLPCA12,2012-12-01T00:00:00-02:00,16.19
2013-01-01,2013,1,1,BM12_CRLPCA12,2013-01-01T00:00:00-02:00,16.55
2013-02-01,2013,1,2,BM12_CRLPCA12,2013-02-01T00:00:00-02:00,16.59
2013-03-01,2013,1,3,BM12_CRLPCA12,2013-03-01T00:00:00-03:00,16.58
2013-04-01,2013,1,4,BM12_CRLPCA12,2013-04-01T00:00:00-03:00,16.86
2013-05-01,2013,1,5,BM12_CRLPCA12,2013-05-01T00:00:00-03:00,17.01
2013-06-01,2013,1,6,BM12_CRLPCA12,2013-06-01T00:00:00-03:00,16.85
2013-07-01,2013,1,7,BM12_CRLPCA12,2013-07-01T00:00:00-03:00,17.01
2013-08-01,2013,1,8,BM12_CRLPCA12,2013-08-01T00:00:00-03:00,16.94
2013-09-01,2013,1,9,BM12_CRLPCA12,2013-09-01T00:00:00-03:00,16.99
2013-10-01,2013,1,10,BM12_CRLPCA12,2013-10-01T00:00:00-03:00,17.05
2013-11-01,2013,1,11,BM12_CRLPCA12,2013-11-01T00:00:00-02:00,16.97
2013-12-01,2013,1,12,BM12_CRLPCA12,2013-12-01T00:00:00-02:00,17.05
2014-01-01,2014,1,1,BM12_CRLPCA12,2014-01-01T00:00:00-02:00,17.19
2014-02-01,2014,1,2,BM12_CRLPCA12,2014-02-01T00:00:00-02:00,17.04
2014-03-01,2014,1,3,BM12_CRLPCA12,2014-03-01T00:00:00-03:00,17.03
2014-04-01,2014,1,4,BM12_CRLPCA12,2014-04-01T00:00:00-03:00,17.11
2014-05-01,2014,1,5,BM12_CRLPCA12,2014-05-01T00:00:00-03:00,17.13
2014-06-01,2014,1,6,BM12_CRLPCA12,2014-06-01T00:00:00-03:00,17.03
2014-07-01,2014,1,7,BM12_CRLPCA12,2014-07-01T00:00:00-03:00,17.29
2014-08-01,2014,1,8,BM12_CRLPCA12,2014-08-01T00:00:00-03:00,17.26
2014-09-01,2014,1,9,BM12_CRLPCA12,2014-09-01T00:00:00-03:00,17.37
2014-10-01,2014,1,10,BM12_CRLPCA12,2014-10-01T00:00:00-03:00,17.59
2014-11-01,2014,1,11,BM12_CRLPCA12,2014-11-01T00:00:00-02:00,17.57
2014-12-01,2014,1,12,BM12_CRLPCA12,2014-12-01T00:00:00-02:00,17.75
2015-01-01,2015,1,1,BM12_CRLPCA12,2015-01-01T00:00:00-02:00,17.86
2015-02-01,2015,1,2,BM12_CRLPCA12,2015-02-01T00:00:00-02:00,17.84
2015-03-01,2015,1,3,BM12_CRLPCA12,2015-03-01T00:00:00-03:00,18.2
2015-04-01,2015,1,4,BM12_CRLPCA12,2015-04-01T00:00:00-03:00,18.07
2015-05-01,2015,1,5,BM12_CRLPCA12,2015-05-01T00:00:00-03:00,18.24
2015-06-01,2015,1,6,BM12_CRLPCA12,2015-06-01T00:00:00-03:00,18.28
2015-07-01,2015,1,7,BM12_CRLPCA12,2015-07-01T00:00:00-03:00,18.51
2015-08-01,2015,1,8,BM12_CRLPCA12,2015-08-01T00:00:00-03:00,18.58
2015-09-01,2015,1,9,BM12_CRLPCA12,2015-09-01T00:00:00-03:00,18.77
2015-10-01,2015,1,10,BM12_CRLPCA12,2015-10-01T00:00:00-03:00,18.86
2015-11-01,2015,1,11,BM12_CRLPCA12,2015-11-01T00:00:00-02:00,18.92
2015-12-01,2015,1,12,BM12_CRLPCA12,2015-12-01T00:00:00-02:00,19.26
2016-01-01,2016,1,1,BM12_CRLPCA12,2016-01-01T00:00:00-02:00,19.32
2016-02-01,2016,1,2,BM12_CRLPCA12,2016-02-01T00:00:00-02:00,19.26
2016-03-01,2016,1,3,BM12_CRLPCA12,2016-03-01T00:00:00-03:00,18.99
2016-04-01,2016,1,4,BM12_CRLPCA12,2016-04-01T00:00:00-03:00,18.88
2016-05-01,2016,1,5,BM12_CRLPCA12,2016-05-01T00:00:00-03:00,19.07
2016-06-01,2016,1,6,BM12_CRLPCA12,2016-06-01T00:00:00-03:00,18.94
2016-07-01,2016,1,7,BM12_CRLPCA12,2016-07-01T00:00:00-03:00,19.04
2016-08-01,2016,1,8,BM12_CRLPCA12,2016-08-01T00:00:00-03:00,19.08
2016-09-01,2016,1,9,BM12_CRLPCA12,2016-09-01T00:00:00-03:00,19.16
2016-10-01,2016,1,10,BM12_CRLPCA12,2016-10-01T00:00:00-03:00,18.95
2016-11-01,2016,1,11,BM12_CRLPCA12,2016-11-01T00:00:00-02:00,19.06
