DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (Meses)
2011-03-01,2011,1,3,BM12_CRLPCAPF12,2011-03-01T00:00:00-03:00,18.11
2011-04-01,2011,1,4,BM12_CRLPCAPF12,2011-04-01T00:00:00-03:00,18.04
2011-05-01,2011,1,5,BM12_CRLPCAPF12,2011-05-01T00:00:00-03:00,18.06
2011-06-01,2011,1,6,BM12_CRLPCAPF12,2011-06-01T00:00:00-03:00,18.13
2011-07-01,2011,1,7,BM12_CRLPCAPF12,2011-07-01T00:00:00-03:00,18.22
2011-08-01,2011,1,8,BM12_CRLPCAPF12,2011-08-01T00:00:00-03:00,18.4
2011-09-01,2011,1,9,BM12_CRLPCAPF12,2011-09-01T00:00:00-03:00,18.28
2011-10-01,2011,1,10,BM12_CRLPCAPF12,2011-10-01T00:00:00-03:00,18.21
2011-11-01,2011,1,11,BM12_CRLPCAPF12,2011-11-01T00:00:00-02:00,18.11
2011-12-01,2011,1,12,BM12_CRLPCAPF12,2011-12-01T00:00:00-02:00,18.32
2012-01-01,2012,1,1,BM12_CRLPCAPF12,2012-01-01T00:00:00-02:00,18.16
2012-02-01,2012,1,2,BM12_CRLPCAPF12,2012-02-01T00:00:00-02:00,18.05
2012-03-01,2012,1,3,BM12_CRLPCAPF12,2012-03-01T00:00:00-03:00,18.08
2012-04-01,2012,1,4,BM12_CRLPCAPF12,2012-04-01T00:00:00-03:00,18.04
2012-05-01,2012,1,5,BM12_CRLPCAPF12,2012-05-01T00:00:00-03:00,18.08
2012-06-01,2012,1,6,BM12_CRLPCAPF12,2012-06-01T00:00:00-03:00,18.13
2012-07-01,2012,1,7,BM12_CRLPCAPF12,2012-07-01T00:00:00-03:00,18.17
2012-08-01,2012,1,8,BM12_CRLPCAPF12,2012-08-01T00:00:00-03:00,18.24
2012-09-01,2012,1,9,BM12_CRLPCAPF12,2012-09-01T00:00:00-03:00,18.17
2012-10-01,2012,1,10,BM12_CRLPCAPF12,2012-10-01T00:00:00-03:00,18.23
2012-11-01,2012,1,11,BM12_CRLPCAPF12,2012-11-01T00:00:00-02:00,18.31
2012-12-01,2012,1,12,BM12_CRLPCAPF12,2012-12-01T00:00:00-02:00,18.44
2013-01-01,2013,1,1,BM12_CRLPCAPF12,2013-01-01T00:00:00-02:00,18.37
2013-02-01,2013,1,2,BM12_CRLPCAPF12,2013-02-01T00:00:00-02:00,18.42
2013-03-01,2013,1,3,BM12_CRLPCAPF12,2013-03-01T00:00:00-03:00,18.43
2013-04-01,2013,1,4,BM12_CRLPCAPF12,2013-04-01T00:00:00-03:00,18.42
2013-05-01,2013,1,5,BM12_CRLPCAPF12,2013-05-01T00:00:00-03:00,18.48
2013-06-01,2013,1,6,BM12_CRLPCAPF12,2013-06-01T00:00:00-03:00,18.51
2013-07-01,2013,1,7,BM12_CRLPCAPF12,2013-07-01T00:00:00-03:00,18.53
2013-08-01,2013,1,8,BM12_CRLPCAPF12,2013-08-01T00:00:00-03:00,18.49
2013-09-01,2013,1,9,BM12_CRLPCAPF12,2013-09-01T00:00:00-03:00,18.42
2013-10-01,2013,1,10,BM12_CRLPCAPF12,2013-10-01T00:00:00-03:00,18.45
2013-11-01,2013,1,11,BM12_CRLPCAPF12,2013-11-01T00:00:00-02:00,18.4
2013-12-01,2013,1,12,BM12_CRLPCAPF12,2013-12-01T00:00:00-02:00,18.44
2014-01-01,2014,1,1,BM12_CRLPCAPF12,2014-01-01T00:00:00-02:00,18.36
2014-02-01,2014,1,2,BM12_CRLPCAPF12,2014-02-01T00:00:00-02:00,18.38
2014-03-01,2014,1,3,BM12_CRLPCAPF12,2014-03-01T00:00:00-03:00,18.32
2014-04-01,2014,1,4,BM12_CRLPCAPF12,2014-04-01T00:00:00-03:00,18.31
2014-05-01,2014,1,5,BM12_CRLPCAPF12,2014-05-01T00:00:00-03:00,18.4
2014-06-01,2014,1,6,BM12_CRLPCAPF12,2014-06-01T00:00:00-03:00,18.36
2014-07-01,2014,1,7,BM12_CRLPCAPF12,2014-07-01T00:00:00-03:00,18.48
2014-08-01,2014,1,8,BM12_CRLPCAPF12,2014-08-01T00:00:00-03:00,18.45
2014-09-01,2014,1,9,BM12_CRLPCAPF12,2014-09-01T00:00:00-03:00,18.46
2014-10-01,2014,1,10,BM12_CRLPCAPF12,2014-10-01T00:00:00-03:00,18.95
2014-11-01,2014,1,11,BM12_CRLPCAPF12,2014-11-01T00:00:00-02:00,19.13
2014-12-01,2014,1,12,BM12_CRLPCAPF12,2014-12-01T00:00:00-02:00,19.43
2015-01-01,2015,1,1,BM12_CRLPCAPF12,2015-01-01T00:00:00-02:00,19.23
2015-02-01,2015,1,2,BM12_CRLPCAPF12,2015-02-01T00:00:00-02:00,19.17
