DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (Meses)
2011-03-01,2011,1,3,BM12_CRLPCAPJ12,2011-03-01T00:00:00-03:00,13.29
2011-04-01,2011,1,4,BM12_CRLPCAPJ12,2011-04-01T00:00:00-03:00,13.24
2011-05-01,2011,1,5,BM12_CRLPCAPJ12,2011-05-01T00:00:00-03:00,13.06
2011-06-01,2011,1,6,BM12_CRLPCAPJ12,2011-06-01T00:00:00-03:00,13.29
2011-07-01,2011,1,7,BM12_CRLPCAPJ12,2011-07-01T00:00:00-03:00,13.43
2011-08-01,2011,1,8,BM12_CRLPCAPJ12,2011-08-01T00:00:00-03:00,13.43
2011-09-01,2011,1,9,BM12_CRLPCAPJ12,2011-09-01T00:00:00-03:00,13.33
2011-10-01,2011,1,10,BM12_CRLPCAPJ12,2011-10-01T00:00:00-03:00,13.43
2011-11-01,2011,1,11,BM12_CRLPCAPJ12,2011-11-01T00:00:00-02:00,13.8
2011-12-01,2011,1,12,BM12_CRLPCAPJ12,2011-12-01T00:00:00-02:00,13.87
2012-01-01,2012,1,1,BM12_CRLPCAPJ12,2012-01-01T00:00:00-02:00,14.11
2012-02-01,2012,1,2,BM12_CRLPCAPJ12,2012-02-01T00:00:00-02:00,13.78
2012-03-01,2012,1,3,BM12_CRLPCAPJ12,2012-03-01T00:00:00-03:00,13.68
2012-04-01,2012,1,4,BM12_CRLPCAPJ12,2012-04-01T00:00:00-03:00,13.55
2012-05-01,2012,1,5,BM12_CRLPCAPJ12,2012-05-01T00:00:00-03:00,13.71
2012-06-01,2012,1,6,BM12_CRLPCAPJ12,2012-06-01T00:00:00-03:00,13.75
2012-07-01,2012,1,7,BM12_CRLPCAPJ12,2012-07-01T00:00:00-03:00,13.83
2012-08-01,2012,1,8,BM12_CRLPCAPJ12,2012-08-01T00:00:00-03:00,13.77
2012-09-01,2012,1,9,BM12_CRLPCAPJ12,2012-09-01T00:00:00-03:00,13.77
2012-10-01,2012,1,10,BM12_CRLPCAPJ12,2012-10-01T00:00:00-03:00,14.03
2012-11-01,2012,1,11,BM12_CRLPCAPJ12,2012-11-01T00:00:00-02:00,14.06
2012-12-01,2012,1,12,BM12_CRLPCAPJ12,2012-12-01T00:00:00-02:00,14.38
2013-01-01,2013,1,1,BM12_CRLPCAPJ12,2013-01-01T00:00:00-02:00,15.02
2013-02-01,2013,1,2,BM12_CRLPCAPJ12,2013-02-01T00:00:00-02:00,15.06
2013-03-01,2013,1,3,BM12_CRLPCAPJ12,2013-03-01T00:00:00-03:00,15.05
2013-04-01,2013,1,4,BM12_CRLPCAPJ12,2013-04-01T00:00:00-03:00,15.56
2013-05-01,2013,1,5,BM12_CRLPCAPJ12,2013-05-01T00:00:00-03:00,15.79
2013-06-01,2013,1,6,BM12_CRLPCAPJ12,2013-06-01T00:00:00-03:00,15.49
2013-07-01,2013,1,7,BM12_CRLPCAPJ12,2013-07-01T00:00:00-03:00,15.74
2013-08-01,2013,1,8,BM12_CRLPCAPJ12,2013-08-01T00:00:00-03:00,15.65
2013-09-01,2013,1,9,BM12_CRLPCAPJ12,2013-09-01T00:00:00-03:00,15.81
2013-10-01,2013,1,10,BM12_CRLPCAPJ12,2013-10-01T00:00:00-03:00,15.87
2013-11-01,2013,1,11,BM12_CRLPCAPJ12,2013-11-01T00:00:00-02:00,15.79
2013-12-01,2013,1,12,BM12_CRLPCAPJ12,2013-12-01T00:00:00-02:00,15.94
2014-01-01,2014,1,1,BM12_CRLPCAPJ12,2014-01-01T00:00:00-02:00,16.23
2014-02-01,2014,1,2,BM12_CRLPCAPJ12,2014-02-01T00:00:00-02:00,15.93
2014-03-01,2014,1,3,BM12_CRLPCAPJ12,2014-03-01T00:00:00-03:00,15.98
2014-04-01,2014,1,4,BM12_CRLPCAPJ12,2014-04-01T00:00:00-03:00,16.11
2014-05-01,2014,1,5,BM12_CRLPCAPJ12,2014-05-01T00:00:00-03:00,16.08
2014-06-01,2014,1,6,BM12_CRLPCAPJ12,2014-06-01T00:00:00-03:00,15.95
2014-07-01,2014,1,7,BM12_CRLPCAPJ12,2014-07-01T00:00:00-03:00,16.31
2014-08-01,2014,1,8,BM12_CRLPCAPJ12,2014-08-01T00:00:00-03:00,16.27
2014-09-01,2014,1,9,BM12_CRLPCAPJ12,2014-09-01T00:00:00-03:00,16.48
2014-10-01,2014,1,10,BM12_CRLPCAPJ12,2014-10-01T00:00:00-03:00,16.46
2014-11-01,2014,1,11,BM12_CRLPCAPJ12,2014-11-01T00:00:00-02:00,16.29
2014-12-01,2014,1,12,BM12_CRLPCAPJ12,2014-12-01T00:00:00-02:00,16.41
2015-01-01,2015,1,1,BM12_CRLPCAPJ12,2015-01-01T00:00:00-02:00,16.73
2015-02-01,2015,1,2,BM12_CRLPCAPJ12,2015-02-01T00:00:00-02:00,16.74
