DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
2007-03-01,2007,1,3,BM12_CRLSPF12,2007-03-01T00:00:00-03:00,245824.0
2007-04-01,2007,1,4,BM12_CRLSPF12,2007-04-01T00:00:00-03:00,252938.0
2007-05-01,2007,1,5,BM12_CRLSPF12,2007-05-01T00:00:00-03:00,261453.0
2007-06-01,2007,1,6,BM12_CRLSPF12,2007-06-01T00:00:00-03:00,267963.0
2007-07-01,2007,1,7,BM12_CRLSPF12,2007-07-01T00:00:00-03:00,277967.0
2007-08-01,2007,1,8,BM12_CRLSPF12,2007-08-01T00:00:00-03:00,284340.0
2007-09-01,2007,1,9,BM12_CRLSPF12,2007-09-01T00:00:00-03:00,290679.0
2007-10-01,2007,1,10,BM12_CRLSPF12,2007-10-01T00:00:00-03:00,300417.0
2007-11-01,2007,1,11,BM12_CRLSPF12,2007-11-01T00:00:00-02:00,307966.0
2007-12-01,2007,1,12,BM12_CRLSPF12,2007-12-01T00:00:00-02:00,314773.0
2008-01-01,2008,1,1,BM12_CRLSPF12,2008-01-01T00:00:00-02:00,322064.0
2008-02-01,2008,1,2,BM12_CRLSPF12,2008-02-01T00:00:00-02:00,326948.0
2008-03-01,2008,1,3,BM12_CRLSPF12,2008-03-01T00:00:00-03:00,337096.0
2008-04-01,2008,1,4,BM12_CRLSPF12,2008-04-01T00:00:00-03:00,347513.0
2008-05-01,2008,1,5,BM12_CRLSPF12,2008-05-01T00:00:00-03:00,356360.0
2008-06-01,2008,1,6,BM12_CRLSPF12,2008-06-01T00:00:00-03:00,361933.0
2008-07-01,2008,1,7,BM12_CRLSPF12,2008-07-01T00:00:00-03:00,370696.0
2008-08-01,2008,1,8,BM12_CRLSPF12,2008-08-01T00:00:00-03:00,377510.0
2008-09-01,2008,1,9,BM12_CRLSPF12,2008-09-01T00:00:00-03:00,383459.0
2008-10-01,2008,1,10,BM12_CRLSPF12,2008-10-01T00:00:00-03:00,392010.0
2008-11-01,2008,1,11,BM12_CRLSPF12,2008-11-01T00:00:00-02:00,391784.0
2008-12-01,2008,1,12,BM12_CRLSPF12,2008-12-01T00:00:00-02:00,395916.0
2009-01-01,2009,1,1,BM12_CRLSPF12,2009-01-01T00:00:00-02:00,397020.0
2009-02-01,2009,1,2,BM12_CRLSPF12,2009-02-01T00:00:00-02:00,394677.0
2009-03-01,2009,1,3,BM12_CRLSPF12,2009-03-01T00:00:00-03:00,399378.0
