DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE ((p.p.))
2011-03-01,2011,1,3,BM12_CSDPJ12,2011-03-01T00:00:00-03:00,10.22
2011-04-01,2011,1,4,BM12_CSDPJ12,2011-04-01T00:00:00-03:00,10.72
2011-05-01,2011,1,5,BM12_CSDPJ12,2011-05-01T00:00:00-03:00,10.72
2011-06-01,2011,1,6,BM12_CSDPJ12,2011-06-01T00:00:00-03:00,10.5
2011-07-01,2011,1,7,BM12_CSDPJ12,2011-07-01T00:00:00-03:00,10.39
2011-08-01,2011,1,8,BM12_CSDPJ12,2011-08-01T00:00:00-03:00,10.25
2011-09-01,2011,1,9,BM12_CSDPJ12,2011-09-01T00:00:00-03:00,10.57
2011-10-01,2011,1,10,BM12_CSDPJ12,2011-10-01T00:00:00-03:00,10.56
2011-11-01,2011,1,11,BM12_CSDPJ12,2011-11-01T00:00:00-02:00,10.25
2011-12-01,2011,1,12,BM12_CSDPJ12,2011-12-01T00:00:00-02:00,9.83
2012-01-01,2012,1,1,BM12_CSDPJ12,2012-01-01T00:00:00-02:00,10.81
2012-02-01,2012,1,2,BM12_CSDPJ12,2012-02-01T00:00:00-02:00,10.83
2012-03-01,2012,1,3,BM12_CSDPJ12,2012-03-01T00:00:00-03:00,10.67
2012-04-01,2012,1,4,BM12_CSDPJ12,2012-04-01T00:00:00-03:00,10.48
2012-05-01,2012,1,5,BM12_CSDPJ12,2012-05-01T00:00:00-03:00,9.54
2012-06-01,2012,1,6,BM12_CSDPJ12,2012-06-01T00:00:00-03:00,8.89
2012-07-01,2012,1,7,BM12_CSDPJ12,2012-07-01T00:00:00-03:00,8.94
2012-08-01,2012,1,8,BM12_CSDPJ12,2012-08-01T00:00:00-03:00,8.85
2012-09-01,2012,1,9,BM12_CSDPJ12,2012-09-01T00:00:00-03:00,8.5
2012-10-01,2012,1,10,BM12_CSDPJ12,2012-10-01T00:00:00-03:00,8.17
2012-11-01,2012,1,11,BM12_CSDPJ12,2012-11-01T00:00:00-02:00,8.3
2012-12-01,2012,1,12,BM12_CSDPJ12,2012-12-01T00:00:00-02:00,7.41
2013-01-01,2013,1,1,BM12_CSDPJ12,2013-01-01T00:00:00-02:00,8.34
2013-02-01,2013,1,2,BM12_CSDPJ12,2013-02-01T00:00:00-02:00,8.21
2013-03-01,2013,1,3,BM12_CSDPJ12,2013-03-01T00:00:00-03:00,8.03
2013-04-01,2013,1,4,BM12_CSDPJ12,2013-04-01T00:00:00-03:00,7.95
2013-05-01,2013,1,5,BM12_CSDPJ12,2013-05-01T00:00:00-03:00,7.59
