DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
2007-03-01,2007,1,3,BM12_CSPJ12,2007-03-01T00:00:00-03:00,413952.0
2007-04-01,2007,1,4,BM12_CSPJ12,2007-04-01T00:00:00-03:00,424836.0
2007-05-01,2007,1,5,BM12_CSPJ12,2007-05-01T00:00:00-03:00,425838.0
2007-06-01,2007,1,6,BM12_CSPJ12,2007-06-01T00:00:00-03:00,430511.0
2007-07-01,2007,1,7,BM12_CSPJ12,2007-07-01T00:00:00-03:00,439052.0
2007-08-01,2007,1,8,BM12_CSPJ12,2007-08-01T00:00:00-03:00,456966.0
2007-09-01,2007,1,9,BM12_CSPJ12,2007-09-01T00:00:00-03:00,464106.0
2007-10-01,2007,1,10,BM12_CSPJ12,2007-10-01T00:00:00-03:00,475254.0
2007-11-01,2007,1,11,BM12_CSPJ12,2007-11-01T00:00:00-02:00,494849.0
2007-12-01,2007,1,12,BM12_CSPJ12,2007-12-01T00:00:00-02:00,512056.0
2008-01-01,2008,1,1,BM12_CSPJ12,2008-01-01T00:00:00-02:00,513560.0
2008-02-01,2008,1,2,BM12_CSPJ12,2008-02-01T00:00:00-02:00,522260.0
2008-03-01,2008,1,3,BM12_CSPJ12,2008-03-01T00:00:00-03:00,544862.0
2008-04-01,2008,1,4,BM12_CSPJ12,2008-04-01T00:00:00-03:00,557409.0
2008-05-01,2008,1,5,BM12_CSPJ12,2008-05-01T00:00:00-03:00,572822.0
2008-06-01,2008,1,6,BM12_CSPJ12,2008-06-01T00:00:00-03:00,587334.0
2008-07-01,2008,1,7,BM12_CSPJ12,2008-07-01T00:00:00-03:00,598386.0
2008-08-01,2008,1,8,BM12_CSPJ12,2008-08-01T00:00:00-03:00,615495.0
2008-09-01,2008,1,9,BM12_CSPJ12,2008-09-01T00:00:00-03:00,646485.0
2008-10-01,2008,1,10,BM12_CSPJ12,2008-10-01T00:00:00-03:00,668184.0
2008-11-01,2008,1,11,BM12_CSPJ12,2008-11-01T00:00:00-02:00,688358.0
2008-12-01,2008,1,12,BM12_CSPJ12,2008-12-01T00:00:00-02:00,699775.0
2009-01-01,2009,1,1,BM12_CSPJ12,2009-01-01T00:00:00-02:00,698197.0
2009-02-01,2009,1,2,BM12_CSPJ12,2009-02-01T00:00:00-02:00,698600.0
2009-03-01,2009,1,3,BM12_CSPJ12,2009-03-01T00:00:00-03:00,705416.0
2009-04-01,2009,1,4,BM12_CSPJ12,2009-04-01T00:00:00-03:00,703231.0
2009-05-01,2009,1,5,BM12_CSPJ12,2009-05-01T00:00:00-03:00,703135.0
2009-06-01,2009,1,6,BM12_CSPJ12,2009-06-01T00:00:00-03:00,709695.0
2009-07-01,2009,1,7,BM12_CSPJ12,2009-07-01T00:00:00-03:00,734148.0
2009-08-01,2009,1,8,BM12_CSPJ12,2009-08-01T00:00:00-03:00,744780.0
2009-09-01,2009,1,9,BM12_CSPJ12,2009-09-01T00:00:00-03:00,753080.0
2009-10-01,2009,1,10,BM12_CSPJ12,2009-10-01T00:00:00-03:00,763694.0
2009-11-01,2009,1,11,BM12_CSPJ12,2009-11-01T00:00:00-02:00,777239.0
2009-12-01,2009,1,12,BM12_CSPJ12,2009-12-01T00:00:00-02:00,793960.0
2010-01-01,2010,1,1,BM12_CSPJ12,2010-01-01T00:00:00-02:00,794589.0
2010-02-01,2010,1,2,BM12_CSPJ12,2010-02-01T00:00:00-02:00,799320.0
2010-03-01,2010,1,3,BM12_CSPJ12,2010-03-01T00:00:00-03:00,803921.0
2010-04-01,2010,1,4,BM12_CSPJ12,2010-04-01T00:00:00-03:00,810261.0
2010-05-01,2010,1,5,BM12_CSPJ12,2010-05-01T00:00:00-03:00,827703.0
2010-06-01,2010,1,6,BM12_CSPJ12,2010-06-01T00:00:00-03:00,850742.0
2010-07-01,2010,1,7,BM12_CSPJ12,2010-07-01T00:00:00-03:00,856268.0
2010-08-01,2010,1,8,BM12_CSPJ12,2010-08-01T00:00:00-03:00,876241.0
2010-09-01,2010,1,9,BM12_CSPJ12,2010-09-01T00:00:00-03:00,894120.0
2010-10-01,2010,1,10,BM12_CSPJ12,2010-10-01T00:00:00-03:00,910493.0
2010-11-01,2010,1,11,BM12_CSPJ12,2010-11-01T00:00:00-02:00,927066.0
2010-12-01,2010,1,12,BM12_CSPJ12,2010-12-01T00:00:00-02:00,936912.0
2011-01-01,2011,1,1,BM12_CSPJ12,2011-01-01T00:00:00-02:00,933467.0
2011-02-01,2011,1,2,BM12_CSPJ12,2011-02-01T00:00:00-02:00,947964.0
2011-03-01,2011,1,3,BM12_CSPJ12,2011-03-01T00:00:00-03:00,958884.0
2011-04-01,2011,1,4,BM12_CSPJ12,2011-04-01T00:00:00-03:00,971825.0
2011-05-01,2011,1,5,BM12_CSPJ12,2011-05-01T00:00:00-03:00,986470.0
2011-06-01,2011,1,6,BM12_CSPJ12,2011-06-01T00:00:00-03:00,1002021.0
2011-07-01,2011,1,7,BM12_CSPJ12,2011-07-01T00:00:00-03:00,1012580.0
2011-08-01,2011,1,8,BM12_CSPJ12,2011-08-01T00:00:00-03:00,1025674.0
2011-09-01,2011,1,9,BM12_CSPJ12,2011-09-01T00:00:00-03:00,1053850.0
2011-10-01,2011,1,10,BM12_CSPJ12,2011-10-01T00:00:00-03:00,1056671.0
2011-11-01,2011,1,11,BM12_CSPJ12,2011-11-01T00:00:00-02:00,1080026.0
2011-12-01,2011,1,12,BM12_CSPJ12,2011-12-01T00:00:00-02:00,1112355.0
2012-01-01,2012,1,1,BM12_CSPJ12,2012-01-01T00:00:00-02:00,1099064.0
2012-02-01,2012,1,2,BM12_CSPJ12,2012-02-01T00:00:00-02:00,1099920.0
2012-03-01,2012,1,3,BM12_CSPJ12,2012-03-01T00:00:00-03:00,1125741.0
2012-04-01,2012,1,4,BM12_CSPJ12,2012-04-01T00:00:00-03:00,1141731.0
2012-05-01,2012,1,5,BM12_CSPJ12,2012-05-01T00:00:00-03:00,1161233.0
2012-06-01,2012,1,6,BM12_CSPJ12,2012-06-01T00:00:00-03:00,1180998.0
2012-07-01,2012,1,7,BM12_CSPJ12,2012-07-01T00:00:00-03:00,1188704.0
2012-08-01,2012,1,8,BM12_CSPJ12,2012-08-01T00:00:00-03:00,1197310.0
2012-09-01,2012,1,9,BM12_CSPJ12,2012-09-01T00:00:00-03:00,1218829.0
2012-10-01,2012,1,10,BM12_CSPJ12,2012-10-01T00:00:00-03:00,1234774.0
2012-11-01,2012,1,11,BM12_CSPJ12,2012-11-01T00:00:00-02:00,1254604.0
2012-12-01,2012,1,12,BM12_CSPJ12,2012-12-01T00:00:00-02:00,1291867.0
2013-01-01,2013,1,1,BM12_CSPJ12,2013-01-01T00:00:00-02:00,1277890.0
2013-02-01,2013,1,2,BM12_CSPJ12,2013-02-01T00:00:00-02:00,1288822.0
2013-03-01,2013,1,3,BM12_CSPJ12,2013-03-01T00:00:00-03:00,1319047.0
2013-04-01,2013,1,4,BM12_CSPJ12,2013-04-01T00:00:00-03:00,1324301.0
2013-05-01,2013,1,5,BM12_CSPJ12,2013-05-01T00:00:00-03:00,1343310.0
2013-06-01,2013,1,6,BM12_CSPJ12,2013-06-01T00:00:00-03:00,1371462.0
2013-07-01,2013,1,7,BM12_CSPJ12,2013-07-01T00:00:00-03:00,1371133.0
2013-08-01,2013,1,8,BM12_CSPJ12,2013-08-01T00:00:00-03:00,1387379.0
2013-09-01,2013,1,9,BM12_CSPJ12,2013-09-01T00:00:00-03:00,1394720.0
2013-10-01,2013,1,10,BM12_CSPJ12,2013-10-01T00:00:00-03:00,1391759.0
2013-11-01,2013,1,11,BM12_CSPJ12,2013-11-01T00:00:00-02:00,1418888.0
2013-12-01,2013,1,12,BM12_CSPJ12,2013-12-01T00:00:00-02:00,1461999.0
2014-01-01,2014,1,1,BM12_CSPJ12,2014-01-01T00:00:00-02:00,1450143.0
2014-02-01,2014,1,2,BM12_CSPJ12,2014-02-01T00:00:00-02:00,1455446.0
2014-03-01,2014,1,3,BM12_CSPJ12,2014-03-01T00:00:00-03:00,1470686.0
2014-04-01,2014,1,4,BM12_CSPJ12,2014-04-01T00:00:00-03:00,1477149.0
2014-05-01,2014,1,5,BM12_CSPJ12,2014-05-01T00:00:00-03:00,1486831.0
2014-06-01,2014,1,6,BM12_CSPJ12,2014-06-01T00:00:00-03:00,1499849.0
2014-07-01,2014,1,7,BM12_CSPJ12,2014-07-01T00:00:00-03:00,1497784.0
2014-08-01,2014,1,8,BM12_CSPJ12,2014-08-01T00:00:00-03:00,1509536.0
2014-09-01,2014,1,9,BM12_CSPJ12,2014-09-01T00:00:00-03:00,1535565.0
2014-10-01,2014,1,10,BM12_CSPJ12,2014-10-01T00:00:00-03:00,1541066.0
2014-11-01,2014,1,11,BM12_CSPJ12,2014-11-01T00:00:00-02:00,1566044.0
2014-12-01,2014,1,12,BM12_CSPJ12,2014-12-01T00:00:00-02:00,1601391.0
2015-01-01,2015,1,1,BM12_CSPJ12,2015-01-01T00:00:00-02:00,1591349.0
2015-02-01,2015,1,2,BM12_CSPJ12,2015-02-01T00:00:00-02:00,1599734.0
2015-03-01,2015,1,3,BM12_CSPJ12,2015-03-01T00:00:00-03:00,1625477.0
2015-04-01,2015,1,4,BM12_CSPJ12,2015-04-01T00:00:00-03:00,1617486.0
2015-05-01,2015,1,5,BM12_CSPJ12,2015-05-01T00:00:00-03:00,1630568.0
2015-06-01,2015,1,6,BM12_CSPJ12,2015-06-01T00:00:00-03:00,1640086.0
2015-07-01,2015,1,7,BM12_CSPJ12,2015-07-01T00:00:00-03:00,1643742.0
2015-08-01,2015,1,8,BM12_CSPJ12,2015-08-01T00:00:00-03:00,1657395.0
2015-09-01,2015,1,9,BM12_CSPJ12,2015-09-01T00:00:00-03:00,1681022.0
2015-10-01,2015,1,10,BM12_CSPJ12,2015-10-01T00:00:00-03:00,1670159.0
2015-11-01,2015,1,11,BM12_CSPJ12,2015-11-01T00:00:00-02:00,1678370.0
2015-12-01,2015,1,12,BM12_CSPJ12,2015-12-01T00:00:00-02:00,1710914.0
