DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE ((% a.a.))
2011-03-01,2011,1,3,BM12_CTJPF12,2011-03-01T00:00:00-03:00,36.42
2011-04-01,2011,1,4,BM12_CTJPF12,2011-04-01T00:00:00-03:00,37.03
2011-05-01,2011,1,5,BM12_CTJPF12,2011-05-01T00:00:00-03:00,36.89
2011-06-01,2011,1,6,BM12_CTJPF12,2011-06-01T00:00:00-03:00,36.57
2011-07-01,2011,1,7,BM12_CTJPF12,2011-07-01T00:00:00-03:00,36.89
2011-08-01,2011,1,8,BM12_CTJPF12,2011-08-01T00:00:00-03:00,36.12
2011-09-01,2011,1,9,BM12_CTJPF12,2011-09-01T00:00:00-03:00,36.23
2011-10-01,2011,1,10,BM12_CTJPF12,2011-10-01T00:00:00-03:00,36.9
2011-11-01,2011,1,11,BM12_CTJPF12,2011-11-01T00:00:00-02:00,35.79
2011-12-01,2011,1,12,BM12_CTJPF12,2011-12-01T00:00:00-02:00,34.01
2012-01-01,2012,1,1,BM12_CTJPF12,2012-01-01T00:00:00-02:00,34.97
2012-02-01,2012,1,2,BM12_CTJPF12,2012-02-01T00:00:00-02:00,35.3
2012-03-01,2012,1,3,BM12_CTJPF12,2012-03-01T00:00:00-03:00,35.01
2012-04-01,2012,1,4,BM12_CTJPF12,2012-04-01T00:00:00-03:00,34.3
2012-05-01,2012,1,5,BM12_CTJPF12,2012-05-01T00:00:00-03:00,32.34
2012-06-01,2012,1,6,BM12_CTJPF12,2012-06-01T00:00:00-03:00,31.58
2012-07-01,2012,1,7,BM12_CTJPF12,2012-07-01T00:00:00-03:00,30.71
2012-08-01,2012,1,8,BM12_CTJPF12,2012-08-01T00:00:00-03:00,29.84
2012-09-01,2012,1,9,BM12_CTJPF12,2012-09-01T00:00:00-03:00,29.78
2012-10-01,2012,1,10,BM12_CTJPF12,2012-10-01T00:00:00-03:00,29.05
2012-11-01,2012,1,11,BM12_CTJPF12,2012-11-01T00:00:00-02:00,28.47
2012-12-01,2012,1,12,BM12_CTJPF12,2012-12-01T00:00:00-02:00,27.32
2013-01-01,2013,1,1,BM12_CTJPF12,2013-01-01T00:00:00-02:00,27.38
2013-02-01,2013,1,2,BM12_CTJPF12,2013-02-01T00:00:00-02:00,27.96
2013-03-01,2013,1,3,BM12_CTJPF12,2013-03-01T00:00:00-03:00,27.42
