DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE ((% a.a.))
2011-03-01,2011,1,3,BM12_CTJPJ12,2011-03-01T00:00:00-03:00,19.33
2011-04-01,2011,1,4,BM12_CTJPJ12,2011-04-01T00:00:00-03:00,19.86
2011-05-01,2011,1,5,BM12_CTJPJ12,2011-05-01T00:00:00-03:00,19.84
2011-06-01,2011,1,6,BM12_CTJPJ12,2011-06-01T00:00:00-03:00,19.63
2011-07-01,2011,1,7,BM12_CTJPJ12,2011-07-01T00:00:00-03:00,19.64
2011-08-01,2011,1,8,BM12_CTJPJ12,2011-08-01T00:00:00-03:00,19.2
2011-09-01,2011,1,9,BM12_CTJPJ12,2011-09-01T00:00:00-03:00,19.13
2011-10-01,2011,1,10,BM12_CTJPJ12,2011-10-01T00:00:00-03:00,18.91
2011-11-01,2011,1,11,BM12_CTJPJ12,2011-11-01T00:00:00-02:00,18.43
2011-12-01,2011,1,12,BM12_CTJPJ12,2011-12-01T00:00:00-02:00,18.14
2012-01-01,2012,1,1,BM12_CTJPJ12,2012-01-01T00:00:00-02:00,19.06
2012-02-01,2012,1,2,BM12_CTJPJ12,2012-02-01T00:00:00-02:00,18.8
2012-03-01,2012,1,3,BM12_CTJPJ12,2012-03-01T00:00:00-03:00,18.49
2012-04-01,2012,1,4,BM12_CTJPJ12,2012-04-01T00:00:00-03:00,18.04
2012-05-01,2012,1,5,BM12_CTJPJ12,2012-05-01T00:00:00-03:00,16.77
2012-06-01,2012,1,6,BM12_CTJPJ12,2012-06-01T00:00:00-03:00,16.04
2012-07-01,2012,1,7,BM12_CTJPJ12,2012-07-01T00:00:00-03:00,15.7
2012-08-01,2012,1,8,BM12_CTJPJ12,2012-08-01T00:00:00-03:00,15.54
2012-09-01,2012,1,9,BM12_CTJPJ12,2012-09-01T00:00:00-03:00,15.17
2012-10-01,2012,1,10,BM12_CTJPJ12,2012-10-01T00:00:00-03:00,14.7
2012-11-01,2012,1,11,BM12_CTJPJ12,2012-11-01T00:00:00-02:00,14.77
2012-12-01,2012,1,12,BM12_CTJPJ12,2012-12-01T00:00:00-02:00,13.82
2013-01-01,2013,1,1,BM12_CTJPJ12,2013-01-01T00:00:00-02:00,14.57
2013-02-01,2013,1,2,BM12_CTJPJ12,2013-02-01T00:00:00-02:00,14.65
2013-03-01,2013,1,3,BM12_CTJPJ12,2013-03-01T00:00:00-03:00,14.65
2013-04-01,2013,1,4,BM12_CTJPJ12,2013-04-01T00:00:00-03:00,14.61
2013-05-01,2013,1,5,BM12_CTJPJ12,2013-05-01T00:00:00-03:00,14.34
2013-06-01,2013,1,6,BM12_CTJPJ12,2013-06-01T00:00:00-03:00,14.73
2013-07-01,2013,1,7,BM12_CTJPJ12,2013-07-01T00:00:00-03:00,14.96
2013-08-01,2013,1,8,BM12_CTJPJ12,2013-08-01T00:00:00-03:00,15.2
2013-09-01,2013,1,9,BM12_CTJPJ12,2013-09-01T00:00:00-03:00,15.27
2013-10-01,2013,1,10,BM12_CTJPJ12,2013-10-01T00:00:00-03:00,15.39
2013-11-01,2013,1,11,BM12_CTJPJ12,2013-11-01T00:00:00-02:00,15.73
2013-12-01,2013,1,12,BM12_CTJPJ12,2013-12-01T00:00:00-02:00,15.64
2014-01-01,2014,1,1,BM12_CTJPJ12,2014-01-01T00:00:00-02:00,16.52
2014-02-01,2014,1,2,BM12_CTJPJ12,2014-02-01T00:00:00-02:00,16.62
2014-03-01,2014,1,3,BM12_CTJPJ12,2014-03-01T00:00:00-03:00,16.53
2014-04-01,2014,1,4,BM12_CTJPJ12,2014-04-01T00:00:00-03:00,16.68
2014-05-01,2014,1,5,BM12_CTJPJ12,2014-05-01T00:00:00-03:00,16.81
2014-06-01,2014,1,6,BM12_CTJPJ12,2014-06-01T00:00:00-03:00,16.37
