DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1991-01-01,1991,1,1,BM12_DEXEMN12,1991-01-01T00:00:00-02:00,0.36
1991-02-01,1991,1,2,BM12_DEXEMN12,1991-02-01T00:00:00-02:00,0.37
1991-03-01,1991,1,3,BM12_DEXEMN12,1991-03-01T00:00:00-03:00,0.39
1991-04-01,1991,1,4,BM12_DEXEMN12,1991-04-01T00:00:00-03:00,0.42
1991-05-01,1991,1,5,BM12_DEXEMN12,1991-05-01T00:00:00-03:00,0.46
1991-06-01,1991,1,6,BM12_DEXEMN12,1991-06-01T00:00:00-03:00,0.5
1991-07-01,1991,1,7,BM12_DEXEMN12,1991-07-01T00:00:00-03:00,0.55
1991-08-01,1991,1,8,BM12_DEXEMN12,1991-08-01T00:00:00-03:00,0.62
1991-09-01,1991,1,9,BM12_DEXEMN12,1991-09-01T00:00:00-03:00,0.71
1991-10-01,1991,1,10,BM12_DEXEMN12,1991-10-01T00:00:00-03:00,0.98
1991-11-01,1991,1,11,BM12_DEXEMN12,1991-11-01T00:00:00-03:00,1.28
1991-12-01,1991,1,12,BM12_DEXEMN12,1991-12-01T00:00:00-02:00,1.64
1992-01-01,1992,1,1,BM12_DEXEMN12,1992-01-01T00:00:00-02:00,2.01
1992-02-01,1992,1,2,BM12_DEXEMN12,1992-02-01T00:00:00-02:00,2.48
1992-03-01,1992,1,3,BM12_DEXEMN12,1992-03-01T00:00:00-03:00,3.05
1992-04-01,1992,1,4,BM12_DEXEMN12,1992-04-01T00:00:00-03:00,3.68
1992-05-01,1992,1,5,BM12_DEXEMN12,1992-05-01T00:00:00-03:00,4.4
1992-06-01,1992,1,6,BM12_DEXEMN12,1992-06-01T00:00:00-03:00,5.39
1992-07-01,1992,1,7,BM12_DEXEMN12,1992-07-01T00:00:00-03:00,6.64
1992-08-01,1992,1,8,BM12_DEXEMN12,1992-08-01T00:00:00-03:00,8.18
1992-09-01,1992,1,9,BM12_DEXEMN12,1992-09-01T00:00:00-03:00,10.26
1992-10-01,1992,1,10,BM12_DEXEMN12,1992-10-01T00:00:00-03:00,12.84
1992-11-01,1992,1,11,BM12_DEXEMN12,1992-11-01T00:00:00-03:00,15.84
1992-12-01,1992,1,12,BM12_DEXEMN12,1992-12-01T00:00:00-02:00,19.83
1993-01-01,1993,1,1,BM12_DEXEMN12,1993-01-01T00:00:00-02:00,25.22
1993-02-01,1993,1,2,BM12_DEXEMN12,1993-02-01T00:00:00-02:00,32.0
