DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE ((% PIB))
1991-01-01,1991,1,1,BM12_DEXGFY12,1991-01-01T00:00:00-02:00,15.17
1991-02-01,1991,1,2,BM12_DEXGFY12,1991-02-01T00:00:00-02:00,13.89
1991-03-01,1991,1,3,BM12_DEXGFY12,1991-03-01T00:00:00-03:00,14.16
1991-04-01,1991,1,4,BM12_DEXGFY12,1991-04-01T00:00:00-03:00,14.24
1991-05-01,1991,1,5,BM12_DEXGFY12,1991-05-01T00:00:00-03:00,14.05
1991-06-01,1991,1,6,BM12_DEXGFY12,1991-06-01T00:00:00-03:00,13.55
1991-07-01,1991,1,7,BM12_DEXGFY12,1991-07-01T00:00:00-03:00,12.78
1991-08-01,1991,1,8,BM12_DEXGFY12,1991-08-01T00:00:00-03:00,12.48
1991-09-01,1991,1,9,BM12_DEXGFY12,1991-09-01T00:00:00-03:00,12.87
1991-10-01,1991,1,10,BM12_DEXGFY12,1991-10-01T00:00:00-03:00,14.46
1991-11-01,1991,1,11,BM12_DEXGFY12,1991-11-01T00:00:00-03:00,15.14
1991-12-01,1991,1,12,BM12_DEXGFY12,1991-12-01T00:00:00-02:00,14.94
1992-01-01,1992,1,1,BM12_DEXGFY12,1992-01-01T00:00:00-02:00,13.89
1992-02-01,1992,1,2,BM12_DEXGFY12,1992-02-01T00:00:00-02:00,13.28
1992-03-01,1992,1,3,BM12_DEXGFY12,1992-03-01T00:00:00-03:00,13.38
1992-04-01,1992,1,4,BM12_DEXGFY12,1992-04-01T00:00:00-03:00,12.86
1992-05-01,1992,1,5,BM12_DEXGFY12,1992-05-01T00:00:00-03:00,12.13
1992-06-01,1992,1,6,BM12_DEXGFY12,1992-06-01T00:00:00-03:00,11.99
1992-07-01,1992,1,7,BM12_DEXGFY12,1992-07-01T00:00:00-03:00,11.69
1992-08-01,1992,1,8,BM12_DEXGFY12,1992-08-01T00:00:00-03:00,11.38
1992-09-01,1992,1,9,BM12_DEXGFY12,1992-09-01T00:00:00-03:00,11.79
1992-10-01,1992,1,10,BM12_DEXGFY12,1992-10-01T00:00:00-03:00,10.99
1992-11-01,1992,1,11,BM12_DEXGFY12,1992-11-01T00:00:00-03:00,10.47
1992-12-01,1992,1,12,BM12_DEXGFY12,1992-12-01T00:00:00-02:00,11.3
1993-01-01,1993,1,1,BM12_DEXGFY12,1993-01-01T00:00:00-02:00,11.21
1993-02-01,1993,1,2,BM12_DEXGFY12,1993-02-01T00:00:00-02:00,11.3
1993-03-01,1993,1,3,BM12_DEXGFY12,1993-03-01T00:00:00-03:00,11.24
1993-04-01,1993,1,4,BM12_DEXGFY12,1993-04-01T00:00:00-03:00,11.09
1993-05-01,1993,1,5,BM12_DEXGFY12,1993-05-01T00:00:00-03:00,10.53
1993-06-01,1993,1,6,BM12_DEXGFY12,1993-06-01T00:00:00-03:00,10.13
1993-07-01,1993,1,7,BM12_DEXGFY12,1993-07-01T00:00:00-03:00,9.56
1993-08-01,1993,1,8,BM12_DEXGFY12,1993-08-01T00:00:00-03:00,9.26
1993-09-01,1993,1,9,BM12_DEXGFY12,1993-09-01T00:00:00-03:00,9.25
1993-10-01,1993,1,10,BM12_DEXGFY12,1993-10-01T00:00:00-03:00,8.6
1993-11-01,1993,1,11,BM12_DEXGFY12,1993-11-01T00:00:00-03:00,8.01
1993-12-01,1993,1,12,BM12_DEXGFY12,1993-12-01T00:00:00-02:00,7.73
1994-01-01,1994,1,1,BM12_DEXGFY12,1994-01-01T00:00:00-02:00,7.03
1994-02-01,1994,1,2,BM12_DEXGFY12,1994-02-01T00:00:00-02:00,6.72
