DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE ((% PIB))
1995-12-01,1995,1,12,BM12_DIFISPY12,1995-12-01T00:00:00-02:00,27.98
1996-01-01,1996,1,1,BM12_DIFISPY12,1996-01-01T00:00:00-02:00,28.03
1996-02-01,1996,1,2,BM12_DIFISPY12,1996-02-01T00:00:00-02:00,28.09
1996-03-01,1996,1,3,BM12_DIFISPY12,1996-03-01T00:00:00-03:00,28.2
1996-04-01,1996,1,4,BM12_DIFISPY12,1996-04-01T00:00:00-03:00,28.63
1996-05-01,1996,1,5,BM12_DIFISPY12,1996-05-01T00:00:00-03:00,28.4
1996-06-01,1996,1,6,BM12_DIFISPY12,1996-06-01T00:00:00-03:00,28.55
1996-07-01,1996,1,7,BM12_DIFISPY12,1996-07-01T00:00:00-03:00,28.53
1996-08-01,1996,1,8,BM12_DIFISPY12,1996-08-01T00:00:00-03:00,28.71
1996-09-01,1996,1,9,BM12_DIFISPY12,1996-09-01T00:00:00-03:00,28.96
1996-10-01,1996,1,10,BM12_DIFISPY12,1996-10-01T00:00:00-03:00,29.12
1996-11-01,1996,1,11,BM12_DIFISPY12,1996-11-01T00:00:00-03:00,29.1
1996-12-01,1996,1,12,BM12_DIFISPY12,1996-12-01T00:00:00-02:00,28.89
1997-01-01,1997,1,1,BM12_DIFISPY12,1997-01-01T00:00:00-02:00,28.82
1997-02-01,1997,1,2,BM12_DIFISPY12,1997-02-01T00:00:00-02:00,28.68
1997-03-01,1997,1,3,BM12_DIFISPY12,1997-03-01T00:00:00-03:00,28.73
1997-04-01,1997,1,4,BM12_DIFISPY12,1997-04-01T00:00:00-03:00,28.84
1997-05-01,1997,1,5,BM12_DIFISPY12,1997-05-01T00:00:00-03:00,28.87
1997-06-01,1997,1,6,BM12_DIFISPY12,1997-06-01T00:00:00-03:00,28.7
1997-07-01,1997,1,7,BM12_DIFISPY12,1997-07-01T00:00:00-03:00,29.05
1997-08-01,1997,1,8,BM12_DIFISPY12,1997-08-01T00:00:00-03:00,29.01
1997-09-01,1997,1,9,BM12_DIFISPY12,1997-09-01T00:00:00-03:00,29.2
1997-10-01,1997,1,10,BM12_DIFISPY12,1997-10-01T00:00:00-03:00,29.74
1997-11-01,1997,1,11,BM12_DIFISPY12,1997-11-01T00:00:00-03:00,30.09
1997-12-01,1997,1,12,BM12_DIFISPY12,1997-12-01T00:00:00-02:00,31.46
1998-01-01,1998,1,1,BM12_DIFISPY12,1998-01-01T00:00:00-02:00,31.98
1998-02-01,1998,1,2,BM12_DIFISPY12,1998-02-01T00:00:00-02:00,32.42
1998-03-01,1998,1,3,BM12_DIFISPY12,1998-03-01T00:00:00-03:00,32.48
1998-04-01,1998,1,4,BM12_DIFISPY12,1998-04-01T00:00:00-03:00,32.81
1998-05-01,1998,1,5,BM12_DIFISPY12,1998-05-01T00:00:00-03:00,33.18
1998-06-01,1998,1,6,BM12_DIFISPY12,1998-06-01T00:00:00-03:00,34.06
1998-07-01,1998,1,7,BM12_DIFISPY12,1998-07-01T00:00:00-03:00,34.55
1998-08-01,1998,1,8,BM12_DIFISPY12,1998-08-01T00:00:00-03:00,34.67
1998-09-01,1998,1,9,BM12_DIFISPY12,1998-09-01T00:00:00-03:00,35.59
1998-10-01,1998,1,10,BM12_DIFISPY12,1998-10-01T00:00:00-03:00,36.56
1998-11-01,1998,1,11,BM12_DIFISPY12,1998-11-01T00:00:00-03:00,37.31
1998-12-01,1998,1,12,BM12_DIFISPY12,1998-12-01T00:00:00-02:00,37.64
1999-01-01,1999,1,1,BM12_DIFISPY12,1999-01-01T00:00:00-02:00,37.0
1999-02-01,1999,1,2,BM12_DIFISPY12,1999-02-01T00:00:00-02:00,36.35
1999-03-01,1999,1,3,BM12_DIFISPY12,1999-03-01T00:00:00-03:00,36.57
1999-04-01,1999,1,4,BM12_DIFISPY12,1999-04-01T00:00:00-03:00,37.21
1999-05-01,1999,1,5,BM12_DIFISPY12,1999-05-01T00:00:00-03:00,37.76
1999-06-01,1999,1,6,BM12_DIFISPY12,1999-06-01T00:00:00-03:00,37.54
1999-07-01,1999,1,7,BM12_DIFISPY12,1999-07-01T00:00:00-03:00,37.49
1999-08-01,1999,1,8,BM12_DIFISPY12,1999-08-01T00:00:00-03:00,37.42
1999-09-01,1999,1,9,BM12_DIFISPY12,1999-09-01T00:00:00-03:00,36.91
1999-10-01,1999,1,10,BM12_DIFISPY12,1999-10-01T00:00:00-03:00,36.83
1999-11-01,1999,1,11,BM12_DIFISPY12,1999-11-01T00:00:00-03:00,36.51
1999-12-01,1999,1,12,BM12_DIFISPY12,1999-12-01T00:00:00-02:00,37.01
2000-01-01,2000,1,1,BM12_DIFISPY12,2000-01-01T00:00:00-02:00,37.07
2000-02-01,2000,1,2,BM12_DIFISPY12,2000-02-01T00:00:00-02:00,37.47
2000-03-01,2000,1,3,BM12_DIFISPY12,2000-03-01T00:00:00-03:00,37.65
2000-04-01,2000,1,4,BM12_DIFISPY12,2000-04-01T00:00:00-03:00,37.91
2000-05-01,2000,1,5,BM12_DIFISPY12,2000-05-01T00:00:00-03:00,37.92
2000-06-01,2000,1,6,BM12_DIFISPY12,2000-06-01T00:00:00-03:00,37.73
2000-07-01,2000,1,7,BM12_DIFISPY12,2000-07-01T00:00:00-03:00,37.46
2000-08-01,2000,1,8,BM12_DIFISPY12,2000-08-01T00:00:00-03:00,37.15
