DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
2001-12-01,2001,1,12,BM12_DINSPN12,2001-12-01T00:00:00-02:00,552268.64
2002-01-01,2002,1,1,BM12_DINSPN12,2002-01-01T00:00:00-02:00,561479.62
2002-02-01,2002,1,2,BM12_DINSPN12,2002-02-01T00:00:00-02:00,562344.26
2002-03-01,2002,1,3,BM12_DINSPN12,2002-03-01T00:00:00-03:00,562434.16
2002-04-01,2002,1,4,BM12_DINSPN12,2002-04-01T00:00:00-03:00,564502.69
2002-05-01,2002,1,5,BM12_DINSPN12,2002-05-01T00:00:00-03:00,578500.51
2002-06-01,2002,1,6,BM12_DINSPN12,2002-06-01T00:00:00-03:00,602166.08
2002-07-01,2002,1,7,BM12_DINSPN12,2002-07-01T00:00:00-03:00,630007.47
2002-08-01,2002,1,8,BM12_DINSPN12,2002-08-01T00:00:00-03:00,608078.19
2002-09-01,2002,1,9,BM12_DINSPN12,2002-09-01T00:00:00-03:00,649974.95
2002-10-01,2002,1,10,BM12_DINSPN12,2002-10-01T00:00:00-03:00,638776.07
2002-11-01,2002,1,11,BM12_DINSPN12,2002-11-01T00:00:00-03:00,642396.09
2002-12-01,2002,1,12,BM12_DINSPN12,2002-12-01T00:00:00-02:00,660547.37
2003-01-01,2003,1,1,BM12_DINSPN12,2003-01-01T00:00:00-02:00,673311.56
2003-02-01,2003,1,2,BM12_DINSPN12,2003-02-01T00:00:00-02:00,682230.87
2003-03-01,2003,1,3,BM12_DINSPN12,2003-03-01T00:00:00-03:00,683860.08
2003-04-01,2003,1,4,BM12_DINSPN12,2003-04-01T00:00:00-03:00,661939.49
2003-05-01,2003,1,5,BM12_DINSPN12,2003-05-01T00:00:00-03:00,674096.28
2003-06-01,2003,1,6,BM12_DINSPN12,2003-06-01T00:00:00-03:00,679586.07
2003-07-01,2003,1,7,BM12_DINSPN12,2003-07-01T00:00:00-03:00,694050.26
2003-08-01,2003,1,8,BM12_DINSPN12,2003-08-01T00:00:00-03:00,708345.22
2003-09-01,2003,1,9,BM12_DINSPN12,2003-09-01T00:00:00-03:00,712132.94
2003-10-01,2003,1,10,BM12_DINSPN12,2003-10-01T00:00:00-03:00,715757.42
2003-11-01,2003,1,11,BM12_DINSPN12,2003-11-01T00:00:00-03:00,726538.49
2003-12-01,2003,1,12,BM12_DINSPN12,2003-12-01T00:00:00-02:00,742409.22
2004-01-01,2004,1,1,BM12_DINSPN12,2004-01-01T00:00:00-02:00,754317.98
2004-02-01,2004,1,2,BM12_DINSPN12,2004-02-01T00:00:00-02:00,757516.9
2004-03-01,2004,1,3,BM12_DINSPN12,2004-03-01T00:00:00-03:00,759991.49
2004-04-01,2004,1,4,BM12_DINSPN12,2004-04-01T00:00:00-03:00,774233.21
2004-05-01,2004,1,5,BM12_DINSPN12,2004-05-01T00:00:00-03:00,782332.4
2004-06-01,2004,1,6,BM12_DINSPN12,2004-06-01T00:00:00-03:00,784008.43
2004-07-01,2004,1,7,BM12_DINSPN12,2004-07-01T00:00:00-03:00,786801.37
2004-08-01,2004,1,8,BM12_DINSPN12,2004-08-01T00:00:00-03:00,790763.94
2004-09-01,2004,1,9,BM12_DINSPN12,2004-09-01T00:00:00-03:00,793448.97
2004-10-01,2004,1,10,BM12_DINSPN12,2004-10-01T00:00:00-03:00,796775.26
2004-11-01,2004,1,11,BM12_DINSPN12,2004-11-01T00:00:00-03:00,801180.13
2004-12-01,2004,1,12,BM12_DINSPN12,2004-12-01T00:00:00-02:00,829279.33
2005-01-01,2005,1,1,BM12_DINSPN12,2005-01-01T00:00:00-02:00,835405.36
2005-02-01,2005,1,2,BM12_DINSPN12,2005-02-01T00:00:00-02:00,850868.15
2005-03-01,2005,1,3,BM12_DINSPN12,2005-03-01T00:00:00-03:00,866603.82
2005-04-01,2005,1,4,BM12_DINSPN12,2005-04-01T00:00:00-03:00,863742.37
2005-05-01,2005,1,5,BM12_DINSPN12,2005-05-01T00:00:00-03:00,869738.28
2005-06-01,2005,1,6,BM12_DINSPN12,2005-06-01T00:00:00-03:00,885240.99
2005-07-01,2005,1,7,BM12_DINSPN12,2005-07-01T00:00:00-03:00,898266.8
2005-08-01,2005,1,8,BM12_DINSPN12,2005-08-01T00:00:00-03:00,904912.55
2005-09-01,2005,1,9,BM12_DINSPN12,2005-09-01T00:00:00-03:00,912441.52
2005-10-01,2005,1,10,BM12_DINSPN12,2005-10-01T00:00:00-03:00,929349.68
2005-11-01,2005,1,11,BM12_DINSPN12,2005-11-01T00:00:00-02:00,946423.82
2005-12-01,2005,1,12,BM12_DINSPN12,2005-12-01T00:00:00-02:00,972139.88
2006-01-01,2006,1,1,BM12_DINSPN12,2006-01-01T00:00:00-02:00,992348.5
2006-02-01,2006,1,2,BM12_DINSPN12,2006-02-01T00:00:00-02:00,1007954.73
2006-03-01,2006,1,3,BM12_DINSPN12,2006-03-01T00:00:00-03:00,1021197.19
2006-04-01,2006,1,4,BM12_DINSPN12,2006-04-01T00:00:00-03:00,1022658.95
2006-05-01,2006,1,5,BM12_DINSPN12,2006-05-01T00:00:00-03:00,1037539.79
2006-06-01,2006,1,6,BM12_DINSPN12,2006-06-01T00:00:00-03:00,1045532.25
