DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1953-01-01,1953,1,1,BM12_ERCF12,1953-01-01T00:00:00-02:00,6.68363636363636e-15
1953-02-01,1953,1,2,BM12_ERCF12,1953-02-01T00:00:00-02:00,1.49090909090909e-14
1953-03-01,1953,1,3,BM12_ERCF12,1953-03-01T00:00:00-03:00,1.49090909090909e-14
1953-04-01,1953,1,4,BM12_ERCF12,1953-04-01T00:00:00-03:00,1.41818181818182e-14
1953-05-01,1953,1,5,BM12_ERCF12,1953-05-01T00:00:00-03:00,1.56363636363636e-14
1953-06-01,1953,1,6,BM12_ERCF12,1953-06-01T00:00:00-03:00,1.58909090909091e-14
1953-07-01,1953,1,7,BM12_ERCF12,1953-07-01T00:00:00-03:00,1.45090909090909e-14
1953-08-01,1953,1,8,BM12_ERCF12,1953-08-01T00:00:00-03:00,1.36363636363636e-14
1953-09-01,1953,1,9,BM12_ERCF12,1953-09-01T00:00:00-03:00,1.34909090909091e-14
1953-10-01,1953,1,10,BM12_ERCF12,1953-10-01T00:00:00-03:00,1.34909090909091e-14
1953-11-01,1953,1,11,BM12_ERCF12,1953-11-01T00:00:00-03:00,1.85454545454545e-14
1953-12-01,1953,1,12,BM12_ERCF12,1953-12-01T00:00:00-02:00,1.98181818181818e-14
1954-01-01,1954,1,1,BM12_ERCF12,1954-01-01T00:00:00-02:00,1.92727272727273e-14
1954-02-01,1954,1,2,BM12_ERCF12,1954-02-01T00:00:00-02:00,2.12727272727273e-14
1954-03-01,1954,1,3,BM12_ERCF12,1954-03-01T00:00:00-03:00,2.05818181818182e-14
1954-04-01,1954,1,4,BM12_ERCF12,1954-04-01T00:00:00-03:00,1.83636363636364e-14
1954-05-01,1954,1,5,BM12_ERCF12,1954-05-01T00:00:00-03:00,2e-14
1954-06-01,1954,1,6,BM12_ERCF12,1954-06-01T00:00:00-03:00,2.03636363636364e-14
1954-07-01,1954,1,7,BM12_ERCF12,1954-07-01T00:00:00-03:00,2.12727272727273e-14
1954-08-01,1954,1,8,BM12_ERCF12,1954-08-01T00:00:00-03:00,2.17454545454545e-14
1954-09-01,1954,1,9,BM12_ERCF12,1954-09-01T00:00:00-03:00,2.24727272727273e-14
