DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1986-01-01,1986,1,1,BM12_FCAFIN12,1986-01-01T00:00:00-02:00,-7.49090909090909e-08
1986-02-01,1986,1,2,BM12_FCAFIN12,1986-02-01T00:00:00-02:00,3.2e-08
1986-03-01,1986,1,3,BM12_FCAFIN12,1986-03-01T00:00:00-03:00,5.55636363636364e-07
1986-04-01,1986,1,4,BM12_FCAFIN12,1986-04-01T00:00:00-03:00,-5.40727272727273e-07
1986-05-01,1986,1,5,BM12_FCAFIN12,1986-05-01T00:00:00-03:00,1.80363636363636e-07
1986-06-01,1986,1,6,BM12_FCAFIN12,1986-06-01T00:00:00-03:00,2.22909090909091e-07
1986-07-01,1986,1,7,BM12_FCAFIN12,1986-07-01T00:00:00-03:00,9.37090909090909e-07
1986-08-01,1986,1,8,BM12_FCAFIN12,1986-08-01T00:00:00-03:00,-3.48363636363636e-07
1986-09-01,1986,1,9,BM12_FCAFIN12,1986-09-01T00:00:00-03:00,-8.57818181818182e-07
1986-10-01,1986,1,10,BM12_FCAFIN12,1986-10-01T00:00:00-03:00,6.50909090909091e-08
1986-11-01,1986,1,11,BM12_FCAFIN12,1986-11-01T00:00:00-03:00,5.56363636363636e-08
1986-12-01,1986,1,12,BM12_FCAFIN12,1986-12-01T00:00:00-02:00,1.42145454545455e-06
1987-01-01,1987,1,1,BM12_FCAFIN12,1987-01-01T00:00:00-02:00,3.44e-07
1987-02-01,1987,1,2,BM12_FCAFIN12,1987-02-01T00:00:00-02:00,-3.18109090909091e-06
1987-03-01,1987,1,3,BM12_FCAFIN12,1987-03-01T00:00:00-03:00,1.17069090909091e-05
1987-04-01,1987,1,4,BM12_FCAFIN12,1987-04-01T00:00:00-03:00,7.07381818181818e-06
1987-05-01,1987,1,5,BM12_FCAFIN12,1987-05-01T00:00:00-03:00,-1.54327272727273e-06
1987-06-01,1987,1,6,BM12_FCAFIN12,1987-06-01T00:00:00-03:00,-7.12145454545455e-06
1987-07-01,1987,1,7,BM12_FCAFIN12,1987-07-01T00:00:00-03:00,-5.32654545454545e-06
1987-08-01,1987,1,8,BM12_FCAFIN12,1987-08-01T00:00:00-03:00,4.36109090909091e-06
1987-09-01,1987,1,9,BM12_FCAFIN12,1987-09-01T00:00:00-03:00,1.04036363636364e-06
1987-10-01,1987,1,10,BM12_FCAFIN12,1987-10-01T00:00:00-03:00,2.35236363636364e-06
1987-11-01,1987,1,11,BM12_FCAFIN12,1987-11-01T00:00:00-03:00,-8.02545454545455e-07
1987-12-01,1987,1,12,BM12_FCAFIN12,1987-12-01T00:00:00-02:00,-3.43636363636364e-06
1988-01-01,1988,1,1,BM12_FCAFIN12,1988-01-01T00:00:00-02:00,2.13345454545455e-06
1988-02-01,1988,1,2,BM12_FCAFIN12,1988-02-01T00:00:00-02:00,-1.98290909090909e-06
1988-03-01,1988,1,3,BM12_FCAFIN12,1988-03-01T00:00:00-03:00,-5.86181818181818e-07
1988-04-01,1988,1,4,BM12_FCAFIN12,1988-04-01T00:00:00-03:00,-8.37090909090909e-07
1988-05-01,1988,1,5,BM12_FCAFIN12,1988-05-01T00:00:00-03:00,-1.75454545454545e-06
1988-06-01,1988,1,6,BM12_FCAFIN12,1988-06-01T00:00:00-03:00,-1.61454545454545e-06
1988-07-01,1988,1,7,BM12_FCAFIN12,1988-07-01T00:00:00-03:00,-1.86436363636364e-06
1988-08-01,1988,1,8,BM12_FCAFIN12,1988-08-01T00:00:00-03:00,-4.53127272727273e-06
1988-09-01,1988,1,9,BM12_FCAFIN12,1988-09-01T00:00:00-03:00,-3.42036363636364e-06
1988-10-01,1988,1,10,BM12_FCAFIN12,1988-10-01T00:00:00-03:00,-4.81163636363636e-06
1988-11-01,1988,1,11,BM12_FCAFIN12,1988-11-01T00:00:00-03:00,-8.30363636363636e-06
1988-12-01,1988,1,12,BM12_FCAFIN12,1988-12-01T00:00:00-02:00,-1.2056e-05
1989-01-01,1989,1,1,BM12_FCAFIN12,1989-01-01T00:00:00-02:00,4e-09
1989-02-01,1989,1,2,BM12_FCAFIN12,1989-02-01T00:00:00-02:00,0.000142181818181818
1989-03-01,1989,1,3,BM12_FCAFIN12,1989-03-01T00:00:00-03:00,9.34545454545455e-05
1989-04-01,1989,1,4,BM12_FCAFIN12,1989-04-01T00:00:00-03:00,-5.09090909090909e-06
1989-05-01,1989,1,5,BM12_FCAFIN12,1989-05-01T00:00:00-03:00,-1.56363636363636e-05
1989-06-01,1989,1,6,BM12_FCAFIN12,1989-06-01T00:00:00-03:00,-6.54545454545455e-06
1989-07-01,1989,1,7,BM12_FCAFIN12,1989-07-01T00:00:00-03:00,-1.92727272727273e-05
1989-08-01,1989,1,8,BM12_FCAFIN12,1989-08-01T00:00:00-03:00,1.67272727272727e-05
1989-09-01,1989,1,9,BM12_FCAFIN12,1989-09-01T00:00:00-03:00,-4.58181818181818e-05
1989-10-01,1989,1,10,BM12_FCAFIN12,1989-10-01T00:00:00-03:00,3.63636363636364e-06
1989-11-01,1989,1,11,BM12_FCAFIN12,1989-11-01T00:00:00-03:00,-2.8e-05
1989-12-01,1989,1,12,BM12_FCAFIN12,1989-12-01T00:00:00-02:00,-5.45454545454545e-05
1990-01-01,1990,1,1,BM12_FCAFIN12,1990-01-01T00:00:00-02:00,-0.000306909090909091
1990-02-01,1990,1,2,BM12_FCAFIN12,1990-02-01T00:00:00-02:00,-0.000601454545454545
1990-03-01,1990,1,3,BM12_FCAFIN12,1990-03-01T00:00:00-03:00,1.34545454545455e-05
