DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1986-01-01,1986,1,1,BM12_FCDEPFIN12,1986-01-01T00:00:00-02:00,-8.36363636363636e-09
1986-02-01,1986,1,2,BM12_FCDEPFIN12,1986-02-01T00:00:00-02:00,1.27272727272727e-08
1986-03-01,1986,1,3,BM12_FCDEPFIN12,1986-03-01T00:00:00-03:00,-1.6e-08
1986-04-01,1986,1,4,BM12_FCDEPFIN12,1986-04-01T00:00:00-03:00,1.56363636363636e-08
1986-05-01,1986,1,5,BM12_FCDEPFIN12,1986-05-01T00:00:00-03:00,1.16363636363636e-08
1986-06-01,1986,1,6,BM12_FCDEPFIN12,1986-06-01T00:00:00-03:00,-5.27272727272727e-08
1986-07-01,1986,1,7,BM12_FCDEPFIN12,1986-07-01T00:00:00-03:00,-8.47272727272727e-08
1986-08-01,1986,1,8,BM12_FCDEPFIN12,1986-08-01T00:00:00-03:00,-6.8e-08
1986-09-01,1986,1,9,BM12_FCDEPFIN12,1986-09-01T00:00:00-03:00,-1.36218181818182e-06
1986-10-01,1986,1,10,BM12_FCDEPFIN12,1986-10-01T00:00:00-03:00,-1.44436363636364e-06
1986-11-01,1986,1,11,BM12_FCDEPFIN12,1986-11-01T00:00:00-03:00,-1.316e-06
1986-12-01,1986,1,12,BM12_FCDEPFIN12,1986-12-01T00:00:00-02:00,-3.48945454545455e-06
1987-01-01,1987,1,1,BM12_FCDEPFIN12,1987-01-01T00:00:00-02:00,6.98909090909091e-07
1987-02-01,1987,1,2,BM12_FCDEPFIN12,1987-02-01T00:00:00-02:00,8.48472727272727e-06
1987-03-01,1987,1,3,BM12_FCDEPFIN12,1987-03-01T00:00:00-03:00,-5.14363636363636e-06
1987-04-01,1987,1,4,BM12_FCDEPFIN12,1987-04-01T00:00:00-03:00,-7.30545454545455e-07
1987-05-01,1987,1,5,BM12_FCDEPFIN12,1987-05-01T00:00:00-03:00,5.96363636363636e-08
1987-06-01,1987,1,6,BM12_FCDEPFIN12,1987-06-01T00:00:00-03:00,-1.12421818181818e-05
1987-07-01,1987,1,7,BM12_FCDEPFIN12,1987-07-01T00:00:00-03:00,-2.37967272727273e-05
1987-08-01,1987,1,8,BM12_FCDEPFIN12,1987-08-01T00:00:00-03:00,-6.54690909090909e-06
1987-09-01,1987,1,9,BM12_FCDEPFIN12,1987-09-01T00:00:00-03:00,-3.83163636363636e-06
1987-10-01,1987,1,10,BM12_FCDEPFIN12,1987-10-01T00:00:00-03:00,2.03498181818182e-05
1987-11-01,1987,1,11,BM12_FCDEPFIN12,1987-11-01T00:00:00-03:00,8.63272727272727e-07
1987-12-01,1987,1,12,BM12_FCDEPFIN12,1987-12-01T00:00:00-02:00,-2.88487272727273e-05
1988-01-01,1988,1,1,BM12_FCDEPFIN12,1988-01-01T00:00:00-02:00,2.95647272727273e-05
1988-02-01,1988,1,2,BM12_FCDEPFIN12,1988-02-01T00:00:00-02:00,-6.3388e-05
1988-03-01,1988,1,3,BM12_FCDEPFIN12,1988-03-01T00:00:00-03:00,-3.4348e-05
1988-04-01,1988,1,4,BM12_FCDEPFIN12,1988-04-01T00:00:00-03:00,5.77498181818182e-05
1988-05-01,1988,1,5,BM12_FCDEPFIN12,1988-05-01T00:00:00-03:00,3.63276363636364e-05
1988-06-01,1988,1,6,BM12_FCDEPFIN12,1988-06-01T00:00:00-03:00,0.000260624727272727
1988-07-01,1988,1,7,BM12_FCDEPFIN12,1988-07-01T00:00:00-03:00,-1.43752727272727e-05
1988-08-01,1988,1,8,BM12_FCDEPFIN12,1988-08-01T00:00:00-03:00,-2.90654545454545e-06
1988-09-01,1988,1,9,BM12_FCDEPFIN12,1988-09-01T00:00:00-03:00,-2.70992727272727e-05
1988-10-01,1988,1,10,BM12_FCDEPFIN12,1988-10-01T00:00:00-03:00,-3.27952727272727e-05
1988-11-01,1988,1,11,BM12_FCDEPFIN12,1988-11-01T00:00:00-03:00,6.83527272727273e-06
1988-12-01,1988,1,12,BM12_FCDEPFIN12,1988-12-01T00:00:00-02:00,4.99272727272727e-07
1989-01-01,1989,1,1,BM12_FCDEPFIN12,1989-01-01T00:00:00-02:00,0.0
1989-02-01,1989,1,2,BM12_FCDEPFIN12,1989-02-01T00:00:00-02:00,-6.21818181818182e-05
1989-03-01,1989,1,3,BM12_FCDEPFIN12,1989-03-01T00:00:00-03:00,-6.69090909090909e-05
1989-04-01,1989,1,4,BM12_FCDEPFIN12,1989-04-01T00:00:00-03:00,1.81818181818182e-06
1989-05-01,1989,1,5,BM12_FCDEPFIN12,1989-05-01T00:00:00-03:00,2.18181818181818e-05
1989-06-01,1989,1,6,BM12_FCDEPFIN12,1989-06-01T00:00:00-03:00,0.000166909090909091
1989-07-01,1989,1,7,BM12_FCDEPFIN12,1989-07-01T00:00:00-03:00,0.000216
1989-08-01,1989,1,8,BM12_FCDEPFIN12,1989-08-01T00:00:00-03:00,7.81818181818182e-05
1989-09-01,1989,1,9,BM12_FCDEPFIN12,1989-09-01T00:00:00-03:00,6.58181818181818e-05
1989-10-01,1989,1,10,BM12_FCDEPFIN12,1989-10-01T00:00:00-03:00,0.000254909090909091
1989-11-01,1989,1,11,BM12_FCDEPFIN12,1989-11-01T00:00:00-03:00,0.000161090909090909
1989-12-01,1989,1,12,BM12_FCDEPFIN12,1989-12-01T00:00:00-02:00,0.000425454545454545
1990-01-01,1990,1,1,BM12_FCDEPFIN12,1990-01-01T00:00:00-02:00,0.00227345454545455
1990-02-01,1990,1,2,BM12_FCDEPFIN12,1990-02-01T00:00:00-02:00,-0.0532883636363636
1990-03-01,1990,1,3,BM12_FCDEPFIN12,1990-03-01T00:00:00-03:00,-0.0420505454545455
1990-04-01,1990,1,4,BM12_FCDEPFIN12,1990-04-01T00:00:00-03:00,0.119496363636364
1990-05-01,1990,1,5,BM12_FCDEPFIN12,1990-05-01T00:00:00-03:00,0.043248
1990-06-01,1990,1,6,BM12_FCDEPFIN12,1990-06-01T00:00:00-03:00,-0.0743018181818182
1990-07-01,1990,1,7,BM12_FCDEPFIN12,1990-07-01T00:00:00-03:00,-0.00262763636363636
1990-08-01,1990,1,8,BM12_FCDEPFIN12,1990-08-01T00:00:00-03:00,0.00686109090909091
1990-09-01,1990,1,9,BM12_FCDEPFIN12,1990-09-01T00:00:00-03:00,-0.0169047272727273
1990-10-01,1990,1,10,BM12_FCDEPFIN12,1990-10-01T00:00:00-03:00,0.008796
1990-11-01,1990,1,11,BM12_FCDEPFIN12,1990-11-01T00:00:00-03:00,-0.002076
1990-12-01,1990,1,12,BM12_FCDEPFIN12,1990-12-01T00:00:00-02:00,0.00708690909090909
1991-01-01,1991,1,1,BM12_FCDEPFIN12,1991-01-01T00:00:00-02:00,0.00343890909090909
1991-02-01,1991,1,2,BM12_FCDEPFIN12,1991-02-01T00:00:00-02:00,-0.0133781818181818
1991-03-01,1991,1,3,BM12_FCDEPFIN12,1991-03-01T00:00:00-03:00,0.00967818181818182
1991-04-01,1991,1,4,BM12_FCDEPFIN12,1991-04-01T00:00:00-03:00,-0.0153687272727273
1991-05-01,1991,1,5,BM12_FCDEPFIN12,1991-05-01T00:00:00-03:00,0.0281025454545455
1991-06-01,1991,1,6,BM12_FCDEPFIN12,1991-06-01T00:00:00-03:00,0.0488934545454545
1991-07-01,1991,1,7,BM12_FCDEPFIN12,1991-07-01T00:00:00-03:00,0.0808505454545455
1991-08-01,1991,1,8,BM12_FCDEPFIN12,1991-08-01T00:00:00-03:00,0.261798545454546
1991-09-01,1991,1,9,BM12_FCDEPFIN12,1991-09-01T00:00:00-03:00,0.258237454545455
1991-10-01,1991,1,10,BM12_FCDEPFIN12,1991-10-01T00:00:00-03:00,0.321278181818182
1991-11-01,1991,1,11,BM12_FCDEPFIN12,1991-11-01T00:00:00-03:00,0.294894909090909
1991-12-01,1991,1,12,BM12_FCDEPFIN12,1991-12-01T00:00:00-02:00,0.333811636363636
1992-01-01,1992,1,1,BM12_FCDEPFIN12,1992-01-01T00:00:00-02:00,0.532357818181818
1992-02-01,1992,1,2,BM12_FCDEPFIN12,1992-02-01T00:00:00-02:00,0.634182181818182
1992-03-01,1992,1,3,BM12_FCDEPFIN12,1992-03-01T00:00:00-03:00,0.709676
1992-04-01,1992,1,4,BM12_FCDEPFIN12,1992-04-01T00:00:00-03:00,1.088236
1992-05-01,1992,1,5,BM12_FCDEPFIN12,1992-05-01T00:00:00-03:00,1.04078509090909
1992-06-01,1992,1,6,BM12_FCDEPFIN12,1992-06-01T00:00:00-03:00,1.58455127272727
1992-07-01,1992,1,7,BM12_FCDEPFIN12,1992-07-01T00:00:00-03:00,1.59173163636364
1992-08-01,1992,1,8,BM12_FCDEPFIN12,1992-08-01T00:00:00-03:00,2.43169272727273
1992-09-01,1992,1,9,BM12_FCDEPFIN12,1992-09-01T00:00:00-03:00,0.331938545454545
1992-10-01,1992,1,10,BM12_FCDEPFIN12,1992-10-01T00:00:00-03:00,0.355649454545455
1992-11-01,1992,1,11,BM12_FCDEPFIN12,1992-11-01T00:00:00-03:00,-0.253818181818182
1992-12-01,1992,1,12,BM12_FCDEPFIN12,1992-12-01T00:00:00-02:00,0.362181818181818
1993-01-01,1993,1,1,BM12_FCDEPFIN12,1993-01-01T00:00:00-02:00,-0.446181818181818
1993-02-01,1993,1,2,BM12_FCDEPFIN12,1993-02-01T00:00:00-02:00,-2.884
1993-03-01,1993,1,3,BM12_FCDEPFIN12,1993-03-01T00:00:00-03:00,-4.16872727272727
1993-04-01,1993,1,4,BM12_FCDEPFIN12,1993-04-01T00:00:00-03:00,0.895636363636364
1993-05-01,1993,1,5,BM12_FCDEPFIN12,1993-05-01T00:00:00-03:00,-1.59381818181818
1993-06-01,1993,1,6,BM12_FCDEPFIN12,1993-06-01T00:00:00-03:00,-2.28327272727273
1993-07-01,1993,1,7,BM12_FCDEPFIN12,1993-07-01T00:00:00-03:00,1.11127272727273
1993-08-01,1993,1,8,BM12_FCDEPFIN12,1993-08-01T00:00:00-03:00,-1.73418181818182
1993-09-01,1993,1,9,BM12_FCDEPFIN12,1993-09-01T00:00:00-03:00,6.55527272727273
1993-10-01,1993,1,10,BM12_FCDEPFIN12,1993-10-01T00:00:00-03:00,7.05709090909091
1993-11-01,1993,1,11,BM12_FCDEPFIN12,1993-11-01T00:00:00-03:00,-3.64581818181818
1993-12-01,1993,1,12,BM12_FCDEPFIN12,1993-12-01T00:00:00-02:00,-17.1236363636364
1994-01-01,1994,1,1,BM12_FCDEPFIN12,1994-01-01T00:00:00-02:00,-60.7338181818182
1994-02-01,1994,1,2,BM12_FCDEPFIN12,1994-02-01T00:00:00-02:00,5.90254545454545
1994-03-01,1994,1,3,BM12_FCDEPFIN12,1994-03-01T00:00:00-03:00,91.2472727272727
1994-04-01,1994,1,4,BM12_FCDEPFIN12,1994-04-01T00:00:00-03:00,49.1072727272727
1994-05-01,1994,1,5,BM12_FCDEPFIN12,1994-05-01T00:00:00-03:00,91.1367272727273
1994-06-01,1994,1,6,BM12_FCDEPFIN12,1994-06-01T00:00:00-03:00,76.5345454545455
1994-07-01,1994,1,7,BM12_FCDEPFIN12,1994-07-01T00:00:00-03:00,-1326.336
1994-08-01,1994,1,8,BM12_FCDEPFIN12,1994-08-01T00:00:00-03:00,97.168
1994-09-01,1994,1,9,BM12_FCDEPFIN12,1994-09-01T00:00:00-03:00,-975.047
