DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE ((% a.m.))
2001-01-01,2001,1,1,BM12_IPCA20N12,2001-01-01T00:00:00-02:00,0.35
2001-02-01,2001,1,2,BM12_IPCA20N12,2001-02-01T00:00:00-02:00,0.35
2001-03-01,2001,1,3,BM12_IPCA20N12,2001-03-01T00:00:00-03:00,0.29
2001-04-01,2001,1,4,BM12_IPCA20N12,2001-04-01T00:00:00-03:00,0.32
2001-05-01,2001,1,5,BM12_IPCA20N12,2001-05-01T00:00:00-03:00,0.48
2001-06-01,2001,1,6,BM12_IPCA20N12,2001-06-01T00:00:00-03:00,0.54
2001-07-01,2001,1,7,BM12_IPCA20N12,2001-07-01T00:00:00-03:00,0.87
2001-08-01,2001,1,8,BM12_IPCA20N12,2001-08-01T00:00:00-03:00,0.6
2001-09-01,2001,1,9,BM12_IPCA20N12,2001-09-01T00:00:00-03:00,0.3
2001-10-01,2001,1,10,BM12_IPCA20N12,2001-10-01T00:00:00-03:00,0.43
2001-11-01,2001,1,11,BM12_IPCA20N12,2001-11-01T00:00:00-03:00,0.54
2001-12-01,2001,1,12,BM12_IPCA20N12,2001-12-01T00:00:00-02:00,0.57
2002-01-01,2002,1,1,BM12_IPCA20N12,2002-01-01T00:00:00-02:00,0.48
2002-02-01,2002,1,2,BM12_IPCA20N12,2002-02-01T00:00:00-02:00,0.44
2002-03-01,2002,1,3,BM12_IPCA20N12,2002-03-01T00:00:00-03:00,0.47
2002-04-01,2002,1,4,BM12_IPCA20N12,2002-04-01T00:00:00-03:00,0.49
2002-05-01,2002,1,5,BM12_IPCA20N12,2002-05-01T00:00:00-03:00,0.35
2002-06-01,2002,1,6,BM12_IPCA20N12,2002-06-01T00:00:00-03:00,0.2
2002-07-01,2002,1,7,BM12_IPCA20N12,2002-07-01T00:00:00-03:00,0.58
2002-08-01,2002,1,8,BM12_IPCA20N12,2002-08-01T00:00:00-03:00,0.57
2002-09-01,2002,1,9,BM12_IPCA20N12,2002-09-01T00:00:00-03:00,0.57
2002-10-01,2002,1,10,BM12_IPCA20N12,2002-10-01T00:00:00-03:00,0.87
2002-11-01,2002,1,11,BM12_IPCA20N12,2002-11-01T00:00:00-03:00,1.7
2002-12-01,2002,1,12,BM12_IPCA20N12,2002-12-01T00:00:00-02:00,1.48
2003-01-01,2003,1,1,BM12_IPCA20N12,2003-01-01T00:00:00-02:00,1.69
2003-02-01,2003,1,2,BM12_IPCA20N12,2003-02-01T00:00:00-02:00,1.0
2003-03-01,2003,1,3,BM12_IPCA20N12,2003-03-01T00:00:00-03:00,0.97
2003-04-01,2003,1,4,BM12_IPCA20N12,2003-04-01T00:00:00-03:00,0.86
2003-05-01,2003,1,5,BM12_IPCA20N12,2003-05-01T00:00:00-03:00,0.64
2003-06-01,2003,1,6,BM12_IPCA20N12,2003-06-01T00:00:00-03:00,0.39
2003-07-01,2003,1,7,BM12_IPCA20N12,2003-07-01T00:00:00-03:00,0.4
2003-08-01,2003,1,8,BM12_IPCA20N12,2003-08-01T00:00:00-03:00,0.35
2003-09-01,2003,1,9,BM12_IPCA20N12,2003-09-01T00:00:00-03:00,0.6
2003-10-01,2003,1,10,BM12_IPCA20N12,2003-10-01T00:00:00-03:00,0.29
2003-11-01,2003,1,11,BM12_IPCA20N12,2003-11-01T00:00:00-03:00,0.31
2003-12-01,2003,1,12,BM12_IPCA20N12,2003-12-01T00:00:00-02:00,0.54
2004-01-01,2004,1,1,BM12_IPCA20N12,2004-01-01T00:00:00-02:00,0.63
2004-02-01,2004,1,2,BM12_IPCA20N12,2004-02-01T00:00:00-02:00,0.28
2004-03-01,2004,1,3,BM12_IPCA20N12,2004-03-01T00:00:00-03:00,0.65
2004-04-01,2004,1,4,BM12_IPCA20N12,2004-04-01T00:00:00-03:00,0.45
2004-05-01,2004,1,5,BM12_IPCA20N12,2004-05-01T00:00:00-03:00,0.43
2004-06-01,2004,1,6,BM12_IPCA20N12,2004-06-01T00:00:00-03:00,0.48
2004-07-01,2004,1,7,BM12_IPCA20N12,2004-07-01T00:00:00-03:00,0.59
2004-08-01,2004,1,8,BM12_IPCA20N12,2004-08-01T00:00:00-03:00,0.53
2004-09-01,2004,1,9,BM12_IPCA20N12,2004-09-01T00:00:00-03:00,0.38
2004-10-01,2004,1,10,BM12_IPCA20N12,2004-10-01T00:00:00-03:00,0.55
2004-11-01,2004,1,11,BM12_IPCA20N12,2004-11-01T00:00:00-03:00,0.57
2004-12-01,2004,1,12,BM12_IPCA20N12,2004-12-01T00:00:00-02:00,0.66
2005-01-01,2005,1,1,BM12_IPCA20N12,2005-01-01T00:00:00-02:00,0.59
2005-02-01,2005,1,2,BM12_IPCA20N12,2005-02-01T00:00:00-02:00,0.43
2005-03-01,2005,1,3,BM12_IPCA20N12,2005-03-01T00:00:00-03:00,0.49
2005-04-01,2005,1,4,BM12_IPCA20N12,2005-04-01T00:00:00-03:00,0.7
2005-05-01,2005,1,5,BM12_IPCA20N12,2005-05-01T00:00:00-03:00,0.46
2005-06-01,2005,1,6,BM12_IPCA20N12,2005-06-01T00:00:00-03:00,0.26
2005-07-01,2005,1,7,BM12_IPCA20N12,2005-07-01T00:00:00-03:00,0.31
2005-08-01,2005,1,8,BM12_IPCA20N12,2005-08-01T00:00:00-03:00,0.28
2005-09-01,2005,1,9,BM12_IPCA20N12,2005-09-01T00:00:00-03:00,0.34
2005-10-01,2005,1,10,BM12_IPCA20N12,2005-10-01T00:00:00-03:00,0.5
2005-11-01,2005,1,11,BM12_IPCA20N12,2005-11-01T00:00:00-02:00,0.49
2005-12-01,2005,1,12,BM12_IPCA20N12,2005-12-01T00:00:00-02:00,0.33
2006-01-01,2006,1,1,BM12_IPCA20N12,2006-01-01T00:00:00-02:00,0.61
2006-02-01,2006,1,2,BM12_IPCA20N12,2006-02-01T00:00:00-02:00,0.42
2006-03-01,2006,1,3,BM12_IPCA20N12,2006-03-01T00:00:00-03:00,0.3
2006-04-01,2006,1,4,BM12_IPCA20N12,2006-04-01T00:00:00-03:00,0.19
