DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE ((% a.a.))
2000-05-01,2000,1,5,BM12_IPCAEXP612,2000-05-01T00:00:00-03:00,7.613148428295169
2000-06-01,2000,1,6,BM12_IPCAEXP612,2000-06-01T00:00:00-03:00,8.106030798412544
2000-07-01,2000,1,7,BM12_IPCAEXP612,2000-07-01T00:00:00-03:00,
2000-08-01,2000,1,8,BM12_IPCAEXP612,2000-08-01T00:00:00-03:00,5.4514429587879
2000-09-01,2000,1,9,BM12_IPCAEXP612,2000-09-01T00:00:00-03:00,
2000-10-01,2000,1,10,BM12_IPCAEXP612,2000-10-01T00:00:00-03:00,
2000-11-01,2000,1,11,BM12_IPCAEXP612,2000-11-01T00:00:00-03:00,
2000-12-01,2000,1,12,BM12_IPCAEXP612,2000-12-01T00:00:00-02:00,
2001-01-01,2001,1,1,BM12_IPCAEXP612,2001-01-01T00:00:00-02:00,4.342877032324011
2001-02-01,2001,1,2,BM12_IPCAEXP612,2001-02-01T00:00:00-02:00,4.5300349518506255
2001-03-01,2001,1,3,BM12_IPCAEXP612,2001-03-01T00:00:00-03:00,4.613437778690677
2001-04-01,2001,1,4,BM12_IPCAEXP612,2001-04-01T00:00:00-03:00,4.780437266121451
2001-05-01,2001,1,5,BM12_IPCAEXP612,2001-05-01T00:00:00-03:00,
2001-06-01,2001,1,6,BM12_IPCAEXP612,2001-06-01T00:00:00-03:00,
2001-07-01,2001,1,7,BM12_IPCAEXP612,2001-07-01T00:00:00-03:00,
2001-08-01,2001,1,8,BM12_IPCAEXP612,2001-08-01T00:00:00-03:00,
2001-09-01,2001,1,9,BM12_IPCAEXP612,2001-09-01T00:00:00-03:00,
2001-10-01,2001,1,10,BM12_IPCAEXP612,2001-10-01T00:00:00-03:00,
2001-11-01,2001,1,11,BM12_IPCAEXP612,2001-11-01T00:00:00-03:00,4.593877167707028
2001-12-01,2001,1,12,BM12_IPCAEXP612,2001-12-01T00:00:00-02:00,4.19834143054707
2002-01-01,2002,1,1,BM12_IPCAEXP612,2002-01-01T00:00:00-02:00,4.968002022736329
2002-02-01,2002,1,2,BM12_IPCAEXP612,2002-02-01T00:00:00-02:00,5.387106741922221
2002-03-01,2002,1,3,BM12_IPCAEXP612,2002-03-01T00:00:00-03:00,5.597338188700918
2002-04-01,2002,1,4,BM12_IPCAEXP612,2002-04-01T00:00:00-03:00,5.052111823832872
2002-05-01,2002,1,5,BM12_IPCAEXP612,2002-05-01T00:00:00-03:00,4.905669617295549
2002-06-01,2002,1,6,BM12_IPCAEXP612,2002-06-01T00:00:00-03:00,5.030739571889509
2002-07-01,2002,1,7,BM12_IPCAEXP612,2002-07-01T00:00:00-03:00,4.614512349675648
2002-08-01,2002,1,8,BM12_IPCAEXP612,2002-08-01T00:00:00-03:00,4.719016443656088
2002-09-01,2002,1,9,BM12_IPCAEXP612,2002-09-01T00:00:00-03:00,5.493541296413884
2002-10-01,2002,1,10,BM12_IPCAEXP612,2002-10-01T00:00:00-03:00,8.622498641614595
2002-11-01,2002,1,11,BM12_IPCAEXP612,2002-11-01T00:00:00-03:00,10.337839047362518
2002-12-01,2002,1,12,BM12_IPCAEXP612,2002-12-01T00:00:00-02:00,11.590848582478074
2003-01-01,2003,1,1,BM12_IPCAEXP612,2003-01-01T00:00:00-02:00,11.346409735306917
2003-02-01,2003,1,2,BM12_IPCAEXP612,2003-02-01T00:00:00-02:00,11.236605191880479
2003-03-01,2003,1,3,BM12_IPCAEXP612,2003-03-01T00:00:00-03:00,10.598158862999352
2003-04-01,2003,1,4,BM12_IPCAEXP612,2003-04-01T00:00:00-03:00,9.4835197480295
2003-05-01,2003,1,5,BM12_IPCAEXP612,2003-05-01T00:00:00-03:00,9.137505721074678
2003-06-01,2003,1,6,BM12_IPCAEXP612,2003-06-01T00:00:00-03:00,8.16830140055984
2003-07-01,2003,1,7,BM12_IPCAEXP612,2003-07-01T00:00:00-03:00,6.88808181015268
2003-08-01,2003,1,8,BM12_IPCAEXP612,2003-08-01T00:00:00-03:00,6.697047163372805
2003-09-01,2003,1,9,BM12_IPCAEXP612,2003-09-01T00:00:00-03:00,6.294355088424131
2003-10-01,2003,1,10,BM12_IPCAEXP612,2003-10-01T00:00:00-03:00,6.1041631566349785
2003-11-01,2003,1,11,BM12_IPCAEXP612,2003-11-01T00:00:00-03:00,5.619442965486798
2003-12-01,2003,1,12,BM12_IPCAEXP612,2003-12-01T00:00:00-02:00,5.682496222200029
2004-01-01,2004,1,1,BM12_IPCAEXP612,2004-01-01T00:00:00-02:00,6.0400103488699175
2004-02-01,2004,1,2,BM12_IPCAEXP612,2004-02-01T00:00:00-02:00,5.59806146650581
2004-03-01,2004,1,3,BM12_IPCAEXP612,2004-03-01T00:00:00-03:00,5.661160666660514
2004-04-01,2004,1,4,BM12_IPCAEXP612,2004-04-01T00:00:00-03:00,5.850707469003669
2004-05-01,2004,1,5,BM12_IPCAEXP612,2004-05-01T00:00:00-03:00,6.420798494597424
2004-06-01,2004,1,6,BM12_IPCAEXP612,2004-06-01T00:00:00-03:00,6.865478279238202
2004-07-01,2004,1,7,BM12_IPCAEXP612,2004-07-01T00:00:00-03:00,6.485001639711618
2004-08-01,2004,1,8,BM12_IPCAEXP612,2004-08-01T00:00:00-03:00,6.569763733386935
2004-09-01,2004,1,9,BM12_IPCAEXP612,2004-09-01T00:00:00-03:00,6.357804852949189
2004-10-01,2004,1,10,BM12_IPCAEXP612,2004-10-01T00:00:00-03:00,6.357606904654456
2004-11-01,2004,1,11,BM12_IPCAEXP612,2004-11-01T00:00:00-03:00,6.019387220087413
2004-12-01,2004,1,12,BM12_IPCAEXP612,2004-12-01T00:00:00-02:00,5.766508499798095
2005-01-01,2005,1,1,BM12_IPCAEXP612,2005-01-01T00:00:00-02:00,5.955877132297993
2005-02-01,2005,1,2,BM12_IPCAEXP612,2005-02-01T00:00:00-02:00,5.745514066819135
2005-03-01,2005,1,3,BM12_IPCAEXP612,2005-03-01T00:00:00-03:00,5.703373845434112
2005-04-01,2005,1,4,BM12_IPCAEXP612,2005-04-01T00:00:00-03:00,5.5980801212940134
2005-05-01,2005,1,5,BM12_IPCAEXP612,2005-05-01T00:00:00-03:00,5.073890858032759
2005-06-01,2005,1,6,BM12_IPCAEXP612,2005-06-01T00:00:00-03:00,5.2207804324391205
2005-07-01,2005,1,7,BM12_IPCAEXP612,2005-07-01T00:00:00-03:00,5.1160883348538855
2005-08-01,2005,1,8,BM12_IPCAEXP612,2005-08-01T00:00:00-03:00,5.1579275831634686
2005-09-01,2005,1,9,BM12_IPCAEXP612,2005-09-01T00:00:00-03:00,5.011525415205131
2005-10-01,2005,1,10,BM12_IPCAEXP612,2005-10-01T00:00:00-03:00,4.865191840982597
2005-11-01,2005,1,11,BM12_IPCAEXP612,2005-11-01T00:00:00-02:00,4.593902038362319
2005-12-01,2005,1,12,BM12_IPCAEXP612,2005-12-01T00:00:00-02:00,4.448061262977254
2006-01-01,2006,1,1,BM12_IPCAEXP612,2006-01-01T00:00:00-02:00,4.447932755868589
2006-02-01,2006,1,2,BM12_IPCAEXP612,2006-02-01T00:00:00-02:00,4.136347546344288
2006-03-01,2006,1,3,BM12_IPCAEXP612,2006-03-01T00:00:00-03:00,3.825343407172177
2006-04-01,2006,1,4,BM12_IPCAEXP612,2006-04-01T00:00:00-03:00,3.721872923893299
2006-05-01,2006,1,5,BM12_IPCAEXP612,2006-05-01T00:00:00-03:00,3.9910227545669974
2006-06-01,2006,1,6,BM12_IPCAEXP612,2006-06-01T00:00:00-03:00,4.531346960820071
2006-07-01,2006,1,7,BM12_IPCAEXP612,2006-07-01T00:00:00-03:00,4.9067834321043335
2006-08-01,2006,1,8,BM12_IPCAEXP612,2006-08-01T00:00:00-03:00,4.865187674341209
2006-09-01,2006,1,9,BM12_IPCAEXP612,2006-09-01T00:00:00-03:00,4.489709282424559
2006-10-01,2006,1,10,BM12_IPCAEXP612,2006-10-01T00:00:00-03:00,4.385663869145251
2006-11-01,2006,1,11,BM12_IPCAEXP612,2006-11-01T00:00:00-03:00,4.447947174726985
2006-12-01,2006,1,12,BM12_IPCAEXP612,2006-12-01T00:00:00-02:00,4.011671014062412
2007-01-01,2007,1,1,BM12_IPCAEXP612,2007-01-01T00:00:00-02:00,3.742321381036162
2007-02-01,2007,1,2,BM12_IPCAEXP612,2007-02-01T00:00:00-02:00,3.2472571531318772
2007-03-01,2007,1,3,BM12_IPCAEXP612,2007-03-01T00:00:00-03:00,3.1031915586480885
2007-04-01,2007,1,4,BM12_IPCAEXP612,2007-04-01T00:00:00-03:00,2.8155526505513784
2007-05-01,2007,1,5,BM12_IPCAEXP612,2007-05-01T00:00:00-03:00,2.8975118688371104
2007-06-01,2007,1,6,BM12_IPCAEXP612,2007-06-01T00:00:00-03:00,3.1854191783991848
2007-07-01,2007,1,7,BM12_IPCAEXP612,2007-07-01T00:00:00-03:00,3.597807858132751
2007-08-01,2007,1,8,BM12_IPCAEXP612,2007-08-01T00:00:00-03:00,4.0117598800357035
2007-09-01,2007,1,9,BM12_IPCAEXP612,2007-09-01T00:00:00-03:00,4.177784376379012
2007-10-01,2007,1,10,BM12_IPCAEXP612,2007-10-01T00:00:00-03:00,4.177784376379012
2007-11-01,2007,1,11,BM12_IPCAEXP612,2007-11-01T00:00:00-02:00,4.260759275891179
2007-12-01,2007,1,12,BM12_IPCAEXP612,2007-12-01T00:00:00-02:00,4.3019495782296024
2008-01-01,2008,1,1,BM12_IPCAEXP612,2008-01-01T00:00:00-02:00,4.135859713912282
2008-02-01,2008,1,2,BM12_IPCAEXP612,2008-02-01T00:00:00-02:00,3.7012864626137842
2008-03-01,2008,1,3,BM12_IPCAEXP612,2008-03-01T00:00:00-03:00,3.7426635349307125
2008-04-01,2008,1,4,BM12_IPCAEXP612,2008-04-01T00:00:00-03:00,3.970413865568845
2008-05-01,2008,1,5,BM12_IPCAEXP612,2008-05-01T00:00:00-03:00,4.55225606852816
2008-06-01,2008,1,6,BM12_IPCAEXP612,2008-06-01T00:00:00-03:00,5.325509996555433
2008-07-01,2008,1,7,BM12_IPCAEXP612,2008-07-01T00:00:00-03:00,5.5565068106826265
2008-08-01,2008,1,8,BM12_IPCAEXP612,2008-08-01T00:00:00-03:00,5.598410410382804
2008-09-01,2008,1,9,BM12_IPCAEXP612,2008-09-01T00:00:00-03:00,5.619528694718379
2008-10-01,2008,1,10,BM12_IPCAEXP612,2008-10-01T00:00:00-03:00,6.294348688701734
2008-11-01,2008,1,11,BM12_IPCAEXP612,2008-11-01T00:00:00-02:00,6.061806559356198
2008-12-01,2008,1,12,BM12_IPCAEXP612,2008-12-01T00:00:00-02:00,5.094989433918928
2009-01-01,2009,1,1,BM12_IPCAEXP612,2009-01-01T00:00:00-02:00,4.7397220216397695
2009-02-01,2009,1,2,BM12_IPCAEXP612,2009-02-01T00:00:00-02:00,4.074099150429289
2009-03-01,2009,1,3,BM12_IPCAEXP612,2009-03-01T00:00:00-03:00,3.7425996081341895
2009-04-01,2009,1,4,BM12_IPCAEXP612,2009-04-01T00:00:00-03:00,3.6185838716713103
2009-05-01,2009,1,5,BM12_IPCAEXP612,2009-05-01T00:00:00-03:00,3.5359637186931137
2009-06-01,2009,1,6,BM12_IPCAEXP612,2009-06-01T00:00:00-03:00,3.846092802333456
2009-07-01,2009,1,7,BM12_IPCAEXP612,2009-07-01T00:00:00-03:00,4.032465917860972
2009-08-01,2009,1,8,BM12_IPCAEXP612,2009-08-01T00:00:00-03:00,4.406218280006136
2009-09-01,2009,1,9,BM12_IPCAEXP612,2009-09-01T00:00:00-03:00,4.614638867445087
2009-10-01,2009,1,10,BM12_IPCAEXP612,2009-10-01T00:00:00-03:00,4.823256908262019
2009-11-01,2009,1,11,BM12_IPCAEXP612,2009-11-01T00:00:00-02:00,4.823155033174031
2009-12-01,2009,1,12,BM12_IPCAEXP612,2009-12-01T00:00:00-02:00,4.739487185322622
2010-01-01,2010,1,1,BM12_IPCAEXP612,2010-01-01T00:00:00-02:00,4.530839194852332
2010-02-01,2010,1,2,BM12_IPCAEXP612,2010-02-01T00:00:00-02:00,3.9497016111338823
2010-03-01,2010,1,3,BM12_IPCAEXP612,2010-03-01T00:00:00-03:00,3.9496499961533704
