DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1988-01-01,1988,1,1,BM12_LFTFBC12,1988-01-01T00:00:00-02:00,9.09625454545451e-05
1988-02-01,1988,1,2,BM12_LFTFBC12,1988-02-01T00:00:00-02:00,0.000169473818181818
1988-03-01,1988,1,3,BM12_LFTFBC12,1988-03-01T00:00:00-03:00,0.000252038545454546
1988-04-01,1988,1,4,BM12_LFTFBC12,1988-04-01T00:00:00-03:00,0.000472053818181821
1988-05-01,1988,1,5,BM12_LFTFBC12,1988-05-01T00:00:00-03:00,0.00069921818181818
1988-06-01,1988,1,6,BM12_LFTFBC12,1988-06-01T00:00:00-03:00,0.00111438109090909
1988-07-01,1988,1,7,BM12_LFTFBC12,1988-07-01T00:00:00-03:00,0.00138965781818182
1988-08-01,1988,1,8,BM12_LFTFBC12,1988-08-01T00:00:00-03:00,0.00252144218181818
1988-09-01,1988,1,9,BM12_LFTFBC12,1988-09-01T00:00:00-03:00,0.00342229963636363
1988-10-01,1988,1,10,BM12_LFTFBC12,1988-10-01T00:00:00-03:00,0.00458995745454545
1988-11-01,1988,1,11,BM12_LFTFBC12,1988-11-01T00:00:00-03:00,0.00565264072727272
1988-12-01,1988,1,12,BM12_LFTFBC12,1988-12-01T00:00:00-02:00,0.00785658036363634
1989-01-01,1989,1,1,BM12_LFTFBC12,1989-01-01T00:00:00-02:00,0.0133249236363636
1989-02-01,1989,1,2,BM12_LFTFBC12,1989-02-01T00:00:00-02:00,0.0168963672727272
1989-03-01,1989,1,3,BM12_LFTFBC12,1989-03-01T00:00:00-03:00,0.021064
1989-04-01,1989,1,4,BM12_LFTFBC12,1989-04-01T00:00:00-03:00,0.0236505490909091
1989-05-01,1989,1,5,BM12_LFTFBC12,1989-05-01T00:00:00-03:00,0.0245298145454545
1989-06-01,1989,1,6,BM12_LFTFBC12,1989-06-01T00:00:00-03:00,0.0306396363636364
1989-07-01,1989,1,7,BM12_LFTFBC12,1989-07-01T00:00:00-03:00,0.0407443636363637
1989-08-01,1989,1,8,BM12_LFTFBC12,1989-08-01T00:00:00-03:00,0.0562781818181819
1989-09-01,1989,1,9,BM12_LFTFBC12,1989-09-01T00:00:00-03:00,0.075841090909091
1989-10-01,1989,1,10,BM12_LFTFBC12,1989-10-01T00:00:00-03:00,0.10752730909091
1989-11-01,1989,1,11,BM12_LFTFBC12,1989-11-01T00:00:00-03:00,0.155177818181818
1989-12-01,1989,1,12,BM12_LFTFBC12,1989-12-01T00:00:00-02:00,0.251633454545454
1990-01-01,1990,1,1,BM12_LFTFBC12,1990-01-01T00:00:00-02:00,0.392680727272728
1990-02-01,1990,1,2,BM12_LFTFBC12,1990-02-01T00:00:00-02:00,0.655927272727277
1990-03-01,1990,1,3,BM12_LFTFBC12,1990-03-01T00:00:00-03:00,0.315672
1990-04-01,1990,1,4,BM12_LFTFBC12,1990-04-01T00:00:00-03:00,0.44072727272727
1990-05-01,1990,1,5,BM12_LFTFBC12,1990-05-01T00:00:00-03:00,0.321199999999998
1990-06-01,1990,1,6,BM12_LFTFBC12,1990-06-01T00:00:00-03:00,0.235999999999997
1990-07-01,1990,1,7,BM12_LFTFBC12,1990-07-01T00:00:00-03:00,0.268545454545455
1990-08-01,1990,1,8,BM12_LFTFBC12,1990-08-01T00:00:00-03:00,0.285527272727273
1990-09-01,1990,1,9,BM12_LFTFBC12,1990-09-01T00:00:00-03:00,0.300545454545454
1990-10-01,1990,1,10,BM12_LFTFBC12,1990-10-01T00:00:00-03:00,0.318581818181818
1990-11-01,1990,1,11,BM12_LFTFBC12,1990-11-01T00:00:00-03:00,0.392363636363637
1990-12-01,1990,1,12,BM12_LFTFBC12,1990-12-01T00:00:00-02:00,0.505654545454546
1991-01-01,1991,1,1,BM12_LFTFBC12,1991-01-01T00:00:00-02:00,0.648545454545457
1991-02-01,1991,1,2,BM12_LFTFBC12,1991-02-01T00:00:00-02:00,0.992981818181816
1991-03-01,1991,1,3,BM12_LFTFBC12,1991-03-01T00:00:00-03:00,0.654181818181816
1991-04-01,1991,1,4,BM12_LFTFBC12,1991-04-01T00:00:00-03:00,0.666908727272731
1991-05-01,1991,1,5,BM12_LFTFBC12,1991-05-01T00:00:00-03:00,0.66909527272728
1991-06-01,1991,1,6,BM12_LFTFBC12,1991-06-01T00:00:00-03:00,0.869948
1991-07-01,1991,1,7,BM12_LFTFBC12,1991-07-01T00:00:00-03:00,0.981397090909095
1991-08-01,1991,1,8,BM12_LFTFBC12,1991-08-01T00:00:00-03:00,1.38177854545454
1991-09-01,1991,1,9,BM12_LFTFBC12,1991-09-01T00:00:00-03:00,1.33219636363636
1991-10-01,1991,1,10,BM12_LFTFBC12,1991-10-01T00:00:00-03:00,3.86848258181818
1991-11-01,1991,1,11,BM12_LFTFBC12,1991-11-01T00:00:00-03:00,2.36704727272727
1991-12-01,1991,1,12,BM12_LFTFBC12,1991-12-01T00:00:00-02:00,2.75260727272728
1992-01-01,1992,1,1,BM12_LFTFBC12,1992-01-01T00:00:00-02:00,3.36227636363636
1992-02-01,1992,1,2,BM12_LFTFBC12,1992-02-01T00:00:00-02:00,5.66300727272727
1992-03-01,1992,1,3,BM12_LFTFBC12,1992-03-01T00:00:00-03:00,3.89999272727274
1992-04-01,1992,1,4,BM12_LFTFBC12,1992-04-01T00:00:00-03:00,4.04869454545459
1992-05-01,1992,1,5,BM12_LFTFBC12,1992-05-01T00:00:00-03:00,3.95426545454548
1992-06-01,1992,1,6,BM12_LFTFBC12,1992-06-01T00:00:00-03:00,4.13236363636364
1992-07-01,1992,1,7,BM12_LFTFBC12,1992-07-01T00:00:00-03:00,4.18000000000003
1992-08-01,1992,1,8,BM12_LFTFBC12,1992-08-01T00:00:00-03:00,4.14836363636366
1992-09-01,1992,1,9,BM12_LFTFBC12,1992-09-01T00:00:00-03:00,5.1396363636363
1992-10-01,1992,1,10,BM12_LFTFBC12,1992-10-01T00:00:00-03:00,6.7826
1992-11-01,1992,1,11,BM12_LFTFBC12,1992-11-01T00:00:00-03:00,7.0616836363637
1992-12-01,1992,1,12,BM12_LFTFBC12,1992-12-01T00:00:00-02:00,8.8805563636363
1993-01-01,1993,1,1,BM12_LFTFBC12,1993-01-01T00:00:00-02:00,11.3831636363636
1993-02-01,1993,1,2,BM12_LFTFBC12,1993-02-01T00:00:00-02:00,13.6156363636364
1993-03-01,1993,1,3,BM12_LFTFBC12,1993-03-01T00:00:00-03:00,17.6419272727273
