DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE ((% PIB))
1990-01-01,1990,1,1,BM12_M0NY12,1990-01-01T00:00:00-02:00,4.17142857142857
1990-02-01,1990,1,2,BM12_M0NY12,1990-02-01T00:00:00-02:00,4.62823140495868
1990-03-01,1990,1,3,BM12_M0NY12,1990-03-01T00:00:00-03:00,6.91640404040404
1990-04-01,1990,1,4,BM12_M0NY12,1990-04-01T00:00:00-03:00,8.46683636363636
1990-05-01,1990,1,5,BM12_M0NY12,1990-05-01T00:00:00-03:00,10.1545785123967
1990-06-01,1990,1,6,BM12_M0NY12,1990-06-01T00:00:00-03:00,7.60696363636364
1990-07-01,1990,1,7,BM12_M0NY12,1990-07-01T00:00:00-03:00,5.65181447124304
1990-08-01,1990,1,8,BM12_M0NY12,1990-08-01T00:00:00-03:00,4.8173312788906
1990-09-01,1990,1,9,BM12_M0NY12,1990-09-01T00:00:00-03:00,4.78641558441558
1990-10-01,1990,1,10,BM12_M0NY12,1990-10-01T00:00:00-03:00,4.02996714129244
1990-11-01,1990,1,11,BM12_M0NY12,1990-11-01T00:00:00-03:00,3.76956106519743
1990-12-01,1990,1,12,BM12_M0NY12,1990-12-01T00:00:00-02:00,5.12654861660079
1991-01-01,1991,1,1,BM12_M0NY12,1991-01-01T00:00:00-02:00,3.55258073270014
1991-02-01,1991,1,2,BM12_M0NY12,1991-02-01T00:00:00-02:00,4.27882172373081
1991-03-01,1991,1,3,BM12_M0NY12,1991-03-01T00:00:00-03:00,4.30369165337586
1991-04-01,1991,1,4,BM12_M0NY12,1991-04-01T00:00:00-03:00,3.77997016317016
1991-05-01,1991,1,5,BM12_M0NY12,1991-05-01T00:00:00-03:00,3.6681500203832
1991-06-01,1991,1,6,BM12_M0NY12,1991-06-01T00:00:00-03:00,3.51541903409091
1991-07-01,1991,1,7,BM12_M0NY12,1991-07-01T00:00:00-03:00,3.19123673596029
1991-08-01,1991,1,8,BM12_M0NY12,1991-08-01T00:00:00-03:00,3.05254165535957
1991-09-01,1991,1,9,BM12_M0NY12,1991-09-01T00:00:00-03:00,3.07985224274406
1991-10-01,1991,1,10,BM12_M0NY12,1991-10-01T00:00:00-03:00,2.8748826446281
1991-11-01,1991,1,11,BM12_M0NY12,1991-11-01T00:00:00-03:00,3.13339534883721
1991-12-01,1991,1,12,BM12_M0NY12,1991-12-01T00:00:00-02:00,3.82461570933213
1992-01-01,1992,1,1,BM12_M0NY12,1992-01-01T00:00:00-02:00,2.91888869055209
1992-02-01,1992,1,2,BM12_M0NY12,1992-02-01T00:00:00-02:00,3.47651728553137
1992-03-01,1992,1,3,BM12_M0NY12,1992-03-01T00:00:00-03:00,2.97721958588821
1992-04-01,1992,1,4,BM12_M0NY12,1992-04-01T00:00:00-03:00,3.26956440627776
1992-05-01,1992,1,5,BM12_M0NY12,1992-05-01T00:00:00-03:00,2.94704353650368
1992-06-01,1992,1,6,BM12_M0NY12,1992-06-01T00:00:00-03:00,2.76525999602148
1992-07-01,1992,1,7,BM12_M0NY12,1992-07-01T00:00:00-03:00,2.71438187492401
1992-08-01,1992,1,8,BM12_M0NY12,1992-08-01T00:00:00-03:00,2.69120532858509
1992-09-01,1992,1,9,BM12_M0NY12,1992-09-01T00:00:00-03:00,2.71088008531058
1992-10-01,1992,1,10,BM12_M0NY12,1992-10-01T00:00:00-03:00,2.75829405056482
1992-11-01,1992,1,11,BM12_M0NY12,1992-11-01T00:00:00-03:00,2.95054239994446
1992-12-01,1992,1,12,BM12_M0NY12,1992-12-01T00:00:00-02:00,3.92626492696072
1993-01-01,1993,1,1,BM12_M0NY12,1993-01-01T00:00:00-02:00,2.91301009080577
1993-02-01,1993,1,2,BM12_M0NY12,1993-02-01T00:00:00-02:00,2.8524942863752
1993-03-01,1993,1,3,BM12_M0NY12,1993-03-01T00:00:00-03:00,2.70809586119646
1993-04-01,1993,1,4,BM12_M0NY12,1993-04-01T00:00:00-03:00,2.66221538775811
1993-05-01,1993,1,5,BM12_M0NY12,1993-05-01T00:00:00-03:00,2.60934824875164
1993-06-01,1993,1,6,BM12_M0NY12,1993-06-01T00:00:00-03:00,2.43319700599838
1993-07-01,1993,1,7,BM12_M0NY12,1993-07-01T00:00:00-03:00,2.57089704012592
1993-08-01,1993,1,8,BM12_M0NY12,1993-08-01T00:00:00-03:00,2.44380162874512
1993-09-01,1993,1,9,BM12_M0NY12,1993-09-01T00:00:00-03:00,2.30762733504028
1993-10-01,1993,1,10,BM12_M0NY12,1993-10-01T00:00:00-03:00,2.54073142792269
1993-11-01,1993,1,11,BM12_M0NY12,1993-11-01T00:00:00-03:00,2.68262735683385
1993-12-01,1993,1,12,BM12_M0NY12,1993-12-01T00:00:00-02:00,3.66549914779378
1994-01-01,1994,1,1,BM12_M0NY12,1994-01-01T00:00:00-02:00,3.07066988113828
1994-02-01,1994,1,2,BM12_M0NY12,1994-02-01T00:00:00-02:00,3.21413498878831
1994-03-01,1994,1,3,BM12_M0NY12,1994-03-01T00:00:00-03:00,3.20225742728044
1994-04-01,1994,1,4,BM12_M0NY12,1994-04-01T00:00:00-03:00,3.48999042224291
1994-05-01,1994,1,5,BM12_M0NY12,1994-05-01T00:00:00-03:00,3.52494017940202
1994-06-01,1994,1,6,BM12_M0NY12,1994-06-01T00:00:00-03:00,3.26534659010328
1994-07-01,1994,1,7,BM12_M0NY12,1994-07-01T00:00:00-03:00,5.48883139478968
1994-08-01,1994,1,8,BM12_M0NY12,1994-08-01T00:00:00-03:00,5.23089480404457
1994-09-01,1994,1,9,BM12_M0NY12,1994-09-01T00:00:00-03:00,5.75460294961358
1994-10-01,1994,1,10,BM12_M0NY12,1994-10-01T00:00:00-03:00,4.89812133637231
