DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
2002-11-01,2002,1,11,BM12_NFEENNAS12,2002-11-01T00:00:00-03:00,2358.82
2002-12-01,2002,1,12,BM12_NFEENNAS12,2002-12-01T00:00:00-02:00,4222.95
2003-01-01,2003,1,1,BM12_NFEENNAS12,2003-01-01T00:00:00-02:00,3557.88
2003-02-01,2003,1,2,BM12_NFEENNAS12,2003-02-01T00:00:00-02:00,4082.51
2003-03-01,2003,1,3,BM12_NFEENNAS12,2003-03-01T00:00:00-03:00,4959.71
2003-04-01,2003,1,4,BM12_NFEENNAS12,2003-04-01T00:00:00-03:00,3363.15
2003-05-01,2003,1,5,BM12_NFEENNAS12,2003-05-01T00:00:00-03:00,3906.49
2003-06-01,2003,1,6,BM12_NFEENNAS12,2003-06-01T00:00:00-03:00,3732.22
2003-07-01,2003,1,7,BM12_NFEENNAS12,2003-07-01T00:00:00-03:00,319.44
2003-08-01,2003,1,8,BM12_NFEENNAS12,2003-08-01T00:00:00-03:00,1664.09
2003-09-01,2003,1,9,BM12_NFEENNAS12,2003-09-01T00:00:00-03:00,-1907.55
2003-10-01,2003,1,10,BM12_NFEENNAS12,2003-10-01T00:00:00-03:00,-1122.28
2003-11-01,2003,1,11,BM12_NFEENNAS12,2003-11-01T00:00:00-03:00,531.1
2003-12-01,2003,1,12,BM12_NFEENNAS12,2003-12-01T00:00:00-02:00,-151.3
2004-01-01,2004,1,1,BM12_NFEENNAS12,2004-01-01T00:00:00-02:00,-2846.67
2004-02-01,2004,1,2,BM12_NFEENNAS12,2004-02-01T00:00:00-02:00,-3470.96
2004-03-01,2004,1,3,BM12_NFEENNAS12,2004-03-01T00:00:00-03:00,-3502.87
2004-04-01,2004,1,4,BM12_NFEENNAS12,2004-04-01T00:00:00-03:00,-2173.61
2004-05-01,2004,1,5,BM12_NFEENNAS12,2004-05-01T00:00:00-03:00,-3181.2
2004-06-01,2004,1,6,BM12_NFEENNAS12,2004-06-01T00:00:00-03:00,-5049.38
2004-07-01,2004,1,7,BM12_NFEENNAS12,2004-07-01T00:00:00-03:00,-5863.65
2004-08-01,2004,1,8,BM12_NFEENNAS12,2004-08-01T00:00:00-03:00,-7026.48
2004-09-01,2004,1,9,BM12_NFEENNAS12,2004-09-01T00:00:00-03:00,-5818.1
2004-10-01,2004,1,10,BM12_NFEENNAS12,2004-10-01T00:00:00-03:00,-5008.68
2004-11-01,2004,1,11,BM12_NFEENNAS12,2004-11-01T00:00:00-03:00,-5441.06
2004-12-01,2004,1,12,BM12_NFEENNAS12,2004-12-01T00:00:00-02:00,-4709.73
2005-01-01,2005,1,1,BM12_NFEENNAS12,2005-01-01T00:00:00-02:00,-3939.47
2005-02-01,2005,1,2,BM12_NFEENNAS12,2005-02-01T00:00:00-02:00,-3551.04
2005-03-01,2005,1,3,BM12_NFEENNAS12,2005-03-01T00:00:00-03:00,-2766.74
2005-04-01,2005,1,4,BM12_NFEENNAS12,2005-04-01T00:00:00-03:00,-3341.15
2005-05-01,2005,1,5,BM12_NFEENNAS12,2005-05-01T00:00:00-03:00,-4697.09
2005-06-01,2005,1,6,BM12_NFEENNAS12,2005-06-01T00:00:00-03:00,-2921.07
2005-07-01,2005,1,7,BM12_NFEENNAS12,2005-07-01T00:00:00-03:00,-1134.2
2005-08-01,2005,1,8,BM12_NFEENNAS12,2005-08-01T00:00:00-03:00,-220.68
2005-09-01,2005,1,9,BM12_NFEENNAS12,2005-09-01T00:00:00-03:00,-1535.3
2005-10-01,2005,1,10,BM12_NFEENNAS12,2005-10-01T00:00:00-03:00,-1408.31
2005-11-01,2005,1,11,BM12_NFEENNAS12,2005-11-01T00:00:00-02:00,-2327.87
2005-12-01,2005,1,12,BM12_NFEENNAS12,2005-12-01T00:00:00-02:00,-1892.22
2006-01-01,2006,1,1,BM12_NFEENNAS12,2006-01-01T00:00:00-02:00,-2092.18
2006-02-01,2006,1,2,BM12_NFEENNAS12,2006-02-01T00:00:00-02:00,-2792.47
2006-03-01,2006,1,3,BM12_NFEENNAS12,2006-03-01T00:00:00-03:00,-3220.42
2006-04-01,2006,1,4,BM12_NFEENNAS12,2006-04-01T00:00:00-03:00,-2748.4
2006-05-01,2006,1,5,BM12_NFEENNAS12,2006-05-01T00:00:00-03:00,-1513.78
2006-06-01,2006,1,6,BM12_NFEENNAS12,2006-06-01T00:00:00-03:00,-2363.83
2006-07-01,2006,1,7,BM12_NFEENNAS12,2006-07-01T00:00:00-03:00,-2700.91
2006-08-01,2006,1,8,BM12_NFEENNAS12,2006-08-01T00:00:00-03:00,-4904.84
2006-09-01,2006,1,9,BM12_NFEENNAS12,2006-09-01T00:00:00-03:00,-4693.74
2006-10-01,2006,1,10,BM12_NFEENNAS12,2006-10-01T00:00:00-03:00,-4456.04
2006-11-01,2006,1,11,BM12_NFEENNAS12,2006-11-01T00:00:00-03:00,-5203.26
2006-12-01,2006,1,12,BM12_NFEENNAS12,2006-12-01T00:00:00-02:00,-5071.63
2007-01-01,2007,1,1,BM12_NFEENNAS12,2007-01-01T00:00:00-02:00,-4251.59
2007-02-01,2007,1,2,BM12_NFEENNAS12,2007-02-01T00:00:00-02:00,-3994.39
2007-03-01,2007,1,3,BM12_NFEENNAS12,2007-03-01T00:00:00-03:00,-3841.85
2007-04-01,2007,1,4,BM12_NFEENNAS12,2007-04-01T00:00:00-03:00,-3512.6
2007-05-01,2007,1,5,BM12_NFEENNAS12,2007-05-01T00:00:00-03:00,-3485.68
2007-06-01,2007,1,6,BM12_NFEENNAS12,2007-06-01T00:00:00-03:00,-2208.15
2007-07-01,2007,1,7,BM12_NFEENNAS12,2007-07-01T00:00:00-03:00,-1293.34
2007-08-01,2007,1,8,BM12_NFEENNAS12,2007-08-01T00:00:00-03:00,162.15
2007-09-01,2007,1,9,BM12_NFEENNAS12,2007-09-01T00:00:00-03:00,-33.72
2007-10-01,2007,1,10,BM12_NFEENNAS12,2007-10-01T00:00:00-03:00,374.76
2007-11-01,2007,1,11,BM12_NFEENNAS12,2007-11-01T00:00:00-02:00,1827.7
2007-12-01,2007,1,12,BM12_NFEENNAS12,2007-12-01T00:00:00-02:00,2149.54
2008-01-01,2008,1,1,BM12_NFEENNAS12,2008-01-01T00:00:00-02:00,1406.18
