DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
2001-12-01,2001,1,12,BM12_NFEENNS12,2001-12-01T00:00:00-02:00,-1724.27
2002-01-01,2002,1,1,BM12_NFEENNS12,2002-01-01T00:00:00-02:00,2207.77
2002-02-01,2002,1,2,BM12_NFEENNS12,2002-02-01T00:00:00-02:00,-29.23
2002-03-01,2002,1,3,BM12_NFEENNS12,2002-03-01T00:00:00-03:00,-1219.72
2002-04-01,2002,1,4,BM12_NFEENNS12,2002-04-01T00:00:00-03:00,-184.33
2002-05-01,2002,1,5,BM12_NFEENNS12,2002-05-01T00:00:00-03:00,685.45
2002-06-01,2002,1,6,BM12_NFEENNS12,2002-06-01T00:00:00-03:00,515.65
2002-07-01,2002,1,7,BM12_NFEENNS12,2002-07-01T00:00:00-03:00,2926.63
2002-08-01,2002,1,8,BM12_NFEENNS12,2002-08-01T00:00:00-03:00,-1378.04
2002-09-01,2002,1,9,BM12_NFEENNS12,2002-09-01T00:00:00-03:00,3056.62
2002-10-01,2002,1,10,BM12_NFEENNS12,2002-10-01T00:00:00-03:00,-1767.8
2002-11-01,2002,1,11,BM12_NFEENNS12,2002-11-01T00:00:00-03:00,-729.91
2002-12-01,2002,1,12,BM12_NFEENNS12,2002-12-01T00:00:00-02:00,139.86
2003-01-01,2003,1,1,BM12_NFEENNS12,2003-01-01T00:00:00-02:00,1542.7
2003-02-01,2003,1,2,BM12_NFEENNS12,2003-02-01T00:00:00-02:00,495.4
2003-03-01,2003,1,3,BM12_NFEENNS12,2003-03-01T00:00:00-03:00,-342.52
2003-04-01,2003,1,4,BM12_NFEENNS12,2003-04-01T00:00:00-03:00,-1780.89
2003-05-01,2003,1,5,BM12_NFEENNS12,2003-05-01T00:00:00-03:00,1228.79
2003-06-01,2003,1,6,BM12_NFEENNS12,2003-06-01T00:00:00-03:00,341.38
2003-07-01,2003,1,7,BM12_NFEENNS12,2003-07-01T00:00:00-03:00,-486.15
2003-08-01,2003,1,8,BM12_NFEENNS12,2003-08-01T00:00:00-03:00,-33.39
2003-09-01,2003,1,9,BM12_NFEENNS12,2003-09-01T00:00:00-03:00,-515.02
2003-10-01,2003,1,10,BM12_NFEENNS12,2003-10-01T00:00:00-03:00,-982.53
2003-11-01,2003,1,11,BM12_NFEENNS12,2003-11-01T00:00:00-03:00,923.47
2003-12-01,2003,1,12,BM12_NFEENNS12,2003-12-01T00:00:00-02:00,-542.54
2004-01-01,2004,1,1,BM12_NFEENNS12,2004-01-01T00:00:00-02:00,-1152.67
2004-02-01,2004,1,2,BM12_NFEENNS12,2004-02-01T00:00:00-02:00,-128.89
2004-03-01,2004,1,3,BM12_NFEENNS12,2004-03-01T00:00:00-03:00,-374.43
2004-04-01,2004,1,4,BM12_NFEENNS12,2004-04-01T00:00:00-03:00,-451.63
2004-05-01,2004,1,5,BM12_NFEENNS12,2004-05-01T00:00:00-03:00,221.2
2004-06-01,2004,1,6,BM12_NFEENNS12,2004-06-01T00:00:00-03:00,-1526.8
2004-07-01,2004,1,7,BM12_NFEENNS12,2004-07-01T00:00:00-03:00,-1300.42
2004-08-01,2004,1,8,BM12_NFEENNS12,2004-08-01T00:00:00-03:00,-1196.22
2004-09-01,2004,1,9,BM12_NFEENNS12,2004-09-01T00:00:00-03:00,693.36
2004-10-01,2004,1,10,BM12_NFEENNS12,2004-10-01T00:00:00-03:00,-173.11
2004-11-01,2004,1,11,BM12_NFEENNS12,2004-11-01T00:00:00-03:00,491.09
2004-12-01,2004,1,12,BM12_NFEENNS12,2004-12-01T00:00:00-02:00,188.79
2005-01-01,2005,1,1,BM12_NFEENNS12,2005-01-01T00:00:00-02:00,-382.41
2005-02-01,2005,1,2,BM12_NFEENNS12,2005-02-01T00:00:00-02:00,259.54
2005-03-01,2005,1,3,BM12_NFEENNS12,2005-03-01T00:00:00-03:00,409.87
2005-04-01,2005,1,4,BM12_NFEENNS12,2005-04-01T00:00:00-03:00,-1026.04
2005-05-01,2005,1,5,BM12_NFEENNS12,2005-05-01T00:00:00-03:00,-1134.74
2005-06-01,2005,1,6,BM12_NFEENNS12,2005-06-01T00:00:00-03:00,249.22
2005-07-01,2005,1,7,BM12_NFEENNS12,2005-07-01T00:00:00-03:00,486.45
2005-08-01,2005,1,8,BM12_NFEENNS12,2005-08-01T00:00:00-03:00,-282.7
2005-09-01,2005,1,9,BM12_NFEENNS12,2005-09-01T00:00:00-03:00,-621.26
2005-10-01,2005,1,10,BM12_NFEENNS12,2005-10-01T00:00:00-03:00,-46.12
2005-11-01,2005,1,11,BM12_NFEENNS12,2005-11-01T00:00:00-02:00,-428.47
2005-12-01,2005,1,12,BM12_NFEENNS12,2005-12-01T00:00:00-02:00,624.44
2006-01-01,2006,1,1,BM12_NFEENNS12,2006-01-01T00:00:00-02:00,-582.37
2006-02-01,2006,1,2,BM12_NFEENNS12,2006-02-01T00:00:00-02:00,-440.75
2006-03-01,2006,1,3,BM12_NFEENNS12,2006-03-01T00:00:00-03:00,-18.08
2006-04-01,2006,1,4,BM12_NFEENNS12,2006-04-01T00:00:00-03:00,-554.02
2006-05-01,2006,1,5,BM12_NFEENNS12,2006-05-01T00:00:00-03:00,99.88
2006-06-01,2006,1,6,BM12_NFEENNS12,2006-06-01T00:00:00-03:00,-600.83
2006-07-01,2006,1,7,BM12_NFEENNS12,2006-07-01T00:00:00-03:00,149.37
2006-08-01,2006,1,8,BM12_NFEENNS12,2006-08-01T00:00:00-03:00,-2486.63
2006-09-01,2006,1,9,BM12_NFEENNS12,2006-09-01T00:00:00-03:00,-410.16
2006-10-01,2006,1,10,BM12_NFEENNS12,2006-10-01T00:00:00-03:00,191.58
2006-11-01,2006,1,11,BM12_NFEENNS12,2006-11-01T00:00:00-03:00,-1175.69
2006-12-01,2006,1,12,BM12_NFEENNS12,2006-12-01T00:00:00-02:00,756.07
2007-01-01,2007,1,1,BM12_NFEENNS12,2007-01-01T00:00:00-02:00,237.67
2007-02-01,2007,1,2,BM12_NFEENNS12,2007-02-01T00:00:00-02:00,-183.55
