DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
2002-11-01,2002,1,11,BM12_NFEEPNAS12,2002-11-01T00:00:00-03:00,-6014.38
2002-12-01,2002,1,12,BM12_NFEEPNAS12,2002-12-01T00:00:00-02:00,-4972.29
2003-01-01,2003,1,1,BM12_NFEEPNAS12,2003-01-01T00:00:00-02:00,-5092.76
2003-02-01,2003,1,2,BM12_NFEEPNAS12,2003-02-01T00:00:00-02:00,-5145.69
2003-03-01,2003,1,3,BM12_NFEEPNAS12,2003-03-01T00:00:00-03:00,-4246.89
2003-04-01,2003,1,4,BM12_NFEEPNAS12,2003-04-01T00:00:00-03:00,-4061.75
2003-05-01,2003,1,5,BM12_NFEEPNAS12,2003-05-01T00:00:00-03:00,-3322.55
2003-06-01,2003,1,6,BM12_NFEEPNAS12,2003-06-01T00:00:00-03:00,-1495.47
2003-07-01,2003,1,7,BM12_NFEEPNAS12,2003-07-01T00:00:00-03:00,-1562.8
2003-08-01,2003,1,8,BM12_NFEEPNAS12,2003-08-01T00:00:00-03:00,-2848.35
2003-09-01,2003,1,9,BM12_NFEEPNAS12,2003-09-01T00:00:00-03:00,-2067.1
2003-10-01,2003,1,10,BM12_NFEEPNAS12,2003-10-01T00:00:00-03:00,-2493.75
2003-11-01,2003,1,11,BM12_NFEEPNAS12,2003-11-01T00:00:00-03:00,-2218.93
2003-12-01,2003,1,12,BM12_NFEEPNAS12,2003-12-01T00:00:00-02:00,-3025.78
2004-01-01,2004,1,1,BM12_NFEEPNAS12,2004-01-01T00:00:00-02:00,-5626.93
2004-02-01,2004,1,2,BM12_NFEEPNAS12,2004-02-01T00:00:00-02:00,-5448.53
2004-03-01,2004,1,3,BM12_NFEEPNAS12,2004-03-01T00:00:00-03:00,-4847.47
2004-04-01,2004,1,4,BM12_NFEEPNAS12,2004-04-01T00:00:00-03:00,-5009.44
2004-05-01,2004,1,5,BM12_NFEEPNAS12,2004-05-01T00:00:00-03:00,-5095.78
2004-06-01,2004,1,6,BM12_NFEEPNAS12,2004-06-01T00:00:00-03:00,-5756.81
2004-07-01,2004,1,7,BM12_NFEEPNAS12,2004-07-01T00:00:00-03:00,-4685.92
2004-08-01,2004,1,8,BM12_NFEEPNAS12,2004-08-01T00:00:00-03:00,-5297.25
2004-09-01,2004,1,9,BM12_NFEEPNAS12,2004-09-01T00:00:00-03:00,-4696.85
2004-10-01,2004,1,10,BM12_NFEEPNAS12,2004-10-01T00:00:00-03:00,-3964.97
2004-11-01,2004,1,11,BM12_NFEEPNAS12,2004-11-01T00:00:00-03:00,-2613.55
2004-12-01,2004,1,12,BM12_NFEEPNAS12,2004-12-01T00:00:00-02:00,-2351.57
2005-01-01,2005,1,1,BM12_NFEEPNAS12,2005-01-01T00:00:00-02:00,-2077.58
2005-02-01,2005,1,2,BM12_NFEEPNAS12,2005-02-01T00:00:00-02:00,-1924.25
2005-03-01,2005,1,3,BM12_NFEEPNAS12,2005-03-01T00:00:00-03:00,-2598.48
2005-04-01,2005,1,4,BM12_NFEEPNAS12,2005-04-01T00:00:00-03:00,-3738.91
2005-05-01,2005,1,5,BM12_NFEEPNAS12,2005-05-01T00:00:00-03:00,-4687.91
2005-06-01,2005,1,6,BM12_NFEEPNAS12,2005-06-01T00:00:00-03:00,-4327.68
2005-07-01,2005,1,7,BM12_NFEEPNAS12,2005-07-01T00:00:00-03:00,-3947.03
2005-08-01,2005,1,8,BM12_NFEEPNAS12,2005-08-01T00:00:00-03:00,-3268.49
2005-09-01,2005,1,9,BM12_NFEEPNAS12,2005-09-01T00:00:00-03:00,-3504.37
2005-10-01,2005,1,10,BM12_NFEEPNAS12,2005-10-01T00:00:00-03:00,-3700.06
2005-11-01,2005,1,11,BM12_NFEEPNAS12,2005-11-01T00:00:00-02:00,-4758.8
2005-12-01,2005,1,12,BM12_NFEEPNAS12,2005-12-01T00:00:00-02:00,-4221.32
2006-01-01,2006,1,1,BM12_NFEEPNAS12,2006-01-01T00:00:00-02:00,-3677.74
2006-02-01,2006,1,2,BM12_NFEEPNAS12,2006-02-01T00:00:00-02:00,-3432.44
2006-03-01,2006,1,3,BM12_NFEEPNAS12,2006-03-01T00:00:00-03:00,-3342.02
2006-04-01,2006,1,4,BM12_NFEEPNAS12,2006-04-01T00:00:00-03:00,-1875.19
2006-05-01,2006,1,5,BM12_NFEEPNAS12,2006-05-01T00:00:00-03:00,-1861.39
2006-06-01,2006,1,6,BM12_NFEEPNAS12,2006-06-01T00:00:00-03:00,-2421.35
2006-07-01,2006,1,7,BM12_NFEEPNAS12,2006-07-01T00:00:00-03:00,-2779.23
2006-08-01,2006,1,8,BM12_NFEEPNAS12,2006-08-01T00:00:00-03:00,-5031.42
2006-09-01,2006,1,9,BM12_NFEEPNAS12,2006-09-01T00:00:00-03:00,-5264.13
2006-10-01,2006,1,10,BM12_NFEEPNAS12,2006-10-01T00:00:00-03:00,-4727.51
2006-11-01,2006,1,11,BM12_NFEEPNAS12,2006-11-01T00:00:00-03:00,-5305.89
2006-12-01,2006,1,12,BM12_NFEEPNAS12,2006-12-01T00:00:00-02:00,-4848.64
2007-01-01,2007,1,1,BM12_NFEEPNAS12,2007-01-01T00:00:00-02:00,-4243.71
2007-02-01,2007,1,2,BM12_NFEEPNAS12,2007-02-01T00:00:00-02:00,-4479.47
2007-03-01,2007,1,3,BM12_NFEEPNAS12,2007-03-01T00:00:00-03:00,-3934.23
2007-04-01,2007,1,4,BM12_NFEEPNAS12,2007-04-01T00:00:00-03:00,-4539.42
2007-05-01,2007,1,5,BM12_NFEEPNAS12,2007-05-01T00:00:00-03:00,-3612.44
2007-06-01,2007,1,6,BM12_NFEEPNAS12,2007-06-01T00:00:00-03:00,-2748.02
2007-07-01,2007,1,7,BM12_NFEEPNAS12,2007-07-01T00:00:00-03:00,-1815.83
2007-08-01,2007,1,8,BM12_NFEEPNAS12,2007-08-01T00:00:00-03:00,-673.38
2007-09-01,2007,1,9,BM12_NFEEPNAS12,2007-09-01T00:00:00-03:00,-619.33
2007-10-01,2007,1,10,BM12_NFEEPNAS12,2007-10-01T00:00:00-03:00,-40.64
2007-11-01,2007,1,11,BM12_NFEEPNAS12,2007-11-01T00:00:00-02:00,747.24
2007-12-01,2007,1,12,BM12_NFEEPNAS12,2007-12-01T00:00:00-02:00,1294.56
2008-01-01,2008,1,1,BM12_NFEEPNAS12,2008-01-01T00:00:00-02:00,851.6
2008-02-01,2008,1,2,BM12_NFEEPNAS12,2008-02-01T00:00:00-02:00,1103.56
2008-03-01,2008,1,3,BM12_NFEEPNAS12,2008-03-01T00:00:00-03:00,1478.89
2008-04-01,2008,1,4,BM12_NFEEPNAS12,2008-04-01T00:00:00-03:00,1443.92
2008-05-01,2008,1,5,BM12_NFEEPNAS12,2008-05-01T00:00:00-03:00,1252.95
2008-06-01,2008,1,6,BM12_NFEEPNAS12,2008-06-01T00:00:00-03:00,599.74
2008-07-01,2008,1,7,BM12_NFEEPNAS12,2008-07-01T00:00:00-03:00,-451.64
2008-08-01,2008,1,8,BM12_NFEEPNAS12,2008-08-01T00:00:00-03:00,775.28
2008-09-01,2008,1,9,BM12_NFEEPNAS12,2008-09-01T00:00:00-03:00,1154.94
2008-10-01,2008,1,10,BM12_NFEEPNAS12,2008-10-01T00:00:00-03:00,-96.99
2008-11-01,2008,1,11,BM12_NFEEPNAS12,2008-11-01T00:00:00-02:00,68.82
2008-12-01,2008,1,12,BM12_NFEEPNAS12,2008-12-01T00:00:00-02:00,-1700.96
2009-01-01,2009,1,1,BM12_NFEEPNAS12,2009-01-01T00:00:00-02:00,-1442.36
2009-02-01,2009,1,2,BM12_NFEEPNAS12,2009-02-01T00:00:00-02:00,-683.87
2009-03-01,2009,1,3,BM12_NFEEPNAS12,2009-03-01T00:00:00-03:00,-1425.06
2009-04-01,2009,1,4,BM12_NFEEPNAS12,2009-04-01T00:00:00-03:00,-157.55
2009-05-01,2009,1,5,BM12_NFEEPNAS12,2009-05-01T00:00:00-03:00,556.51
2009-06-01,2009,1,6,BM12_NFEEPNAS12,2009-06-01T00:00:00-03:00,-1204.99
2009-07-01,2009,1,7,BM12_NFEEPNAS12,2009-07-01T00:00:00-03:00,-977.8
2009-08-01,2009,1,8,BM12_NFEEPNAS12,2009-08-01T00:00:00-03:00,-1395.57
