DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1991-12-01,1991,1,12,BM12_NFEMNNAS12,1991-12-01T00:00:00-02:00,5.89
1992-01-01,1992,1,1,BM12_NFEMNNAS12,1992-01-01T00:00:00-02:00,7.81
1992-02-01,1992,1,2,BM12_NFEMNNAS12,1992-02-01T00:00:00-02:00,10.28
1992-03-01,1992,1,3,BM12_NFEMNNAS12,1992-03-01T00:00:00-03:00,13.24
1992-04-01,1992,1,4,BM12_NFEMNNAS12,1992-04-01T00:00:00-03:00,16.39
1992-05-01,1992,1,5,BM12_NFEMNNAS12,1992-05-01T00:00:00-03:00,20.25
1992-06-01,1992,1,6,BM12_NFEMNNAS12,1992-06-01T00:00:00-03:00,25.01
1992-07-01,1992,1,7,BM12_NFEMNNAS12,1992-07-01T00:00:00-03:00,31.61
1992-08-01,1992,1,8,BM12_NFEMNNAS12,1992-08-01T00:00:00-03:00,40.02
1992-09-01,1992,1,9,BM12_NFEMNNAS12,1992-09-01T00:00:00-03:00,51.24
1992-10-01,1992,1,10,BM12_NFEMNNAS12,1992-10-01T00:00:00-03:00,65.6
1992-11-01,1992,1,11,BM12_NFEMNNAS12,1992-11-01T00:00:00-03:00,82.74
1992-12-01,1992,1,12,BM12_NFEMNNAS12,1992-12-01T00:00:00-02:00,108.35
1993-01-01,1993,1,1,BM12_NFEMNNAS12,1993-01-01T00:00:00-02:00,139.41
1993-02-01,1993,1,2,BM12_NFEMNNAS12,1993-02-01T00:00:00-02:00,183.08
1993-03-01,1993,1,3,BM12_NFEMNNAS12,1993-03-01T00:00:00-03:00,249.64
1993-04-01,1993,1,4,BM12_NFEMNNAS12,1993-04-01T00:00:00-03:00,325.7
1993-05-01,1993,1,5,BM12_NFEMNNAS12,1993-05-01T00:00:00-03:00,440.24
1993-06-01,1993,1,6,BM12_NFEMNNAS12,1993-06-01T00:00:00-03:00,570.49
1993-07-01,1993,1,7,BM12_NFEMNNAS12,1993-07-01T00:00:00-03:00,744.44
1993-08-01,1993,1,8,BM12_NFEMNNAS12,1993-08-01T00:00:00-03:00,1009.21
1993-09-01,1993,1,9,BM12_NFEMNNAS12,1993-09-01T00:00:00-03:00,1422.53
1993-10-01,1993,1,10,BM12_NFEMNNAS12,1993-10-01T00:00:00-03:00,1964.15
1993-11-01,1993,1,11,BM12_NFEMNNAS12,1993-11-01T00:00:00-03:00,2710.86
1993-12-01,1993,1,12,BM12_NFEMNNAS12,1993-12-01T00:00:00-02:00,3823.56
1994-01-01,1994,1,1,BM12_NFEMNNAS12,1994-01-01T00:00:00-02:00,5490.08
1994-02-01,1994,1,2,BM12_NFEMNNAS12,1994-02-01T00:00:00-02:00,7726.51
1994-03-01,1994,1,3,BM12_NFEMNNAS12,1994-03-01T00:00:00-03:00,11239.48
1994-04-01,1994,1,4,BM12_NFEMNNAS12,1994-04-01T00:00:00-03:00,16829.08
1994-05-01,1994,1,5,BM12_NFEMNNAS12,1994-05-01T00:00:00-03:00,24776.9
1994-06-01,1994,1,6,BM12_NFEMNNAS12,1994-06-01T00:00:00-03:00,36950.1
1994-07-01,1994,1,7,BM12_NFEMNNAS12,1994-07-01T00:00:00-03:00,38842.84
1994-08-01,1994,1,8,BM12_NFEMNNAS12,1994-08-01T00:00:00-03:00,39873.74
1994-09-01,1994,1,9,BM12_NFEMNNAS12,1994-09-01T00:00:00-03:00,40139.5
1994-10-01,1994,1,10,BM12_NFEMNNAS12,1994-10-01T00:00:00-03:00,41016.97
