DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
2002-11-01,2002,1,11,BM12_NFSPJNNAS12,2002-11-01T00:00:00-03:00,104551.33
2002-12-01,2002,1,12,BM12_NFSPJNNAS12,2002-12-01T00:00:00-02:00,113269.54
2003-01-01,2003,1,1,BM12_NFSPJNNAS12,2003-01-01T00:00:00-02:00,122843.01
2003-02-01,2003,1,2,BM12_NFSPJNNAS12,2003-02-01T00:00:00-02:00,128995.89
2003-03-01,2003,1,3,BM12_NFSPJNNAS12,2003-03-01T00:00:00-03:00,134567.99
2003-04-01,2003,1,4,BM12_NFSPJNNAS12,2003-04-01T00:00:00-03:00,133632.31
2003-05-01,2003,1,5,BM12_NFSPJNNAS12,2003-05-01T00:00:00-03:00,138465.27
2003-06-01,2003,1,6,BM12_NFSPJNNAS12,2003-06-01T00:00:00-03:00,140560.27
2003-07-01,2003,1,7,BM12_NFSPJNNAS12,2003-07-01T00:00:00-03:00,150562.68
2003-08-01,2003,1,8,BM12_NFSPJNNAS12,2003-08-01T00:00:00-03:00,154360.3
2003-09-01,2003,1,9,BM12_NFSPJNNAS12,2003-09-01T00:00:00-03:00,154322.07
2003-10-01,2003,1,10,BM12_NFSPJNNAS12,2003-10-01T00:00:00-03:00,149401.13
2003-11-01,2003,1,11,BM12_NFSPJNNAS12,2003-11-01T00:00:00-03:00,152831.78
2003-12-01,2003,1,12,BM12_NFSPJNNAS12,2003-12-01T00:00:00-02:00,144594.8
2004-01-01,2004,1,1,BM12_NFSPJNNAS12,2004-01-01T00:00:00-02:00,137950.42
2004-02-01,2004,1,2,BM12_NFSPJNNAS12,2004-02-01T00:00:00-02:00,133598.62
2004-03-01,2004,1,3,BM12_NFSPJNNAS12,2004-03-01T00:00:00-03:00,131138.25
2004-04-01,2004,1,4,BM12_NFSPJNNAS12,2004-04-01T00:00:00-03:00,135081.63
2004-05-01,2004,1,5,BM12_NFSPJNNAS12,2004-05-01T00:00:00-03:00,132368.65
2004-06-01,2004,1,6,BM12_NFSPJNNAS12,2004-06-01T00:00:00-03:00,133289.75
2004-07-01,2004,1,7,BM12_NFSPJNNAS12,2004-07-01T00:00:00-03:00,128535.61
2004-08-01,2004,1,8,BM12_NFSPJNNAS12,2004-08-01T00:00:00-03:00,127346.24
2004-09-01,2004,1,9,BM12_NFSPJNNAS12,2004-09-01T00:00:00-03:00,126949.72
2004-10-01,2004,1,10,BM12_NFSPJNNAS12,2004-10-01T00:00:00-03:00,128561.81
2004-11-01,2004,1,11,BM12_NFSPJNNAS12,2004-11-01T00:00:00-03:00,125927.17
2004-12-01,2004,1,12,BM12_NFSPJNNAS12,2004-12-01T00:00:00-02:00,128524.26
2005-01-01,2005,1,1,BM12_NFSPJNNAS12,2005-01-01T00:00:00-02:00,129678.56
2005-02-01,2005,1,2,BM12_NFSPJNNAS12,2005-02-01T00:00:00-02:00,131175.79
2005-03-01,2005,1,3,BM12_NFSPJNNAS12,2005-03-01T00:00:00-03:00,134929.16
2005-04-01,2005,1,4,BM12_NFSPJNNAS12,2005-04-01T00:00:00-03:00,138533.6
2005-05-01,2005,1,5,BM12_NFSPJNNAS12,2005-05-01T00:00:00-03:00,141372.0
2005-06-01,2005,1,6,BM12_NFSPJNNAS12,2005-06-01T00:00:00-03:00,146670.72
2005-07-01,2005,1,7,BM12_NFSPJNNAS12,2005-07-01T00:00:00-03:00,148710.85
2005-08-01,2005,1,8,BM12_NFSPJNNAS12,2005-08-01T00:00:00-03:00,150258.57
2005-09-01,2005,1,9,BM12_NFSPJNNAS12,2005-09-01T00:00:00-03:00,153140.34
2005-10-01,2005,1,10,BM12_NFSPJNNAS12,2005-10-01T00:00:00-03:00,155379.92
2005-11-01,2005,1,11,BM12_NFSPJNNAS12,2005-11-01T00:00:00-02:00,158233.76
2005-12-01,2005,1,12,BM12_NFSPJNNAS12,2005-12-01T00:00:00-02:00,158093.97
2006-01-01,2006,1,1,BM12_NFSPJNNAS12,2006-01-01T00:00:00-02:00,163808.69
2006-02-01,2006,1,2,BM12_NFSPJNNAS12,2006-02-01T00:00:00-02:00,165500.49
