DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
2001-12-01,2001,1,12,BM12_NFSPJNNS12,2001-12-01T00:00:00-02:00,8318.66
2002-01-01,2002,1,1,BM12_NFSPJNNS12,2002-01-01T00:00:00-02:00,8110.7
2002-02-01,2002,1,2,BM12_NFSPJNNS12,2002-02-01T00:00:00-02:00,8360.16
2002-03-01,2002,1,3,BM12_NFSPJNNS12,2002-03-01T00:00:00-03:00,7095.78
2002-04-01,2002,1,4,BM12_NFSPJNNS12,2002-04-01T00:00:00-03:00,7012.64
2002-05-01,2002,1,5,BM12_NFSPJNNS12,2002-05-01T00:00:00-03:00,8788.02
2002-06-01,2002,1,6,BM12_NFSPJNNS12,2002-06-01T00:00:00-03:00,6879.81
2002-07-01,2002,1,7,BM12_NFSPJNNS12,2002-07-01T00:00:00-03:00,4986.2
2002-08-01,2002,1,8,BM12_NFSPJNNS12,2002-08-01T00:00:00-03:00,9339.49
2002-09-01,2002,1,9,BM12_NFSPJNNS12,2002-09-01T00:00:00-03:00,11814.65
2002-10-01,2002,1,10,BM12_NFSPJNNS12,2002-10-01T00:00:00-03:00,14557.47
2002-11-01,2002,1,11,BM12_NFSPJNNS12,2002-11-01T00:00:00-03:00,9287.75
2002-12-01,2002,1,12,BM12_NFSPJNNS12,2002-12-01T00:00:00-02:00,17036.87
2003-01-01,2003,1,1,BM12_NFSPJNNS12,2003-01-01T00:00:00-02:00,17684.17
2003-02-01,2003,1,2,BM12_NFSPJNNS12,2003-02-01T00:00:00-02:00,14513.04
2003-03-01,2003,1,3,BM12_NFSPJNNS12,2003-03-01T00:00:00-03:00,12667.88
2003-04-01,2003,1,4,BM12_NFSPJNNS12,2003-04-01T00:00:00-03:00,6076.96
2003-05-01,2003,1,5,BM12_NFSPJNNS12,2003-05-01T00:00:00-03:00,13620.98
2003-06-01,2003,1,6,BM12_NFSPJNNS12,2003-06-01T00:00:00-03:00,8974.81
2003-07-01,2003,1,7,BM12_NFSPJNNS12,2003-07-01T00:00:00-03:00,14988.61
2003-08-01,2003,1,8,BM12_NFSPJNNS12,2003-08-01T00:00:00-03:00,13137.11
2003-09-01,2003,1,9,BM12_NFSPJNNS12,2003-09-01T00:00:00-03:00,11776.42
2003-10-01,2003,1,10,BM12_NFSPJNNS12,2003-10-01T00:00:00-03:00,9636.53
2003-11-01,2003,1,11,BM12_NFSPJNNS12,2003-11-01T00:00:00-03:00,12718.4
2003-12-01,2003,1,12,BM12_NFSPJNNS12,2003-12-01T00:00:00-02:00,8799.89
2004-01-01,2004,1,1,BM12_NFSPJNNS12,2004-01-01T00:00:00-02:00,11039.79
2004-02-01,2004,1,2,BM12_NFSPJNNS12,2004-02-01T00:00:00-02:00,10161.24
2004-03-01,2004,1,3,BM12_NFSPJNNS12,2004-03-01T00:00:00-03:00,10207.51
2004-04-01,2004,1,4,BM12_NFSPJNNS12,2004-04-01T00:00:00-03:00,10020.34
2004-05-01,2004,1,5,BM12_NFSPJNNS12,2004-05-01T00:00:00-03:00,10908.0
2004-06-01,2004,1,6,BM12_NFSPJNNS12,2004-06-01T00:00:00-03:00,9895.91
2004-07-01,2004,1,7,BM12_NFSPJNNS12,2004-07-01T00:00:00-03:00,10234.47
2004-08-01,2004,1,8,BM12_NFSPJNNS12,2004-08-01T00:00:00-03:00,11947.74
2004-09-01,2004,1,9,BM12_NFSPJNNS12,2004-09-01T00:00:00-03:00,11379.9
2004-10-01,2004,1,10,BM12_NFSPJNNS12,2004-10-01T00:00:00-03:00,11248.62
2004-11-01,2004,1,11,BM12_NFSPJNNS12,2004-11-01T00:00:00-03:00,10083.76
2004-12-01,2004,1,12,BM12_NFSPJNNS12,2004-12-01T00:00:00-02:00,11396.98
2005-01-01,2005,1,1,BM12_NFSPJNNS12,2005-01-01T00:00:00-02:00,12194.09
2005-02-01,2005,1,2,BM12_NFSPJNNS12,2005-02-01T00:00:00-02:00,11658.47
2005-03-01,2005,1,3,BM12_NFSPJNNS12,2005-03-01T00:00:00-03:00,13960.88
2005-04-01,2005,1,4,BM12_NFSPJNNS12,2005-04-01T00:00:00-03:00,13624.78
2005-05-01,2005,1,5,BM12_NFSPJNNS12,2005-05-01T00:00:00-03:00,13746.4
2005-06-01,2005,1,6,BM12_NFSPJNNS12,2005-06-01T00:00:00-03:00,15194.63
2005-07-01,2005,1,7,BM12_NFSPJNNS12,2005-07-01T00:00:00-03:00,12274.6
2005-08-01,2005,1,8,BM12_NFSPJNNS12,2005-08-01T00:00:00-03:00,13495.46
2005-09-01,2005,1,9,BM12_NFSPJNNS12,2005-09-01T00:00:00-03:00,14261.67
2005-10-01,2005,1,10,BM12_NFSPJNNS12,2005-10-01T00:00:00-03:00,13488.2
2005-11-01,2005,1,11,BM12_NFSPJNNS12,2005-11-01T00:00:00-02:00,12937.6
2005-12-01,2005,1,12,BM12_NFSPJNNS12,2005-12-01T00:00:00-02:00,11257.19
2006-01-01,2006,1,1,BM12_NFSPJNNS12,2006-01-01T00:00:00-02:00,17908.81
2006-02-01,2006,1,2,BM12_NFSPJNNS12,2006-02-01T00:00:00-02:00,13350.27
2006-03-01,2006,1,3,BM12_NFSPJNNS12,2006-03-01T00:00:00-03:00,13185.02
2006-04-01,2006,1,4,BM12_NFSPJNNS12,2006-04-01T00:00:00-03:00,12824.2
2006-05-01,2006,1,5,BM12_NFSPJNNS12,2006-05-01T00:00:00-03:00,7858.18
2006-06-01,2006,1,6,BM12_NFSPJNNS12,2006-06-01T00:00:00-03:00,17206.92
2006-07-01,2006,1,7,BM12_NFSPJNNS12,2006-07-01T00:00:00-03:00,13688.46
2006-08-01,2006,1,8,BM12_NFSPJNNS12,2006-08-01T00:00:00-03:00,15702.3
2006-09-01,2006,1,9,BM12_NFSPJNNS12,2006-09-01T00:00:00-03:00,11263.22
2006-10-01,2006,1,10,BM12_NFSPJNNS12,2006-10-01T00:00:00-03:00,13417.26
2006-11-01,2006,1,11,BM12_NFSPJNNS12,2006-11-01T00:00:00-03:00,12343.18
2006-12-01,2006,1,12,BM12_NFSPJNNS12,2006-12-01T00:00:00-02:00,13177.38
2007-01-01,2007,1,1,BM12_NFSPJNNS12,2007-01-01T00:00:00-02:00,14183.94
2007-02-01,2007,1,2,BM12_NFSPJNNS12,2007-02-01T00:00:00-02:00,11229.84
2007-03-01,2007,1,3,BM12_NFSPJNNS12,2007-03-01T00:00:00-03:00,14156.11
2007-04-01,2007,1,4,BM12_NFSPJNNS12,2007-04-01T00:00:00-03:00,12769.47
2007-05-01,2007,1,5,BM12_NFSPJNNS12,2007-05-01T00:00:00-03:00,17068.08
2007-06-01,2007,1,6,BM12_NFSPJNNS12,2007-06-01T00:00:00-03:00,10951.05
2007-07-01,2007,1,7,BM12_NFSPJNNS12,2007-07-01T00:00:00-03:00,14347.68
2007-08-01,2007,1,8,BM12_NFSPJNNS12,2007-08-01T00:00:00-03:00,11178.62
2007-09-01,2007,1,9,BM12_NFSPJNNS12,2007-09-01T00:00:00-03:00,15691.08
2007-10-01,2007,1,10,BM12_NFSPJNNS12,2007-10-01T00:00:00-03:00,16154.62
2007-11-01,2007,1,11,BM12_NFSPJNNS12,2007-11-01T00:00:00-02:00,12315.5
2007-12-01,2007,1,12,BM12_NFSPJNNS12,2007-12-01T00:00:00-02:00,12492.52
2008-01-01,2008,1,1,BM12_NFSPJNNS12,2008-01-01T00:00:00-02:00,13391.46
2008-02-01,2008,1,2,BM12_NFSPJNNS12,2008-02-01T00:00:00-02:00,15739.95
2008-03-01,2008,1,3,BM12_NFSPJNNS12,2008-03-01T00:00:00-03:00,11618.06
2008-04-01,2008,1,4,BM12_NFSPJNNS12,2008-04-01T00:00:00-03:00,15175.83
2008-05-01,2008,1,5,BM12_NFSPJNNS12,2008-05-01T00:00:00-03:00,16442.74
2008-06-01,2008,1,6,BM12_NFSPJNNS12,2008-06-01T00:00:00-03:00,17270.58
2008-07-01,2008,1,7,BM12_NFSPJNNS12,2008-07-01T00:00:00-03:00,19102.1
2008-08-01,2008,1,8,BM12_NFSPJNNS12,2008-08-01T00:00:00-03:00,12825.88
2008-09-01,2008,1,9,BM12_NFSPJNNS12,2008-09-01T00:00:00-03:00,6236.98
2008-10-01,2008,1,10,BM12_NFSPJNNS12,2008-10-01T00:00:00-03:00,9434.34
2008-11-01,2008,1,11,BM12_NFSPJNNS12,2008-11-01T00:00:00-02:00,11057.7
2008-12-01,2008,1,12,BM12_NFSPJNNS12,2008-12-01T00:00:00-02:00,17215.19
2009-01-01,2009,1,1,BM12_NFSPJNNS12,2009-01-01T00:00:00-02:00,15049.39
2009-02-01,2009,1,2,BM12_NFSPJNNS12,2009-02-01T00:00:00-02:00,10582.95
2009-03-01,2009,1,3,BM12_NFSPJNNS12,2009-03-01T00:00:00-03:00,14857.91
2009-04-01,2009,1,4,BM12_NFSPJNNS12,2009-04-01T00:00:00-03:00,13051.24
2009-05-01,2009,1,5,BM12_NFSPJNNS12,2009-05-01T00:00:00-03:00,12738.78
2009-06-01,2009,1,6,BM12_NFSPJNNS12,2009-06-01T00:00:00-03:00,13646.58
2009-07-01,2009,1,7,BM12_NFSPJNNS12,2009-07-01T00:00:00-03:00,16319.48
2009-08-01,2009,1,8,BM12_NFSPJNNS12,2009-08-01T00:00:00-03:00,13344.56
2009-09-01,2009,1,9,BM12_NFSPJNNS12,2009-09-01T00:00:00-03:00,16808.98
2009-10-01,2009,1,10,BM12_NFSPJNNS12,2009-10-01T00:00:00-03:00,14969.2
2009-11-01,2009,1,11,BM12_NFSPJNNS12,2009-11-01T00:00:00-02:00,15266.41
2009-12-01,2009,1,12,BM12_NFSPJNNS12,2009-12-01T00:00:00-02:00,14375.46
2010-01-01,2010,1,1,BM12_NFSPJNNS12,2010-01-01T00:00:00-02:00,14128.96
2010-02-01,2010,1,2,BM12_NFSPJNNS12,2010-02-01T00:00:00-02:00,14263.48
2010-03-01,2010,1,3,BM12_NFSPJNNS12,2010-03-01T00:00:00-03:00,17008.96
2010-04-01,2010,1,4,BM12_NFSPJNNS12,2010-04-01T00:00:00-03:00,14617.39
2010-05-01,2010,1,5,BM12_NFSPJNNS12,2010-05-01T00:00:00-03:00,16342.46
2010-06-01,2010,1,6,BM12_NFSPJNNS12,2010-06-01T00:00:00-03:00,15843.75
2010-07-01,2010,1,7,BM12_NFSPJNNS12,2010-07-01T00:00:00-03:00,16947.24
2010-08-01,2010,1,8,BM12_NFSPJNNS12,2010-08-01T00:00:00-03:00,15892.68
2010-09-01,2010,1,9,BM12_NFSPJNNS12,2010-09-01T00:00:00-03:00,16159.17
2010-10-01,2010,1,10,BM12_NFSPJNNS12,2010-10-01T00:00:00-03:00,16104.51
2010-11-01,2010,1,11,BM12_NFSPJNNS12,2010-11-01T00:00:00-02:00,18524.99
2010-12-01,2010,1,12,BM12_NFSPJNNS12,2010-12-01T00:00:00-02:00,19535.67
2011-01-01,2011,1,1,BM12_NFSPJNNS12,2011-01-01T00:00:00-02:00,19280.55
2011-02-01,2011,1,2,BM12_NFSPJNNS12,2011-02-01T00:00:00-02:00,19115.24
2011-03-01,2011,1,3,BM12_NFSPJNNS12,2011-03-01T00:00:00-03:00,20548.91
2011-04-01,2011,1,4,BM12_NFSPJNNS12,2011-04-01T00:00:00-03:00,19640.6
2011-05-01,2011,1,5,BM12_NFSPJNNS12,2011-05-01T00:00:00-03:00,22174.83
2011-06-01,2011,1,6,BM12_NFSPJNNS12,2011-06-01T00:00:00-03:00,18987.55
2011-07-01,2011,1,7,BM12_NFSPJNNS12,2011-07-01T00:00:00-03:00,18796.64
2011-08-01,2011,1,8,BM12_NFSPJNNS12,2011-08-01T00:00:00-03:00,21662.7
2011-09-01,2011,1,9,BM12_NFSPJNNS12,2011-09-01T00:00:00-03:00,17267.3
2011-10-01,2011,1,10,BM12_NFSPJNNS12,2011-10-01T00:00:00-03:00,20257.53
2011-11-01,2011,1,11,BM12_NFSPJNNS12,2011-11-01T00:00:00-02:00,18367.81
2011-12-01,2011,1,12,BM12_NFSPJNNS12,2011-12-01T00:00:00-02:00,20573.63
2012-01-01,2012,1,1,BM12_NFSPJNNS12,2012-01-01T00:00:00-02:00,19661.31
2012-02-01,2012,1,2,BM12_NFSPJNNS12,2012-02-01T00:00:00-02:00,18268.83
2012-03-01,2012,1,3,BM12_NFSPJNNS12,2012-03-01T00:00:00-03:00,21037.41
2012-04-01,2012,1,4,BM12_NFSPJNNS12,2012-04-01T00:00:00-03:00,17223.6
