DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1991-11-01,1991,1,11,BM12_NTNFBC12,1991-11-01T00:00:00-03:00,0.142761090909091
1991-12-01,1991,1,12,BM12_NTNFBC12,1991-12-01T00:00:00-02:00,0.564926072727273
1992-01-01,1992,1,1,BM12_NTNFBC12,1992-01-01T00:00:00-02:00,2.6903376
1992-02-01,1992,1,2,BM12_NTNFBC12,1992-02-01T00:00:00-02:00,1.6345676
1992-03-01,1992,1,3,BM12_NTNFBC12,1992-03-01T00:00:00-03:00,7.48666261818182
1992-04-01,1992,1,4,BM12_NTNFBC12,1992-04-01T00:00:00-03:00,5.39284774545455
1992-05-01,1992,1,5,BM12_NTNFBC12,1992-05-01T00:00:00-03:00,11.4462247272727
1992-06-01,1992,1,6,BM12_NTNFBC12,1992-06-01T00:00:00-03:00,18.0367716363636
1992-07-01,1992,1,7,BM12_NTNFBC12,1992-07-01T00:00:00-03:00,17.9038909090909
1992-08-01,1992,1,8,BM12_NTNFBC12,1992-08-01T00:00:00-03:00,23.4622509090909
1992-09-01,1992,1,9,BM12_NTNFBC12,1992-09-01T00:00:00-03:00,29.1984134545455
1992-10-01,1992,1,10,BM12_NTNFBC12,1992-10-01T00:00:00-03:00,38.0233447272727
1992-11-01,1992,1,11,BM12_NTNFBC12,1992-11-01T00:00:00-03:00,47.5678261818182
1992-12-01,1992,1,12,BM12_NTNFBC12,1992-12-01T00:00:00-02:00,59.0883505454546
1993-01-01,1993,1,1,BM12_NTNFBC12,1993-01-01T00:00:00-02:00,93.4441101818182
1993-02-01,1993,1,2,BM12_NTNFBC12,1993-02-01T00:00:00-02:00,92.6036621818182
1993-03-01,1993,1,3,BM12_NTNFBC12,1993-03-01T00:00:00-03:00,120.964102909091
1993-04-01,1993,1,4,BM12_NTNFBC12,1993-04-01T00:00:00-03:00,150.973359272727
1993-05-01,1993,1,5,BM12_NTNFBC12,1993-05-01T00:00:00-03:00,216.852983945455
1993-06-01,1993,1,6,BM12_NTNFBC12,1993-06-01T00:00:00-03:00,302.741066967273
1993-07-01,1993,1,7,BM12_NTNFBC12,1993-07-01T00:00:00-03:00,454.653513672727
1993-08-01,1993,1,8,BM12_NTNFBC12,1993-08-01T00:00:00-03:00,851.959217476364
1993-09-01,1993,1,9,BM12_NTNFBC12,1993-09-01T00:00:00-03:00,1139.09733818182
1993-10-01,1993,1,10,BM12_NTNFBC12,1993-10-01T00:00:00-03:00,1549.80988363636
1993-11-01,1993,1,11,BM12_NTNFBC12,1993-11-01T00:00:00-03:00,2115.56519272727
1993-12-01,1993,1,12,BM12_NTNFBC12,1993-12-01T00:00:00-02:00,3477.24094545455
1994-01-01,1994,1,1,BM12_NTNFBC12,1994-01-01T00:00:00-02:00,6197.83105454545
1994-02-01,1994,1,2,BM12_NTNFBC12,1994-02-01T00:00:00-02:00,8303.74294545454
1994-03-01,1994,1,3,BM12_NTNFBC12,1994-03-01T00:00:00-03:00,10824.7694181818
1994-04-01,1994,1,4,BM12_NTNFBC12,1994-04-01T00:00:00-03:00,15208.8668
1994-05-01,1994,1,5,BM12_NTNFBC12,1994-05-01T00:00:00-03:00,23499.5070584127
1994-06-01,1994,1,6,BM12_NTNFBC12,1994-06-01T00:00:00-03:00,30656.1996154216
1994-07-01,1994,1,7,BM12_NTNFBC12,1994-07-01T00:00:00-03:00,32735.0
1994-08-01,1994,1,8,BM12_NTNFBC12,1994-08-01T00:00:00-03:00,30107.0
1994-09-01,1994,1,9,BM12_NTNFBC12,1994-09-01T00:00:00-03:00,26467.0
1994-10-01,1994,1,10,BM12_NTNFBC12,1994-10-01T00:00:00-03:00,26754.195
1994-11-01,1994,1,11,BM12_NTNFBC12,1994-11-01T00:00:00-03:00,27068.0
1994-12-01,1994,1,12,BM12_NTNFBC12,1994-12-01T00:00:00-02:00,41173.6166749402
1995-01-01,1995,1,1,BM12_NTNFBC12,1995-01-01T00:00:00-02:00,28703.0
1995-02-01,1995,1,2,BM12_NTNFBC12,1995-02-01T00:00:00-02:00,25820.151
1995-03-01,1995,1,3,BM12_NTNFBC12,1995-03-01T00:00:00-03:00,22978.424
1995-04-01,1995,1,4,BM12_NTNFBC12,1995-04-01T00:00:00-03:00,25582.51
1995-05-01,1995,1,5,BM12_NTNFBC12,1995-05-01T00:00:00-03:00,29602.688
1995-06-01,1995,1,6,BM12_NTNFBC12,1995-06-01T00:00:00-03:00,31992.497
1995-07-01,1995,1,7,BM12_NTNFBC12,1995-07-01T00:00:00-03:00,31052.687
1995-08-01,1995,1,8,BM12_NTNFBC12,1995-08-01T00:00:00-03:00,26760.09
1995-09-01,1995,1,9,BM12_NTNFBC12,1995-09-01T00:00:00-03:00,26447.122
1995-10-01,1995,1,10,BM12_NTNFBC12,1995-10-01T00:00:00-03:00,25905.367
1995-11-01,1995,1,11,BM12_NTNFBC12,1995-11-01T00:00:00-03:00,23460.319
1995-12-01,1995,1,12,BM12_NTNFBC12,1995-12-01T00:00:00-02:00,21125.1855587441
1996-01-01,1996,1,1,BM12_NTNFBC12,1996-01-01T00:00:00-02:00,22852.183991036
1996-02-01,1996,1,2,BM12_NTNFBC12,1996-02-01T00:00:00-02:00,25071.8042179975
1996-03-01,1996,1,3,BM12_NTNFBC12,1996-03-01T00:00:00-03:00,30196.8200045702
1996-04-01,1996,1,4,BM12_NTNFBC12,1996-04-01T00:00:00-03:00,33033.5373478115
1996-05-01,1996,1,5,BM12_NTNFBC12,1996-05-01T00:00:00-03:00,39385.0433709231
1996-06-01,1996,1,6,BM12_NTNFBC12,1996-06-01T00:00:00-03:00,40757.3370160701
1996-07-01,1996,1,7,BM12_NTNFBC12,1996-07-01T00:00:00-03:00,41669.8863972401
1996-08-01,1996,1,8,BM12_NTNFBC12,1996-08-01T00:00:00-03:00,39691.966871609
1996-09-01,1996,1,9,BM12_NTNFBC12,1996-09-01T00:00:00-03:00,40690.7173429084
1996-10-01,1996,1,10,BM12_NTNFBC12,1996-10-01T00:00:00-03:00,41581.3401251932
1996-11-01,1996,1,11,BM12_NTNFBC12,1996-11-01T00:00:00-03:00,43841.9186991069
1996-12-01,1996,1,12,BM12_NTNFBC12,1996-12-01T00:00:00-02:00,44974.7093430833
1997-01-01,1997,1,1,BM12_NTNFBC12,1997-01-01T00:00:00-02:00,49896.8977298008
1997-02-01,1997,1,2,BM12_NTNFBC12,1997-02-01T00:00:00-02:00,51166.1746814548
1997-03-01,1997,1,3,BM12_NTNFBC12,1997-03-01T00:00:00-03:00,50074.9525844104
1997-04-01,1997,1,4,BM12_NTNFBC12,1997-04-01T00:00:00-03:00,50809.6382032142
1997-05-01,1997,1,5,BM12_NTNFBC12,1997-05-01T00:00:00-03:00,48707.194
1997-06-01,1997,1,6,BM12_NTNFBC12,1997-06-01T00:00:00-03:00,47904.86
1997-07-01,1997,1,7,BM12_NTNFBC12,1997-07-01T00:00:00-03:00,48155.305
1997-08-01,1997,1,8,BM12_NTNFBC12,1997-08-01T00:00:00-03:00,47972.7949906018
