DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1980-01-01,1980,1,1,BM12_PME12,1980-01-01T00:00:00-02:00,5.86578181818182e-08
1980-02-01,1980,1,2,BM12_PME12,1980-02-01T00:00:00-02:00,6.15669090909091e-08
1980-03-01,1980,1,3,BM12_PME12,1980-03-01T00:00:00-03:00,6.32032727272727e-08
1980-04-01,1980,1,4,BM12_PME12,1980-04-01T00:00:00-03:00,6.53850909090909e-08
1980-05-01,1980,1,5,BM12_PME12,1980-05-01T00:00:00-03:00,6.81123636363636e-08
1980-06-01,1980,1,6,BM12_PME12,1980-06-01T00:00:00-03:00,7.30214545454545e-08
1980-07-01,1980,1,7,BM12_PME12,1980-07-01T00:00:00-03:00,7.62941818181818e-08
1980-08-01,1980,1,8,BM12_PME12,1980-08-01T00:00:00-03:00,8.01123636363636e-08
1980-09-01,1980,1,9,BM12_PME12,1980-09-01T00:00:00-03:00,8.15669090909091e-08
1980-10-01,1980,1,10,BM12_PME12,1980-10-01T00:00:00-03:00,8.81123636363636e-08
1980-11-01,1980,1,11,BM12_PME12,1980-11-01T00:00:00-03:00,9.72032727272727e-08
1980-12-01,1980,1,12,BM12_PME12,1980-12-01T00:00:00-02:00,1.18657818181818e-07
1981-01-01,1981,1,1,BM12_PME12,1981-01-01T00:00:00-02:00,1.07748727272727e-07
1981-02-01,1981,1,2,BM12_PME12,1981-02-01T00:00:00-02:00,1.16476e-07
1981-03-01,1981,1,3,BM12_PME12,1981-03-01T00:00:00-03:00,1.03748727272727e-07
1981-04-01,1981,1,4,BM12_PME12,1981-04-01T00:00:00-03:00,1.15385090909091e-07
1981-05-01,1981,1,5,BM12_PME12,1981-05-01T00:00:00-03:00,1.18294181818182e-07
1981-06-01,1981,1,6,BM12_PME12,1981-06-01T00:00:00-03:00,1.19385090909091e-07
1981-07-01,1981,1,7,BM12_PME12,1981-07-01T00:00:00-03:00,1.33566909090909e-07
1981-08-01,1981,1,8,BM12_PME12,1981-08-01T00:00:00-03:00,1.38294181818182e-07
1981-09-01,1981,1,9,BM12_PME12,1981-09-01T00:00:00-03:00,1.42657818181818e-07
1981-10-01,1981,1,10,BM12_PME12,1981-10-01T00:00:00-03:00,1.58294181818182e-07
1981-11-01,1981,1,11,BM12_PME12,1981-11-01T00:00:00-03:00,1.71385090909091e-07
1981-12-01,1981,1,12,BM12_PME12,1981-12-01T00:00:00-02:00,2.09930545454545e-07
1982-01-01,1982,1,1,BM12_PME12,1982-01-01T00:00:00-02:00,2.08e-07
1982-02-01,1982,1,2,BM12_PME12,1982-02-01T00:00:00-02:00,2.12363636363636e-07
1982-03-01,1982,1,3,BM12_PME12,1982-03-01T00:00:00-03:00,2.06909090909091e-07
1982-04-01,1982,1,4,BM12_PME12,1982-04-01T00:00:00-03:00,2.13818181818182e-07
1982-05-01,1982,1,5,BM12_PME12,1982-05-01T00:00:00-03:00,2.14181818181818e-07
1982-06-01,1982,1,6,BM12_PME12,1982-06-01T00:00:00-03:00,2.47272727272727e-07
1982-07-01,1982,1,7,BM12_PME12,1982-07-01T00:00:00-03:00,2.61090909090909e-07
1982-08-01,1982,1,8,BM12_PME12,1982-08-01T00:00:00-03:00,2.64e-07
1982-09-01,1982,1,9,BM12_PME12,1982-09-01T00:00:00-03:00,2.80727272727273e-07
