DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1980-01-01,1980,1,1,BM12_PMEM12,1980-01-01T00:00:00-02:00,6.14545454545454e-08
1980-02-01,1980,1,2,BM12_PMEM12,1980-02-01T00:00:00-02:00,6.32727272727273e-08
1980-03-01,1980,1,3,BM12_PMEM12,1980-03-01T00:00:00-03:00,6.18181818181818e-08
1980-04-01,1980,1,4,BM12_PMEM12,1980-04-01T00:00:00-03:00,6.43636363636364e-08
1980-05-01,1980,1,5,BM12_PMEM12,1980-05-01T00:00:00-03:00,6.65454545454546e-08
1980-06-01,1980,1,6,BM12_PMEM12,1980-06-01T00:00:00-03:00,7.09090909090909e-08
1980-07-01,1980,1,7,BM12_PMEM12,1980-07-01T00:00:00-03:00,7.67272727272727e-08
1980-08-01,1980,1,8,BM12_PMEM12,1980-08-01T00:00:00-03:00,7.85454545454545e-08
1980-09-01,1980,1,9,BM12_PMEM12,1980-09-01T00:00:00-03:00,8.25454545454545e-08
1980-10-01,1980,1,10,BM12_PMEM12,1980-10-01T00:00:00-03:00,8.61818181818182e-08
1980-11-01,1980,1,11,BM12_PMEM12,1980-11-01T00:00:00-03:00,9.12727272727273e-08
1980-12-01,1980,1,12,BM12_PMEM12,1980-12-01T00:00:00-02:00,1.16e-07
1981-01-01,1981,1,1,BM12_PMEM12,1981-01-01T00:00:00-02:00,1.03636363636364e-07
1981-02-01,1981,1,2,BM12_PMEM12,1981-02-01T00:00:00-02:00,1.08e-07
1981-03-01,1981,1,3,BM12_PMEM12,1981-03-01T00:00:00-03:00,1.10181818181818e-07
1981-04-01,1981,1,4,BM12_PMEM12,1981-04-01T00:00:00-03:00,1.13818181818182e-07
1981-05-01,1981,1,5,BM12_PMEM12,1981-05-01T00:00:00-03:00,1.16727272727273e-07
1981-06-01,1981,1,6,BM12_PMEM12,1981-06-01T00:00:00-03:00,1.21818181818182e-07
1981-07-01,1981,1,7,BM12_PMEM12,1981-07-01T00:00:00-03:00,1.32727272727273e-07
1981-08-01,1981,1,8,BM12_PMEM12,1981-08-01T00:00:00-03:00,1.37818181818182e-07
1981-09-01,1981,1,9,BM12_PMEM12,1981-09-01T00:00:00-03:00,1.44e-07
1981-10-01,1981,1,10,BM12_PMEM12,1981-10-01T00:00:00-03:00,1.55272727272727e-07
1981-11-01,1981,1,11,BM12_PMEM12,1981-11-01T00:00:00-03:00,1.62909090909091e-07
1981-12-01,1981,1,12,BM12_PMEM12,1981-12-01T00:00:00-02:00,2.14181818181818e-07
1982-01-01,1982,1,1,BM12_PMEM12,1982-01-01T00:00:00-02:00,2.13818181818182e-07
1982-02-01,1982,1,2,BM12_PMEM12,1982-02-01T00:00:00-02:00,2.17454545454545e-07
1982-03-01,1982,1,3,BM12_PMEM12,1982-03-01T00:00:00-03:00,2.12363636363636e-07
1982-04-01,1982,1,4,BM12_PMEM12,1982-04-01T00:00:00-03:00,2.26181818181818e-07
1982-05-01,1982,1,5,BM12_PMEM12,1982-05-01T00:00:00-03:00,2.31272727272727e-07
1982-06-01,1982,1,6,BM12_PMEM12,1982-06-01T00:00:00-03:00,2.46909090909091e-07
1982-07-01,1982,1,7,BM12_PMEM12,1982-07-01T00:00:00-03:00,2.72727272727273e-07
1982-08-01,1982,1,8,BM12_PMEM12,1982-08-01T00:00:00-03:00,2.75636363636364e-07
1982-09-01,1982,1,9,BM12_PMEM12,1982-09-01T00:00:00-03:00,2.86181818181818e-07
1982-10-01,1982,1,10,BM12_PMEM12,1982-10-01T00:00:00-03:00,3.12e-07
1982-11-01,1982,1,11,BM12_PMEM12,1982-11-01T00:00:00-03:00,3.35272727272727e-07
1982-12-01,1982,1,12,BM12_PMEM12,1982-12-01T00:00:00-02:00,4.17090909090909e-07
1983-01-01,1983,1,1,BM12_PMEM12,1983-01-01T00:00:00-02:00,4.18545454545455e-07
1983-02-01,1983,1,2,BM12_PMEM12,1983-02-01T00:00:00-02:00,4.29454545454545e-07
1983-03-01,1983,1,3,BM12_PMEM12,1983-03-01T00:00:00-03:00,4.16e-07
1983-04-01,1983,1,4,BM12_PMEM12,1983-04-01T00:00:00-03:00,4.33090909090909e-07
1983-05-01,1983,1,5,BM12_PMEM12,1983-05-01T00:00:00-03:00,4.38545454545455e-07
1983-06-01,1983,1,6,BM12_PMEM12,1983-06-01T00:00:00-03:00,4.67272727272727e-07
1983-07-01,1983,1,7,BM12_PMEM12,1983-07-01T00:00:00-03:00,5.40727272727273e-07
1983-08-01,1983,1,8,BM12_PMEM12,1983-08-01T00:00:00-03:00,5.24e-07
1983-09-01,1983,1,9,BM12_PMEM12,1983-09-01T00:00:00-03:00,5.66909090909091e-07
1983-10-01,1983,1,10,BM12_PMEM12,1983-10-01T00:00:00-03:00,5.92727272727273e-07
1983-11-01,1983,1,11,BM12_PMEM12,1983-11-01T00:00:00-03:00,6.17090909090909e-07
1983-12-01,1983,1,12,BM12_PMEM12,1983-12-01T00:00:00-02:00,8.01454545454545e-07
1984-01-01,1984,1,1,BM12_PMEM12,1984-01-01T00:00:00-02:00,8.04e-07
1984-02-01,1984,1,2,BM12_PMEM12,1984-02-01T00:00:00-02:00,8.14181818181818e-07
1984-03-01,1984,1,3,BM12_PMEM12,1984-03-01T00:00:00-03:00,8.39636363636364e-07
1984-04-01,1984,1,4,BM12_PMEM12,1984-04-01T00:00:00-03:00,8.79636363636364e-07
1984-05-01,1984,1,5,BM12_PMEM12,1984-05-01T00:00:00-03:00,9.13818181818182e-07
1984-06-01,1984,1,6,BM12_PMEM12,1984-06-01T00:00:00-03:00,1.02545454545455e-06
1984-07-01,1984,1,7,BM12_PMEM12,1984-07-01T00:00:00-03:00,1.17927272727273e-06
1984-08-01,1984,1,8,BM12_PMEM12,1984-08-01T00:00:00-03:00,1.24727272727273e-06
1984-09-01,1984,1,9,BM12_PMEM12,1984-09-01T00:00:00-03:00,1.41454545454545e-06
1984-10-01,1984,1,10,BM12_PMEM12,1984-10-01T00:00:00-03:00,1.51309090909091e-06
1984-11-01,1984,1,11,BM12_PMEM12,1984-11-01T00:00:00-03:00,1.61309090909091e-06
1984-12-01,1984,1,12,BM12_PMEM12,1984-12-01T00:00:00-02:00,2.35381818181818e-06
1985-01-01,1985,1,1,BM12_PMEM12,1985-01-01T00:00:00-02:00,2.41090909090909e-06
1985-02-01,1985,1,2,BM12_PMEM12,1985-02-01T00:00:00-02:00,2.57090909090909e-06
1985-03-01,1985,1,3,BM12_PMEM12,1985-03-01T00:00:00-03:00,2.66654545454545e-06
1985-04-01,1985,1,4,BM12_PMEM12,1985-04-01T00:00:00-03:00,2.84109090909091e-06
1985-05-01,1985,1,5,BM12_PMEM12,1985-05-01T00:00:00-03:00,3.04836363636364e-06
1985-06-01,1985,1,6,BM12_PMEM12,1985-06-01T00:00:00-03:00,3.484e-06
1985-07-01,1985,1,7,BM12_PMEM12,1985-07-01T00:00:00-03:00,4.20472727272727e-06
1985-08-01,1985,1,8,BM12_PMEM12,1985-08-01T00:00:00-03:00,4.61018181818182e-06
1985-09-01,1985,1,9,BM12_PMEM12,1985-09-01T00:00:00-03:00,5.51781818181818e-06
1985-10-01,1985,1,10,BM12_PMEM12,1985-10-01T00:00:00-03:00,5.82e-06
1985-11-01,1985,1,11,BM12_PMEM12,1985-11-01T00:00:00-03:00,6.46872727272727e-06
1985-12-01,1985,1,12,BM12_PMEM12,1985-12-01T00:00:00-02:00,9.61309090909091e-06
1986-01-01,1986,1,1,BM12_PMEM12,1986-01-01T00:00:00-02:00,9.73054545454545e-06
1986-02-01,1986,1,2,BM12_PMEM12,1986-02-01T00:00:00-02:00,1.08334545454545e-05
1986-03-01,1986,1,3,BM12_PMEM12,1986-03-01T00:00:00-03:00,1.21207272727273e-05
1986-04-01,1986,1,4,BM12_PMEM12,1986-04-01T00:00:00-03:00,1.44810909090909e-05
1986-05-01,1986,1,5,BM12_PMEM12,1986-05-01T00:00:00-03:00,1.654e-05
1986-06-01,1986,1,6,BM12_PMEM12,1986-06-01T00:00:00-03:00,1.84298181818182e-05
1986-07-01,1986,1,7,BM12_PMEM12,1986-07-01T00:00:00-03:00,1.99930909090909e-05
1986-08-01,1986,1,8,BM12_PMEM12,1986-08-01T00:00:00-03:00,2.09927272727273e-05
1986-09-01,1986,1,9,BM12_PMEM12,1986-09-01T00:00:00-03:00,2.35123636363636e-05
1986-10-01,1986,1,10,BM12_PMEM12,1986-10-01T00:00:00-03:00,2.41105454545455e-05
1986-11-01,1986,1,11,BM12_PMEM12,1986-11-01T00:00:00-03:00,2.60098181818182e-05
1986-12-01,1986,1,12,BM12_PMEM12,1986-12-01T00:00:00-02:00,3.24821818181818e-05
1987-01-01,1987,1,1,BM12_PMEM12,1987-01-01T00:00:00-02:00,2.96581818181818e-05
1987-02-01,1987,1,2,BM12_PMEM12,1987-02-01T00:00:00-02:00,2.71672727272727e-05
1987-03-01,1987,1,3,BM12_PMEM12,1987-03-01T00:00:00-03:00,2.86614545454545e-05
1987-04-01,1987,1,4,BM12_PMEM12,1987-04-01T00:00:00-03:00,3.18054545454545e-05
1987-05-01,1987,1,5,BM12_PMEM12,1987-05-01T00:00:00-03:00,3.24476363636364e-05
1987-06-01,1987,1,6,BM12_PMEM12,1987-06-01T00:00:00-03:00,3.51334545454545e-05
1987-07-01,1987,1,7,BM12_PMEM12,1987-07-01T00:00:00-03:00,4.21152727272727e-05
1987-08-01,1987,1,8,BM12_PMEM12,1987-08-01T00:00:00-03:00,4.67098181818182e-05
1987-09-01,1987,1,9,BM12_PMEM12,1987-09-01T00:00:00-03:00,5.05807272727273e-05
1987-10-01,1987,1,10,BM12_PMEM12,1987-10-01T00:00:00-03:00,5.65698181818182e-05
1987-11-01,1987,1,11,BM12_PMEM12,1987-11-01T00:00:00-03:00,6.25585454545455e-05
1987-12-01,1987,1,12,BM12_PMEM12,1987-12-01T00:00:00-02:00,9.02509090909091e-05
