DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1980-01-01,1980,1,1,BM12_RBM12,1980-01-01T00:00:00-02:00,6.54545454545455e-08
1980-02-01,1980,1,2,BM12_RBM12,1980-02-01T00:00:00-02:00,5.81818181818182e-08
1980-03-01,1980,1,3,BM12_RBM12,1980-03-01T00:00:00-03:00,5.63636363636364e-08
1980-04-01,1980,1,4,BM12_RBM12,1980-04-01T00:00:00-03:00,6.36363636363636e-08
1980-05-01,1980,1,5,BM12_RBM12,1980-05-01T00:00:00-03:00,6.83636363636364e-08
1980-06-01,1980,1,6,BM12_RBM12,1980-06-01T00:00:00-03:00,7.45454545454545e-08
1980-07-01,1980,1,7,BM12_RBM12,1980-07-01T00:00:00-03:00,7.81818181818182e-08
1980-08-01,1980,1,8,BM12_RBM12,1980-08-01T00:00:00-03:00,8e-08
1980-09-01,1980,1,9,BM12_RBM12,1980-09-01T00:00:00-03:00,8.25454545454545e-08
1980-10-01,1980,1,10,BM12_RBM12,1980-10-01T00:00:00-03:00,8.58181818181818e-08
1980-11-01,1980,1,11,BM12_RBM12,1980-11-01T00:00:00-03:00,8.98181818181818e-08
1980-12-01,1980,1,12,BM12_RBM12,1980-12-01T00:00:00-02:00,9.92727272727273e-08
1981-01-01,1981,1,1,BM12_RBM12,1981-01-01T00:00:00-02:00,1.07272727272727e-07
1981-02-01,1981,1,2,BM12_RBM12,1981-02-01T00:00:00-02:00,1.06181818181818e-07
1981-03-01,1981,1,3,BM12_RBM12,1981-03-01T00:00:00-03:00,1.02181818181818e-07
1981-04-01,1981,1,4,BM12_RBM12,1981-04-01T00:00:00-03:00,1.01818181818182e-07
1981-05-01,1981,1,5,BM12_RBM12,1981-05-01T00:00:00-03:00,1.08727272727273e-07
1981-06-01,1981,1,6,BM12_RBM12,1981-06-01T00:00:00-03:00,1.16727272727273e-07
1981-07-01,1981,1,7,BM12_RBM12,1981-07-01T00:00:00-03:00,1.22181818181818e-07
1981-08-01,1981,1,8,BM12_RBM12,1981-08-01T00:00:00-03:00,1.30181818181818e-07
1981-09-01,1981,1,9,BM12_RBM12,1981-09-01T00:00:00-03:00,1.31272727272727e-07
1981-10-01,1981,1,10,BM12_RBM12,1981-10-01T00:00:00-03:00,1.40363636363636e-07
1981-11-01,1981,1,11,BM12_RBM12,1981-11-01T00:00:00-03:00,1.48363636363636e-07
1981-12-01,1981,1,12,BM12_RBM12,1981-12-01T00:00:00-02:00,1.70909090909091e-07
1982-01-01,1982,1,1,BM12_RBM12,1982-01-01T00:00:00-02:00,1.94909090909091e-07
1982-02-01,1982,1,2,BM12_RBM12,1982-02-01T00:00:00-02:00,2.17454545454545e-07
1982-03-01,1982,1,3,BM12_RBM12,1982-03-01T00:00:00-03:00,1.99636363636364e-07
1982-04-01,1982,1,4,BM12_RBM12,1982-04-01T00:00:00-03:00,2.02181818181818e-07
1982-05-01,1982,1,5,BM12_RBM12,1982-05-01T00:00:00-03:00,2.06909090909091e-07
1982-06-01,1982,1,6,BM12_RBM12,1982-06-01T00:00:00-03:00,2.24e-07
1982-07-01,1982,1,7,BM12_RBM12,1982-07-01T00:00:00-03:00,2.38545454545455e-07
1982-08-01,1982,1,8,BM12_RBM12,1982-08-01T00:00:00-03:00,2.54181818181818e-07
1982-09-01,1982,1,9,BM12_RBM12,1982-09-01T00:00:00-03:00,2.59636363636364e-07
1982-10-01,1982,1,10,BM12_RBM12,1982-10-01T00:00:00-03:00,2.76727272727273e-07
1982-11-01,1982,1,11,BM12_RBM12,1982-11-01T00:00:00-03:00,3.25090909090909e-07
1982-12-01,1982,1,12,BM12_RBM12,1982-12-01T00:00:00-02:00,3.47636363636364e-07
1983-01-01,1983,1,1,BM12_RBM12,1983-01-01T00:00:00-02:00,4.16727272727273e-07
1983-02-01,1983,1,2,BM12_RBM12,1983-02-01T00:00:00-02:00,4.09090909090909e-07
1983-03-01,1983,1,3,BM12_RBM12,1983-03-01T00:00:00-03:00,4.14909090909091e-07
1983-04-01,1983,1,4,BM12_RBM12,1983-04-01T00:00:00-03:00,4.07272727272727e-07
