DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1980-01-01,1980,1,1,BM12_REB12,1980-01-01T00:00:00-02:00,6.49145454545455e-08
1980-02-01,1980,1,2,BM12_REB12,1980-02-01T00:00:00-02:00,5.62290909090909e-08
1980-03-01,1980,1,3,BM12_REB12,1980-03-01T00:00:00-03:00,5.96814545454546e-08
1980-04-01,1980,1,4,BM12_REB12,1980-04-01T00:00:00-03:00,6.73272727272727e-08
1980-05-01,1980,1,5,BM12_REB12,1980-05-01T00:00:00-03:00,6.74287272727273e-08
1980-06-01,1980,1,6,BM12_REB12,1980-06-01T00:00:00-03:00,7.83370909090909e-08
1980-07-01,1980,1,7,BM12_REB12,1980-07-01T00:00:00-03:00,8.36658181818182e-08
1980-08-01,1980,1,8,BM12_REB12,1980-08-01T00:00:00-03:00,8.22930909090909e-08
1980-09-01,1980,1,9,BM12_REB12,1980-09-01T00:00:00-03:00,8.54058181818182e-08
1980-10-01,1980,1,10,BM12_REB12,1980-10-01T00:00:00-03:00,8.22574545454545e-08
1980-11-01,1980,1,11,BM12_REB12,1980-11-01T00:00:00-03:00,8.91829090909091e-08
1980-12-01,1980,1,12,BM12_REB12,1980-12-01T00:00:00-02:00,9.23796363636364e-08
1981-01-01,1981,1,1,BM12_REB12,1981-01-01T00:00:00-02:00,1.03266181818182e-07
1981-02-01,1981,1,2,BM12_REB12,1981-02-01T00:00:00-02:00,9.22589090909091e-08
1981-03-01,1981,1,3,BM12_REB12,1981-03-01T00:00:00-03:00,1.04880727272727e-07
1981-04-01,1981,1,4,BM12_REB12,1981-04-01T00:00:00-03:00,9.03607272727273e-08
1981-05-01,1981,1,5,BM12_REB12,1981-05-01T00:00:00-03:00,9.91050909090909e-08
1981-06-01,1981,1,6,BM12_REB12,1981-06-01T00:00:00-03:00,1.15594181818182e-07
1981-07-01,1981,1,7,BM12_REB12,1981-07-01T00:00:00-03:00,1.17014909090909e-07
1981-08-01,1981,1,8,BM12_REB12,1981-08-01T00:00:00-03:00,1.21464e-07
1981-09-01,1981,1,9,BM12_REB12,1981-09-01T00:00:00-03:00,1.26427272727273e-07
1981-10-01,1981,1,10,BM12_REB12,1981-10-01T00:00:00-03:00,1.20863636363636e-07
1981-11-01,1981,1,11,BM12_REB12,1981-11-01T00:00:00-03:00,1.42168363636364e-07
1981-12-01,1981,1,12,BM12_REB12,1981-12-01T00:00:00-02:00,1.42991272727273e-07
1982-01-01,1982,1,1,BM12_REB12,1982-01-01T00:00:00-02:00,1.81090909090909e-07
1982-02-01,1982,1,2,BM12_REB12,1982-02-01T00:00:00-02:00,1.64e-07
1982-03-01,1982,1,3,BM12_REB12,1982-03-01T00:00:00-03:00,1.89090909090909e-07
1982-04-01,1982,1,4,BM12_REB12,1982-04-01T00:00:00-03:00,1.68e-07
1982-05-01,1982,1,5,BM12_REB12,1982-05-01T00:00:00-03:00,1.93454545454545e-07
1982-06-01,1982,1,6,BM12_REB12,1982-06-01T00:00:00-03:00,1.96363636363636e-07
1982-07-01,1982,1,7,BM12_REB12,1982-07-01T00:00:00-03:00,2.10909090909091e-07
1982-08-01,1982,1,8,BM12_REB12,1982-08-01T00:00:00-03:00,2.21090909090909e-07
1982-09-01,1982,1,9,BM12_REB12,1982-09-01T00:00:00-03:00,2.12363636363636e-07
1982-10-01,1982,1,10,BM12_REB12,1982-10-01T00:00:00-03:00,2.43636363636364e-07
1982-11-01,1982,1,11,BM12_REB12,1982-11-01T00:00:00-03:00,2.74181818181818e-07
1982-12-01,1982,1,12,BM12_REB12,1982-12-01T00:00:00-02:00,3.02545454545455e-07
1983-01-01,1983,1,1,BM12_REB12,1983-01-01T00:00:00-02:00,3.48e-07
1983-02-01,1983,1,2,BM12_REB12,1983-02-01T00:00:00-02:00,3.82181818181818e-07
1983-03-01,1983,1,3,BM12_REB12,1983-03-01T00:00:00-03:00,3.58181818181818e-07
1983-04-01,1983,1,4,BM12_REB12,1983-04-01T00:00:00-03:00,3.48e-07
1983-05-01,1983,1,5,BM12_REB12,1983-05-01T00:00:00-03:00,4.03636363636364e-07
1983-06-01,1983,1,6,BM12_REB12,1983-06-01T00:00:00-03:00,3.69090909090909e-07
1983-07-01,1983,1,7,BM12_REB12,1983-07-01T00:00:00-03:00,5.09090909090909e-07
1983-08-01,1983,1,8,BM12_REB12,1983-08-01T00:00:00-03:00,3.73818181818182e-07
1983-09-01,1983,1,9,BM12_REB12,1983-09-01T00:00:00-03:00,4.19272727272727e-07
1983-10-01,1983,1,10,BM12_REB12,1983-10-01T00:00:00-03:00,4.27272727272727e-07
1983-11-01,1983,1,11,BM12_REB12,1983-11-01T00:00:00-03:00,5.24727272727273e-07
1983-12-01,1983,1,12,BM12_REB12,1983-12-01T00:00:00-02:00,5.26909090909091e-07
