DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE ((% a.m.))
1966-12-01,1966,1,12,BM12_RNDPO12,1966-12-01T00:00:00-02:00,9.073
1967-01-01,1967,1,1,BM12_RNDPO12,1967-01-01T00:00:00-02:00,7.626
1967-04-01,1967,1,4,BM12_RNDPO12,1967-04-01T00:00:00-03:00,7.808
1967-07-01,1967,1,7,BM12_RNDPO12,1967-07-01T00:00:00-03:00,6.117
1967-10-01,1967,1,10,BM12_RNDPO12,1967-10-01T00:00:00-03:00,5.543
1968-01-01,1968,1,1,BM12_RNDPO12,1968-01-01T00:00:00-02:00,6.276
1968-04-01,1968,1,4,BM12_RNDPO12,1968-04-01T00:00:00-03:00,9.154
1968-07-01,1968,1,7,BM12_RNDPO12,1968-07-01T00:00:00-03:00,7.126
1968-10-01,1968,1,10,BM12_RNDPO12,1968-10-01T00:00:00-03:00,6.678
1969-01-01,1969,1,1,BM12_RNDPO12,1969-01-01T00:00:00-02:00,6.622
1969-04-01,1969,1,4,BM12_RNDPO12,1969-04-01T00:00:00-03:00,5.722
1969-07-01,1969,1,7,BM12_RNDPO12,1969-07-01T00:00:00-03:00,3.86
1969-10-01,1969,1,10,BM12_RNDPO12,1969-10-01T00:00:00-03:00,7.643
1970-01-01,1970,1,1,BM12_RNDPO12,1970-01-01T00:00:00-02:00,7.025
1970-04-01,1970,1,4,BM12_RNDPO12,1970-04-01T00:00:00-03:00,4.942
1970-07-01,1970,1,7,BM12_RNDPO12,1970-07-01T00:00:00-03:00,4.563
1970-10-01,1970,1,10,BM12_RNDPO12,1970-10-01T00:00:00-03:00,7.6471
1971-01-01,1971,1,1,BM12_RNDPO12,1971-01-01T00:00:00-02:00,5.745
1971-04-01,1971,1,4,BM12_RNDPO12,1971-04-01T00:00:00-03:00,6.169
1971-07-01,1971,1,7,BM12_RNDPO12,1971-07-01T00:00:00-03:00,7.97
1971-10-01,1971,1,10,BM12_RNDPO12,1971-10-01T00:00:00-03:00,6.504
1972-01-01,1972,1,1,BM12_RNDPO12,1972-01-01T00:00:00-02:00,5.243
1972-04-01,1972,1,4,BM12_RNDPO12,1972-04-01T00:00:00-03:00,6.248
1972-07-01,1972,1,7,BM12_RNDPO12,1972-07-01T00:00:00-03:00,4.529
1972-10-01,1972,1,10,BM12_RNDPO12,1972-10-01T00:00:00-03:00,4.292
1973-01-01,1973,1,1,BM12_RNDPO12,1973-01-01T00:00:00-02:00,4.789
1973-04-01,1973,1,4,BM12_RNDPO12,1973-04-01T00:00:00-03:00,5.085
1973-07-01,1973,1,7,BM12_RNDPO12,1973-07-01T00:00:00-03:00,4.238
1973-10-01,1973,1,10,BM12_RNDPO12,1973-10-01T00:00:00-03:00,5.05
1974-01-01,1974,1,1,BM12_RNDPO12,1974-01-01T00:00:00-02:00,5.381
1974-04-01,1974,1,4,BM12_RNDPO12,1974-04-01T00:00:00-03:00,8.822
1974-07-01,1974,1,7,BM12_RNDPO12,1974-07-01T00:00:00-03:00,15.138
1974-10-01,1974,1,10,BM12_RNDPO12,1974-10-01T00:00:00-03:00,6.305
1975-01-01,1975,1,1,BM12_RNDPO12,1975-01-01T00:00:00-02:00,6.684
1975-04-01,1975,1,4,BM12_RNDPO12,1975-04-01T00:00:00-03:00,7.812
1975-07-01,1975,1,7,BM12_RNDPO12,1975-07-01T00:00:00-03:00,6.937
1975-10-01,1975,1,10,BM12_RNDPO12,1975-10-01T00:00:00-03:00,7.634
1976-01-01,1976,1,1,BM12_RNDPO12,1976-01-01T00:00:00-02:00,8.239
1976-04-01,1976,1,4,BM12_RNDPO12,1976-04-01T00:00:00-03:00,10.284
1976-07-01,1976,1,7,BM12_RNDPO12,1976-07-01T00:00:00-03:00,10.478
1976-10-01,1976,1,10,BM12_RNDPO12,1976-10-01T00:00:00-03:00,10.701
1977-01-01,1977,1,1,BM12_RNDPO12,1977-01-01T00:00:00-02:00,7.643
1977-04-01,1977,1,4,BM12_RNDPO12,1977-04-01T00:00:00-03:00,11.345
1977-07-01,1977,1,7,BM12_RNDPO12,1977-07-01T00:00:00-03:00,7.802
1977-10-01,1977,1,10,BM12_RNDPO12,1977-10-01T00:00:00-03:00,6.456
1978-01-01,1978,1,1,BM12_RNDPO12,1978-01-01T00:00:00-02:00,8.743
1978-04-01,1978,1,4,BM12_RNDPO12,1978-04-01T00:00:00-03:00,10.854
1978-07-01,1978,1,7,BM12_RNDPO12,1978-07-01T00:00:00-03:00,10.284
1978-10-01,1978,1,10,BM12_RNDPO12,1978-10-01T00:00:00-03:00,9.338
1979-01-01,1979,1,1,BM12_RNDPO12,1979-01-01T00:00:00-02:00,8.821
1979-04-01,1979,1,4,BM12_RNDPO12,1979-04-01T00:00:00-03:00,12.926
1979-07-01,1979,1,7,BM12_RNDPO12,1979-07-01T00:00:00-03:00,11.532
1979-10-01,1979,1,10,BM12_RNDPO12,1979-10-01T00:00:00-03:00,15.434
1980-01-01,1980,1,1,BM12_RNDPO12,1980-01-01T00:00:00-02:00,13.698
1980-04-01,1980,1,4,BM12_RNDPO12,1980-04-01T00:00:00-03:00,12.279
1980-07-01,1980,1,7,BM12_RNDPO12,1980-07-01T00:00:00-03:00,11.308
1980-10-01,1980,1,10,BM12_RNDPO12,1980-10-01T00:00:00-03:00,12.925
1981-01-01,1981,1,1,BM12_RNDPO12,1981-01-01T00:00:00-02:00,20.613
1981-04-01,1981,1,4,BM12_RNDPO12,1981-04-01T00:00:00-03:00,20.847
1981-07-01,1981,1,7,BM12_RNDPO12,1981-07-01T00:00:00-03:00,20.278
1981-10-01,1981,1,10,BM12_RNDPO12,1981-10-01T00:00:00-03:00,19.032
1982-01-01,1982,1,1,BM12_RNDPO12,1982-01-01T00:00:00-02:00,17.46
1982-04-01,1982,1,4,BM12_RNDPO12,1982-04-01T00:00:00-03:00,19.145
1982-07-01,1982,1,7,BM12_RNDPO12,1982-07-01T00:00:00-03:00,23.138
1982-10-01,1982,1,10,BM12_RNDPO12,1982-10-01T00:00:00-03:00,23.142
1983-01-01,1983,1,1,BM12_RNDPO12,1983-01-01T00:00:00-02:00,25.089
1983-04-01,1983,1,4,BM12_RNDPO12,1983-04-01T00:00:00-03:00,28.763
