DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1988-07-01,1988,1,7,BM12_TIPRINCN12,1988-07-01T00:00:00-03:00,0.00115722472727273
1988-08-01,1988,1,8,BM12_TIPRINCN12,1988-08-01T00:00:00-03:00,0.00143770909090909
1988-09-01,1988,1,9,BM12_TIPRINCN12,1988-09-01T00:00:00-03:00,0.00175194436363636
1988-10-01,1988,1,10,BM12_TIPRINCN12,1988-10-01T00:00:00-03:00,0.00218784690909091
1988-11-01,1988,1,11,BM12_TIPRINCN12,1988-11-01T00:00:00-03:00,0.002756832
1988-12-01,1988,1,12,BM12_TIPRINCN12,1988-12-01T00:00:00-02:00,0.00362097490909091
1989-01-01,1989,1,1,BM12_TIPRINCN12,1989-01-01T00:00:00-02:00,0.003351272727
1989-02-01,1989,1,2,BM12_TIPRINCN12,1989-02-01T00:00:00-02:00,0.00295490909090909
1989-03-01,1989,1,3,BM12_TIPRINCN12,1989-03-01T00:00:00-03:00,0.00301563636363636
1989-04-01,1989,1,4,BM12_TIPRINCN12,1989-04-01T00:00:00-03:00,0.00339236363636364
1989-05-01,1989,1,5,BM12_TIPRINCN12,1989-05-01T00:00:00-03:00,0.00465090909090909
1989-06-01,1989,1,6,BM12_TIPRINCN12,1989-06-01T00:00:00-03:00,0.00635672727272727
1989-07-01,1989,1,7,BM12_TIPRINCN12,1989-07-01T00:00:00-03:00,0.00752654545454546
1989-08-01,1989,1,8,BM12_TIPRINCN12,1989-08-01T00:00:00-03:00,0.0106087272727273
1989-09-01,1989,1,9,BM12_TIPRINCN12,1989-09-01T00:00:00-03:00,0.0144636363636364
1989-10-01,1989,1,10,BM12_TIPRINCN12,1989-10-01T00:00:00-03:00,0.0199945454545455
1989-11-01,1989,1,11,BM12_TIPRINCN12,1989-11-01T00:00:00-03:00,0.0298916363636364
1989-12-01,1989,1,12,BM12_TIPRINCN12,1989-12-01T00:00:00-02:00,0.0576370909090909
1990-01-01,1990,1,1,BM12_TIPRINCN12,1990-01-01T00:00:00-02:00,0.0878778181818182
1990-02-01,1990,1,2,BM12_TIPRINCN12,1990-02-01T00:00:00-02:00,0.125149454545455
1990-03-01,1990,1,3,BM12_TIPRINCN12,1990-03-01T00:00:00-03:00,0.0980807272727273
1990-04-01,1990,1,4,BM12_TIPRINCN12,1990-04-01T00:00:00-03:00,0.170345818181818
1990-05-01,1990,1,5,BM12_TIPRINCN12,1990-05-01T00:00:00-03:00,0.219093454545455
1990-06-01,1990,1,6,BM12_TIPRINCN12,1990-06-01T00:00:00-03:00,0.347916363636364
1990-07-01,1990,1,7,BM12_TIPRINCN12,1990-07-01T00:00:00-03:00,0.394833090909091
1990-08-01,1990,1,8,BM12_TIPRINCN12,1990-08-01T00:00:00-03:00,0.483246545454545
1990-09-01,1990,1,9,BM12_TIPRINCN12,1990-09-01T00:00:00-03:00,0.613205454545455
1990-10-01,1990,1,10,BM12_TIPRINCN12,1990-10-01T00:00:00-03:00,0.765682545454545
1990-11-01,1990,1,11,BM12_TIPRINCN12,1990-11-01T00:00:00-03:00,0.880285818181818
1990-12-01,1990,1,12,BM12_TIPRINCN12,1990-12-01T00:00:00-02:00,0.955218909090909
1991-01-01,1991,1,1,BM12_TIPRINCN12,1991-01-01T00:00:00-02:00,1.22236109090909
1991-02-01,1991,1,2,BM12_TIPRINCN12,1991-02-01T00:00:00-02:00,1.19553418181818
1991-03-01,1991,1,3,BM12_TIPRINCN12,1991-03-01T00:00:00-03:00,1.59415345454545
1991-04-01,1991,1,4,BM12_TIPRINCN12,1991-04-01T00:00:00-03:00,1.85550472727273
1991-05-01,1991,1,5,BM12_TIPRINCN12,1991-05-01T00:00:00-03:00,2.19318145454545
1991-06-01,1991,1,6,BM12_TIPRINCN12,1991-06-01T00:00:00-03:00,2.47762727272727
1991-07-01,1991,1,7,BM12_TIPRINCN12,1991-07-01T00:00:00-03:00,3.01006836363636
1991-08-01,1991,1,8,BM12_TIPRINCN12,1991-08-01T00:00:00-03:00,3.44906290909091
1991-09-01,1991,1,9,BM12_TIPRINCN12,1991-09-01T00:00:00-03:00,3.94492181818182
1991-10-01,1991,1,10,BM12_TIPRINCN12,1991-10-01T00:00:00-03:00,5.03541709090909
1991-11-01,1991,1,11,BM12_TIPRINCN12,1991-11-01T00:00:00-03:00,6.354824
1991-12-01,1991,1,12,BM12_TIPRINCN12,1991-12-01T00:00:00-02:00,7.57686581818182
1992-01-01,1992,1,1,BM12_TIPRINCN12,1992-01-01T00:00:00-02:00,10.5040454545455
1992-02-01,1992,1,2,BM12_TIPRINCN12,1992-02-01T00:00:00-02:00,13.7993414545455
1992-03-01,1992,1,3,BM12_TIPRINCN12,1992-03-01T00:00:00-03:00,18.4061567272727
1992-04-01,1992,1,4,BM12_TIPRINCN12,1992-04-01T00:00:00-03:00,22.3240429090909
1992-05-01,1992,1,5,BM12_TIPRINCN12,1992-05-01T00:00:00-03:00,29.860316
1992-06-01,1992,1,6,BM12_TIPRINCN12,1992-06-01T00:00:00-03:00,38.8633796363636
1992-07-01,1992,1,7,BM12_TIPRINCN12,1992-07-01T00:00:00-03:00,50.2215101818182
1992-08-01,1992,1,8,BM12_TIPRINCN12,1992-08-01T00:00:00-03:00,65.7415890909091
1992-09-01,1992,1,9,BM12_TIPRINCN12,1992-09-01T00:00:00-03:00,83.8990861818182
1992-10-01,1992,1,10,BM12_TIPRINCN12,1992-10-01T00:00:00-03:00,105.542346181818
1992-11-01,1992,1,11,BM12_TIPRINCN12,1992-11-01T00:00:00-03:00,130.507373454545
1992-12-01,1992,1,12,BM12_TIPRINCN12,1992-12-01T00:00:00-02:00,173.277842181818
1993-01-01,1993,1,1,BM12_TIPRINCN12,1993-01-01T00:00:00-02:00,232.032693818182
1993-02-01,1993,1,2,BM12_TIPRINCN12,1993-02-01T00:00:00-02:00,267.520383636364
1993-03-01,1993,1,3,BM12_TIPRINCN12,1993-03-01T00:00:00-03:00,356.564741818182
1993-04-01,1993,1,4,BM12_TIPRINCN12,1993-04-01T00:00:00-03:00,464.484990181818
1993-05-01,1993,1,5,BM12_TIPRINCN12,1993-05-01T00:00:00-03:00,593.677257454546
1993-06-01,1993,1,6,BM12_TIPRINCN12,1993-06-01T00:00:00-03:00,788.278837454545
1993-07-01,1993,1,7,BM12_TIPRINCN12,1993-07-01T00:00:00-03:00,1043.25879890909
1993-08-01,1993,1,8,BM12_TIPRINCN12,1993-08-01T00:00:00-03:00,1437.25781818182
1993-09-01,1993,1,9,BM12_TIPRINCN12,1993-09-01T00:00:00-03:00,1923.34327272727
1993-10-01,1993,1,10,BM12_TIPRINCN12,1993-10-01T00:00:00-03:00,2680.58509090909
1993-11-01,1993,1,11,BM12_TIPRINCN12,1993-11-01T00:00:00-03:00,3583.29709090909
1993-12-01,1993,1,12,BM12_TIPRINCN12,1993-12-01T00:00:00-02:00,5137.07454545455
1994-01-01,1994,1,1,BM12_TIPRINCN12,1994-01-01T00:00:00-02:00,7188.16290909091
1994-02-01,1994,1,2,BM12_TIPRINCN12,1994-02-01T00:00:00-02:00,9852.98436363636
1994-03-01,1994,1,3,BM12_TIPRINCN12,1994-03-01T00:00:00-03:00,14615.8552727273
1994-04-01,1994,1,4,BM12_TIPRINCN12,1994-04-01T00:00:00-03:00,20978.2574545455
1994-05-01,1994,1,5,BM12_TIPRINCN12,1994-05-01T00:00:00-03:00,31589.8389090909
1994-06-01,1994,1,6,BM12_TIPRINCN12,1994-06-01T00:00:00-03:00,45381.8261818182
1994-07-01,1994,1,7,BM12_TIPRINCN12,1994-07-01T00:00:00-03:00,44245.0
1994-08-01,1994,1,8,BM12_TIPRINCN12,1994-08-01T00:00:00-03:00,47867.0
1994-09-01,1994,1,9,BM12_TIPRINCN12,1994-09-01T00:00:00-03:00,49839.0
1994-10-01,1994,1,10,BM12_TIPRINCN12,1994-10-01T00:00:00-03:00,55156.0
1994-11-01,1994,1,11,BM12_TIPRINCN12,1994-11-01T00:00:00-03:00,58809.0
1994-12-01,1994,1,12,BM12_TIPRINCN12,1994-12-01T00:00:00-02:00,60577.0
1995-01-01,1995,1,1,BM12_TIPRINCN12,1995-01-01T00:00:00-02:00,71939.0
1995-02-01,1995,1,2,BM12_TIPRINCN12,1995-02-01T00:00:00-02:00,73860.0
1995-03-01,1995,1,3,BM12_TIPRINCN12,1995-03-01T00:00:00-03:00,77649.0
1995-04-01,1995,1,4,BM12_TIPRINCN12,1995-04-01T00:00:00-03:00,76501.0
1995-05-01,1995,1,5,BM12_TIPRINCN12,1995-05-01T00:00:00-03:00,74365.0
1995-06-01,1995,1,6,BM12_TIPRINCN12,1995-06-01T00:00:00-03:00,74319.0
1995-07-01,1995,1,7,BM12_TIPRINCN12,1995-07-01T00:00:00-03:00,76853.995065
1995-08-01,1995,1,8,BM12_TIPRINCN12,1995-08-01T00:00:00-03:00,82232.055491
1995-09-01,1995,1,9,BM12_TIPRINCN12,1995-09-01T00:00:00-03:00,85121.835591
1995-10-01,1995,1,10,BM12_TIPRINCN12,1995-10-01T00:00:00-03:00,86538.898068
1995-11-01,1995,1,11,BM12_TIPRINCN12,1995-11-01T00:00:00-03:00,87269.271942
1995-12-01,1995,1,12,BM12_TIPRINCN12,1995-12-01T00:00:00-02:00,85996.591638
1996-01-01,1996,1,1,BM12_TIPRINCN12,1996-01-01T00:00:00-02:00,86651.640003
1996-02-01,1996,1,2,BM12_TIPRINCN12,1996-02-01T00:00:00-02:00,86503.465187
1996-03-01,1996,1,3,BM12_TIPRINCN12,1996-03-01T00:00:00-03:00,87130.92759
1996-04-01,1996,1,4,BM12_TIPRINCN12,1996-04-01T00:00:00-03:00,85259.610343
1996-05-01,1996,1,5,BM12_TIPRINCN12,1996-05-01T00:00:00-03:00,84774.151233
1996-06-01,1996,1,6,BM12_TIPRINCN12,1996-06-01T00:00:00-03:00,85448.929486
1996-07-01,1996,1,7,BM12_TIPRINCN12,1996-07-01T00:00:00-03:00,85028.978868
1996-08-01,1996,1,8,BM12_TIPRINCN12,1996-08-01T00:00:00-03:00,85295.443195
1996-09-01,1996,1,9,BM12_TIPRINCN12,1996-09-01T00:00:00-03:00,87122.705777
1996-10-01,1996,1,10,BM12_TIPRINCN12,1996-10-01T00:00:00-03:00,90257.255386
1996-11-01,1996,1,11,BM12_TIPRINCN12,1996-11-01T00:00:00-03:00,90219.478978
1996-12-01,1996,1,12,BM12_TIPRINCN12,1996-12-01T00:00:00-02:00,86276.682531
1997-01-01,1997,1,1,BM12_TIPRINCN12,1997-01-01T00:00:00-02:00,79023.132217
1997-02-01,1997,1,2,BM12_TIPRINCN12,1997-02-01T00:00:00-02:00,77954.506077
1997-03-01,1997,1,3,BM12_TIPRINCN12,1997-03-01T00:00:00-03:00,78250.518895
1997-04-01,1997,1,4,BM12_TIPRINCN12,1997-04-01T00:00:00-03:00,78671.777663
