DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE ((% a.m.))
1974-01-01,1974,1,1,BM12_TJOVER12,1974-01-01T00:00:00-02:00,1.46
1974-02-01,1974,1,2,BM12_TJOVER12,1974-02-01T00:00:00-02:00,1.15
1974-03-01,1974,1,3,BM12_TJOVER12,1974-03-01T00:00:00-03:00,1.16
1974-04-01,1974,1,4,BM12_TJOVER12,1974-04-01T00:00:00-03:00,1.21
1974-05-01,1974,1,5,BM12_TJOVER12,1974-05-01T00:00:00-03:00,1.24
1974-06-01,1974,1,6,BM12_TJOVER12,1974-06-01T00:00:00-03:00,1.51
1974-07-01,1974,1,7,BM12_TJOVER12,1974-07-01T00:00:00-03:00,1.62
1974-08-01,1974,1,8,BM12_TJOVER12,1974-08-01T00:00:00-03:00,1.0
1974-09-01,1974,1,9,BM12_TJOVER12,1974-09-01T00:00:00-03:00,1.38
1974-10-01,1974,1,10,BM12_TJOVER12,1974-10-01T00:00:00-03:00,1.12
1974-11-01,1974,1,11,BM12_TJOVER12,1974-11-01T00:00:00-03:00,1.46
1974-12-01,1974,1,12,BM12_TJOVER12,1974-12-01T00:00:00-02:00,1.73
1975-01-01,1975,1,1,BM12_TJOVER12,1975-01-01T00:00:00-02:00,1.79
1975-02-01,1975,1,2,BM12_TJOVER12,1975-02-01T00:00:00-02:00,1.6
1975-03-01,1975,1,3,BM12_TJOVER12,1975-03-01T00:00:00-03:00,1.03
1975-04-01,1975,1,4,BM12_TJOVER12,1975-04-01T00:00:00-03:00,1.19
1975-05-01,1975,1,5,BM12_TJOVER12,1975-05-01T00:00:00-03:00,1.46
1975-06-01,1975,1,6,BM12_TJOVER12,1975-06-01T00:00:00-03:00,1.76
1975-07-01,1975,1,7,BM12_TJOVER12,1975-07-01T00:00:00-03:00,1.65
1975-08-01,1975,1,8,BM12_TJOVER12,1975-08-01T00:00:00-03:00,1.6
1975-09-01,1975,1,9,BM12_TJOVER12,1975-09-01T00:00:00-03:00,1.57
1975-10-01,1975,1,10,BM12_TJOVER12,1975-10-01T00:00:00-03:00,1.95
1975-11-01,1975,1,11,BM12_TJOVER12,1975-11-01T00:00:00-03:00,2.35
1975-12-01,1975,1,12,BM12_TJOVER12,1975-12-01T00:00:00-02:00,1.99
1976-01-01,1976,1,1,BM12_TJOVER12,1976-01-01T00:00:00-02:00,2.36
1976-02-01,1976,1,2,BM12_TJOVER12,1976-02-01T00:00:00-02:00,2.58
1976-03-01,1976,1,3,BM12_TJOVER12,1976-03-01T00:00:00-03:00,2.53
1976-04-01,1976,1,4,BM12_TJOVER12,1976-04-01T00:00:00-03:00,3.02
1976-05-01,1976,1,5,BM12_TJOVER12,1976-05-01T00:00:00-03:00,2.59
1976-06-01,1976,1,6,BM12_TJOVER12,1976-06-01T00:00:00-03:00,2.62
1976-07-01,1976,1,7,BM12_TJOVER12,1976-07-01T00:00:00-03:00,3.36
1976-08-01,1976,1,8,BM12_TJOVER12,1976-08-01T00:00:00-03:00,2.8
1976-09-01,1976,1,9,BM12_TJOVER12,1976-09-01T00:00:00-03:00,3.33
1976-10-01,1976,1,10,BM12_TJOVER12,1976-10-01T00:00:00-03:00,3.19
1976-11-01,1976,1,11,BM12_TJOVER12,1976-11-01T00:00:00-03:00,2.97
1976-12-01,1976,1,12,BM12_TJOVER12,1976-12-01T00:00:00-02:00,3.62
1977-01-01,1977,1,1,BM12_TJOVER12,1977-01-01T00:00:00-02:00,3.45
1977-02-01,1977,1,2,BM12_TJOVER12,1977-02-01T00:00:00-02:00,3.27
1977-03-01,1977,1,3,BM12_TJOVER12,1977-03-01T00:00:00-03:00,3.14
1977-04-01,1977,1,4,BM12_TJOVER12,1977-04-01T00:00:00-03:00,2.64
1977-05-01,1977,1,5,BM12_TJOVER12,1977-05-01T00:00:00-03:00,2.21
1977-06-01,1977,1,6,BM12_TJOVER12,1977-06-01T00:00:00-03:00,3.09
1977-07-01,1977,1,7,BM12_TJOVER12,1977-07-01T00:00:00-03:00,3.29
1977-08-01,1977,1,8,BM12_TJOVER12,1977-08-01T00:00:00-03:00,2.67
1977-09-01,1977,1,9,BM12_TJOVER12,1977-09-01T00:00:00-03:00,3.49
1977-10-01,1977,1,10,BM12_TJOVER12,1977-10-01T00:00:00-03:00,2.02
1977-11-01,1977,1,11,BM12_TJOVER12,1977-11-01T00:00:00-03:00,2.09
1977-12-01,1977,1,12,BM12_TJOVER12,1977-12-01T00:00:00-02:00,4.2
1978-01-01,1978,1,1,BM12_TJOVER12,1978-01-01T00:00:00-02:00,3.6
1978-02-01,1978,1,2,BM12_TJOVER12,1978-02-01T00:00:00-02:00,2.93
1978-03-01,1978,1,3,BM12_TJOVER12,1978-03-01T00:00:00-03:00,2.98
1978-04-01,1978,1,4,BM12_TJOVER12,1978-04-01T00:00:00-03:00,3.21
1978-05-01,1978,1,5,BM12_TJOVER12,1978-05-01T00:00:00-03:00,2.51
1978-06-01,1978,1,6,BM12_TJOVER12,1978-06-01T00:00:00-03:00,2.91
1978-07-01,1978,1,7,BM12_TJOVER12,1978-07-01T00:00:00-03:00,3.7
1978-08-01,1978,1,8,BM12_TJOVER12,1978-08-01T00:00:00-03:00,2.28
1978-09-01,1978,1,9,BM12_TJOVER12,1978-09-01T00:00:00-03:00,3.6
1978-10-01,1978,1,10,BM12_TJOVER12,1978-10-01T00:00:00-03:00,3.05
1978-11-01,1978,1,11,BM12_TJOVER12,1978-11-01T00:00:00-03:00,3.4
1978-12-01,1978,1,12,BM12_TJOVER12,1978-12-01T00:00:00-02:00,4.58
1979-01-01,1979,1,1,BM12_TJOVER12,1979-01-01T00:00:00-02:00,3.66
1979-02-01,1979,1,2,BM12_TJOVER12,1979-02-01T00:00:00-02:00,3.43
1979-03-01,1979,1,3,BM12_TJOVER12,1979-03-01T00:00:00-03:00,3.91
1979-04-01,1979,1,4,BM12_TJOVER12,1979-04-01T00:00:00-03:00,3.63
1979-05-01,1979,1,5,BM12_TJOVER12,1979-05-01T00:00:00-03:00,2.86
1979-06-01,1979,1,6,BM12_TJOVER12,1979-06-01T00:00:00-03:00,2.77
1979-07-01,1979,1,7,BM12_TJOVER12,1979-07-01T00:00:00-03:00,1.89
1979-08-01,1979,1,8,BM12_TJOVER12,1979-08-01T00:00:00-03:00,2.5
1979-09-01,1979,1,9,BM12_TJOVER12,1979-09-01T00:00:00-03:00,3.51
1979-10-01,1979,1,10,BM12_TJOVER12,1979-10-01T00:00:00-03:00,2.21
1979-11-01,1979,1,11,BM12_TJOVER12,1979-11-01T00:00:00-03:00,2.08
1979-12-01,1979,1,12,BM12_TJOVER12,1979-12-01T00:00:00-02:00,3.57
1980-01-01,1980,1,1,BM12_TJOVER12,1980-01-01T00:00:00-02:00,2.95
1980-02-01,1980,1,2,BM12_TJOVER12,1980-02-01T00:00:00-02:00,2.47
1980-03-01,1980,1,3,BM12_TJOVER12,1980-03-01T00:00:00-03:00,3.57
1980-04-01,1980,1,4,BM12_TJOVER12,1980-04-01T00:00:00-03:00,1.95
1980-05-01,1980,1,5,BM12_TJOVER12,1980-05-01T00:00:00-03:00,2.03
1980-06-01,1980,1,6,BM12_TJOVER12,1980-06-01T00:00:00-03:00,2.45
1980-07-01,1980,1,7,BM12_TJOVER12,1980-07-01T00:00:00-03:00,3.21
1980-08-01,1980,1,8,BM12_TJOVER12,1980-08-01T00:00:00-03:00,3.04
1980-09-01,1980,1,9,BM12_TJOVER12,1980-09-01T00:00:00-03:00,3.43
1980-10-01,1980,1,10,BM12_TJOVER12,1980-10-01T00:00:00-03:00,3.96
1980-11-01,1980,1,11,BM12_TJOVER12,1980-11-01T00:00:00-03:00,4.04
1980-12-01,1980,1,12,BM12_TJOVER12,1980-12-01T00:00:00-02:00,5.65
1981-01-01,1981,1,1,BM12_TJOVER12,1981-01-01T00:00:00-02:00,5.29
1981-02-01,1981,1,2,BM12_TJOVER12,1981-02-01T00:00:00-02:00,4.8
1981-03-01,1981,1,3,BM12_TJOVER12,1981-03-01T00:00:00-03:00,5.05
1981-04-01,1981,1,4,BM12_TJOVER12,1981-04-01T00:00:00-03:00,4.52
1981-05-01,1981,1,5,BM12_TJOVER12,1981-05-01T00:00:00-03:00,5.7
1981-06-01,1981,1,6,BM12_TJOVER12,1981-06-01T00:00:00-03:00,4.75
1981-07-01,1981,1,7,BM12_TJOVER12,1981-07-01T00:00:00-03:00,5.6
1981-08-01,1981,1,8,BM12_TJOVER12,1981-08-01T00:00:00-03:00,5.89
1981-09-01,1981,1,9,BM12_TJOVER12,1981-09-01T00:00:00-03:00,5.6
1981-10-01,1981,1,10,BM12_TJOVER12,1981-10-01T00:00:00-03:00,6.02
1981-11-01,1981,1,11,BM12_TJOVER12,1981-11-01T00:00:00-03:00,5.5
1981-12-01,1981,1,12,BM12_TJOVER12,1981-12-01T00:00:00-02:00,6.83
