DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE ((%))
2000-01-01,2000,1,1,BM12_TPFMA12,2000-01-01T00:00:00-02:00,1.51
2000-02-01,2000,1,2,BM12_TPFMA12,2000-02-01T00:00:00-02:00,0.89
2000-03-01,2000,1,3,BM12_TPFMA12,2000-03-01T00:00:00-03:00,0.0
2000-04-01,2000,1,4,BM12_TPFMA12,2000-04-01T00:00:00-03:00,-0.69
2000-05-01,2000,1,5,BM12_TPFMA12,2000-05-01T00:00:00-03:00,0.61
2000-06-01,2000,1,6,BM12_TPFMA12,2000-06-01T00:00:00-03:00,0.86
2000-07-01,2000,1,7,BM12_TPFMA12,2000-07-01T00:00:00-03:00,0.54
2000-08-01,2000,1,8,BM12_TPFMA12,2000-08-01T00:00:00-03:00,0.7
2000-09-01,2000,1,9,BM12_TPFMA12,2000-09-01T00:00:00-03:00,0.09
2000-10-01,2000,1,10,BM12_TPFMA12,2000-10-01T00:00:00-03:00,0.73
2000-11-01,2000,1,11,BM12_TPFMA12,2000-11-01T00:00:00-03:00,0.75
2000-12-01,2000,1,12,BM12_TPFMA12,2000-12-01T00:00:00-02:00,-0.79
2001-01-01,2001,1,1,BM12_TPFMA12,2001-01-01T00:00:00-02:00,2.13
2001-02-01,2001,1,2,BM12_TPFMA12,2001-02-01T00:00:00-02:00,0.94
2001-03-01,2001,1,3,BM12_TPFMA12,2001-03-01T00:00:00-03:00,0.44
2001-04-01,2001,1,4,BM12_TPFMA12,2001-04-01T00:00:00-03:00,-0.59
2001-05-01,2001,1,5,BM12_TPFMA12,2001-05-01T00:00:00-03:00,0.04
2001-06-01,2001,1,6,BM12_TPFMA12,2001-06-01T00:00:00-03:00,-1.47
2001-07-01,2001,1,7,BM12_TPFMA12,2001-07-01T00:00:00-03:00,0.53
2001-08-01,2001,1,8,BM12_TPFMA12,2001-08-01T00:00:00-03:00,0.06
2001-09-01,2001,1,9,BM12_TPFMA12,2001-09-01T00:00:00-03:00,-2.85
2001-10-01,2001,1,10,BM12_TPFMA12,2001-10-01T00:00:00-03:00,-2.9
2001-11-01,2001,1,11,BM12_TPFMA12,2001-11-01T00:00:00-03:00,-3.66
2001-12-01,2001,1,12,BM12_TPFMA12,2001-12-01T00:00:00-02:00,-3.08
2002-01-01,2002,1,1,BM12_TPFMA12,2002-01-01T00:00:00-02:00,-1.61
2002-02-01,2002,1,2,BM12_TPFMA12,2002-02-01T00:00:00-02:00,-0.87
2002-03-01,2002,1,3,BM12_TPFMA12,2002-03-01T00:00:00-03:00,0.3
2002-04-01,2002,1,4,BM12_TPFMA12,2002-04-01T00:00:00-03:00,0.83
2002-05-01,2002,1,5,BM12_TPFMA12,2002-05-01T00:00:00-03:00,1.37
2002-06-01,2002,1,6,BM12_TPFMA12,2002-06-01T00:00:00-03:00,3.11
2002-07-01,2002,1,7,BM12_TPFMA12,2002-07-01T00:00:00-03:00,3.53
2002-08-01,2002,1,8,BM12_TPFMA12,2002-08-01T00:00:00-03:00,6.46
2002-09-01,2002,1,9,BM12_TPFMA12,2002-09-01T00:00:00-03:00,7.13
2002-10-01,2002,1,10,BM12_TPFMA12,2002-10-01T00:00:00-03:00,7.96
2002-11-01,2002,1,11,BM12_TPFMA12,2002-11-01T00:00:00-03:00,8.89
2002-12-01,2002,1,12,BM12_TPFMA12,2002-12-01T00:00:00-02:00,9.33
2003-01-01,2003,1,1,BM12_TPFMA12,2003-01-01T00:00:00-02:00,11.25
2003-02-01,2003,1,2,BM12_TPFMA12,2003-02-01T00:00:00-02:00,10.52
2003-03-01,2003,1,3,BM12_TPFMA12,2003-03-01T00:00:00-03:00,9.93
2003-04-01,2003,1,4,BM12_TPFMA12,2003-04-01T00:00:00-03:00,7.49
2003-05-01,2003,1,5,BM12_TPFMA12,2003-05-01T00:00:00-03:00,6.86
2003-06-01,2003,1,6,BM12_TPFMA12,2003-06-01T00:00:00-03:00,6.74
2003-07-01,2003,1,7,BM12_TPFMA12,2003-07-01T00:00:00-03:00,6.17
2003-08-01,2003,1,8,BM12_TPFMA12,2003-08-01T00:00:00-03:00,7.64
2003-09-01,2003,1,9,BM12_TPFMA12,2003-09-01T00:00:00-03:00,7.69
2003-10-01,2003,1,10,BM12_TPFMA12,2003-10-01T00:00:00-03:00,7.09
2003-11-01,2003,1,11,BM12_TPFMA12,2003-11-01T00:00:00-03:00,7.03
2003-12-01,2003,1,12,BM12_TPFMA12,2003-12-01T00:00:00-02:00,7.07
2004-01-01,2004,1,1,BM12_TPFMA12,2004-01-01T00:00:00-02:00,9.36
2004-02-01,2004,1,2,BM12_TPFMA12,2004-02-01T00:00:00-02:00,8.89
2004-03-01,2004,1,3,BM12_TPFMA12,2004-03-01T00:00:00-03:00,8.01
2004-04-01,2004,1,4,BM12_TPFMA12,2004-04-01T00:00:00-03:00,7.05
2004-05-01,2004,1,5,BM12_TPFMA12,2004-05-01T00:00:00-03:00,10.24
2004-06-01,2004,1,6,BM12_TPFMA12,2004-06-01T00:00:00-03:00,9.45
2004-07-01,2004,1,7,BM12_TPFMA12,2004-07-01T00:00:00-03:00,9.49
2004-08-01,2004,1,8,BM12_TPFMA12,2004-08-01T00:00:00-03:00,9.43
2004-09-01,2004,1,9,BM12_TPFMA12,2004-09-01T00:00:00-03:00,8.76
2004-10-01,2004,1,10,BM12_TPFMA12,2004-10-01T00:00:00-03:00,8.66
2004-11-01,2004,1,11,BM12_TPFMA12,2004-11-01T00:00:00-03:00,7.87
2004-12-01,2004,1,12,BM12_TPFMA12,2004-12-01T00:00:00-02:00,5.51
2005-01-01,2005,1,1,BM12_TPFMA12,2005-01-01T00:00:00-02:00,6.43
2005-02-01,2005,1,2,BM12_TPFMA12,2005-02-01T00:00:00-02:00,6.11
2005-03-01,2005,1,3,BM12_TPFMA12,2005-03-01T00:00:00-03:00,4.98
2005-04-01,2005,1,4,BM12_TPFMA12,2005-04-01T00:00:00-03:00,4.89
2005-05-01,2005,1,5,BM12_TPFMA12,2005-05-01T00:00:00-03:00,3.97
2005-06-01,2005,1,6,BM12_TPFMA12,2005-06-01T00:00:00-03:00,3.54
2005-07-01,2005,1,7,BM12_TPFMA12,2005-07-01T00:00:00-03:00,3.74
2005-08-01,2005,1,8,BM12_TPFMA12,2005-08-01T00:00:00-03:00,4.54
2005-09-01,2005,1,9,BM12_TPFMA12,2005-09-01T00:00:00-03:00,4.28
2005-10-01,2005,1,10,BM12_TPFMA12,2005-10-01T00:00:00-03:00,5.28
2005-11-01,2005,1,11,BM12_TPFMA12,2005-11-01T00:00:00-02:00,3.78
2005-12-01,2005,1,12,BM12_TPFMA12,2005-12-01T00:00:00-02:00,2.28
2006-01-01,2006,1,1,BM12_TPFMA12,2006-01-01T00:00:00-02:00,5.49
2006-02-01,2006,1,2,BM12_TPFMA12,2006-02-01T00:00:00-02:00,3.73
2006-03-01,2006,1,3,BM12_TPFMA12,2006-03-01T00:00:00-03:00,4.31
2006-04-01,2006,1,4,BM12_TPFMA12,2006-04-01T00:00:00-03:00,6.67
2006-05-01,2006,1,5,BM12_TPFMA12,2006-05-01T00:00:00-03:00,8.21
2006-06-01,2006,1,6,BM12_TPFMA12,2006-06-01T00:00:00-03:00,6.45
2006-07-01,2006,1,7,BM12_TPFMA12,2006-07-01T00:00:00-03:00,8.63
2006-08-01,2006,1,8,BM12_TPFMA12,2006-08-01T00:00:00-03:00,7.02
2006-09-01,2006,1,9,BM12_TPFMA12,2006-09-01T00:00:00-03:00,6.34
2006-10-01,2006,1,10,BM12_TPFMA12,2006-10-01T00:00:00-03:00,7.54
2006-11-01,2006,1,11,BM12_TPFMA12,2006-11-01T00:00:00-03:00,6.29
2006-12-01,2006,1,12,BM12_TPFMA12,2006-12-01T00:00:00-02:00,5.2
2007-01-01,2007,1,1,BM12_TPFMA12,2007-01-01T00:00:00-02:00,8.4
2007-02-01,2007,1,2,BM12_TPFMA12,2007-02-01T00:00:00-02:00,8.07
2007-03-01,2007,1,3,BM12_TPFMA12,2007-03-01T00:00:00-03:00,8.48
2007-04-01,2007,1,4,BM12_TPFMA12,2007-04-01T00:00:00-03:00,9.13
2007-05-01,2007,1,5,BM12_TPFMA12,2007-05-01T00:00:00-03:00,10.51
2007-06-01,2007,1,6,BM12_TPFMA12,2007-06-01T00:00:00-03:00,10.24
2007-07-01,2007,1,7,BM12_TPFMA12,2007-07-01T00:00:00-03:00,13.98
2007-08-01,2007,1,8,BM12_TPFMA12,2007-08-01T00:00:00-03:00,13.44
