DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE ((%))
2000-01-01,2000,1,1,BM12_TPFPREMA12,2000-01-01T00:00:00-02:00,10.07
2000-02-01,2000,1,2,BM12_TPFPREMA12,2000-02-01T00:00:00-02:00,11.1
2000-03-01,2000,1,3,BM12_TPFPREMA12,2000-03-01T00:00:00-03:00,13.17
2000-04-01,2000,1,4,BM12_TPFPREMA12,2000-04-01T00:00:00-03:00,13.77
2000-05-01,2000,1,5,BM12_TPFPREMA12,2000-05-01T00:00:00-03:00,12.5
2000-06-01,2000,1,6,BM12_TPFPREMA12,2000-06-01T00:00:00-03:00,13.19
2000-07-01,2000,1,7,BM12_TPFPREMA12,2000-07-01T00:00:00-03:00,13.78
2000-08-01,2000,1,8,BM12_TPFPREMA12,2000-08-01T00:00:00-03:00,14.59
2000-09-01,2000,1,9,BM12_TPFPREMA12,2000-09-01T00:00:00-03:00,15.39
2000-10-01,2000,1,10,BM12_TPFPREMA12,2000-10-01T00:00:00-03:00,15.58
2000-11-01,2000,1,11,BM12_TPFPREMA12,2000-11-01T00:00:00-03:00,14.59
2000-12-01,2000,1,12,BM12_TPFPREMA12,2000-12-01T00:00:00-02:00,14.88
2001-01-01,2001,1,1,BM12_TPFPREMA12,2001-01-01T00:00:00-02:00,14.14
2001-02-01,2001,1,2,BM12_TPFPREMA12,2001-02-01T00:00:00-02:00,13.73
2001-03-01,2001,1,3,BM12_TPFPREMA12,2001-03-01T00:00:00-03:00,14.01
2001-04-01,2001,1,4,BM12_TPFPREMA12,2001-04-01T00:00:00-03:00,12.47
2001-05-01,2001,1,5,BM12_TPFPREMA12,2001-05-01T00:00:00-03:00,11.39
2001-06-01,2001,1,6,BM12_TPFPREMA12,2001-06-01T00:00:00-03:00,10.99
2001-07-01,2001,1,7,BM12_TPFPREMA12,2001-07-01T00:00:00-03:00,10.1
2001-08-01,2001,1,8,BM12_TPFPREMA12,2001-08-01T00:00:00-03:00,9.58
2001-09-01,2001,1,9,BM12_TPFPREMA12,2001-09-01T00:00:00-03:00,9.35
2001-10-01,2001,1,10,BM12_TPFPREMA12,2001-10-01T00:00:00-03:00,8.54
2001-11-01,2001,1,11,BM12_TPFPREMA12,2001-11-01T00:00:00-03:00,8.46
2001-12-01,2001,1,12,BM12_TPFPREMA12,2001-12-01T00:00:00-02:00,8.06
2002-01-01,2002,1,1,BM12_TPFPREMA12,2002-01-01T00:00:00-02:00,7.69
2002-02-01,2002,1,2,BM12_TPFPREMA12,2002-02-01T00:00:00-02:00,7.59
2002-03-01,2002,1,3,BM12_TPFPREMA12,2002-03-01T00:00:00-03:00,9.07
2002-04-01,2002,1,4,BM12_TPFPREMA12,2002-04-01T00:00:00-03:00,9.71
2002-05-01,2002,1,5,BM12_TPFPREMA12,2002-05-01T00:00:00-03:00,9.43
2002-06-01,2002,1,6,BM12_TPFPREMA12,2002-06-01T00:00:00-03:00,8.35
2002-07-01,2002,1,7,BM12_TPFPREMA12,2002-07-01T00:00:00-03:00,7.42
2002-08-01,2002,1,8,BM12_TPFPREMA12,2002-08-01T00:00:00-03:00,7.26
2002-09-01,2002,1,9,BM12_TPFPREMA12,2002-09-01T00:00:00-03:00,6.09
2002-10-01,2002,1,10,BM12_TPFPREMA12,2002-10-01T00:00:00-03:00,5.98
2002-11-01,2002,1,11,BM12_TPFPREMA12,2002-11-01T00:00:00-03:00,4.03
2002-12-01,2002,1,12,BM12_TPFPREMA12,2002-12-01T00:00:00-02:00,1.98
2003-01-01,2003,1,1,BM12_TPFPREMA12,2003-01-01T00:00:00-02:00,1.69
2003-02-01,2003,1,2,BM12_TPFPREMA12,2003-02-01T00:00:00-02:00,1.77
2003-03-01,2003,1,3,BM12_TPFPREMA12,2003-03-01T00:00:00-03:00,2.17
2003-04-01,2003,1,4,BM12_TPFPREMA12,2003-04-01T00:00:00-03:00,1.77
2003-05-01,2003,1,5,BM12_TPFPREMA12,2003-05-01T00:00:00-03:00,3.04
2003-06-01,2003,1,6,BM12_TPFPREMA12,2003-06-01T00:00:00-03:00,4.18
2003-07-01,2003,1,7,BM12_TPFPREMA12,2003-07-01T00:00:00-03:00,5.92
2003-08-01,2003,1,8,BM12_TPFPREMA12,2003-08-01T00:00:00-03:00,6.85
2003-09-01,2003,1,9,BM12_TPFPREMA12,2003-09-01T00:00:00-03:00,8.35
2003-10-01,2003,1,10,BM12_TPFPREMA12,2003-10-01T00:00:00-03:00,9.19
2003-11-01,2003,1,11,BM12_TPFPREMA12,2003-11-01T00:00:00-03:00,10.48
2003-12-01,2003,1,12,BM12_TPFPREMA12,2003-12-01T00:00:00-02:00,11.62
2004-01-01,2004,1,1,BM12_TPFPREMA12,2004-01-01T00:00:00-02:00,11.4
2004-02-01,2004,1,2,BM12_TPFPREMA12,2004-02-01T00:00:00-02:00,12.38
2004-03-01,2004,1,3,BM12_TPFPREMA12,2004-03-01T00:00:00-03:00,14.17
2004-04-01,2004,1,4,BM12_TPFPREMA12,2004-04-01T00:00:00-03:00,14.68
2004-05-01,2004,1,5,BM12_TPFPREMA12,2004-05-01T00:00:00-03:00,14.7
2004-06-01,2004,1,6,BM12_TPFPREMA12,2004-06-01T00:00:00-03:00,15.23
2004-07-01,2004,1,7,BM12_TPFPREMA12,2004-07-01T00:00:00-03:00,13.7
2004-08-01,2004,1,8,BM12_TPFPREMA12,2004-08-01T00:00:00-03:00,15.08
2004-09-01,2004,1,9,BM12_TPFPREMA12,2004-09-01T00:00:00-03:00,15.93
2004-10-01,2004,1,10,BM12_TPFPREMA12,2004-10-01T00:00:00-03:00,15.9
2004-11-01,2004,1,11,BM12_TPFPREMA12,2004-11-01T00:00:00-03:00,17.24
2004-12-01,2004,1,12,BM12_TPFPREMA12,2004-12-01T00:00:00-02:00,18.98
2005-01-01,2005,1,1,BM12_TPFPREMA12,2005-01-01T00:00:00-02:00,17.51
2005-02-01,2005,1,2,BM12_TPFPREMA12,2005-02-01T00:00:00-02:00,19.18
2005-03-01,2005,1,3,BM12_TPFPREMA12,2005-03-01T00:00:00-03:00,20.45
2005-04-01,2005,1,4,BM12_TPFPREMA12,2005-04-01T00:00:00-03:00,19.26
2005-05-01,2005,1,5,BM12_TPFPREMA12,2005-05-01T00:00:00-03:00,21.18
2005-06-01,2005,1,6,BM12_TPFPREMA12,2005-06-01T00:00:00-03:00,22.14
2005-07-01,2005,1,7,BM12_TPFPREMA12,2005-07-01T00:00:00-03:00,21.54
2005-08-01,2005,1,8,BM12_TPFPREMA12,2005-08-01T00:00:00-03:00,22.79
2005-09-01,2005,1,9,BM12_TPFPREMA12,2005-09-01T00:00:00-03:00,24.66
2005-10-01,2005,1,10,BM12_TPFPREMA12,2005-10-01T00:00:00-03:00,23.18
2005-11-01,2005,1,11,BM12_TPFPREMA12,2005-11-01T00:00:00-02:00,25.86
2005-12-01,2005,1,12,BM12_TPFPREMA12,2005-12-01T00:00:00-02:00,27.22
2006-01-01,2006,1,1,BM12_TPFPREMA12,2006-01-01T00:00:00-02:00,25.24
2006-02-01,2006,1,2,BM12_TPFPREMA12,2006-02-01T00:00:00-02:00,26.84
2006-03-01,2006,1,3,BM12_TPFPREMA12,2006-03-01T00:00:00-03:00,27.51
2006-04-01,2006,1,4,BM12_TPFPREMA12,2006-04-01T00:00:00-03:00,25.77
2006-05-01,2006,1,5,BM12_TPFPREMA12,2006-05-01T00:00:00-03:00,27.12
2006-06-01,2006,1,6,BM12_TPFPREMA12,2006-06-01T00:00:00-03:00,29.42
2006-07-01,2006,1,7,BM12_TPFPREMA12,2006-07-01T00:00:00-03:00,27.74
2006-08-01,2006,1,8,BM12_TPFPREMA12,2006-08-01T00:00:00-03:00,29.28
2006-09-01,2006,1,9,BM12_TPFPREMA12,2006-09-01T00:00:00-03:00,30.75
2006-10-01,2006,1,10,BM12_TPFPREMA12,2006-10-01T00:00:00-03:00,30.37
2006-11-01,2006,1,11,BM12_TPFPREMA12,2006-11-01T00:00:00-03:00,32.95
