DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE ((%))
2000-01-01,2000,1,1,BM12_TPFTRMA12,2000-01-01T00:00:00-02:00,2.93
2000-02-01,2000,1,2,BM12_TPFTRMA12,2000-02-01T00:00:00-02:00,2.94
2000-03-01,2000,1,3,BM12_TPFTRMA12,2000-03-01T00:00:00-03:00,2.93
2000-04-01,2000,1,4,BM12_TPFTRMA12,2000-04-01T00:00:00-03:00,5.6
2000-05-01,2000,1,5,BM12_TPFTRMA12,2000-05-01T00:00:00-03:00,5.41
2000-06-01,2000,1,6,BM12_TPFTRMA12,2000-06-01T00:00:00-03:00,5.32
2000-07-01,2000,1,7,BM12_TPFTRMA12,2000-07-01T00:00:00-03:00,5.29
2000-08-01,2000,1,8,BM12_TPFTRMA12,2000-08-01T00:00:00-03:00,4.99
2000-09-01,2000,1,9,BM12_TPFTRMA12,2000-09-01T00:00:00-03:00,4.96
2000-10-01,2000,1,10,BM12_TPFTRMA12,2000-10-01T00:00:00-03:00,4.69
2000-11-01,2000,1,11,BM12_TPFTRMA12,2000-11-01T00:00:00-03:00,4.7
2000-12-01,2000,1,12,BM12_TPFTRMA12,2000-12-01T00:00:00-02:00,4.74
2001-01-01,2001,1,1,BM12_TPFTRMA12,2001-01-01T00:00:00-02:00,4.61
2001-02-01,2001,1,2,BM12_TPFTRMA12,2001-02-01T00:00:00-02:00,4.63
2001-03-01,2001,1,3,BM12_TPFTRMA12,2001-03-01T00:00:00-03:00,4.52
2001-04-01,2001,1,4,BM12_TPFTRMA12,2001-04-01T00:00:00-03:00,4.93
2001-05-01,2001,1,5,BM12_TPFTRMA12,2001-05-01T00:00:00-03:00,4.88
2001-06-01,2001,1,6,BM12_TPFTRMA12,2001-06-01T00:00:00-03:00,5.02
2001-07-01,2001,1,7,BM12_TPFTRMA12,2001-07-01T00:00:00-03:00,3.81
2001-08-01,2001,1,8,BM12_TPFTRMA12,2001-08-01T00:00:00-03:00,3.72
2001-09-01,2001,1,9,BM12_TPFTRMA12,2001-09-01T00:00:00-03:00,3.66
2001-10-01,2001,1,10,BM12_TPFTRMA12,2001-10-01T00:00:00-03:00,3.46
2001-11-01,2001,1,11,BM12_TPFTRMA12,2001-11-01T00:00:00-03:00,3.56
2001-12-01,2001,1,12,BM12_TPFTRMA12,2001-12-01T00:00:00-02:00,3.89
2002-01-01,2002,1,1,BM12_TPFTRMA12,2002-01-01T00:00:00-02:00,2.39
2002-02-01,2002,1,2,BM12_TPFTRMA12,2002-02-01T00:00:00-02:00,2.49
2002-03-01,2002,1,3,BM12_TPFTRMA12,2002-03-01T00:00:00-03:00,2.4
2002-04-01,2002,1,4,BM12_TPFTRMA12,2002-04-01T00:00:00-03:00,2.37
2002-05-01,2002,1,5,BM12_TPFTRMA12,2002-05-01T00:00:00-03:00,2.26
2002-06-01,2002,1,6,BM12_TPFTRMA12,2002-06-01T00:00:00-03:00,2.17
2002-07-01,2002,1,7,BM12_TPFTRMA12,2002-07-01T00:00:00-03:00,1.76
2002-08-01,2002,1,8,BM12_TPFTRMA12,2002-08-01T00:00:00-03:00,1.86
2002-09-01,2002,1,9,BM12_TPFTRMA12,2002-09-01T00:00:00-03:00,1.77
2002-10-01,2002,1,10,BM12_TPFTRMA12,2002-10-01T00:00:00-03:00,1.82
2002-11-01,2002,1,11,BM12_TPFTRMA12,2002-11-01T00:00:00-03:00,1.81
2002-12-01,2002,1,12,BM12_TPFTRMA12,2002-12-01T00:00:00-02:00,1.86
2003-01-01,2003,1,1,BM12_TPFTRMA12,2003-01-01T00:00:00-02:00,1.79
2003-02-01,2003,1,2,BM12_TPFTRMA12,2003-02-01T00:00:00-02:00,1.79
2003-03-01,2003,1,3,BM12_TPFTRMA12,2003-03-01T00:00:00-03:00,1.8
2003-04-01,2003,1,4,BM12_TPFTRMA12,2003-04-01T00:00:00-03:00,1.88
2003-05-01,2003,1,5,BM12_TPFTRMA12,2003-05-01T00:00:00-03:00,1.88
2003-06-01,2003,1,6,BM12_TPFTRMA12,2003-06-01T00:00:00-03:00,1.87
2003-07-01,2003,1,7,BM12_TPFTRMA12,2003-07-01T00:00:00-03:00,1.84
2003-08-01,2003,1,8,BM12_TPFTRMA12,2003-08-01T00:00:00-03:00,1.71
2003-09-01,2003,1,9,BM12_TPFTRMA12,2003-09-01T00:00:00-03:00,1.69
2003-10-01,2003,1,10,BM12_TPFTRMA12,2003-10-01T00:00:00-03:00,1.64
2003-11-01,2003,1,11,BM12_TPFTRMA12,2003-11-01T00:00:00-03:00,1.64
2003-12-01,2003,1,12,BM12_TPFTRMA12,2003-12-01T00:00:00-02:00,1.68
2004-01-01,2004,1,1,BM12_TPFTRMA12,2004-01-01T00:00:00-02:00,1.63
2004-02-01,2004,1,2,BM12_TPFTRMA12,2004-02-01T00:00:00-02:00,1.64
2004-03-01,2004,1,3,BM12_TPFTRMA12,2004-03-01T00:00:00-03:00,1.63
2004-04-01,2004,1,4,BM12_TPFTRMA12,2004-04-01T00:00:00-03:00,1.64
2004-05-01,2004,1,5,BM12_TPFTRMA12,2004-05-01T00:00:00-03:00,1.64
2004-06-01,2004,1,6,BM12_TPFTRMA12,2004-06-01T00:00:00-03:00,1.65
2004-07-01,2004,1,7,BM12_TPFTRMA12,2004-07-01T00:00:00-03:00,1.69
2004-08-01,2004,1,8,BM12_TPFTRMA12,2004-08-01T00:00:00-03:00,1.72
2004-09-01,2004,1,9,BM12_TPFTRMA12,2004-09-01T00:00:00-03:00,1.73
2004-10-01,2004,1,10,BM12_TPFTRMA12,2004-10-01T00:00:00-03:00,1.75
2004-11-01,2004,1,11,BM12_TPFTRMA12,2004-11-01T00:00:00-03:00,1.71
2004-12-01,2004,1,12,BM12_TPFTRMA12,2004-12-01T00:00:00-02:00,2.57
2005-01-01,2005,1,1,BM12_TPFTRMA12,2005-01-01T00:00:00-02:00,2.52
2005-02-01,2005,1,2,BM12_TPFTRMA12,2005-02-01T00:00:00-02:00,2.48
2005-03-01,2005,1,3,BM12_TPFTRMA12,2005-03-01T00:00:00-03:00,2.44
2005-04-01,2005,1,4,BM12_TPFTRMA12,2005-04-01T00:00:00-03:00,2.41
2005-05-01,2005,1,5,BM12_TPFTRMA12,2005-05-01T00:00:00-03:00,2.41
2005-06-01,2005,1,6,BM12_TPFTRMA12,2005-06-01T00:00:00-03:00,2.4
2005-07-01,2005,1,7,BM12_TPFTRMA12,2005-07-01T00:00:00-03:00,2.37
2005-08-01,2005,1,8,BM12_TPFTRMA12,2005-08-01T00:00:00-03:00,2.35
2005-09-01,2005,1,9,BM12_TPFTRMA12,2005-09-01T00:00:00-03:00,2.35
2005-10-01,2005,1,10,BM12_TPFTRMA12,2005-10-01T00:00:00-03:00,2.09
2005-11-01,2005,1,11,BM12_TPFTRMA12,2005-11-01T00:00:00-02:00,2.1
2005-12-01,2005,1,12,BM12_TPFTRMA12,2005-12-01T00:00:00-02:00,2.1
2006-01-01,2006,1,1,BM12_TPFTRMA12,2006-01-01T00:00:00-02:00,2.0
2006-02-01,2006,1,2,BM12_TPFTRMA12,2006-02-01T00:00:00-02:00,1.99
2006-03-01,2006,1,3,BM12_TPFTRMA12,2006-03-01T00:00:00-03:00,1.97
