DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (US$)
1982-01-01,1982,1,1,BM12_XCC12,1982-01-01T00:00:00-02:00,1730.0
1982-02-01,1982,1,2,BM12_XCC12,1982-02-01T00:00:00-02:00,1548.0
1982-03-01,1982,1,3,BM12_XCC12,1982-03-01T00:00:00-03:00,1933.0
1982-04-01,1982,1,4,BM12_XCC12,1982-04-01T00:00:00-03:00,1761.0
1982-05-01,1982,1,5,BM12_XCC12,1982-05-01T00:00:00-03:00,1752.0
1982-06-01,1982,1,6,BM12_XCC12,1982-06-01T00:00:00-03:00,2013.0
1982-07-01,1982,1,7,BM12_XCC12,1982-07-01T00:00:00-03:00,1680.0
1982-08-01,1982,1,8,BM12_XCC12,1982-08-01T00:00:00-03:00,1673.0
1982-09-01,1982,1,9,BM12_XCC12,1982-09-01T00:00:00-03:00,1568.0
1982-10-01,1982,1,10,BM12_XCC12,1982-10-01T00:00:00-03:00,1639.0
1982-11-01,1982,1,11,BM12_XCC12,1982-11-01T00:00:00-03:00,1683.0
1982-12-01,1982,1,12,BM12_XCC12,1982-12-01T00:00:00-02:00,1842.0
1983-01-01,1983,1,1,BM12_XCC12,1983-01-01T00:00:00-02:00,1382.0
1983-02-01,1983,1,2,BM12_XCC12,1983-02-01T00:00:00-02:00,1373.0
1983-03-01,1983,1,3,BM12_XCC12,1983-03-01T00:00:00-03:00,1639.0
1983-04-01,1983,1,4,BM12_XCC12,1983-04-01T00:00:00-03:00,1680.0
1983-05-01,1983,1,5,BM12_XCC12,1983-05-01T00:00:00-03:00,1637.0
1983-06-01,1983,1,6,BM12_XCC12,1983-06-01T00:00:00-03:00,1786.0
1983-07-01,1983,1,7,BM12_XCC12,1983-07-01T00:00:00-03:00,1823.0
1983-08-01,1983,1,8,BM12_XCC12,1983-08-01T00:00:00-03:00,1739.0
1983-09-01,1983,1,9,BM12_XCC12,1983-09-01T00:00:00-03:00,1923.0
1983-10-01,1983,1,10,BM12_XCC12,1983-10-01T00:00:00-03:00,1566.0
1983-11-01,1983,1,11,BM12_XCC12,1983-11-01T00:00:00-03:00,1715.0
1983-12-01,1983,1,12,BM12_XCC12,1983-12-01T00:00:00-02:00,1826.0
1984-01-01,1984,1,1,BM12_XCC12,1984-01-01T00:00:00-02:00,1928.0
1984-02-01,1984,1,2,BM12_XCC12,1984-02-01T00:00:00-02:00,1668.0
