DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (US$)
1995-01-01,1995,1,1,BPAG12_CRCO12,1995-01-01T00:00:00-02:00,100.027
1995-02-01,1995,1,2,BPAG12_CRCO12,1995-02-01T00:00:00-02:00,884.55
1995-03-01,1995,1,3,BPAG12_CRCO12,1995-03-01T00:00:00-03:00,555.397
1995-04-01,1995,1,4,BPAG12_CRCO12,1995-04-01T00:00:00-03:00,20.0875
1995-05-01,1995,1,5,BPAG12_CRCO12,1995-05-01T00:00:00-03:00,645.55
1995-06-01,1995,1,6,BPAG12_CRCO12,1995-06-01T00:00:00-03:00,301.8125
1995-07-01,1995,1,7,BPAG12_CRCO12,1995-07-01T00:00:00-03:00,761.131
1995-08-01,1995,1,8,BPAG12_CRCO12,1995-08-01T00:00:00-03:00,939.0125
1995-09-01,1995,1,9,BPAG12_CRCO12,1995-09-01T00:00:00-03:00,429.445
1995-10-01,1995,1,10,BPAG12_CRCO12,1995-10-01T00:00:00-03:00,799.7595
1995-11-01,1995,1,11,BPAG12_CRCO12,1995-11-01T00:00:00-03:00,1369.412
1995-12-01,1995,1,12,BPAG12_CRCO12,1995-12-01T00:00:00-02:00,1312.031
1996-01-01,1996,1,1,BPAG12_CRCO12,1996-01-01T00:00:00-02:00,842.9621422
1996-02-01,1996,1,2,BPAG12_CRCO12,1996-02-01T00:00:00-02:00,1875.169589
1996-03-01,1996,1,3,BPAG12_CRCO12,1996-03-01T00:00:00-03:00,1388.2745104
1996-04-01,1996,1,4,BPAG12_CRCO12,1996-04-01T00:00:00-03:00,209.3341018
1996-05-01,1996,1,5,BPAG12_CRCO12,1996-05-01T00:00:00-03:00,568.006186
1996-06-01,1996,1,6,BPAG12_CRCO12,1996-06-01T00:00:00-03:00,763.987789
1996-07-01,1996,1,7,BPAG12_CRCO12,1996-07-01T00:00:00-03:00,1106.0485275
1996-08-01,1996,1,8,BPAG12_CRCO12,1996-08-01T00:00:00-03:00,978.35205
1996-09-01,1996,1,9,BPAG12_CRCO12,1996-09-01T00:00:00-03:00,768.7324228
1996-10-01,1996,1,10,BPAG12_CRCO12,1996-10-01T00:00:00-03:00,2082.619288
1996-11-01,1996,1,11,BPAG12_CRCO12,1996-11-01T00:00:00-03:00,648.4770305
1996-12-01,1996,1,12,BPAG12_CRCO12,1996-12-01T00:00:00-02:00,1105.0574028
1997-01-01,1997,1,1,BPAG12_CRCO12,1997-01-01T00:00:00-02:00,-886.741406
1997-02-01,1997,1,2,BPAG12_CRCO12,1997-02-01T00:00:00-02:00,1301.8268498
1997-03-01,1997,1,3,BPAG12_CRCO12,1997-03-01T00:00:00-03:00,607.5183014
1997-04-01,1997,1,4,BPAG12_CRCO12,1997-04-01T00:00:00-03:00,1330.7343596
1997-05-01,1997,1,5,BPAG12_CRCO12,1997-05-01T00:00:00-03:00,-277.2294584
1997-06-01,1997,1,6,BPAG12_CRCO12,1997-06-01T00:00:00-03:00,-347.00152
1997-07-01,1997,1,7,BPAG12_CRCO12,1997-07-01T00:00:00-03:00,-890.5831854
1997-08-01,1997,1,8,BPAG12_CRCO12,1997-08-01T00:00:00-03:00,-301.3065566
1997-09-01,1997,1,9,BPAG12_CRCO12,1997-09-01T00:00:00-03:00,-624.1504192
1997-10-01,1997,1,10,BPAG12_CRCO12,1997-10-01T00:00:00-03:00,-299.3329504
1997-11-01,1997,1,11,BPAG12_CRCO12,1997-11-01T00:00:00-03:00,1002.370698
1997-12-01,1997,1,12,BPAG12_CRCO12,1997-12-01T00:00:00-02:00,429.2410706
1998-01-01,1998,1,1,BPAG12_CRCO12,1998-01-01T00:00:00-02:00,877.454128179735
1998-02-01,1998,1,2,BPAG12_CRCO12,1998-02-01T00:00:00-02:00,963.259158281138
