DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (US$)
1995-01-01,1995,1,1,BPAG12_ETLPATPRI12,1995-01-01T00:00:00-02:00,107.6
1995-02-01,1995,1,2,BPAG12_ETLPATPRI12,1995-02-01T00:00:00-02:00,87.5
1995-03-01,1995,1,3,BPAG12_ETLPATPRI12,1995-03-01T00:00:00-03:00,193.412
1995-04-01,1995,1,4,BPAG12_ETLPATPRI12,1995-04-01T00:00:00-03:00,504.386
1995-05-01,1995,1,5,BPAG12_ETLPATPRI12,1995-05-01T00:00:00-03:00,382.808
1995-06-01,1995,1,6,BPAG12_ETLPATPRI12,1995-06-01T00:00:00-03:00,277.613
1995-07-01,1995,1,7,BPAG12_ETLPATPRI12,1995-07-01T00:00:00-03:00,135.307
1995-08-01,1995,1,8,BPAG12_ETLPATPRI12,1995-08-01T00:00:00-03:00,97.9
1995-09-01,1995,1,9,BPAG12_ETLPATPRI12,1995-09-01T00:00:00-03:00,296.5
1995-10-01,1995,1,10,BPAG12_ETLPATPRI12,1995-10-01T00:00:00-03:00,368.177
1995-11-01,1995,1,11,BPAG12_ETLPATPRI12,1995-11-01T00:00:00-03:00,275.208
1995-12-01,1995,1,12,BPAG12_ETLPATPRI12,1995-12-01T00:00:00-02:00,244.212
1996-01-01,1996,1,1,BPAG12_ETLPATPRI12,1996-01-01T00:00:00-02:00,53.28
1996-02-01,1996,1,2,BPAG12_ETLPATPRI12,1996-02-01T00:00:00-02:00,145.391
1996-03-01,1996,1,3,BPAG12_ETLPATPRI12,1996-03-01T00:00:00-03:00,372.142
1996-04-01,1996,1,4,BPAG12_ETLPATPRI12,1996-04-01T00:00:00-03:00,347.708
1996-05-01,1996,1,5,BPAG12_ETLPATPRI12,1996-05-01T00:00:00-03:00,317.405
1996-06-01,1996,1,6,BPAG12_ETLPATPRI12,1996-06-01T00:00:00-03:00,180.711
1996-07-01,1996,1,7,BPAG12_ETLPATPRI12,1996-07-01T00:00:00-03:00,247.8
1996-08-01,1996,1,8,BPAG12_ETLPATPRI12,1996-08-01T00:00:00-03:00,35.127
1996-09-01,1996,1,9,BPAG12_ETLPATPRI12,1996-09-01T00:00:00-03:00,104.144
1996-10-01,1996,1,10,BPAG12_ETLPATPRI12,1996-10-01T00:00:00-03:00,424.709
1996-11-01,1996,1,11,BPAG12_ETLPATPRI12,1996-11-01T00:00:00-03:00,479.61
1996-12-01,1996,1,12,BPAG12_ETLPATPRI12,1996-12-01T00:00:00-02:00,230.454
1997-01-01,1997,1,1,BPAG12_ETLPATPRI12,1997-01-01T00:00:00-02:00,472.599
1997-02-01,1997,1,2,BPAG12_ETLPATPRI12,1997-02-01T00:00:00-02:00,42.885
1997-03-01,1997,1,3,BPAG12_ETLPATPRI12,1997-03-01T00:00:00-03:00,231.526
1997-04-01,1997,1,4,BPAG12_ETLPATPRI12,1997-04-01T00:00:00-03:00,114.154
1997-05-01,1997,1,5,BPAG12_ETLPATPRI12,1997-05-01T00:00:00-03:00,336.229
1997-06-01,1997,1,6,BPAG12_ETLPATPRI12,1997-06-01T00:00:00-03:00,1129.611
