DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (US$)
1995-01-01,1995,1,1,BPAG12_ETLPITPRI12,1995-01-01T00:00:00-02:00,186.3
1995-02-01,1995,1,2,BPAG12_ETLPITPRI12,1995-02-01T00:00:00-02:00,101.4
1995-03-01,1995,1,3,BPAG12_ETLPITPRI12,1995-03-01T00:00:00-03:00,67.3
1995-04-01,1995,1,4,BPAG12_ETLPITPRI12,1995-04-01T00:00:00-03:00,530.1
1995-05-01,1995,1,5,BPAG12_ETLPITPRI12,1995-05-01T00:00:00-03:00,575.4
1995-06-01,1995,1,6,BPAG12_ETLPITPRI12,1995-06-01T00:00:00-03:00,1654.4
1995-07-01,1995,1,7,BPAG12_ETLPITPRI12,1995-07-01T00:00:00-03:00,1265.0
1995-08-01,1995,1,8,BPAG12_ETLPITPRI12,1995-08-01T00:00:00-03:00,1472.9
1995-09-01,1995,1,9,BPAG12_ETLPITPRI12,1995-09-01T00:00:00-03:00,290.1
1995-10-01,1995,1,10,BPAG12_ETLPITPRI12,1995-10-01T00:00:00-03:00,1294.5
1995-11-01,1995,1,11,BPAG12_ETLPITPRI12,1995-11-01T00:00:00-03:00,799.6
1995-12-01,1995,1,12,BPAG12_ETLPITPRI12,1995-12-01T00:00:00-02:00,1017.2
1996-01-01,1996,1,1,BPAG12_ETLPITPRI12,1996-01-01T00:00:00-02:00,699.735
1996-02-01,1996,1,2,BPAG12_ETLPITPRI12,1996-02-01T00:00:00-02:00,1196.228
1996-03-01,1996,1,3,BPAG12_ETLPITPRI12,1996-03-01T00:00:00-03:00,687.257
1996-04-01,1996,1,4,BPAG12_ETLPITPRI12,1996-04-01T00:00:00-03:00,970.397
1996-05-01,1996,1,5,BPAG12_ETLPITPRI12,1996-05-01T00:00:00-03:00,1961.095
1996-06-01,1996,1,6,BPAG12_ETLPITPRI12,1996-06-01T00:00:00-03:00,2180.282
1996-07-01,1996,1,7,BPAG12_ETLPITPRI12,1996-07-01T00:00:00-03:00,1548.596
1996-08-01,1996,1,8,BPAG12_ETLPITPRI12,1996-08-01T00:00:00-03:00,742.827
1996-09-01,1996,1,9,BPAG12_ETLPITPRI12,1996-09-01T00:00:00-03:00,378.504
1996-10-01,1996,1,10,BPAG12_ETLPITPRI12,1996-10-01T00:00:00-03:00,1618.242
1996-11-01,1996,1,11,BPAG12_ETLPITPRI12,1996-11-01T00:00:00-03:00,2211.433
1996-12-01,1996,1,12,BPAG12_ETLPITPRI12,1996-12-01T00:00:00-02:00,3424.828
1997-01-01,1997,1,1,BPAG12_ETLPITPRI12,1997-01-01T00:00:00-02:00,538.856
1997-02-01,1997,1,2,BPAG12_ETLPITPRI12,1997-02-01T00:00:00-02:00,605.594
1997-03-01,1997,1,3,BPAG12_ETLPITPRI12,1997-03-01T00:00:00-03:00,799.738
1997-04-01,1997,1,4,BPAG12_ETLPITPRI12,1997-04-01T00:00:00-03:00,902.927
1997-05-01,1997,1,5,BPAG12_ETLPITPRI12,1997-05-01T00:00:00-03:00,778.312
1997-06-01,1997,1,6,BPAG12_ETLPITPRI12,1997-06-01T00:00:00-03:00,1453.724
1997-07-01,1997,1,7,BPAG12_ETLPITPRI12,1997-07-01T00:00:00-03:00,2200.28
1997-08-01,1997,1,8,BPAG12_ETLPITPRI12,1997-08-01T00:00:00-03:00,1994.401
1997-09-01,1997,1,9,BPAG12_ETLPITPRI12,1997-09-01T00:00:00-03:00,1398.081
1997-10-01,1997,1,10,BPAG12_ETLPITPRI12,1997-10-01T00:00:00-03:00,1582.935
1997-11-01,1997,1,11,BPAG12_ETLPITPRI12,1997-11-01T00:00:00-03:00,913.428
1997-12-01,1997,1,12,BPAG12_ETLPITPRI12,1997-12-01T00:00:00-02:00,2517.378
1998-01-01,1998,1,1,BPAG12_ETLPITPRI12,1998-01-01T00:00:00-02:00,666.917
1998-02-01,1998,1,2,BPAG12_ETLPITPRI12,1998-02-01T00:00:00-02:00,681.572
1998-03-01,1998,1,3,BPAG12_ETLPITPRI12,1998-03-01T00:00:00-03:00,6213.39
1998-04-01,1998,1,4,BPAG12_ETLPITPRI12,1998-04-01T00:00:00-03:00,2629.775
1998-05-01,1998,1,5,BPAG12_ETLPITPRI12,1998-05-01T00:00:00-03:00,1032.331
1998-06-01,1998,1,6,BPAG12_ETLPITPRI12,1998-06-01T00:00:00-03:00,2394.121
1998-07-01,1998,1,7,BPAG12_ETLPITPRI12,1998-07-01T00:00:00-03:00,686.617
1998-08-01,1998,1,8,BPAG12_ETLPITPRI12,1998-08-01T00:00:00-03:00,3423.485
1998-09-01,1998,1,9,BPAG12_ETLPITPRI12,1998-09-01T00:00:00-03:00,509.19
1998-10-01,1998,1,10,BPAG12_ETLPITPRI12,1998-10-01T00:00:00-03:00,5722.162
1998-11-01,1998,1,11,BPAG12_ETLPITPRI12,1998-11-01T00:00:00-03:00,182.532
1998-12-01,1998,1,12,BPAG12_ETLPITPRI12,1998-12-01T00:00:00-02:00,797.486
1999-01-01,1999,1,1,BPAG12_ETLPITPRI12,1999-01-01T00:00:00-02:00,208.951
1999-02-01,1999,1,2,BPAG12_ETLPITPRI12,1999-02-01T00:00:00-02:00,242.65
1999-03-01,1999,1,3,BPAG12_ETLPITPRI12,1999-03-01T00:00:00-03:00,665.535
