DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (US$)
1995-01-01,1995,1,1,BPAG12_ICAD12,1995-01-01T00:00:00-02:00,55.041
1995-02-01,1995,1,2,BPAG12_ICAD12,1995-02-01T00:00:00-02:00,139.915
1995-03-01,1995,1,3,BPAG12_ICAD12,1995-03-01T00:00:00-03:00,341.272
1995-04-01,1995,1,4,BPAG12_ICAD12,1995-04-01T00:00:00-03:00,298.693
1995-05-01,1995,1,5,BPAG12_ICAD12,1995-05-01T00:00:00-03:00,95.418
1995-06-01,1995,1,6,BPAG12_ICAD12,1995-06-01T00:00:00-03:00,92.621
1995-07-01,1995,1,7,BPAG12_ICAD12,1995-07-01T00:00:00-03:00,66.82
1995-08-01,1995,1,8,BPAG12_ICAD12,1995-08-01T00:00:00-03:00,70.635
1995-09-01,1995,1,9,BPAG12_ICAD12,1995-09-01T00:00:00-03:00,209.656
1995-10-01,1995,1,10,BPAG12_ICAD12,1995-10-01T00:00:00-03:00,681.268
1995-11-01,1995,1,11,BPAG12_ICAD12,1995-11-01T00:00:00-03:00,83.949
1995-12-01,1995,1,12,BPAG12_ICAD12,1995-12-01T00:00:00-02:00,73.082
1996-01-01,1996,1,1,BPAG12_ICAD12,1996-01-01T00:00:00-02:00,194.689
1996-02-01,1996,1,2,BPAG12_ICAD12,1996-02-01T00:00:00-02:00,13.547
1996-03-01,1996,1,3,BPAG12_ICAD12,1996-03-01T00:00:00-03:00,36.673
1996-04-01,1996,1,4,BPAG12_ICAD12,1996-04-01T00:00:00-03:00,50.976
1996-05-01,1996,1,5,BPAG12_ICAD12,1996-05-01T00:00:00-03:00,7.909
1996-06-01,1996,1,6,BPAG12_ICAD12,1996-06-01T00:00:00-03:00,10.963
1996-07-01,1996,1,7,BPAG12_ICAD12,1996-07-01T00:00:00-03:00,12.86
1996-08-01,1996,1,8,BPAG12_ICAD12,1996-08-01T00:00:00-03:00,161.844
1996-09-01,1996,1,9,BPAG12_ICAD12,1996-09-01T00:00:00-03:00,31.771
1996-10-01,1996,1,10,BPAG12_ICAD12,1996-10-01T00:00:00-03:00,15.421
1996-11-01,1996,1,11,BPAG12_ICAD12,1996-11-01T00:00:00-03:00,11.94
1996-12-01,1996,1,12,BPAG12_ICAD12,1996-12-01T00:00:00-02:00,36.691
1997-01-01,1997,1,1,BPAG12_ICAD12,1997-01-01T00:00:00-02:00,35.371
1997-02-01,1997,1,2,BPAG12_ICAD12,1997-02-01T00:00:00-02:00,23.673
1997-03-01,1997,1,3,BPAG12_ICAD12,1997-03-01T00:00:00-03:00,30.163
1997-04-01,1997,1,4,BPAG12_ICAD12,1997-04-01T00:00:00-03:00,160.086
1997-05-01,1997,1,5,BPAG12_ICAD12,1997-05-01T00:00:00-03:00,8.161
1997-06-01,1997,1,6,BPAG12_ICAD12,1997-06-01T00:00:00-03:00,19.771
1997-07-01,1997,1,7,BPAG12_ICAD12,1997-07-01T00:00:00-03:00,13.734
1997-08-01,1997,1,8,BPAG12_ICAD12,1997-08-01T00:00:00-03:00,30.291
1997-09-01,1997,1,9,BPAG12_ICAD12,1997-09-01T00:00:00-03:00,77.465
1997-10-01,1997,1,10,BPAG12_ICAD12,1997-10-01T00:00:00-03:00,166.346
1997-11-01,1997,1,11,BPAG12_ICAD12,1997-11-01T00:00:00-03:00,385.712
1997-12-01,1997,1,12,BPAG12_ICAD12,1997-12-01T00:00:00-02:00,111.558
1998-01-01,1998,1,1,BPAG12_ICAD12,1998-01-01T00:00:00-02:00,45.809
1998-02-01,1998,1,2,BPAG12_ICAD12,1998-02-01T00:00:00-02:00,22.136
1998-03-01,1998,1,3,BPAG12_ICAD12,1998-03-01T00:00:00-03:00,34.832
1998-04-01,1998,1,4,BPAG12_ICAD12,1998-04-01T00:00:00-03:00,19.237
1998-05-01,1998,1,5,BPAG12_ICAD12,1998-05-01T00:00:00-03:00,94.244
1998-06-01,1998,1,6,BPAG12_ICAD12,1998-06-01T00:00:00-03:00,82.948
