DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (US$)
1995-01-01,1995,1,1,BPAG12_ICAF12,1995-01-01T00:00:00-02:00,19.36108437
1995-02-01,1995,1,2,BPAG12_ICAF12,1995-02-01T00:00:00-02:00,53.78239104
1995-03-01,1995,1,3,BPAG12_ICAF12,1995-03-01T00:00:00-03:00,71.41057343
1995-04-01,1995,1,4,BPAG12_ICAF12,1995-04-01T00:00:00-03:00,-0.518458559999999
1995-05-01,1995,1,5,BPAG12_ICAF12,1995-05-01T00:00:00-03:00,-15.46147139
1995-06-01,1995,1,6,BPAG12_ICAF12,1995-06-01T00:00:00-03:00,6.82797791
1995-07-01,1995,1,7,BPAG12_ICAF12,1995-07-01T00:00:00-03:00,4.24725977
1995-08-01,1995,1,8,BPAG12_ICAF12,1995-08-01T00:00:00-03:00,-3.29667835
1995-09-01,1995,1,9,BPAG12_ICAF12,1995-09-01T00:00:00-03:00,24.17883546
1995-10-01,1995,1,10,BPAG12_ICAF12,1995-10-01T00:00:00-03:00,23.85473223
1995-11-01,1995,1,11,BPAG12_ICAF12,1995-11-01T00:00:00-03:00,-11.21474108
1995-12-01,1995,1,12,BPAG12_ICAF12,1995-12-01T00:00:00-02:00,-4.94506638
1996-01-01,1996,1,1,BPAG12_ICAF12,1996-01-01T00:00:00-02:00,1.22726418
1996-02-01,1996,1,2,BPAG12_ICAF12,1996-02-01T00:00:00-02:00,3.21769251
1996-03-01,1996,1,3,BPAG12_ICAF12,1996-03-01T00:00:00-03:00,15.79611182
1996-04-01,1996,1,4,BPAG12_ICAF12,1996-04-01T00:00:00-03:00,27.48133952
1996-05-01,1996,1,5,BPAG12_ICAF12,1996-05-01T00:00:00-03:00,1.38913693
1996-06-01,1996,1,6,BPAG12_ICAF12,1996-06-01T00:00:00-03:00,5.30115995
1996-07-01,1996,1,7,BPAG12_ICAF12,1996-07-01T00:00:00-03:00,-1.11263167
1996-08-01,1996,1,8,BPAG12_ICAF12,1996-08-01T00:00:00-03:00,52.90101605
1996-09-01,1996,1,9,BPAG12_ICAF12,1996-09-01T00:00:00-03:00,-81.71467511
1996-10-01,1996,1,10,BPAG12_ICAF12,1996-10-01T00:00:00-03:00,11.28831556
1996-11-01,1996,1,11,BPAG12_ICAF12,1996-11-01T00:00:00-03:00,-4.87959916
1996-12-01,1996,1,12,BPAG12_ICAF12,1996-12-01T00:00:00-02:00,0.633967909999999
1997-01-01,1997,1,1,BPAG12_ICAF12,1997-01-01T00:00:00-02:00,4.80003538
1997-02-01,1997,1,2,BPAG12_ICAF12,1997-02-01T00:00:00-02:00,0.480176519999999
1997-03-01,1997,1,3,BPAG12_ICAF12,1997-03-01T00:00:00-03:00,3.8564618
1997-04-01,1997,1,4,BPAG12_ICAF12,1997-04-01T00:00:00-03:00,-13.94797804
1997-05-01,1997,1,5,BPAG12_ICAF12,1997-05-01T00:00:00-03:00,-3.19476627
1997-06-01,1997,1,6,BPAG12_ICAF12,1997-06-01T00:00:00-03:00,7.79133124
1997-07-01,1997,1,7,BPAG12_ICAF12,1997-07-01T00:00:00-03:00,-3.55555155
1997-08-01,1997,1,8,BPAG12_ICAF12,1997-08-01T00:00:00-03:00,1.72271307
1997-09-01,1997,1,9,BPAG12_ICAF12,1997-09-01T00:00:00-03:00,31.30168409
1997-10-01,1997,1,10,BPAG12_ICAF12,1997-10-01T00:00:00-03:00,68.73742307
1997-11-01,1997,1,11,BPAG12_ICAF12,1997-11-01T00:00:00-03:00,113.74104334
1997-12-01,1997,1,12,BPAG12_ICAF12,1997-12-01T00:00:00-02:00,-71.55373287
1998-01-01,1998,1,1,BPAG12_ICAF12,1998-01-01T00:00:00-02:00,-4.3992196
1998-02-01,1998,1,2,BPAG12_ICAF12,1998-02-01T00:00:00-02:00,-17.22713757
1998-03-01,1998,1,3,BPAG12_ICAF12,1998-03-01T00:00:00-03:00,-31.77600507
1998-04-01,1998,1,4,BPAG12_ICAF12,1998-04-01T00:00:00-03:00,7.49702112
1998-05-01,1998,1,5,BPAG12_ICAF12,1998-05-01T00:00:00-03:00,-32.72164539
1998-06-01,1998,1,6,BPAG12_ICAF12,1998-06-01T00:00:00-03:00,-1.02922207
1998-07-01,1998,1,7,BPAG12_ICAF12,1998-07-01T00:00:00-03:00,1.84861021
1998-08-01,1998,1,8,BPAG12_ICAF12,1998-08-01T00:00:00-03:00,489.28066151
1998-09-01,1998,1,9,BPAG12_ICAF12,1998-09-01T00:00:00-03:00,842.21637802
1998-10-01,1998,1,10,BPAG12_ICAF12,1998-10-01T00:00:00-03:00,47.38414406
1998-11-01,1998,1,11,BPAG12_ICAF12,1998-11-01T00:00:00-03:00,-713.81026488
1998-12-01,1998,1,12,BPAG12_ICAF12,1998-12-01T00:00:00-02:00,-81.36734552
1999-01-01,1999,1,1,BPAG12_ICAF12,1999-01-01T00:00:00-02:00,1131.79926334
1999-02-01,1999,1,2,BPAG12_ICAF12,1999-02-01T00:00:00-02:00,-94.96297237
1999-03-01,1999,1,3,BPAG12_ICAF12,1999-03-01T00:00:00-03:00,-649.77532536
1999-04-01,1999,1,4,BPAG12_ICAF12,1999-04-01T00:00:00-03:00,-813.54342414
1999-05-01,1999,1,5,BPAG12_ICAF12,1999-05-01T00:00:00-03:00,-34.75089203
1999-06-01,1999,1,6,BPAG12_ICAF12,1999-06-01T00:00:00-03:00,-119.17550428
1999-07-01,1999,1,7,BPAG12_ICAF12,1999-07-01T00:00:00-03:00,-115.24787594
1999-08-01,1999,1,8,BPAG12_ICAF12,1999-08-01T00:00:00-03:00,-14.02014489
1999-09-01,1999,1,9,BPAG12_ICAF12,1999-09-01T00:00:00-03:00,-41.5944107
1999-10-01,1999,1,10,BPAG12_ICAF12,1999-10-01T00:00:00-03:00,-15.37729932
1999-11-01,1999,1,11,BPAG12_ICAF12,1999-11-01T00:00:00-03:00,-15.45059926
1999-12-01,1999,1,12,BPAG12_ICAF12,1999-12-01T00:00:00-02:00,14.33692253
2000-01-01,2000,1,1,BPAG12_ICAF12,2000-01-01T00:00:00-02:00,41.49162632
2000-02-01,2000,1,2,BPAG12_ICAF12,2000-02-01T00:00:00-02:00,21.30924369
2000-03-01,2000,1,3,BPAG12_ICAF12,2000-03-01T00:00:00-03:00,23.0015696
2000-04-01,2000,1,4,BPAG12_ICAF12,2000-04-01T00:00:00-03:00,-21.07142134
2000-05-01,2000,1,5,BPAG12_ICAF12,2000-05-01T00:00:00-03:00,-57.09151654
2000-06-01,2000,1,6,BPAG12_ICAF12,2000-06-01T00:00:00-03:00,33.46497072
2000-07-01,2000,1,7,BPAG12_ICAF12,2000-07-01T00:00:00-03:00,25.15504916
2000-08-01,2000,1,8,BPAG12_ICAF12,2000-08-01T00:00:00-03:00,25.91159141
2000-09-01,2000,1,9,BPAG12_ICAF12,2000-09-01T00:00:00-03:00,17.78884287
2000-10-01,2000,1,10,BPAG12_ICAF12,2000-10-01T00:00:00-03:00,-37.76050594
2000-11-01,2000,1,11,BPAG12_ICAF12,2000-11-01T00:00:00-03:00,-33.83645166
2000-12-01,2000,1,12,BPAG12_ICAF12,2000-12-01T00:00:00-02:00,-10.6922699
2001-01-01,2001,1,1,BPAG12_ICAF12,2001-01-01T00:00:00-02:00,51.33926533
2001-02-01,2001,1,2,BPAG12_ICAF12,2001-02-01T00:00:00-02:00,-6.03920996
2001-03-01,2001,1,3,BPAG12_ICAF12,2001-03-01T00:00:00-03:00,-28.58742988
2001-04-01,2001,1,4,BPAG12_ICAF12,2001-04-01T00:00:00-03:00,127.49601178
2001-05-01,2001,1,5,BPAG12_ICAF12,2001-05-01T00:00:00-03:00,0.992320370000002
2001-06-01,2001,1,6,BPAG12_ICAF12,2001-06-01T00:00:00-03:00,-106.56963295
2001-07-01,2001,1,7,BPAG12_ICAF12,2001-07-01T00:00:00-03:00,185.24572366
2001-08-01,2001,1,8,BPAG12_ICAF12,2001-08-01T00:00:00-03:00,12.26531779
2001-09-01,2001,1,9,BPAG12_ICAF12,2001-09-01T00:00:00-03:00,-0.601903580000005
2001-10-01,2001,1,10,BPAG12_ICAF12,2001-10-01T00:00:00-03:00,-37.42444777
2001-11-01,2001,1,11,BPAG12_ICAF12,2001-11-01T00:00:00-03:00,-99.11175872
2001-12-01,2001,1,12,BPAG12_ICAF12,2001-12-01T00:00:00-02:00,-39.75426527
2002-01-01,2002,1,1,BPAG12_ICAF12,2002-01-01T00:00:00-02:00,-1.23118314
2002-02-01,2002,1,2,BPAG12_ICAF12,2002-02-01T00:00:00-02:00,-13.6266576
2002-03-01,2002,1,3,BPAG12_ICAF12,2002-03-01T00:00:00-03:00,44.3361927
2002-04-01,2002,1,4,BPAG12_ICAF12,2002-04-01T00:00:00-03:00,-65.68756614
2002-05-01,2002,1,5,BPAG12_ICAF12,2002-05-01T00:00:00-03:00,47.65221685
2002-06-01,2002,1,6,BPAG12_ICAF12,2002-06-01T00:00:00-03:00,71.73062665
2002-07-01,2002,1,7,BPAG12_ICAF12,2002-07-01T00:00:00-03:00,-122.24377842
2002-08-01,2002,1,8,BPAG12_ICAF12,2002-08-01T00:00:00-03:00,71.69393646
2002-09-01,2002,1,9,BPAG12_ICAF12,2002-09-01T00:00:00-03:00,12.37686164
2002-10-01,2002,1,10,BPAG12_ICAF12,2002-10-01T00:00:00-03:00,7.10054688
2002-11-01,2002,1,11,BPAG12_ICAF12,2002-11-01T00:00:00-03:00,-75.4573452
2002-12-01,2002,1,12,BPAG12_ICAF12,2002-12-01T00:00:00-02:00,-8.78555254
2003-01-01,2003,1,1,BPAG12_ICAF12,2003-01-01T00:00:00-02:00,48.14275168
2003-02-01,2003,1,2,BPAG12_ICAF12,2003-02-01T00:00:00-02:00,44.40854783
2003-03-01,2003,1,3,BPAG12_ICAF12,2003-03-01T00:00:00-03:00,-66.83209143
2003-04-01,2003,1,4,BPAG12_ICAF12,2003-04-01T00:00:00-03:00,-26.39365354
2003-05-01,2003,1,5,BPAG12_ICAF12,2003-05-01T00:00:00-03:00,86.81591778
2003-06-01,2003,1,6,BPAG12_ICAF12,2003-06-01T00:00:00-03:00,-164.1669976
2003-07-01,2003,1,7,BPAG12_ICAF12,2003-07-01T00:00:00-03:00,143.34077658
2003-08-01,2003,1,8,BPAG12_ICAF12,2003-08-01T00:00:00-03:00,54.01076366
2003-09-01,2003,1,9,BPAG12_ICAF12,2003-09-01T00:00:00-03:00,9.58794867999998
2003-10-01,2003,1,10,BPAG12_ICAF12,2003-10-01T00:00:00-03:00,-142.13505694
2003-11-01,2003,1,11,BPAG12_ICAF12,2003-11-01T00:00:00-03:00,-72.86984569
2003-12-01,2003,1,12,BPAG12_ICAF12,2003-12-01T00:00:00-02:00,7.42106384
2004-01-01,2004,1,1,BPAG12_ICAF12,2004-01-01T00:00:00-02:00,-55.56864374
2004-02-01,2004,1,2,BPAG12_ICAF12,2004-02-01T00:00:00-02:00,-15.23566943
2004-03-01,2004,1,3,BPAG12_ICAF12,2004-03-01T00:00:00-03:00,128.36797571
2004-04-01,2004,1,4,BPAG12_ICAF12,2004-04-01T00:00:00-03:00,40.68341255
2004-05-01,2004,1,5,BPAG12_ICAF12,2004-05-01T00:00:00-03:00,207.12170707
2004-06-01,2004,1,6,BPAG12_ICAF12,2004-06-01T00:00:00-03:00,199.54680961
2004-07-01,2004,1,7,BPAG12_ICAF12,2004-07-01T00:00:00-03:00,50.15166903
2004-08-01,2004,1,8,BPAG12_ICAF12,2004-08-01T00:00:00-03:00,-236.01970331
2004-09-01,2004,1,9,BPAG12_ICAF12,2004-09-01T00:00:00-03:00,169.78989813
2004-10-01,2004,1,10,BPAG12_ICAF12,2004-10-01T00:00:00-03:00,62.26372016
2004-11-01,2004,1,11,BPAG12_ICAF12,2004-11-01T00:00:00-03:00,168.59803763
2004-12-01,2004,1,12,BPAG12_ICAF12,2004-12-01T00:00:00-02:00,-48.69924071
2005-01-01,2005,1,1,BPAG12_ICAF12,2005-01-01T00:00:00-02:00,20.11187255
2005-02-01,2005,1,2,BPAG12_ICAF12,2005-02-01T00:00:00-02:00,-194.72481266
2005-03-01,2005,1,3,BPAG12_ICAF12,2005-03-01T00:00:00-03:00,-68.13633873
2005-04-01,2005,1,4,BPAG12_ICAF12,2005-04-01T00:00:00-03:00,90.88657664
2005-05-01,2005,1,5,BPAG12_ICAF12,2005-05-01T00:00:00-03:00,27.94964899
2005-06-01,2005,1,6,BPAG12_ICAF12,2005-06-01T00:00:00-03:00,71.6126320199999
2005-07-01,2005,1,7,BPAG12_ICAF12,2005-07-01T00:00:00-03:00,-111.83216804
2005-08-01,2005,1,8,BPAG12_ICAF12,2005-08-01T00:00:00-03:00,241.03093841
2005-09-01,2005,1,9,BPAG12_ICAF12,2005-09-01T00:00:00-03:00,108.33864817
2005-10-01,2005,1,10,BPAG12_ICAF12,2005-10-01T00:00:00-03:00,140.0978935
2005-11-01,2005,1,11,BPAG12_ICAF12,2005-11-01T00:00:00-02:00,56.17588609
2005-12-01,2005,1,12,BPAG12_ICAF12,2005-12-01T00:00:00-02:00,13.2041008899999
2006-01-01,2006,1,1,BPAG12_ICAF12,2006-01-01T00:00:00-02:00,-241.93554104
2006-02-01,2006,1,2,BPAG12_ICAF12,2006-02-01T00:00:00-02:00,-348.11463461
2006-03-01,2006,1,3,BPAG12_ICAF12,2006-03-01T00:00:00-03:00,594.52865817
2006-04-01,2006,1,4,BPAG12_ICAF12,2006-04-01T00:00:00-03:00,112.93552793
2006-05-01,2006,1,5,BPAG12_ICAF12,2006-05-01T00:00:00-03:00,-660.11624468
2006-06-01,2006,1,6,BPAG12_ICAF12,2006-06-01T00:00:00-03:00,264.99539321
