DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (US$)
1995-01-01,1995,1,1,BPAG12_ICPAS12,1995-01-01T00:00:00-02:00,2638.381
1995-02-01,1995,1,2,BPAG12_ICPAS12,1995-02-01T00:00:00-02:00,1137.486
1995-03-01,1995,1,3,BPAG12_ICPAS12,1995-03-01T00:00:00-03:00,2650.264
1995-04-01,1995,1,4,BPAG12_ICPAS12,1995-04-01T00:00:00-03:00,1129.997
1995-05-01,1995,1,5,BPAG12_ICPAS12,1995-05-01T00:00:00-03:00,1310.865
1995-06-01,1995,1,6,BPAG12_ICPAS12,1995-06-01T00:00:00-03:00,1854.439
1995-07-01,1995,1,7,BPAG12_ICPAS12,1995-07-01T00:00:00-03:00,1248.248
1995-08-01,1995,1,8,BPAG12_ICPAS12,1995-08-01T00:00:00-03:00,2040.328
1995-09-01,1995,1,9,BPAG12_ICPAS12,1995-09-01T00:00:00-03:00,1519.459
1995-10-01,1995,1,10,BPAG12_ICPAS12,1995-10-01T00:00:00-03:00,2093.797
1995-11-01,1995,1,11,BPAG12_ICPAS12,1995-11-01T00:00:00-03:00,1819.306
1995-12-01,1995,1,12,BPAG12_ICPAS12,1995-12-01T00:00:00-02:00,1931.286
1996-01-01,1996,1,1,BPAG12_ICPAS12,1996-01-01T00:00:00-02:00,1360.617
1996-02-01,1996,1,2,BPAG12_ICPAS12,1996-02-01T00:00:00-02:00,1547.741
1996-03-01,1996,1,3,BPAG12_ICPAS12,1996-03-01T00:00:00-03:00,1904.653
1996-04-01,1996,1,4,BPAG12_ICPAS12,1996-04-01T00:00:00-03:00,1153.142
1996-05-01,1996,1,5,BPAG12_ICPAS12,1996-05-01T00:00:00-03:00,1697.755
1996-06-01,1996,1,6,BPAG12_ICPAS12,1996-06-01T00:00:00-03:00,1723.657
1996-07-01,1996,1,7,BPAG12_ICPAS12,1996-07-01T00:00:00-03:00,2203.563
1996-08-01,1996,1,8,BPAG12_ICPAS12,1996-08-01T00:00:00-03:00,1275.538
1996-09-01,1996,1,9,BPAG12_ICPAS12,1996-09-01T00:00:00-03:00,1169.386
1996-10-01,1996,1,10,BPAG12_ICPAS12,1996-10-01T00:00:00-03:00,1607.908
1996-11-01,1996,1,11,BPAG12_ICPAS12,1996-11-01T00:00:00-03:00,1783.608
1996-12-01,1996,1,12,BPAG12_ICPAS12,1996-12-01T00:00:00-02:00,2175.692
1997-01-01,1997,1,1,BPAG12_ICPAS12,1997-01-01T00:00:00-02:00,2271.033
1997-02-01,1997,1,2,BPAG12_ICPAS12,1997-02-01T00:00:00-02:00,1541.245
1997-03-01,1997,1,3,BPAG12_ICPAS12,1997-03-01T00:00:00-03:00,1412.26
1997-04-01,1997,1,4,BPAG12_ICPAS12,1997-04-01T00:00:00-03:00,1907.16
1997-05-01,1997,1,5,BPAG12_ICPAS12,1997-05-01T00:00:00-03:00,1770.308
1997-06-01,1997,1,6,BPAG12_ICPAS12,1997-06-01T00:00:00-03:00,3295.385
1997-07-01,1997,1,7,BPAG12_ICPAS12,1997-07-01T00:00:00-03:00,3453.496
1997-08-01,1997,1,8,BPAG12_ICPAS12,1997-08-01T00:00:00-03:00,3023.021
1997-09-01,1997,1,9,BPAG12_ICPAS12,1997-09-01T00:00:00-03:00,2554.083
1997-10-01,1997,1,10,BPAG12_ICPAS12,1997-10-01T00:00:00-03:00,3762.91
1997-11-01,1997,1,11,BPAG12_ICPAS12,1997-11-01T00:00:00-03:00,3890.36
1997-12-01,1997,1,12,BPAG12_ICPAS12,1997-12-01T00:00:00-02:00,3265.03
1998-01-01,1998,1,1,BPAG12_ICPAS12,1998-01-01T00:00:00-02:00,1804.993
1998-02-01,1998,1,2,BPAG12_ICPAS12,1998-02-01T00:00:00-02:00,1756.025
1998-03-01,1998,1,3,BPAG12_ICPAS12,1998-03-01T00:00:00-03:00,1867.227
1998-04-01,1998,1,4,BPAG12_ICPAS12,1998-04-01T00:00:00-03:00,2122.346
1998-05-01,1998,1,5,BPAG12_ICPAS12,1998-05-01T00:00:00-03:00,2228.197
