DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (US$)
1995-01-01,1995,1,1,BPAG12_ICPRFDI12,1995-01-01T00:00:00-02:00,5.9
1995-02-01,1995,1,2,BPAG12_ICPRFDI12,1995-02-01T00:00:00-02:00,37.404
1995-03-01,1995,1,3,BPAG12_ICPRFDI12,1995-03-01T00:00:00-03:00,10.701
1995-04-01,1995,1,4,BPAG12_ICPRFDI12,1995-04-01T00:00:00-03:00,2.648
1995-05-01,1995,1,5,BPAG12_ICPRFDI12,1995-05-01T00:00:00-03:00,64.997
1995-06-01,1995,1,6,BPAG12_ICPRFDI12,1995-06-01T00:00:00-03:00,2.166
1995-07-01,1995,1,7,BPAG12_ICPRFDI12,1995-07-01T00:00:00-03:00,124.812
1995-08-01,1995,1,8,BPAG12_ICPRFDI12,1995-08-01T00:00:00-03:00,60.494
1995-09-01,1995,1,9,BPAG12_ICPRFDI12,1995-09-01T00:00:00-03:00,35.5
1995-10-01,1995,1,10,BPAG12_ICPRFDI12,1995-10-01T00:00:00-03:00,66.033
1995-11-01,1995,1,11,BPAG12_ICPRFDI12,1995-11-01T00:00:00-03:00,50.628
1995-12-01,1995,1,12,BPAG12_ICPRFDI12,1995-12-01T00:00:00-02:00,4.387
1996-01-01,1996,1,1,BPAG12_ICPRFDI12,1996-01-01T00:00:00-02:00,79.081
1996-02-01,1996,1,2,BPAG12_ICPRFDI12,1996-02-01T00:00:00-02:00,87.999
1996-03-01,1996,1,3,BPAG12_ICPRFDI12,1996-03-01T00:00:00-03:00,87.792
1996-04-01,1996,1,4,BPAG12_ICPRFDI12,1996-04-01T00:00:00-03:00,8.331
1996-05-01,1996,1,5,BPAG12_ICPRFDI12,1996-05-01T00:00:00-03:00,9.165
1996-06-01,1996,1,6,BPAG12_ICPRFDI12,1996-06-01T00:00:00-03:00,14.846
1996-07-01,1996,1,7,BPAG12_ICPRFDI12,1996-07-01T00:00:00-03:00,61.571
1996-08-01,1996,1,8,BPAG12_ICPRFDI12,1996-08-01T00:00:00-03:00,19.92
1996-09-01,1996,1,9,BPAG12_ICPRFDI12,1996-09-01T00:00:00-03:00,13.596
1996-10-01,1996,1,10,BPAG12_ICPRFDI12,1996-10-01T00:00:00-03:00,12.705
1996-11-01,1996,1,11,BPAG12_ICPRFDI12,1996-11-01T00:00:00-03:00,10.044
1996-12-01,1996,1,12,BPAG12_ICPRFDI12,1996-12-01T00:00:00-02:00,8.06
1997-01-01,1997,1,1,BPAG12_ICPRFDI12,1997-01-01T00:00:00-02:00,8.167
1997-02-01,1997,1,2,BPAG12_ICPRFDI12,1997-02-01T00:00:00-02:00,5.451
1997-03-01,1997,1,3,BPAG12_ICPRFDI12,1997-03-01T00:00:00-03:00,32.108
1997-04-01,1997,1,4,BPAG12_ICPRFDI12,1997-04-01T00:00:00-03:00,26.579
1997-05-01,1997,1,5,BPAG12_ICPRFDI12,1997-05-01T00:00:00-03:00,2.965
1997-06-01,1997,1,6,BPAG12_ICPRFDI12,1997-06-01T00:00:00-03:00,62.922
1997-07-01,1997,1,7,BPAG12_ICPRFDI12,1997-07-01T00:00:00-03:00,10.769
1997-08-01,1997,1,8,BPAG12_ICPRFDI12,1997-08-01T00:00:00-03:00,10.949
1997-09-01,1997,1,9,BPAG12_ICPRFDI12,1997-09-01T00:00:00-03:00,4.888
1997-10-01,1997,1,10,BPAG12_ICPRFDI12,1997-10-01T00:00:00-03:00,2.667
1997-11-01,1997,1,11,BPAG12_ICPRFDI12,1997-11-01T00:00:00-03:00,4.335
1997-12-01,1997,1,12,BPAG12_ICPRFDI12,1997-12-01T00:00:00-02:00,366.465
1998-01-01,1998,1,1,BPAG12_ICPRFDI12,1998-01-01T00:00:00-02:00,89.699
1998-02-01,1998,1,2,BPAG12_ICPRFDI12,1998-02-01T00:00:00-02:00,696.928
1998-03-01,1998,1,3,BPAG12_ICPRFDI12,1998-03-01T00:00:00-03:00,250.287
1998-04-01,1998,1,4,BPAG12_ICPRFDI12,1998-04-01T00:00:00-03:00,1390.177
1998-05-01,1998,1,5,BPAG12_ICPRFDI12,1998-05-01T00:00:00-03:00,1357.021
1998-06-01,1998,1,6,BPAG12_ICPRFDI12,1998-06-01T00:00:00-03:00,13.592
1998-07-01,1998,1,7,BPAG12_ICPRFDI12,1998-07-01T00:00:00-03:00,114.376
1998-08-01,1998,1,8,BPAG12_ICPRFDI12,1998-08-01T00:00:00-03:00,47.934
1998-09-01,1998,1,9,BPAG12_ICPRFDI12,1998-09-01T00:00:00-03:00,11.218
1998-10-01,1998,1,10,BPAG12_ICPRFDI12,1998-10-01T00:00:00-03:00,60.244
1998-11-01,1998,1,11,BPAG12_ICPRFDI12,1998-11-01T00:00:00-03:00,32.309
1998-12-01,1998,1,12,BPAG12_ICPRFDI12,1998-12-01T00:00:00-02:00,13.917
1999-01-01,1999,1,1,BPAG12_ICPRFDI12,1999-01-01T00:00:00-02:00,14.558
1999-02-01,1999,1,2,BPAG12_ICPRFDI12,1999-02-01T00:00:00-02:00,101.772
1999-03-01,1999,1,3,BPAG12_ICPRFDI12,1999-03-01T00:00:00-03:00,1329.531
1999-04-01,1999,1,4,BPAG12_ICPRFDI12,1999-04-01T00:00:00-03:00,428.565
1999-05-01,1999,1,5,BPAG12_ICPRFDI12,1999-05-01T00:00:00-03:00,251.832
1999-06-01,1999,1,6,BPAG12_ICPRFDI12,1999-06-01T00:00:00-03:00,100.918
1999-07-01,1999,1,7,BPAG12_ICPRFDI12,1999-07-01T00:00:00-03:00,71.165
1999-08-01,1999,1,8,BPAG12_ICPRFDI12,1999-08-01T00:00:00-03:00,61.159
1999-09-01,1999,1,9,BPAG12_ICPRFDI12,1999-09-01T00:00:00-03:00,221.542
1999-10-01,1999,1,10,BPAG12_ICPRFDI12,1999-10-01T00:00:00-03:00,24.783
1999-11-01,1999,1,11,BPAG12_ICPRFDI12,1999-11-01T00:00:00-03:00,93.779
1999-12-01,1999,1,12,BPAG12_ICPRFDI12,1999-12-01T00:00:00-02:00,164.346
2000-01-01,2000,1,1,BPAG12_ICPRFDI12,2000-01-01T00:00:00-02:00,79.626
2000-02-01,2000,1,2,BPAG12_ICPRFDI12,2000-02-01T00:00:00-02:00,20.108
2000-03-01,2000,1,3,BPAG12_ICPRFDI12,2000-03-01T00:00:00-03:00,59.94018
2000-04-01,2000,1,4,BPAG12_ICPRFDI12,2000-04-01T00:00:00-03:00,90.95823
2000-05-01,2000,1,5,BPAG12_ICPRFDI12,2000-05-01T00:00:00-03:00,169.57243
2000-06-01,2000,1,6,BPAG12_ICPRFDI12,2000-06-01T00:00:00-03:00,184.8221
2000-07-01,2000,1,7,BPAG12_ICPRFDI12,2000-07-01T00:00:00-03:00,119.92541
2000-08-01,2000,1,8,BPAG12_ICPRFDI12,2000-08-01T00:00:00-03:00,100.44573
2000-09-01,2000,1,9,BPAG12_ICPRFDI12,2000-09-01T00:00:00-03:00,84.00128
2000-10-01,2000,1,10,BPAG12_ICPRFDI12,2000-10-01T00:00:00-03:00,246.37777
