DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (US$)
1995-01-01,1995,1,1,BPAG12_ICPRFINI12,1995-01-01T00:00:00-02:00,484.4
1995-02-01,1995,1,2,BPAG12_ICPRFINI12,1995-02-01T00:00:00-02:00,105.2
1995-03-01,1995,1,3,BPAG12_ICPRFINI12,1995-03-01T00:00:00-03:00,67.8
1995-04-01,1995,1,4,BPAG12_ICPRFINI12,1995-04-01T00:00:00-03:00,530.1
1995-05-01,1995,1,5,BPAG12_ICPRFINI12,1995-05-01T00:00:00-03:00,611.4
1995-06-01,1995,1,6,BPAG12_ICPRFINI12,1995-06-01T00:00:00-03:00,2615.9
1995-07-01,1995,1,7,BPAG12_ICPRFINI12,1995-07-01T00:00:00-03:00,2038.6
1995-08-01,1995,1,8,BPAG12_ICPRFINI12,1995-08-01T00:00:00-03:00,1504.5
1995-09-01,1995,1,9,BPAG12_ICPRFINI12,1995-09-01T00:00:00-03:00,328.3
1995-10-01,1995,1,10,BPAG12_ICPRFINI12,1995-10-01T00:00:00-03:00,1295.9
1995-11-01,1995,1,11,BPAG12_ICPRFINI12,1995-11-01T00:00:00-03:00,801.6
1995-12-01,1995,1,12,BPAG12_ICPRFINI12,1995-12-01T00:00:00-02:00,1017.8
1996-01-01,1996,1,1,BPAG12_ICPRFINI12,1996-01-01T00:00:00-02:00,699.883
1996-02-01,1996,1,2,BPAG12_ICPRFINI12,1996-02-01T00:00:00-02:00,1217.928
1996-03-01,1996,1,3,BPAG12_ICPRFINI12,1996-03-01T00:00:00-03:00,1218.036
1996-04-01,1996,1,4,BPAG12_ICPRFINI12,1996-04-01T00:00:00-03:00,970.397
1996-05-01,1996,1,5,BPAG12_ICPRFINI12,1996-05-01T00:00:00-03:00,2045.199
1996-06-01,1996,1,6,BPAG12_ICPRFINI12,1996-06-01T00:00:00-03:00,2334.717
1996-07-01,1996,1,7,BPAG12_ICPRFINI12,1996-07-01T00:00:00-03:00,1680.25
1996-08-01,1996,1,8,BPAG12_ICPRFINI12,1996-08-01T00:00:00-03:00,769.976
1996-09-01,1996,1,9,BPAG12_ICPRFINI12,1996-09-01T00:00:00-03:00,425.944
1996-10-01,1996,1,10,BPAG12_ICPRFINI12,1996-10-01T00:00:00-03:00,1618.242
1996-11-01,1996,1,11,BPAG12_ICPRFINI12,1996-11-01T00:00:00-03:00,2961.433
1996-12-01,1996,1,12,BPAG12_ICPRFINI12,1996-12-01T00:00:00-02:00,3424.828
1997-01-01,1997,1,1,BPAG12_ICPRFINI12,1997-01-01T00:00:00-02:00,539.046
1997-02-01,1997,1,2,BPAG12_ICPRFINI12,1997-02-01T00:00:00-02:00,1205.258
1997-03-01,1997,1,3,BPAG12_ICPRFINI12,1997-03-01T00:00:00-03:00,749.738
1997-04-01,1997,1,4,BPAG12_ICPRFINI12,1997-04-01T00:00:00-03:00,902.927
1997-05-01,1997,1,5,BPAG12_ICPRFINI12,1997-05-01T00:00:00-03:00,1483.798
1997-06-01,1997,1,6,BPAG12_ICPRFINI12,1997-06-01T00:00:00-03:00,4750.242
1997-07-01,1997,1,7,BPAG12_ICPRFINI12,1997-07-01T00:00:00-03:00,2589.701
1997-08-01,1997,1,8,BPAG12_ICPRFINI12,1997-08-01T00:00:00-03:00,1994.882
1997-09-01,1997,1,9,BPAG12_ICPRFINI12,1997-09-01T00:00:00-03:00,1398.081
1997-10-01,1997,1,10,BPAG12_ICPRFINI12,1997-10-01T00:00:00-03:00,1582.935
