DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (US$)
1995-01-01,1995,1,1,BPAG12_ICPRFINS12,1995-01-01T00:00:00-02:00,115.9
1995-02-01,1995,1,2,BPAG12_ICPRFINS12,1995-02-01T00:00:00-02:00,91.9
1995-03-01,1995,1,3,BPAG12_ICPRFINS12,1995-03-01T00:00:00-03:00,198.6
1995-04-01,1995,1,4,BPAG12_ICPRFINS12,1995-04-01T00:00:00-03:00,504.4
1995-05-01,1995,1,5,BPAG12_ICPRFINS12,1995-05-01T00:00:00-03:00,396.6
1995-06-01,1995,1,6,BPAG12_ICPRFINS12,1995-06-01T00:00:00-03:00,436.3
1995-07-01,1995,1,7,BPAG12_ICPRFINS12,1995-07-01T00:00:00-03:00,157.8
1995-08-01,1995,1,8,BPAG12_ICPRFINS12,1995-08-01T00:00:00-03:00,99.4
1995-09-01,1995,1,9,BPAG12_ICPRFINS12,1995-09-01T00:00:00-03:00,299.2
1995-10-01,1995,1,10,BPAG12_ICPRFINS12,1995-10-01T00:00:00-03:00,381.9
1995-11-01,1995,1,11,BPAG12_ICPRFINS12,1995-11-01T00:00:00-03:00,278.1
1995-12-01,1995,1,12,BPAG12_ICPRFINS12,1995-12-01T00:00:00-02:00,396.8
1996-01-01,1996,1,1,BPAG12_ICPRFINS12,1996-01-01T00:00:00-02:00,54.84
1996-02-01,1996,1,2,BPAG12_ICPRFINS12,1996-02-01T00:00:00-02:00,153.561
1996-03-01,1996,1,3,BPAG12_ICPRFINS12,1996-03-01T00:00:00-03:00,375.267
1996-04-01,1996,1,4,BPAG12_ICPRFINS12,1996-04-01T00:00:00-03:00,349.803
1996-05-01,1996,1,5,BPAG12_ICPRFINS12,1996-05-01T00:00:00-03:00,320.246
1996-06-01,1996,1,6,BPAG12_ICPRFINS12,1996-06-01T00:00:00-03:00,328.932
1996-07-01,1996,1,7,BPAG12_ICPRFINS12,1996-07-01T00:00:00-03:00,249.284
1996-08-01,1996,1,8,BPAG12_ICPRFINS12,1996-08-01T00:00:00-03:00,35.271
1996-09-01,1996,1,9,BPAG12_ICPRFINS12,1996-09-01T00:00:00-03:00,115.521
1996-10-01,1996,1,10,BPAG12_ICPRFINS12,1996-10-01T00:00:00-03:00,428.809
1996-11-01,1996,1,11,BPAG12_ICPRFINS12,1996-11-01T00:00:00-03:00,486.625
1996-12-01,1996,1,12,BPAG12_ICPRFINS12,1996-12-01T00:00:00-02:00,527.437
1997-01-01,1997,1,1,BPAG12_ICPRFINS12,1997-01-01T00:00:00-02:00,472.665
1997-02-01,1997,1,2,BPAG12_ICPRFINS12,1997-02-01T00:00:00-02:00,61.029
1997-03-01,1997,1,3,BPAG12_ICPRFINS12,1997-03-01T00:00:00-03:00,406.127
1997-04-01,1997,1,4,BPAG12_ICPRFINS12,1997-04-01T00:00:00-03:00,178.246
1997-05-01,1997,1,5,BPAG12_ICPRFINS12,1997-05-01T00:00:00-03:00,341.076
1997-06-01,1997,1,6,BPAG12_ICPRFINS12,1997-06-01T00:00:00-03:00,4533.569
1997-07-01,1997,1,7,BPAG12_ICPRFINS12,1997-07-01T00:00:00-03:00,548.444
1997-08-01,1997,1,8,BPAG12_ICPRFINS12,1997-08-01T00:00:00-03:00,669.775
1997-09-01,1997,1,9,BPAG12_ICPRFINS12,1997-09-01T00:00:00-03:00,481.372
1997-10-01,1997,1,10,BPAG12_ICPRFINS12,1997-10-01T00:00:00-03:00,1126.327
1997-11-01,1997,1,11,BPAG12_ICPRFINS12,1997-11-01T00:00:00-03:00,1031.453
1997-12-01,1997,1,12,BPAG12_ICPRFINS12,1997-12-01T00:00:00-02:00,5127.634
1998-01-01,1998,1,1,BPAG12_ICPRFINS12,1998-01-01T00:00:00-02:00,297.474
1998-02-01,1998,1,2,BPAG12_ICPRFINS12,1998-02-01T00:00:00-02:00,398.18
1998-03-01,1998,1,3,BPAG12_ICPRFINS12,1998-03-01T00:00:00-03:00,288.641
1998-04-01,1998,1,4,BPAG12_ICPRFINS12,1998-04-01T00:00:00-03:00,180.475
1998-05-01,1998,1,5,BPAG12_ICPRFINS12,1998-05-01T00:00:00-03:00,557.584
1998-06-01,1998,1,6,BPAG12_ICPRFINS12,1998-06-01T00:00:00-03:00,1173.329
1998-07-01,1998,1,7,BPAG12_ICPRFINS12,1998-07-01T00:00:00-03:00,1030.111
1998-08-01,1998,1,8,BPAG12_ICPRFINS12,1998-08-01T00:00:00-03:00,658.641
1998-09-01,1998,1,9,BPAG12_ICPRFINS12,1998-09-01T00:00:00-03:00,475.363
