DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (US$)
1995-01-01,1995,1,1,BPAG12_IDPOIA12,1995-01-01T00:00:00-02:00,58.065
1995-02-01,1995,1,2,BPAG12_IDPOIA12,1995-02-01T00:00:00-02:00,53.4
1995-03-01,1995,1,3,BPAG12_IDPOIA12,1995-03-01T00:00:00-03:00,177.9
1995-04-01,1995,1,4,BPAG12_IDPOIA12,1995-04-01T00:00:00-03:00,29.34
1995-05-01,1995,1,5,BPAG12_IDPOIA12,1995-05-01T00:00:00-03:00,46.0
1995-06-01,1995,1,6,BPAG12_IDPOIA12,1995-06-01T00:00:00-03:00,35.669
1995-07-01,1995,1,7,BPAG12_IDPOIA12,1995-07-01T00:00:00-03:00,54.38
1995-08-01,1995,1,8,BPAG12_IDPOIA12,1995-08-01T00:00:00-03:00,45.7
1995-09-01,1995,1,9,BPAG12_IDPOIA12,1995-09-01T00:00:00-03:00,28.9
1995-10-01,1995,1,10,BPAG12_IDPOIA12,1995-10-01T00:00:00-03:00,15.944
1995-11-01,1995,1,11,BPAG12_IDPOIA12,1995-11-01T00:00:00-03:00,70.8
1995-12-01,1995,1,12,BPAG12_IDPOIA12,1995-12-01T00:00:00-02:00,111.989
1996-01-01,1996,1,1,BPAG12_IDPOIA12,1996-01-01T00:00:00-02:00,80.402
1996-02-01,1996,1,2,BPAG12_IDPOIA12,1996-02-01T00:00:00-02:00,62.443
1996-03-01,1996,1,3,BPAG12_IDPOIA12,1996-03-01T00:00:00-03:00,27.203
1996-04-01,1996,1,4,BPAG12_IDPOIA12,1996-04-01T00:00:00-03:00,8.54
1996-05-01,1996,1,5,BPAG12_IDPOIA12,1996-05-01T00:00:00-03:00,26.515
1996-06-01,1996,1,6,BPAG12_IDPOIA12,1996-06-01T00:00:00-03:00,41.184
1996-07-01,1996,1,7,BPAG12_IDPOIA12,1996-07-01T00:00:00-03:00,37.74
1996-08-01,1996,1,8,BPAG12_IDPOIA12,1996-08-01T00:00:00-03:00,72.123
1996-09-01,1996,1,9,BPAG12_IDPOIA12,1996-09-01T00:00:00-03:00,26.044
1996-10-01,1996,1,10,BPAG12_IDPOIA12,1996-10-01T00:00:00-03:00,115.455
1996-11-01,1996,1,11,BPAG12_IDPOIA12,1996-11-01T00:00:00-03:00,48.464
1996-12-01,1996,1,12,BPAG12_IDPOIA12,1996-12-01T00:00:00-02:00,92.601
1997-01-01,1997,1,1,BPAG12_IDPOIA12,1997-01-01T00:00:00-02:00,211.776
1997-02-01,1997,1,2,BPAG12_IDPOIA12,1997-02-01T00:00:00-02:00,75.554
1997-03-01,1997,1,3,BPAG12_IDPOIA12,1997-03-01T00:00:00-03:00,47.078
1997-04-01,1997,1,4,BPAG12_IDPOIA12,1997-04-01T00:00:00-03:00,54.876
1997-05-01,1997,1,5,BPAG12_IDPOIA12,1997-05-01T00:00:00-03:00,129.075
1997-06-01,1997,1,6,BPAG12_IDPOIA12,1997-06-01T00:00:00-03:00,178.847
1997-07-01,1997,1,7,BPAG12_IDPOIA12,1997-07-01T00:00:00-03:00,63.548
1997-08-01,1997,1,8,BPAG12_IDPOIA12,1997-08-01T00:00:00-03:00,55.529
1997-09-01,1997,1,9,BPAG12_IDPOIA12,1997-09-01T00:00:00-03:00,40.49
1997-10-01,1997,1,10,BPAG12_IDPOIA12,1997-10-01T00:00:00-03:00,145.081
1997-11-01,1997,1,11,BPAG12_IDPOIA12,1997-11-01T00:00:00-03:00,65.696
1997-12-01,1997,1,12,BPAG12_IDPOIA12,1997-12-01T00:00:00-02:00,76.644
