DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (US$)
1995-01-01,1995,1,1,BPAG12_MDA12,1995-01-01T00:00:00-02:00,-2084.98811704
1995-02-01,1995,1,2,BPAG12_MDA12,1995-02-01T00:00:00-02:00,115.76735171
1995-03-01,1995,1,3,BPAG12_MDA12,1995-03-01T00:00:00-03:00,-1246.87408959
1995-04-01,1995,1,4,BPAG12_MDA12,1995-04-01T00:00:00-03:00,-414.114
1995-05-01,1995,1,5,BPAG12_MDA12,1995-05-01T00:00:00-03:00,108.03347131
1995-06-01,1995,1,6,BPAG12_MDA12,1995-06-01T00:00:00-03:00,328.36163717
1995-07-01,1995,1,7,BPAG12_MDA12,1995-07-01T00:00:00-03:00,-1079.02
1995-08-01,1995,1,8,BPAG12_MDA12,1995-08-01T00:00:00-03:00,420.51474201
1995-09-01,1995,1,9,BPAG12_MDA12,1995-09-01T00:00:00-03:00,-2627.674
1995-10-01,1995,1,10,BPAG12_MDA12,1995-10-01T00:00:00-03:00,529.90073605
1995-11-01,1995,1,11,BPAG12_MDA12,1995-11-01T00:00:00-03:00,-667.90838135
1995-12-01,1995,1,12,BPAG12_MDA12,1995-12-01T00:00:00-02:00,-165.77431221
1996-01-01,1996,1,1,BPAG12_MDA12,1996-01-01T00:00:00-02:00,891.17785551
1996-02-01,1996,1,2,BPAG12_MDA12,1996-02-01T00:00:00-02:00,-301.535
1996-03-01,1996,1,3,BPAG12_MDA12,1996-03-01T00:00:00-03:00,-263.99693548
1996-04-01,1996,1,4,BPAG12_MDA12,1996-04-01T00:00:00-03:00,386.84406267
1996-05-01,1996,1,5,BPAG12_MDA12,1996-05-01T00:00:00-03:00,1421.432
1996-06-01,1996,1,6,BPAG12_MDA12,1996-06-01T00:00:00-03:00,1273.3835991
1996-07-01,1996,1,7,BPAG12_MDA12,1996-07-01T00:00:00-03:00,-959.0107379
1996-08-01,1996,1,8,BPAG12_MDA12,1996-08-01T00:00:00-03:00,815.59580661
1996-09-01,1996,1,9,BPAG12_MDA12,1996-09-01T00:00:00-03:00,393.92978329
1996-10-01,1996,1,10,BPAG12_MDA12,1996-10-01T00:00:00-03:00,-865.42412
1996-11-01,1996,1,11,BPAG12_MDA12,1996-11-01T00:00:00-03:00,1253.484
1996-12-01,1996,1,12,BPAG12_MDA12,1996-12-01T00:00:00-02:00,1979.60899606
1997-01-01,1997,1,1,BPAG12_MDA12,1997-01-01T00:00:00-02:00,-282.95511264
1997-02-01,1997,1,2,BPAG12_MDA12,1997-02-01T00:00:00-02:00,272.70809627
1997-03-01,1997,1,3,BPAG12_MDA12,1997-03-01T00:00:00-03:00,1220.635
1997-04-01,1997,1,4,BPAG12_MDA12,1997-04-01T00:00:00-03:00,297.39526291
1997-05-01,1997,1,5,BPAG12_MDA12,1997-05-01T00:00:00-03:00,-542.85416859
1997-06-01,1997,1,6,BPAG12_MDA12,1997-06-01T00:00:00-03:00,634.97147237
1997-07-01,1997,1,7,BPAG12_MDA12,1997-07-01T00:00:00-03:00,-529.79266442
1997-08-01,1997,1,8,BPAG12_MDA12,1997-08-01T00:00:00-03:00,-375.159
1997-09-01,1997,1,9,BPAG12_MDA12,1997-09-01T00:00:00-03:00,669.30044746
1997-10-01,1997,1,10,BPAG12_MDA12,1997-10-01T00:00:00-03:00,4574.42685864
1997-11-01,1997,1,11,BPAG12_MDA12,1997-11-01T00:00:00-03:00,-3244.82856235
1997-12-01,1997,1,12,BPAG12_MDA12,1997-12-01T00:00:00-02:00,-2260.7992067
1998-01-01,1998,1,1,BPAG12_MDA12,1998-01-01T00:00:00-02:00,-1014.17276308982
1998-02-01,1998,1,2,BPAG12_MDA12,1998-02-01T00:00:00-02:00,738.739171266812
1998-03-01,1998,1,3,BPAG12_MDA12,1998-03-01T00:00:00-03:00,940.761833540374
1998-04-01,1998,1,4,BPAG12_MDA12,1998-04-01T00:00:00-03:00,-69.6508996689897
1998-05-01,1998,1,5,BPAG12_MDA12,1998-05-01T00:00:00-03:00,269.899773947124
1998-06-01,1998,1,6,BPAG12_MDA12,1998-06-01T00:00:00-03:00,-373.091347681901
1998-07-01,1998,1,7,BPAG12_MDA12,1998-07-01T00:00:00-03:00,7434.45703537347
1998-08-01,1998,1,8,BPAG12_MDA12,1998-08-01T00:00:00-03:00,-7981.94681364395
1998-09-01,1998,1,9,BPAG12_MDA12,1998-09-01T00:00:00-03:00,4207.09390166233
1998-10-01,1998,1,10,BPAG12_MDA12,1998-10-01T00:00:00-03:00,1326.10598674877
1998-11-01,1998,1,11,BPAG12_MDA12,1998-11-01T00:00:00-03:00,-2338.81334565493
1998-12-01,1998,1,12,BPAG12_MDA12,1998-12-01T00:00:00-02:00,-254.255857835943
1999-01-01,1999,1,1,BPAG12_MDA12,1999-01-01T00:00:00-02:00,-24.3864808753509
1999-02-01,1999,1,2,BPAG12_MDA12,1999-02-01T00:00:00-02:00,-1894.52932912132
1999-03-01,1999,1,3,BPAG12_MDA12,1999-03-01T00:00:00-03:00,1515.93310536888
1999-04-01,1999,1,4,BPAG12_MDA12,1999-04-01T00:00:00-03:00,1281.68809937359
1999-05-01,1999,1,5,BPAG12_MDA12,1999-05-01T00:00:00-03:00,2343.59024761076
1999-06-01,1999,1,6,BPAG12_MDA12,1999-06-01T00:00:00-03:00,-3587.38044356002
1999-07-01,1999,1,7,BPAG12_MDA12,1999-07-01T00:00:00-03:00,-742.296161429965
1999-08-01,1999,1,8,BPAG12_MDA12,1999-08-01T00:00:00-03:00,1094.05202817406
1999-09-01,1999,1,9,BPAG12_MDA12,1999-09-01T00:00:00-03:00,141.992168989673
1999-10-01,1999,1,10,BPAG12_MDA12,1999-10-01T00:00:00-03:00,-135.981349543116
1999-11-01,1999,1,11,BPAG12_MDA12,1999-11-01T00:00:00-03:00,881.316944873448
1999-12-01,1999,1,12,BPAG12_MDA12,1999-12-01T00:00:00-02:00,1072.77182695003
2000-01-01,2000,1,1,BPAG12_MDA12,2000-01-01T00:00:00-02:00,-286.454714920474
2000-02-01,2000,1,2,BPAG12_MDA12,2000-02-01T00:00:00-02:00,-623.538579401401
2000-03-01,2000,1,3,BPAG12_MDA12,2000-03-01T00:00:00-03:00,277.747546143317
2000-04-01,2000,1,4,BPAG12_MDA12,2000-04-01T00:00:00-03:00,-1653.87450630981
2000-05-01,2000,1,5,BPAG12_MDA12,2000-05-01T00:00:00-03:00,294.848937010141
2000-06-01,2000,1,6,BPAG12_MDA12,2000-06-01T00:00:00-03:00,2065.44278233991
2000-07-01,2000,1,7,BPAG12_MDA12,2000-07-01T00:00:00-03:00,545.513633545595
2000-08-01,2000,1,8,BPAG12_MDA12,2000-08-01T00:00:00-03:00,-1053.20939202862
2000-09-01,2000,1,9,BPAG12_MDA12,2000-09-01T00:00:00-03:00,-147.818674327478
2000-10-01,2000,1,10,BPAG12_MDA12,2000-10-01T00:00:00-03:00,-21.5193884336636
2000-11-01,2000,1,11,BPAG12_MDA12,2000-11-01T00:00:00-03:00,1283.15681935645
2000-12-01,2000,1,12,BPAG12_MDA12,2000-12-01T00:00:00-02:00,817.765479179916
2001-01-01,2001,1,1,BPAG12_MDA12,2001-01-01T00:00:00-02:00,-486.452820172794
2001-02-01,2001,1,2,BPAG12_MDA12,2001-02-01T00:00:00-02:00,494.48663575786
2001-03-01,2001,1,3,BPAG12_MDA12,2001-03-01T00:00:00-03:00,-270.664558428257
2001-04-01,2001,1,4,BPAG12_MDA12,2001-04-01T00:00:00-03:00,202.812352860994
2001-05-01,2001,1,5,BPAG12_MDA12,2001-05-01T00:00:00-03:00,-249.391716193066
2001-06-01,2001,1,6,BPAG12_MDA12,2001-06-01T00:00:00-03:00,1954.27976035317
2001-07-01,2001,1,7,BPAG12_MDA12,2001-07-01T00:00:00-03:00,3023.34734602292
2001-08-01,2001,1,8,BPAG12_MDA12,2001-08-01T00:00:00-03:00,951.574597752369
2001-09-01,2001,1,9,BPAG12_MDA12,2001-09-01T00:00:00-03:00,-917.664598960652
2001-10-01,2001,1,10,BPAG12_MDA12,2001-10-01T00:00:00-03:00,-1268.4446853059
2001-11-01,2001,1,11,BPAG12_MDA12,2001-11-01T00:00:00-03:00,874.269923362258
2001-12-01,2001,1,12,BPAG12_MDA12,2001-12-01T00:00:00-02:00,3729.14677375689
2002-01-01,2002,1,1,BPAG12_MDA12,2002-01-01T00:00:00-02:00,232.697290438474
2002-02-01,2002,1,2,BPAG12_MDA12,2002-02-01T00:00:00-02:00,-1729.12654306539
2002-03-01,2002,1,3,BPAG12_MDA12,2002-03-01T00:00:00-03:00,826.233983040389
2002-04-01,2002,1,4,BPAG12_MDA12,2002-04-01T00:00:00-03:00,961.445479399089
2002-05-01,2002,1,5,BPAG12_MDA12,2002-05-01T00:00:00-03:00,-392.399605275422
2002-06-01,2002,1,6,BPAG12_MDA12,2002-06-01T00:00:00-03:00,403.512006486448
2002-07-01,2002,1,7,BPAG12_MDA12,2002-07-01T00:00:00-03:00,403.523138802299
2002-08-01,2002,1,8,BPAG12_MDA12,2002-08-01T00:00:00-03:00,-628.595746181314
2002-09-01,2002,1,9,BPAG12_MDA12,2002-09-01T00:00:00-03:00,575.325450214411
2002-10-01,2002,1,10,BPAG12_MDA12,2002-10-01T00:00:00-03:00,1224.56227149832
2002-11-01,2002,1,11,BPAG12_MDA12,2002-11-01T00:00:00-03:00,-834.488970829028
2002-12-01,2002,1,12,BPAG12_MDA12,2002-12-01T00:00:00-02:00,-158.870490173597
2003-01-01,2003,1,1,BPAG12_MDA12,2003-01-01T00:00:00-02:00,-107.408582860741
2003-02-01,2003,1,2,BPAG12_MDA12,2003-02-01T00:00:00-02:00,524.929877963663
2003-03-01,2003,1,3,BPAG12_MDA12,2003-03-01T00:00:00-03:00,-169.898727745491
2003-04-01,2003,1,4,BPAG12_MDA12,2003-04-01T00:00:00-03:00,1091.37909174707
2003-05-01,2003,1,5,BPAG12_MDA12,2003-05-01T00:00:00-03:00,266.294388141426
2003-06-01,2003,1,6,BPAG12_MDA12,2003-06-01T00:00:00-03:00,-470.296963114104
2003-07-01,2003,1,7,BPAG12_MDA12,2003-07-01T00:00:00-03:00,716.379327428157
2003-08-01,2003,1,8,BPAG12_MDA12,2003-08-01T00:00:00-03:00,-644.778469417404
2003-09-01,2003,1,9,BPAG12_MDA12,2003-09-01T00:00:00-03:00,1103.42155444377
2003-10-01,2003,1,10,BPAG12_MDA12,2003-10-01T00:00:00-03:00,-153.311774853078
2003-11-01,2003,1,11,BPAG12_MDA12,2003-11-01T00:00:00-03:00,2456.44057989131
2003-12-01,2003,1,12,BPAG12_MDA12,2003-12-01T00:00:00-02:00,3466.67544551313
2004-01-01,2004,1,1,BPAG12_MDA12,2004-01-01T00:00:00-02:00,-525.274904735266
2004-02-01,2004,1,2,BPAG12_MDA12,2004-02-01T00:00:00-02:00,1116.83837402171
2004-03-01,2004,1,3,BPAG12_MDA12,2004-03-01T00:00:00-03:00,-117.007256504485
2004-04-01,2004,1,4,BPAG12_MDA12,2004-04-01T00:00:00-03:00,-4053.3290878928
2004-05-01,2004,1,5,BPAG12_MDA12,2004-05-01T00:00:00-03:00,2481.4099358211
2004-06-01,2004,1,6,BPAG12_MDA12,2004-06-01T00:00:00-03:00,-1312.3511618724
2004-07-01,2004,1,7,BPAG12_MDA12,2004-07-01T00:00:00-03:00,47.5571397459549
2004-08-01,2004,1,8,BPAG12_MDA12,2004-08-01T00:00:00-03:00,-160.795570616772
2004-09-01,2004,1,9,BPAG12_MDA12,2004-09-01T00:00:00-03:00,368.330263779406
2004-10-01,2004,1,10,BPAG12_MDA12,2004-10-01T00:00:00-03:00,1845.41338818756
2004-11-01,2004,1,11,BPAG12_MDA12,2004-11-01T00:00:00-03:00,-246.598246666999
2004-12-01,2004,1,12,BPAG12_MDA12,2004-12-01T00:00:00-02:00,519.155639122765
2005-01-01,2005,1,1,BPAG12_MDA12,2005-01-01T00:00:00-02:00,-93.9957983966185
2005-02-01,2005,1,2,BPAG12_MDA12,2005-02-01T00:00:00-02:00,629.049914030819
2005-03-01,2005,1,3,BPAG12_MDA12,2005-03-01T00:00:00-03:00,-767.331967171094
2005-04-01,2005,1,4,BPAG12_MDA12,2005-04-01T00:00:00-03:00,142.542151971585
2005-05-01,2005,1,5,BPAG12_MDA12,2005-05-01T00:00:00-03:00,710.72857075108
2005-06-01,2005,1,6,BPAG12_MDA12,2005-06-01T00:00:00-03:00,-2550.82919573484
2005-07-01,2005,1,7,BPAG12_MDA12,2005-07-01T00:00:00-03:00,1723.30915683178
2005-08-01,2005,1,8,BPAG12_MDA12,2005-08-01T00:00:00-03:00,2058.31903432332
2005-09-01,2005,1,9,BPAG12_MDA12,2005-09-01T00:00:00-03:00,2346.07263608647
2005-10-01,2005,1,10,BPAG12_MDA12,2005-10-01T00:00:00-03:00,-3167.33969742074
2005-11-01,2005,1,11,BPAG12_MDA12,2005-11-01T00:00:00-02:00,-304.674125705845
2005-12-01,2005,1,12,BPAG12_MDA12,2005-12-01T00:00:00-02:00,1589.00976291314
2006-01-01,2006,1,1,BPAG12_MDA12,2006-01-01T00:00:00-02:00,-253.309542830919
2006-02-01,2006,1,2,BPAG12_MDA12,2006-02-01T00:00:00-02:00,2328.8411345711
2006-03-01,2006,1,3,BPAG12_MDA12,2006-03-01T00:00:00-03:00,2548.40535517231
